,Indonesia,Bhutan,Trinidad and Tobago,Dominica,Sri Lanka,Togo,Melanesia,United Republic of Tanzania,Malaysia,Thailand,Nepal,Ethiopia,Kenya,Ethiopia PDR,Lao People's Democratic Republic,Papua New Guinea,Grenada,Saint Vincent and the Grenadines,Guatemala,Madagascar,Saint Lucia,Malawi,India,Honduras
1961,7000.0,4150.0,-1.0,-1.0,7000.0,-1.0,0.0,1000.0,1300.0,,-1.0,,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,50000.0,-1.0
1962,9000.0,4200.0,-1.0,-1.0,7000.0,-1.0,0.0,1000.0,500.0,,-1.0,,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,56000.0,-1.0
1963,10000.0,4200.0,-1.0,-1.0,7000.0,-1.0,0.0,1000.0,700.0,,-1.0,,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,57000.0,-1.0
1964,8500.0,4320.0,-1.0,-1.0,7000.0,-1.0,0.0,1000.0,1200.0,,-1.0,,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,55000.0,-1.0
1965,7000.0,4330.0,-1.0,-1.0,7000.0,-1.0,0.0,1000.0,700.0,,-1.0,,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,57000.0,-1.0
1966,10000.0,4330.0,-1.0,-1.0,7000.0,-1.0,0.0,1000.0,500.0,,-1.0,,-1.0,-1.0,3500.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,75000.0,-1.0
1967,11000.0,4440.0,-1.0,-1.0,7000.0,-1.0,0.0,1000.0,500.0,,-1.0,,-1.0,-1.0,3500.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,73000.0,-1.0
1968,13000.0,4440.0,-1.0,-1.0,7000.0,-1.0,0.0,1000.0,500.0,,-1.0,,-1.0,-1.0,3500.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,75000.0,-1.0
1969,16000.0,4550.0,-1.0,-1.0,7000.0,-1.0,0.0,1000.0,500.0,,-1.0,,-1.0,-1.0,3500.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,74000.0,-1.0
1970,18000.0,4550.0,-1.0,-1.0,7000.0,-1.0,0.0,1000.0,550.0,,-1.0,,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,75000.0,-1.0
