,Luxembourg,Ukraine,Germany,New Zealand,Kenya,Austria,"China, Taiwan Province of",Belarus,Croatia,Zambia,Armenia,Romania,Azerbaijan,Syrian Arab Republic,Jordan,Denmark,China,Indonesia,Malta,Greece,Albania,Republic of Korea,Uzbekistan,Singapore,Spain,Kazakhstan,Australia & New Zealand,Australia,Mongolia,Viet Nam,Lithuania,Iceland,"China, mainland",Russian Federation,Netherlands
1961,-1.0,-1,-1.0,10.0,-1,-1,70.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,23.0,2870.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,47.0,-1,10.0,-1.0,-1,-1,-1.0,-1.0,2800.0,-1,-1.0
1962,-1.0,-1,-1.0,13.0,-1,-1,320.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,17.0,3170.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,50.0,-1,13.0,-1.0,-1,-1,-1.0,-1.0,2850.0,-1,-1.0
1963,-1.0,-1,-1.0,13.0,-1,-1,800.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,23.0,3700.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,55.0,-1,13.0,-1.0,-1,-1,-1.0,-1.0,2900.0,-1,-1.0
1964,-1.0,-1,-1.0,13.0,-1,-1,595.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,30.0,3495.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,63.0,-1,13.0,-1.0,-1,-1,-1.0,-1.0,2900.0,-1,-1.0
1965,-1.0,-1,-1.0,13.0,-1,-1,857.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,29.0,3857.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,48.0,-1,13.0,-1.0,-1,-1,-1.0,-1.0,3000.0,-1,-1.0
1966,-1.0,-1,-1.0,1.0,-1,-1,1157.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,28.0,4157.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,46.0,-1,1.0,-1.0,-1,-1,-1.0,-1.0,3000.0,-1,-1.0
1967,-1.0,-1,-1.0,1.0,-1,-1,1212.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,26.0,4212.0,-1.0,-1,-1.0,-1,20.0,-1.0,-1.0,51.0,-1,1.0,-1.0,-1,-1,-1.0,-1.0,3000.0,-1,-1.0
1968,-1.0,-1,-1.0,3.0,-1,-1,1253.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,27.0,4253.0,-1.0,-1,-1.0,-1,30.0,-1.0,-1.0,55.0,-1,3.0,-1.0,-1,-1,-1.0,-1.0,3000.0,-1,-1.0
1969,-1.0,-1,-1.0,3.0,-1,-1,800.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,30.0,3750.0,-1.0,-1,-1.0,-1,40.0,-1.0,-1.0,60.0,-1,3.0,-1.0,-1,-1,-1.0,-1.0,2950.0,-1,-1.0
1970,-1.0,-1,-1.0,4.0,-1,-1,829.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,34.0,3729.0,-1.0,-1,-1.0,-1,70.0,-1.0,-1.0,77.0,-1,4.0,-1.0,-1,-1,-1.0,-1.0,2900.0,-1,-1.0
