,Austria,Slovakia,Japan,Bhutan,USSR,Belarus,Republic of Korea,Estonia,United Republic of Tanzania,Georgia,Latvia,Czechoslovakia,Bosnia and Herzegovina,France,Czechia,Poland,Croatia,Hungary,Republic of Moldova,Russian Federation,Tajikistan,Bulgaria,Yugoslav SFR,Slovenia,Kazakhstan,Brazil,United States of America,Serbia and Montenegro,Ukraine,"China, mainland",Nepal,Canada,Uzbekistan,Lithuania,Kyrgyzstan,China,South Africa
2000,,9375.0,7620.0,8571.0,,8182.0,9761.0,10960.0,8000.0,3333.0,9524.0,,,24529.0,20000.0,11944.0,26895.0,7503.0,6677.0,6960.0,2208.0,,,10807.0,6017.0,10683.0,10000.0,,9087.0,16957.0,,9189.0,,8855.0,7000.0,16957.0,4422.0
2001,,8660.0,6220.0,8511.0,,5755.0,9814.0,8466.0,7500.0,3467.0,9245.0,,,26316.0,19638.0,10718.0,26222.0,7366.0,4261.0,5425.0,2222.0,,,10809.0,7877.0,10696.0,10042.0,,6721.0,11671.0,,11399.0,,7515.0,15000.0,11671.0,4396.0
2002,,8824.0,6135.0,7696.0,,4965.0,10747.0,9853.0,6667.0,6000.0,7905.0,,,29443.0,20000.0,11123.0,24794.0,11154.0,2497.0,5420.0,2262.0,,,10813.0,7096.0,10667.0,10054.0,,6794.0,11256.0,5607.0,10252.0,,6235.0,11952.0,11256.0,4370.0
2003,,9038.0,6161.0,5814.0,,10466.0,9569.0,19875.0,7500.0,5000.0,8308.0,,,27599.0,20833.0,11133.0,20522.0,6337.0,3361.0,8188.0,1800.0,,,8128.0,7718.0,10789.0,10065.0,,9593.0,16341.0,6103.0,10645.0,,9018.0,17245.0,16341.0,4342.0
2004,,9200.0,4690.0,9862.0,,10304.0,9753.0,6234.0,8000.0,10000.0,7113.0,,,35037.0,20355.0,12894.0,20066.0,13471.0,3209.0,7490.0,,,,4221.0,9829.0,10858.0,10077.0,,7553.0,11250.0,6573.0,3750.0,,5909.0,14417.0,11250.0,4311.0
2005,,8872.0,6980.0,10691.0,,10228.0,9938.0,7175.0,8750.0,10000.0,9519.0,,,33946.0,20000.0,10676.0,18750.0,6157.0,3429.0,7265.0,,,,17916.0,5661.0,10870.0,10088.0,,6933.0,8993.0,6698.0,11500.0,,5528.0,9180.0,8993.0,4280.0
2006,,6227.0,7366.0,10832.0,,6480.0,12487.0,8218.0,8000.0,10000.0,4929.0,,,27188.0,20409.0,6734.0,20000.0,7374.0,1414.0,8073.0,,,,9086.0,6727.0,10851.0,10000.0,,6376.0,5069.0,6792.0,10725.0,,2843.0,13300.0,5069.0,4250.0
2007,,6977.0,5705.0,9281.0,,11349.0,10154.0,12481.0,8333.0,10000.0,10374.0,,,35559.0,20518.0,11590.0,23333.0,7206.0,3751.0,8418.0,,,,9407.0,5894.0,10833.0,10000.0,,7011.0,8667.0,7429.0,11500.0,,9631.0,11963.0,8667.0,4219.0
2008,,9355.0,4905.0,14960.0,,11605.0,11397.0,5000.0,8571.0,10000.0,6827.0,,,28655.0,22012.0,10653.0,26667.0,9599.0,5993.0,9168.0,,,,9632.0,3074.0,11264.0,10000.0,,8538.0,8825.0,7524.0,,,7600.0,11102.0,8825.0,4188.0
2009,,5283.0,3370.0,10093.0,,9440.0,10156.0,6149.0,8824.0,10000.0,4752.0,,,31030.0,22634.0,11632.0,18750.0,7655.0,9831.0,9010.0,,,,9042.0,10728.0,11593.0,10153.0,,7416.0,7873.0,7981.0,,,6743.0,7869.0,7873.0,4235.0
2010,,6279.0,6226.0,13007.0,,7275.0,9278.0,3333.0,8421.0,10000.0,8462.0,,14756.0,34119.0,24104.0,10982.0,21429.0,12113.0,5647.0,5951.0,,,,11436.0,4226.0,11896.0,10221.0,,6732.0,7143.0,8000.0,,,7292.0,14865.0,7143.0,4250.0
2011,,12953.0,5674.0,19532.0,,10912.0,9689.0,6667.0,9778.0,10000.0,10909.0,,15856.0,29579.0,24140.0,12272.0,17895.0,11621.0,6208.0,9492.0,,,,10551.0,5605.0,12391.0,10287.0,,9856.0,10428.0,8580.0,,,9559.0,12742.0,10428.0,4273.0
2012,,7029.0,7311.0,15517.0,,9338.0,8132.0,4000.0,10000.0,10000.0,9877.0,,11862.0,33981.0,25000.0,13296.0,17600.0,7333.0,2353.0,7731.0,,,,7995.0,6304.0,12766.0,10446.0,,8734.0,9643.0,9692.0,10413.0,,9027.0,14186.0,9643.0,4000.0
2013,,6712.0,5440.0,23608.0,,9658.0,8039.0,6667.0,10000.0,10439.0,11122.0,,15434.0,34787.0,24000.0,12911.0,20526.0,11212.0,6557.0,9205.0,,,,7509.0,10257.0,12917.0,10452.0,,10631.0,8979.0,9415.0,10431.0,,9279.0,9615.0,8979.0,3968.0
2014,,3807.0,5192.0,20131.0,,9934.0,9232.0,7500.0,10018.0,10864.0,9140.0,,13135.0,36977.0,25000.0,13315.0,14143.0,10600.0,16937.0,9294.0,,,,8246.0,7216.0,13061.0,10641.0,,12249.0,7979.0,9833.0,10449.0,,9519.0,9565.0,7979.0,3941.0
