,India,Dominican Republic,Malawi,United Republic of Tanzania,Burundi,Trinidad and Tobago,Myanmar,Venezuela (Bolivarian Republic of),Jamaica,Bahamas,Saint Vincent and the Grenadines,Bangladesh,Democratic Republic of the Congo,Panama,Nepal,Kenya,Pakistan,Uganda,Haiti
1961,48940.0,520.0,6560.0,320.0,84.0,60.0,1955.0,200.0,84.0,6.0,0.0,121.0,175.0,40.0,300.0,0.0,55.0,2367.0,118.0
1962,49040.0,520.0,6720.0,780.0,84.0,75.0,1770.0,280.0,88.0,7.0,0.0,109.0,175.0,40.0,312.0,0.0,80.0,2778.0,120.0
1963,50340.0,520.0,7360.0,200.0,84.0,81.0,2324.0,320.0,82.0,7.0,0.0,109.0,175.0,40.0,324.0,0.0,89.0,3597.0,120.0
1964,51560.0,520.0,8320.0,260.0,84.0,81.0,2686.0,340.0,70.0,8.0,0.0,109.0,175.0,40.0,336.0,0.0,67.0,2600.0,120.0
1965,51120.0,520.0,7360.0,360.0,84.0,69.0,2931.0,350.0,128.0,8.0,0.0,109.0,175.0,40.0,348.0,0.0,78.0,2282.0,120.0
1966,50420.0,520.0,7600.0,360.0,84.0,87.0,2560.0,370.0,174.0,8.0,0.0,109.0,182.0,40.0,360.0,0.0,58.0,2800.0,124.0
1967,53294.0,520.0,7840.0,444.0,84.0,69.0,2183.0,380.0,242.0,8.0,0.0,109.0,182.0,40.0,378.0,0.0,74.0,3560.0,124.0
1968,50578.0,560.0,8080.0,438.0,84.0,60.0,2066.0,410.0,193.0,8.0,0.0,112.0,182.0,40.0,390.0,0.0,41.0,4000.0,126.0
1969,53374.0,600.0,8320.0,680.0,84.0,48.0,1894.0,430.0,178.0,8.0,0.0,100.0,182.0,39.0,396.0,0.0,52.0,3200.0,126.0
1970,53100.0,640.0,8560.0,600.0,84.0,72.0,1967.0,340.0,189.0,9.0,0.0,100.0,182.0,49.0,405.0,0.0,56.0,3640.0,128.0
1971,46910.0,680.0,8720.0,400.0,84.0,66.0,2351.0,290.0,251.0,9.0,0.0,87.0,200.0,40.0,414.0,0.0,38.0,4844.0,128.0
1972,48482.0,680.0,8960.0,400.0,84.0,44.0,2176.0,260.0,176.0,9.0,0.0,86.0,200.0,40.0,420.0,0.0,89.0,3128.0,128.0
1973,52920.0,680.0,9040.0,400.0,84.0,44.0,2252.0,230.0,137.0,9.0,0.0,88.0,200.0,40.0,426.0,0.0,39.0,4624.0,130.0
1974,50578.0,720.0,8800.0,500.0,84.0,45.0,2396.0,220.0,168.0,9.0,0.0,150.0,210.0,40.0,435.0,0.0,44.0,2552.0,130.0
1975,53420.0,360.0,9200.0,720.0,84.0,45.0,2013.0,230.0,122.0,9.0,0.0,240.0,210.0,40.0,444.0,0.0,30.0,3465.0,130.0
1976,51320.0,390.0,9280.0,677.0,84.0,50.0,1440.0,210.0,89.0,9.0,0.0,300.0,210.0,40.0,450.0,0.0,31.0,4233.0,130.0
1977,52524.0,367.0,9360.0,646.0,92.0,60.0,1096.0,205.0,148.0,7.0,0.0,450.0,210.0,40.0,465.0,0.0,33.0,4212.0,159.0
1978,52698.0,533.0,9200.0,612.0,92.0,59.0,1515.0,205.0,153.0,8.0,0.0,288.0,210.0,40.0,480.0,0.0,84.0,2320.0,160.0
1979,54620.0,597.0,9200.0,706.0,94.0,57.0,1640.0,200.0,148.0,8.0,0.0,279.0,210.0,42.0,492.0,0.0,84.0,2000.0,170.0
1980,56844.0,836.0,9200.0,800.0,88.0,54.0,2057.0,211.0,160.0,9.0,0.0,279.0,210.0,53.0,510.0,0.0,84.0,2200.0,170.0
1981,60080.0,548.0,9280.0,894.0,100.0,51.0,2282.0,220.0,139.0,9.0,0.0,288.0,210.0,54.0,540.0,0.0,86.0,2400.0,170.0
1982,58522.0,603.0,9360.0,988.0,96.0,45.0,2116.0,247.0,136.0,10.0,0.0,216.0,210.0,52.0,570.0,0.0,87.0,2476.0,170.0
1983,64360.0,1078.0,9040.0,1082.0,72.0,36.0,1906.0,242.0,134.0,10.0,0.0,216.0,210.0,53.0,600.0,0.0,87.0,2880.0,170.0
1984,63098.0,770.0,9040.0,1176.0,92.0,42.0,2441.0,275.0,140.0,10.0,0.0,213.0,228.0,54.0,428.0,0.0,17.0,2400.0,170.0
1985,63678.0,762.0,9200.0,1270.0,92.0,27.0,2479.0,279.0,153.0,10.0,0.0,177.0,228.0,56.0,482.0,0.0,25.0,2665.0,170.0
1986,62950.0,474.0,9200.0,1364.0,92.0,30.0,1833.0,281.0,118.0,10.0,0.0,169.0,228.0,58.0,524.0,0.0,29.0,2400.0,170.0
1987,66662.0,1182.0,9200.0,1458.0,92.0,42.0,2002.0,303.0,134.0,10.0,0.0,167.0,235.0,60.0,554.0,0.0,29.0,2560.0,170.0
1988,69774.0,1495.0,8640.0,1552.0,92.0,33.0,2090.0,312.0,66.0,10.0,0.0,173.0,235.0,60.0,554.0,0.0,24.0,2720.0,170.0
1989,71994.0,1285.0,8800.0,1646.0,89.0,29.0,1879.0,325.0,95.0,9.0,0.0,162.0,260.0,78.0,717.0,0.0,9.0,2480.0,166.0
1990,71860.0,1280.0,8000.0,1740.0,90.0,32.0,2124.0,325.0,107.0,9.0,0.0,161.0,245.0,80.0,755.0,0.0,9.0,2400.0,162.0
