,Costa Rica,Ecuador,Indonesia,Equatorial Guinea,Philippines,Malaysia
1961,10400.0,12000.0,6667.0,4000.0,5000.0,23965.0
1962,10357.0,12000.0,6667.0,4000.0,5863.0,21966.0
1963,10444.0,12727.0,6667.0,5000.0,6364.0,19773.0
1964,10182.0,12500.0,6000.0,5000.0,5896.0,21318.0
1965,10089.0,12000.0,6000.0,4260.0,5443.0,13980.0
1966,10158.0,20833.0,6000.0,2570.0,6833.0,14827.0
1967,10000.0,21538.0,6000.0,1180.0,6319.0,16218.0
1968,10000.0,20000.0,13333.0,3000.0,6057.0,28987.0
1969,10000.0,19444.0,12667.0,4000.0,6124.0,14676.0
1970,10000.0,19459.0,35000.0,4000.0,7074.0,20495.0
1971,10000.0,21429.0,40000.0,4000.0,6735.0,6099.0
1972,10000.0,13258.0,43333.0,4091.0,7583.0,20000.0
1973,10000.0,10049.0,33333.0,4091.0,7301.0,-1.0
1974,10000.0,12879.0,33333.0,4182.0,7400.0,-1.0
1975,10000.0,12744.0,9471.0,4182.0,7434.0,-1.0
1976,10000.0,12765.0,6558.0,3917.0,5716.0,-1.0
1977,10000.0,12731.0,9031.0,3917.0,6016.0,-1.0
1978,10000.0,7424.0,4000.0,3917.0,5322.0,-1.0
1979,10000.0,7424.0,4521.0,4000.0,6321.0,-1.0
1980,10000.0,8000.0,5229.0,3429.0,6664.0,-1.0
1981,10000.0,6824.0,5035.0,3571.0,5575.0,-1.0
1982,10000.0,6017.0,6045.0,3125.0,5792.0,-1.0
1983,10000.0,6552.0,6951.0,3125.0,5242.0,-1.0
1984,10000.0,8813.0,5860.0,3000.0,5214.0,-1.0
1985,10000.0,7369.0,6530.0,3000.0,4996.0,-1.0
1986,10000.0,4857.0,7143.0,3000.0,7280.0,-1.0
1987,10000.0,9607.0,9485.0,3000.0,7140.0,-1.0
1988,10000.0,12355.0,9783.0,3000.0,7765.0,-1.0
1989,10000.0,8174.0,9583.0,2833.0,6280.0,-1.0
1990,8632.0,9716.0,9804.0,2709.0,5797.0,-1.0
1991,10389.0,9429.0,9670.0,2398.0,6133.0,-1.0
1992,10414.0,11729.0,9630.0,2361.0,6136.0,-1.0
1993,10000.0,12000.0,9667.0,2323.0,5826.0,-1.0
1994,10480.0,10867.0,9692.0,2285.0,6440.0,-1.0
1995,10562.0,12428.0,9677.0,2389.0,6137.0,-1.0
1996,10645.0,14209.0,9595.0,2462.0,6056.0,-1.0
1997,10729.0,14217.0,9541.0,2778.0,5968.0,-1.0
1998,10813.0,14634.0,9478.0,2382.0,6700.0,-1.0
1999,10897.0,14848.0,9408.0,2312.0,6565.0,-1.0
2000,10982.0,14881.0,9332.0,2242.0,7226.0,-1.0
2001,11069.0,14706.0,9254.0,2172.0,6800.0,-1.0
2002,11156.0,14857.0,9176.0,2103.0,5169.0,-1.0
2003,11164.0,14359.0,8960.0,2035.0,5743.0,-1.0
2004,11173.0,13338.0,8841.0,1967.0,5842.0,-1.0
2005,11184.0,12994.0,8713.0,1899.0,5443.0,-1.0
2006,11196.0,12174.0,8582.0,1831.0,5139.0,-1.0
2007,11210.0,13913.0,8467.0,1764.0,4883.0,-1.0
2008,11227.0,13463.0,8374.0,1698.0,4973.0,-1.0
2009,11245.0,12953.0,8305.0,1632.0,4873.0,-1.0
2010,11266.0,12620.0,8261.0,1568.0,4924.0,-1.0
2011,11289.0,12275.0,8243.0,1278.0,4909.0,-1.0
2012,11429.0,12043.0,7647.0,1463.0,4946.0,-1.0
2013,11667.0,11810.0,8571.0,1316.0,4689.0,-1.0
2014,11317.0,11578.0,8351.0,1392.0,4586.0,-1.0
