,Iraq,"China, Taiwan Province of",United Arab Emirates,Saudi Arabia,Philippines,Syrian Arab Republic,Martinique,Lao People's Democratic Republic,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Iran (Islamic Republic of),Republic of Korea,Melanesia,Australia & New Zealand,Barbados,Guatemala,French Polynesia,El Salvador,American Samoa,Haiti,Ukraine,Guinea,Israel,Fiji,Wallis and Futuna Islands,Kuwait,Switzerland,Uruguay,Azerbaijan,Egypt,Sudan (former),China,Colombia,Libya,Lebanon,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Portugal,Brazil,"China, mainland",Italy,Costa Rica,Peru,Yemen,Cameroon,Grenada,Malta,Dominican Republic,South Sudan,Namibia,Denmark,Canada,Japan,Afghanistan,Australia,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Spain,New Zealand,Bahrain,Belize,France,United States of America,Bangladesh,Sudan,Pakistan,Czechoslovakia,Cuba,Czechia,Argentina,Paraguay,Democratic People's Republic of Korea,India,Guadeloupe,Austria,Niger,Morocco,Qatar,Mexico,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Tunisia,Albania,Slovakia,Jamaica,Solomon Islands,South Africa,Polynesia,Réunion,Panama,Ghana,Netherlands,Oman,Turkey,Republic of Moldova,Belgium-Luxembourg
1961,11000.0,4093.0,-1.0,-1.0,200.0,22000.0,-1.0,150.0,-1.0,-1.0,10195.0,-1.0,25000.0,4062.0,35.0,1372.0,-1.0,-1.0,5.0,850.0,-1.0,200.0,-1.0,-1.0,2150.0,15.0,14.0,80.0,-1.0,200.0,-1.0,12703.0,380.0,214093.0,340.0,310.0,180.0,-1.0,5300.0,4099.0,-1,-1.0,2000.0,6197.0,210000.0,13198.0,-1.0,400.0,-1.0,-1.0,-1.0,317.0,28.0,-1.0,-1.0,18.0,120.0,5000.0,3300.0,1352.0,-1.0,602.0,-1.0,43980.0,20.0,15.0,-1.0,13067.0,52588.0,6000.0,-1.0,6200.0,700.0,1800.0,-1.0,4791.0,3500.0,1800.0,9500.0,25.0,-1,-1.0,3000.0,-1.0,18930.0,17100.0,350.0,107.0,3300.0,-1.0,1870.0,-1.0,-1.0,-1.0,20.0,500.0,19.0,-1.0,6.0,-1,154.0,-1.0,92000.0,-1.0,-1
1962,10000.0,3412.0,-1.0,-1.0,200.0,26095.0,-1.0,150.0,-1.0,-1.0,9617.0,-1.0,25500.0,4358.0,40.0,1376.0,-1.0,-1.0,5.0,860.0,-1.0,200.0,-1.0,-1.0,2340.0,20.0,14.0,90.0,-1.0,250.0,-1.0,13648.0,380.0,153412.0,345.0,260.0,200.0,-1.0,5500.0,3832.0,-1,-1.0,1900.0,6271.0,150000.0,13290.0,-1.0,400.0,-1.0,-1.0,-1.0,400.0,28.0,-1.0,-1.0,18.0,80.0,5800.0,3300.0,1352.0,-1.0,803.0,-1.0,42285.0,24.0,15.0,-1.0,12588.0,55987.0,6000.0,-1.0,6700.0,612.0,1600.0,-1.0,4923.0,3600.0,2000.0,9800.0,30.0,-1,-1.0,3000.0,-1.0,21778.0,16700.0,520.0,108.0,3300.0,-1.0,2500.0,-1.0,-1.0,-1.0,20.0,500.0,19.0,-1.0,6.0,-1,158.0,-1.0,88000.0,-1.0,-1
1963,11000.0,3460.0,-1.0,-1.0,200.0,26786.0,-1.0,160.0,-1.0,-1.0,10580.0,-1.0,26000.0,4651.0,46.0,1380.0,-1.0,-1.0,5.0,870.0,-1.0,200.0,-1.0,-1.0,2325.0,25.0,14.0,95.0,-1.0,250.0,-1.0,14831.0,420.0,133460.0,350.0,200.0,300.0,-1.0,5700.0,3910.0,-1,-1.0,2200.0,5641.0,130000.0,13951.0,-1.0,400.0,-1.0,-1.0,-1.0,394.0,32.0,-1.0,-1.0,25.0,80.0,6650.0,3300.0,1352.0,-1.0,870.0,-1.0,46120.0,28.0,16.0,-1.0,13070.0,52730.0,6000.0,-1.0,6100.0,416.0,1697.0,-1.0,4923.0,3700.0,2000.0,10000.0,30.0,-1,-1.0,3000.0,-1.0,20873.0,21200.0,420.0,109.0,3890.0,-1.0,1870.0,-1.0,-1.0,-1.0,21.0,500.0,19.0,-1.0,6.0,-1,133.0,-1.0,80000.0,-1.0,-1
1964,14000.0,2949.0,-1.0,-1.0,200.0,22097.0,-1.0,160.0,-1.0,-1.0,10350.0,-1.0,26500.0,5773.0,57.0,1322.0,-1.0,-1.0,5.0,880.0,-1.0,200.0,-1.0,-1.0,2505.0,35.0,14.0,100.0,-1.0,500.0,-1.0,14160.0,420.0,117949.0,355.0,175.0,350.0,-1.0,6000.0,4190.0,-1,-1.0,2200.0,6127.0,115000.0,13456.0,-1.0,400.0,-1.0,-1.0,-1.0,403.0,37.0,-1.0,-1.0,27.0,70.0,7470.0,3300.0,1296.0,-1.0,870.0,-1.0,48942.0,26.0,16.0,-1.0,12993.0,53114.0,6000.0,-1.0,6300.0,653.0,1524.0,-1.0,4934.0,3800.0,2200.0,10500.0,30.0,-1,-1.0,6000.0,-1.0,21009.0,20100.0,540.0,112.0,4210.0,-1.0,1600.0,-1.0,-1.0,-1.0,22.0,500.0,19.0,-1.0,6.0,-1,124.0,-1.0,80000.0,-1.0,-1
1965,16000.0,2849.0,-1.0,-1.0,200.0,22018.0,-1.0,170.0,-1.0,-1.0,8650.0,-1.0,27000.0,5992.0,52.0,1322.0,-1.0,-1.0,5.0,890.0,-1.0,200.0,-1.0,-1.0,2535.0,30.0,14.0,100.0,-1.0,500.0,-1.0,14441.0,420.0,117849.0,360.0,290.0,375.0,-1.0,6296.0,3825.0,-1,-1.0,1300.0,6144.0,115000.0,13477.0,-1.0,400.0,-1.0,-1.0,-1.0,364.0,40.0,-1.0,-1.0,22.0,85.0,8200.0,3300.0,1296.0,-1.0,682.0,-1.0,43613.0,26.0,18.0,-1.0,13640.0,48521.0,6000.0,-1.0,6000.0,631.0,2683.0,-1.0,4957.0,3900.0,2200.0,10900.0,35.0,-1,-1.0,8674.0,-1.0,17889.0,19400.0,372.0,114.0,4750.0,-1.0,1300.0,-1.0,-1.0,-1.0,22.0,600.0,19.0,-1.0,6.0,-1,124.0,-1.0,80000.0,-1.0,-1
1966,16850.0,4450.0,-1.0,-1.0,200.0,16194.0,-1.0,170.0,-1.0,-1.0,9770.0,-1.0,27500.0,6133.0,53.0,1369.0,-1.0,-1.0,6.0,900.0,-1.0,200.0,-1.0,-1.0,2650.0,30.0,14.0,100.0,-1.0,357.0,-1.0,13529.0,430.0,114450.0,365.0,1100.0,390.0,-1.0,5730.0,3985.0,-1,-1.0,1500.0,4862.0,110000.0,13284.0,-1.0,460.0,-1.0,-1.0,-1.0,404.0,80.0,-1.0,-1.0,22.0,50.0,8870.0,3400.0,1344.0,-1.0,669.0,1.0,51200.0,25.0,18.0,-1.0,14559.0,45689.0,6000.0,-1.0,7000.0,508.0,1334.0,-1.0,4607.0,4000.0,2200.0,11500.0,35.0,-1,-1.0,7392.0,-1.0,15884.0,19300.0,263.0,112.0,1650.0,-1.0,1700.0,-1.0,-1.0,-1.0,23.0,800.0,20.0,-1.0,6.0,-1,81.0,-1.0,80000.0,-1.0,-1
1967,16392.0,5215.0,11.0,-1.0,200.0,27070.0,-1.0,170.0,-1.0,-1.0,9390.0,-1.0,28000.0,6648.0,53.0,1604.0,-1.0,-1.0,6.0,920.0,-1.0,200.0,-1.0,-1.0,2740.0,30.0,14.0,110.0,-1.0,500.0,-1.0,13742.0,420.0,115215.0,370.0,1200.0,236.0,-1.0,5700.0,3100.0,-1,-1.0,1600.0,4833.0,110000.0,13797.0,-1.0,430.0,-1.0,-1.0,-1.0,323.0,40.0,-1.0,-1.0,22.0,62.0,9510.0,3200.0,1584.0,-1.0,736.0,1.0,49500.0,20.0,20.0,-1.0,14874.0,47955.0,6000.0,-1.0,8000.0,228.0,3194.0,-1.0,5010.0,4100.0,2300.0,12000.0,35.0,-1,-1.0,8000.0,-1.0,18301.0,15000.0,230.0,130.0,1573.0,-1.0,1700.0,-1.0,-1.0,-1.0,23.0,1000.0,20.0,-1.0,6.0,-1,83.0,-1.0,83000.0,-1.0,-1
1968,17800.0,4975.0,71.0,-1.0,200.0,30397.0,-1.0,180.0,-1.0,-1.0,9610.0,-1.0,28500.0,6638.0,54.0,1700.0,-1.0,-1.0,6.0,920.0,-1.0,200.0,-1.0,-1.0,2480.0,30.0,14.0,120.0,-1.0,520.0,-1.0,12182.0,420.0,109975.0,375.0,1400.0,205.0,-1.0,5400.0,3213.0,-1,-1.0,4700.0,4665.0,105000.0,13762.0,-1.0,700.0,-1.0,-1.0,-1.0,364.0,45.0,-1.0,-1.0,27.0,38.0,9820.0,2900.0,1680.0,-1.0,776.0,1.0,59340.0,20.0,20.0,-1.0,15023.0,50848.0,6600.0,-1.0,13300.0,412.0,1186.0,-1.0,4550.0,4200.0,2300.0,12500.0,35.0,-1,-1.0,9000.0,-1.0,16753.0,16700.0,228.0,145.0,1864.0,-1.0,1500.0,-1.0,-1.0,-1.0,24.0,1200.0,20.0,-1.0,6.0,-1,90.0,-1.0,80000.0,-1.0,-1
1969,16752.0,4588.0,114.0,-1.0,200.0,19552.0,-1.0,180.0,-1.0,-1.0,8840.0,-1.0,29000.0,7544.0,50.0,1668.0,-1.0,-1.0,6.0,900.0,-1.0,200.0,-1.0,-1.0,2390.0,25.0,14.0,150.0,-1.0,530.0,-1.0,10922.0,420.0,109588.0,380.0,1400.0,225.0,-1.0,5300.0,3264.0,-1,-1.0,5000.0,4971.0,105000.0,12976.0,-1.0,710.0,-1.0,-1.0,-1.0,307.0,55.0,-1.0,-1.0,27.0,28.0,10610.0,2900.0,1648.0,-1.0,749.0,2.0,50574.0,20.0,20.0,-1.0,15743.0,55887.0,6574.0,-1.0,11000.0,388.0,859.0,-1.0,4240.0,4300.0,2400.0,12600.0,40.0,-1,-1.0,8000.0,-1.0,17609.0,16009.0,70.0,162.0,1374.0,-1.0,1300.0,-1.0,-1.0,-1.0,25.0,1500.0,20.0,-1.0,7.0,-1,60.0,-1.0,80000.0,-1.0,-1
1970,18911.0,5112.0,187.0,-1.0,200.0,11471.0,-1.0,190.0,-1.0,-1.0,8000.0,-1.0,29500.0,8934.0,45.0,1551.0,-1.0,-1.0,6.0,920.0,-1.0,200.0,-1.0,-1.0,2220.0,20.0,14.0,150.0,-1.0,564.0,-1.0,11762.0,420.0,75112.0,385.0,1398.0,200.0,-1.0,4900.0,2080.0,-1,-1.0,4700.0,4777.0,70000.0,13117.0,-1.0,756.0,-1.0,-1.0,-1.0,306.0,45.0,-1.0,-1.0,23.0,92.0,11770.0,2900.0,1526.0,-1.0,602.0,2.0,57430.0,25.0,20.0,-1.0,17500.0,49739.0,6408.0,-1.0,10400.0,280.0,1155.0,-1.0,4515.0,4400.0,2400.0,13000.0,40.0,-1,-1.0,8000.0,-1.0,16621.0,12000.0,137.0,181.0,693.0,-1.0,2000.0,-1.0,-1.0,-1.0,25.0,1800.0,20.0,-1.0,5.0,-1,60.0,-1.0,76000.0,-1.0,-1
