,Cuba,Dominican Republic,Mexico,Puerto Rico,Peru,Panama,Trinidad and Tobago,El Salvador,Belize,Saint Lucia,Nicaragua,Dominica,Costa Rica,Venezuela (Bolivarian Republic of)
1961,41667.0,66557.0,,,52222.0,55000.0,110345.0,,,50000.0,,100000.0,,47761.0
1962,42458.0,64286.0,,,54211.0,56250.0,109677.0,,,50000.0,,100000.0,,49237.0
1963,42847.0,64865.0,,,52778.0,57500.0,111747.0,,,50000.0,,102381.0,,50759.0
1964,41934.0,64758.0,,,49412.0,57500.0,112200.0,,,50000.0,,100000.0,,52328.0
1965,42390.0,63625.0,,,49975.0,62500.0,112687.0,,,50000.0,,100000.0,,54004.0
1966,47517.0,64375.0,,,63964.0,61176.0,112160.0,,,50000.0,,100000.0,,55618.0
1967,47099.0,65000.0,,,56776.0,62222.0,112138.0,,,50000.0,,100000.0,,57338.0
1968,43040.0,63913.0,,,55498.0,60000.0,112237.0,,,50000.0,,100000.0,,59110.0
1969,43652.0,65957.0,,,57505.0,60204.0,112147.0,,,50000.0,,100000.0,,60942.0
1970,39791.0,65306.0,,,56736.0,60194.0,111962.0,,,50000.0,,100000.0,,60582.0
1971,48654.0,66000.0,,,54835.0,60396.0,109375.0,,,52000.0,,100000.0,,63378.0
1972,31985.0,65385.0,,,53624.0,63636.0,105882.0,,,54000.0,,100000.0,,58071.0
1973,28539.0,70000.0,,,54470.0,65833.0,110857.0,,,50000.0,,100000.0,,63967.0
1974,33021.0,69639.0,,,56478.0,66667.0,110000.0,,,50000.0,,100000.0,,61060.0
1975,43542.0,56531.0,,,53828.0,67242.0,111111.0,,,50000.0,,99091.0,,58101.0
1976,51934.0,64788.0,,,55186.0,67917.0,113514.0,,,50000.0,,100172.0,,46877.0
1977,59707.0,65557.0,,,57838.0,68600.0,108571.0,,,50000.0,,99833.0,,58942.0
1978,111144.0,38036.0,,,53820.0,69283.0,111111.0,,,50000.0,,99077.0,,58607.0
1979,91469.0,56613.0,,,56829.0,69967.0,113514.0,,,50000.0,,99905.0,,56699.0
1980,93597.0,56862.0,,,52928.0,66950.0,115789.0,,,50000.0,,96769.0,,58122.0
