,Bangladesh,Indonesia,Myanmar,Colombia
1961,9200.0,102000.0,13000.0,-1
1962,9500.0,106000.0,13000.0,-1
1963,9700.0,110000.0,13000.0,-1
1964,10000.0,114000.0,13800.0,-1
1965,10500.0,118000.0,13800.0,-1
1966,11300.0,122000.0,15000.0,-1
1967,12400.0,126000.0,13400.0,-1
1968,13800.0,133600.0,13000.0,-1
1969,14634.0,136400.0,13000.0,-1
1970,12977.0,139600.0,14200.0,-1
1971,12700.0,142400.0,14200.0,-1
1972,12644.0,146000.0,14600.0,-1
1973,12679.0,122800.0,14200.0,-1
1974,12777.0,149600.0,14200.0,-1
1975,12535.0,120000.0,14200.0,-1
1976,12704.0,112000.0,14200.0,-1
1977,12849.0,92000.0,14200.0,-1
1978,13004.0,78000.0,14200.0,-1
1979,12964.0,78000.0,14200.0,-1
1980,13276.0,80000.0,14200.0,-1
1981,13108.0,84000.0,14200.0,-1
1982,13350.0,84000.0,14200.0,-1
1983,13443.0,84000.0,14200.0,-1
1984,13452.0,88000.0,14200.0,-1
1985,13450.0,88000.0,14600.0,-1
1986,12926.0,88000.0,14600.0,-1
1987,12887.0,92000.0,15800.0,-1
1988,12223.0,92000.0,14600.0,-1
1989,12184.0,96000.0,15800.0,-1
1990,12658.0,96000.0,15800.0,-1
1991,12869.0,100000.0,16200.0,-1
1992,13061.0,100000.0,16200.0,-1
1993,13375.0,108000.0,16200.0,-1
1994,13750.0,109000.0,16200.0,-1
1995,14570.0,92000.0,17800.0,-1
1996,14570.0,80116.0,17400.0,-1
1997,14940.0,74515.0,17000.0,-1
1998,14940.0,74875.0,17000.0,-1
1999,15781.0,75000.0,20200.0,-1
2000,15781.0,75000.0,21900.0,-1
2001,16185.0,75000.0,24300.0,-1
2002,16200.0,75000.0,26000.0,-1
2003,16592.0,75000.0,25900.0,-1
2004,16997.0,75000.0,26300.0,-1
2005,18211.0,75000.0,27100.0,-1
2006,20234.0,75000.0,27100.0,-1
2007,21444.0,75000.0,27500.0,-1
2008,17730.0,75000.0,27100.0,-1
2009,17045.0,70000.0,27100.0,-1
2010,12000.0,67000.0,28318.0,-1
2011,13966.0,74000.0,30296.0,-1
2012,14900.0,75000.0,30277.0,-1
2013,12100.0,79000.0,30733.0,-1
2014,14650.0,83350.0,31183.0,-1
