,Sao Tome and Principe,Seychelles,Dominica,Ethiopia PDR,Grenada,Sri Lanka,Comoros,China,Viet Nam,Indonesia,"China, mainland",Madagascar,Timor-Leste,"China, Macao SAR"
1961,10.0,1130.0,-1.0,-1.0,-1.0,5200.0,-1.0,3000.0,500.0,10000.0,3000.0,50.0,22.0,-1
1962,10.0,1240.0,-1.0,-1.0,-1.0,5200.0,-1.0,3000.0,500.0,12000.0,3000.0,50.0,25.0,-1
1963,10.0,1050.0,-1.0,-1.0,-1.0,5200.0,-1.0,3000.0,500.0,10500.0,3000.0,100.0,25.0,-1
1964,12.0,1150.0,-1.0,-1.0,-1.0,5700.0,-1.0,3000.0,700.0,9000.0,3000.0,300.0,27.0,-1
1965,12.0,1250.0,-1.0,-1.0,-1.0,5500.0,-1.0,3000.0,500.0,9000.0,3000.0,400.0,30.0,-1
1966,20.0,1600.0,-1.0,-1.0,-1.0,6400.0,-1.0,3000.0,300.0,3500.0,3000.0,600.0,35.0,-1
1967,25.0,2560.0,-1.0,-1.0,-1.0,7000.0,-1.0,3500.0,300.0,8265.0,3500.0,600.0,40.0,-1
1968,15.0,3100.0,-1.0,-1.0,-1.0,7650.0,35.0,3600.0,300.0,5456.0,3600.0,700.0,40.0,-1
1969,15.0,1460.0,-1.0,-1.0,-1.0,8250.0,70.0,3700.0,300.0,8425.0,3700.0,2100.0,50.0,-1
1970,25.0,1370.0,-1.0,-1.0,-1.0,6650.0,120.0,4000.0,400.0,5997.0,4000.0,700.0,54.0,-1
1971,25.0,1300.0,-1.0,-1.0,-1.0,11100.0,165.0,4500.0,400.0,5727.0,4500.0,733.0,57.0,-1
1972,30.0,2050.0,-1.0,-1.0,-1.0,8100.0,300.0,5000.0,400.0,6154.0,5000.0,522.0,60.0,-1
1973,35.0,1690.0,-1.0,-1.0,-1.0,10300.0,210.0,5000.0,400.0,7308.0,5000.0,497.0,63.0,-1
1974,30.0,1530.0,-1.0,-1.0,-1.0,10550.0,105.0,5000.0,200.0,7188.0,5000.0,656.0,60.0,-1
1975,30.0,1150.0,-1.0,-1.0,-1.0,10350.0,10.0,5000.0,1000.0,6457.0,5000.0,127.0,60.0,-1
1976,30.0,1200.0,-1.0,-1.0,-1.0,10400.0,2.0,6000.0,1200.0,5881.0,6000.0,132.0,60.0,-1
1977,30.0,850.0,-1.0,-1.0,-1.0,10450.0,0.0,6000.0,1400.0,7177.0,6000.0,155.0,60.0,-1
1978,30.0,620.0,-1.0,-1.0,-1.0,10450.0,-1.0,6200.0,1000.0,12856.0,6200.0,175.0,60.0,-1
1979,30.0,530.0,-1.0,30.0,-1.0,10955.0,-1.0,6300.0,800.0,10617.0,6300.0,975.0,60.0,-1
1980,30.0,620.0,-1.0,10.0,-1.0,10582.0,-1.0,8000.0,900.0,11395.0,8000.0,695.0,60.0,-1
1981,30.0,470.0,-1.0,-1.0,-1.0,10453.0,-1.0,10000.0,900.0,13627.0,10000.0,780.0,60.0,-1
1982,30.0,870.0,-1.0,-1.0,-1.0,10554.0,-1.0,12000.0,1300.0,12997.0,12000.0,810.0,60.0,-1
1983,30.0,950.0,8.0,-1.0,-1.0,10593.0,-1.0,14000.0,1600.0,17041.0,14000.0,830.0,60.0,-1
1984,30.0,360.0,10.0,-1.0,-1.0,9793.0,-1.0,16000.0,1500.0,21393.0,16000.0,880.0,70.0,-1
1985,30.0,930.0,11.0,-1.0,-1.0,9722.0,-1.0,18000.0,1800.0,21745.0,18000.0,1000.0,70.0,-1
1986,30.0,1200.0,13.0,-1.0,-1.0,9335.0,-1.0,20000.0,1500.0,20963.0,20000.0,1200.0,70.0,-1
1987,30.0,460.0,13.0,-1.0,32.0,9369.0,-1.0,20000.0,1800.0,27033.0,20000.0,1700.0,70.0,-1
1988,30.0,320.0,14.0,-1.0,32.0,9657.0,-1.0,22000.0,2500.0,25389.0,22000.0,3300.0,70.0,-1
