,Bangladesh,Uruguay,Hungary,Morocco,Mexico,Australia,Portugal,Thailand,Australia & New Zealand,Netherlands,Canada,Czechia,Spain,Argentina,Turkey
1961,-1,2512.0,-1.0,2400.0,2606.0,8585.0,-1,400.0,8585.0,2301.0,-1.0,-1.0,1622.0,24800.0,15800.0
1962,-1,5034.0,-1.0,2400.0,2883.0,18542.0,-1,400.0,18542.0,5741.0,-1.0,-1.0,2442.0,37400.0,23000.0
1963,-1,3278.0,-1.0,3000.0,2936.0,9652.0,-1,400.0,9652.0,1311.0,-1.0,-1.0,3042.0,43600.0,10400.0
1964,-1,3588.0,-1.0,3000.0,3029.0,3566.0,-1,400.0,3566.0,469.0,-1.0,-1.0,2200.0,46800.0,10000.0
1965,-1,1819.0,-1.0,5200.0,3161.0,3607.0,-1,400.0,3607.0,69.0,-1.0,-1.0,1950.0,36700.0,5000.0
1966,-1,1748.0,-1.0,5200.0,3198.0,1626.0,-1,400.0,1626.0,12.0,-1.0,-1.0,824.0,28200.0,6200.0
1967,-1,490.0,-1.0,6000.0,6505.0,1520.0,-1,400.0,1520.0,2.0,-1.0,-1.0,816.0,32200.0,4000.0
1968,-1,1735.0,-1.0,7000.0,7951.0,6000.0,-1,400.0,6000.0,2.0,-1.0,-1.0,2103.0,25800.0,2700.0
1969,-1,4090.0,-1.0,8000.0,13736.0,18000.0,-1,400.0,18000.0,1800.0,-1.0,-1.0,2654.0,44100.0,3000.0
1970,-1,1802.0,-1.0,13900.0,17606.0,5000.0,-1,400.0,5000.0,400.0,-1.0,-1.0,18900.0,107000.0,4580.0
1971,-1,2131.0,-1.0,25800.0,7520.0,4000.0,-1,800.0,4000.0,-1.0,-1.0,-1.0,7515.0,39300.0,4000.0
1972,-1,1306.0,-1.0,16770.0,10758.0,4000.0,-1,800.0,4000.0,-1.0,-1.0,-1.0,5109.0,26200.0,2880.0
1973,-1,718.0,-1.0,12530.0,11535.0,7000.0,-1,800.0,7000.0,-1.0,-1.0,-1.0,3886.0,35000.0,1780.0
1974,-1,1000.0,-1.0,15120.0,6767.0,6248.0,-1,800.0,6248.0,-1.0,-1.0,-1.0,4331.0,34000.0,1800.0
1975,-1,1000.0,-1.0,16640.0,8505.0,15680.0,-1,800.0,15680.0,-1.0,-1.0,-1.0,5100.0,25400.0,1050.0
1976,-1,1000.0,-1.0,33500.0,10428.0,20000.0,-1,1200.0,20000.0,-1.0,-1.0,-1.0,4704.0,32800.0,2000.0
1977,-1,1000.0,-1.0,8860.0,14871.0,13565.0,-1,1200.0,13565.0,-1.0,-1.0,-1.0,5874.0,39000.0,3000.0
1978,-1,1000.0,-1.0,14110.0,22393.0,21821.0,-1,1200.0,21821.0,-1.0,-1.0,-1.0,5329.0,60000.0,3000.0
1979,-1,1139.0,-1.0,9180.0,8966.0,9464.0,-1,1200.0,9464.0,-1.0,-1.0,-1.0,3518.0,51000.0,1600.0
1980,-1,1500.0,-1.0,8000.0,3664.0,2661.0,-1,1200.0,2661.0,-1.0,23000.0,-1.0,5178.0,42000.0,1400.0
1981,-1,1500.0,-1.0,2000.0,4945.0,5388.0,-1,1600.0,5388.0,-1.0,31000.0,-1.0,2758.0,35200.0,900.0
1982,-1,1500.0,-1.0,6000.0,11444.0,7964.0,-1,1600.0,7964.0,-1.0,53000.0,-1.0,2457.0,32300.0,1000.0
1983,-1,1500.0,-1.0,6760.0,14267.0,9100.0,-1,1600.0,9100.0,-1.0,64000.0,-1.0,1044.0,63000.0,750.0
1984,-1,1500.0,-1.0,3400.0,13377.0,7219.0,-1,1600.0,7219.0,-1.0,42500.0,-1.0,3890.0,50000.0,235.0
1985,-1,1500.0,-1.0,6260.0,6697.0,15971.0,-1,1600.0,15971.0,-1.0,39300.0,-1.0,1836.0,53000.0,152.0
1986,-1,1600.0,-1.0,7520.0,7941.0,10588.0,-1,1800.0,10588.0,-1.0,126100.0,-1.0,1658.0,23500.0,150.0
1987,-1,1600.0,-1.0,4700.0,8737.0,11000.0,-1,1800.0,11000.0,-1.0,99600.0,-1.0,1209.0,57500.0,150.0
1988,-1,1700.0,-1.0,1800.0,10859.0,8120.0,-1,1800.0,8120.0,-1.0,59900.0,-1.0,692.0,48000.0,194.0
1989,-1,1700.0,-1.0,2100.0,13136.0,9352.0,-1,1800.0,9352.0,-1.0,115500.0,-1.0,516.0,59000.0,600.0
1990,-1,1700.0,-1.0,3200.0,9499.0,8273.0,-1,1610.0,8273.0,-1.0,172300.0,-1.0,594.0,56900.0,169.0
1991,-1,1785.0,35000.0,0.0,2648.0,9730.0,-1,2000.0,9730.0,-1.0,100300.0,-1.0,499.0,42200.0,155.0
1992,-1,1700.0,30000.0,0.0,1132.0,1865.0,-1,1987.0,1865.0,-1.0,124100.0,-1.0,412.0,32120.0,150.0
1993,-1,1828.0,28000.0,0.0,1064.0,9703.0,-1,1923.0,9703.0,-1.0,127800.0,-1.0,312.0,33242.0,500.0
1994,-1,1870.0,28513.0,0.0,427.0,4000.0,-1,2200.0,4000.0,-1.0,240400.0,-1.0,300.0,23059.0,300.0
1995,-1,1955.0,30000.0,0.0,1280.0,3000.0,-1,2202.0,3000.0,-1.0,154600.0,-1.0,68.0,22717.0,560.0
1996,-1,2125.0,36073.0,0.0,1181.0,3000.0,-1,2246.0,3000.0,-1.0,284600.0,-1.0,103.0,17697.0,350.0
1997,-1,2040.0,18467.0,0.0,628.0,4906.0,-1,2350.0,4906.0,-1.0,115000.0,-1.0,110.0,24976.0,275.0
