,Bolivia (Plurinational State of),Peru,Yemen,Serbia and Montenegro,Croatia,Cameroon,Israel,Armenia,Syrian Arab Republic,Brazil,Yugoslav SFR,Pakistan,The former Yugoslav Republic of Macedonia,Japan,Afghanistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,South Africa,Greece,France,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Algeria,Slovenia,Kuwait,Senegal,Tajikistan,Argentina,India,Morocco,United Arab Emirates,Qatar,Mexico,Slovakia,Ecuador,Spain,Jordan,Bosnia and Herzegovina,China,Tunisia,Malta,Colombia,Libya,Albania,Lebanon,Uzbekistan,Occupied Palestinian Territory,Azerbaijan,Montenegro,Chile,Australia,Portugal,Egypt,"China, mainland",Italy,Turkey
1961,70.0,620.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1.0,10000.0,2800.0,-1.0,-1.0,-1.0,-1.0,3200.0,-1.0,122.0,300.0,600.0,25000.0,160.0,117.0,8175.0,5500.0,41000.0,-1.0,-1,-1,-1.0,-1.0,900.0,-1.0,-1.0,-1.0,800.0,-1,-1.0,49800.0,7000.0,-1.0,-1.0,24000.0,-1.0,-1.0,-1.0,-1.0,2800.0,-1.0,-1.0,-1.0,-1.0,-1.0,117.0,300000.0,574.0,-1.0,96000.0,41619.0
1962,70.0,620.0,-1.0,-1.0,-1.0,-1.0,940.0,-1.0,20000.0,2993.0,-1.0,-1.0,-1.0,-1.0,3200.0,-1.0,138.0,310.0,600.0,25000.0,160.0,107.0,7900.0,5500.0,39000.0,-1.0,-1,-1,-1.0,-1.0,900.0,-1.0,-1.0,-1.0,805.0,-1,-1.0,48100.0,7000.0,-1.0,-1.0,19000.0,-1.0,-1.0,-1.0,-1.0,3900.0,-1.0,-1.0,-1.0,-1.0,-1.0,107.0,300000.0,776.0,-1.0,92000.0,40525.0
1963,70.0,620.0,-1.0,-1.0,-1.0,-1.0,820.0,-1.0,20000.0,3051.0,-1.0,-1.0,-1.0,-1.0,3200.0,-1.0,158.0,315.0,600.0,25000.0,160.0,104.0,7920.0,5500.0,39000.0,-1.0,-1,-1,-1.0,-1.0,900.0,-1.0,-1.0,-1.0,872.0,-1,-1.0,47700.0,7000.0,-1.0,-1.0,18000.0,-1.0,-1.0,-1.0,-1.0,3900.0,-1.0,-1.0,-1.0,-1.0,-1.0,104.0,300000.0,779.0,-1.0,78800.0,40694.0
1964,70.0,620.0,-1.0,-1.0,-1.0,-1.0,770.0,-1.0,20000.0,3107.0,-1.0,-1.0,-1.0,-1.0,3380.0,-1.0,179.0,315.0,600.0,25000.0,250.0,87.0,8050.0,5500.0,39000.0,-1.0,-1,-1,-1.0,-1.0,900.0,-1.0,-1.0,-1.0,892.0,-1,-1.0,44600.0,7000.0,-1.0,-1.0,14000.0,-1.0,-1.0,-1.0,-1.0,3500.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.0,300000.0,843.0,-1.0,72700.0,40813.0
1965,70.0,620.0,-1.0,-1.0,-1.0,-1.0,690.0,-1.0,20000.0,3140.0,-1.0,-1.0,-1.0,-1.0,3570.0,-1.0,204.0,320.0,600.0,25000.0,250.0,73.0,7990.0,5500.0,29000.0,-1.0,-1,-1,-1.0,-1.0,900.0,-1.0,-1.0,-1.0,1035.0,-1,-1.0,47300.0,7000.0,-1.0,-1.0,14000.0,-1.0,-1.0,-1.0,-1.0,3140.0,-1.0,-1.0,-1.0,-1.0,-1.0,73.0,300000.0,843.0,-1.0,63000.0,40938.0
1966,70.0,655.0,-1.0,-1.0,-1.0,-1.0,600.0,-1.0,22482.0,2987.0,-1.0,-1.0,-1.0,-1.0,3940.0,-1.0,232.0,322.0,600.0,23000.0,275.0,69.0,7850.0,7000.0,31000.0,-1.0,-1,-1,-1.0,-1.0,900.0,-1.0,-1.0,-1.0,1098.0,-1,-1.0,41800.0,7595.0,-1.0,-1.0,18000.0,-1.0,-1.0,-1.0,-1.0,1900.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.0,200000.0,840.0,-1.0,55300.0,41250.0
1967,70.0,734.0,-1.0,-1.0,-1.0,-1.0,600.0,-1.0,22445.0,3004.0,-1.0,-1.0,-1.0,-1.0,4400.0,-1.0,264.0,325.0,600.0,23000.0,236.0,65.0,7446.0,7000.0,29000.0,-1.0,-1,-1,-1.0,-1.0,900.0,-1.0,-1.0,-1.0,1104.0,-1,-1.0,39800.0,7358.0,-1.0,-1.0,16000.0,-1.0,-1.0,-1.0,-1.0,1507.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.0,200000.0,840.0,-1.0,52500.0,41206.0
1968,70.0,568.0,-1.0,-1.0,-1.0,-1.0,600.0,-1.0,22548.0,3134.0,-1.0,-1.0,-1.0,-1.0,4300.0,-1.0,300.0,327.0,600.0,23000.0,251.0,59.0,6800.0,7000.0,29000.0,-1.0,-1,-1,-1.0,-1.0,900.0,-1.0,-1.0,-1.0,1152.0,-1,-1.0,41400.0,1340.0,-1.0,-1.0,18000.0,-1.0,-1.0,-1.0,-1.0,1507.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.0,200000.0,4261.0,-1.0,49200.0,34981.0
1969,70.0,777.0,-1.0,-1.0,-1.0,-1.0,500.0,-1.0,22566.0,3053.0,-1.0,-1.0,-1.0,-1.0,4370.0,-1.0,320.0,328.0,600.0,20000.0,274.0,59.0,6760.0,7000.0,14000.0,-1.0,-1,-1,-1.0,-1.0,900.0,-1.0,-1.0,-1.0,1309.0,-1,-1.0,40300.0,1705.0,-1.0,-1.0,14000.0,-1.0,-1.0,-1.0,-1.0,1520.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.0,200000.0,4621.0,-1.0,43000.0,36206.0
1970,70.0,713.0,-1.0,-1.0,-1.0,-1.0,600.0,-1.0,21629.0,3044.0,-1.0,-1.0,-1.0,-1.0,4400.0,-1.0,350.0,330.0,600.0,20000.0,280.0,55.0,6720.0,7000.0,33000.0,-1.0,-1,-1,-1.0,-1.0,900.0,-1.0,-1.0,-1.0,1597.0,-1,-1.0,30800.0,910.0,-1.0,-1.0,13000.0,-1.0,-1.0,-1.0,-1.0,1376.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.0,200000.0,2941.0,-1.0,39000.0,38206.0
1971,80.0,694.0,-1.0,-1.0,-1.0,-1.0,500.0,-1.0,19952.0,2981.0,-1.0,-1.0,-1.0,-1.0,4400.0,-1.0,386.0,332.0,600.0,18000.0,300.0,50.0,6640.0,8000.0,34000.0,-1.0,-1,-1,-1.0,-1.0,900.0,-1.0,1.0,-1.0,1673.0,-1,-1.0,31900.0,801.0,-1.0,-1.0,16000.0,-1.0,-1.0,-1.0,-1.0,1378.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,200000.0,2940.0,-1.0,31200.0,37225.0
1972,90.0,702.0,-1.0,-1.0,-1.0,-1.0,500.0,-1.0,20869.0,3111.0,-1.0,-1.0,-1.0,-1.0,4520.0,-1.0,408.0,334.0,600.0,15000.0,495.0,45.0,6310.0,8000.0,41000.0,-1.0,-1,-1,-1.0,-1.0,900.0,-1.0,2.0,-1.0,1643.0,-1,-1.0,26100.0,715.0,-1.0,-1.0,16000.0,-1.0,-1.0,-1.0,-1.0,1380.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.0,200000.0,2940.0,-1.0,24300.0,36794.0
1973,100.0,734.0,-1.0,-1.0,-1.0,-1.0,450.0,-1.0,20847.0,3593.0,-1.0,-1.0,-1.0,-1.0,4610.0,-1.0,410.0,308.0,600.0,15000.0,510.0,40.0,6190.0,8000.0,48000.0,-1.0,-1,-1,-1.0,-1.0,900.0,-1.0,3.0,-1.0,1716.0,-1,-1.0,28200.0,268.0,-1.0,-1.0,16155.0,-1.0,-1.0,-1.0,-1.0,1225.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,100000.0,2940.0,-1.0,21400.0,36875.0
1974,100.0,755.0,-1.0,-1.0,-1.0,-1.0,500.0,-1.0,20767.0,5580.0,-1.0,-1.0,-1.0,-1.0,4690.0,-1.0,415.0,268.0,600.0,15000.0,523.0,30.0,6150.0,8000.0,50000.0,-1.0,-1,-1,-1.0,-1.0,900.0,-1.0,5.0,-1.0,2016.0,-1,-1.0,27200.0,526.0,-1.0,-1.0,16460.0,-1.0,-1.0,-1.0,-1.0,1177.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,100000.0,2941.0,-1.0,19000.0,36875.0
1975,100.0,745.0,-1.0,-1.0,-1.0,-1.0,470.0,-1.0,20369.0,5588.0,-1.0,-1.0,-1.0,-1.0,4700.0,-1.0,417.0,268.0,600.0,13000.0,535.0,25.0,6070.0,8000.0,63000.0,-1.0,-1,-1,-1.0,-1.0,900.0,-1.0,7.0,-1.0,2027.0,-1,-1.0,26400.0,386.0,-1.0,-1.0,16655.0,-1.0,-1.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,100000.0,2941.0,-1.0,16300.0,36250.0
1976,100.0,760.0,-1.0,-1.0,-1.0,-1.0,450.0,-1.0,22220.0,5315.0,-1.0,-1.0,-1.0,-1.0,4700.0,-1.0,-1.0,268.0,600.0,12000.0,544.0,20.0,5830.0,8000.0,53000.0,-1.0,-1,-1,-1.0,-1.0,890.0,-1.0,8.0,-1.0,2023.0,-1,-1.0,25300.0,72.0,-1.0,-1.0,16900.0,-1.0,-1.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,100000.0,3072.0,-1.0,15300.0,36875.0
1977,100.0,741.0,-1.0,-1.0,-1.0,-1.0,250.0,-1.0,20790.0,5411.0,-1.0,-1.0,-1.0,-1.0,4710.0,-1.0,-1.0,268.0,600.0,11000.0,552.0,20.0,5260.0,8000.0,51000.0,-1.0,-1,-1,-1.0,-1.0,880.0,-1.0,9.0,27.0,2253.0,-1,-1.0,24900.0,163.0,-1.0,-1.0,16950.0,-1.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,100000.0,3060.0,-1.0,13000.0,34375.0
1978,540.0,737.0,-1.0,-1.0,-1.0,-1.0,173.0,-1.0,20646.0,5245.0,-1.0,-1.0,-1.0,-1.0,4680.0,-1.0,-1.0,67.0,600.0,11000.0,557.0,30.0,4940.0,8000.0,46000.0,-1.0,-1,-1,-1.0,-1.0,870.0,-1.0,13.0,28.0,1818.0,-1,-1.0,24200.0,233.0,-1.0,-1.0,17000.0,-1.0,-1.0,-1.0,-1.0,1700.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,100000.0,3052.0,-1.0,14400.0,35000.0
1979,495.0,695.0,109.0,-1.0,-1.0,-1.0,194.0,-1.0,19706.0,5394.0,-1.0,-1.0,-1.0,-1.0,4520.0,-1.0,-1.0,80.0,600.0,10000.0,540.0,30.0,4860.0,8000.0,51000.0,-1.0,-1,-1,-1.0,-1.0,870.0,-1.0,15.0,29.0,1963.0,-1,-1.0,23400.0,251.0,-1.0,-1.0,17200.0,-1.0,-1.0,-1.0,-1.0,1700.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,100000.0,2998.0,-1.0,14000.0,35625.0
1980,495.0,646.0,114.0,-1.0,-1.0,-1.0,212.0,-1.0,18793.0,5430.0,-1.0,54.0,-1.0,-1.0,4530.0,-1.0,-1.0,87.0,600.0,10000.0,530.0,30.0,5790.0,8000.0,46000.0,-1.0,-1,-1,-1.0,-1.0,870.0,-1.0,36.0,32.0,3988.0,-1,-1.0,23000.0,164.0,-1.0,-1.0,17000.0,-1.0,-1.0,-1.0,-1.0,1800.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,100000.0,3572.0,-1.0,13700.0,36875.0
1981,495.0,659.0,104.0,-1.0,-1.0,-1.0,145.0,-1.0,18860.0,3074.0,-1.0,43.0,-1.0,-1.0,4430.0,-1.0,-1.0,87.0,600.0,9700.0,530.0,25.0,5790.0,10000.0,47000.0,-1.0,-1,-1,-1.0,-1.0,870.0,-1.0,40.0,37.0,4094.0,-1,-1.0,22400.0,181.0,-1.0,-1.0,20000.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,90000.0,2243.0,-1.0,13200.0,35000.0
1982,495.0,661.0,107.0,-1.0,-1.0,-1.0,150.0,-1.0,18901.0,3321.0,-1.0,42.0,-1.0,-1.0,4260.0,-1.0,-1.0,100.0,600.0,10200.0,500.0,20.0,5380.0,10000.0,19000.0,-1.0,-1,-1,-1.0,-1.0,870.0,-1.0,58.0,36.0,3828.0,-1,-1.0,21900.0,186.0,-1.0,-1.0,20000.0,-1.0,-1.0,-1.0,-1.0,970.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,85900.0,2065.0,-1.0,12700.0,40000.0
1983,495.0,663.0,107.0,-1.0,-1.0,-1.0,150.0,-1.0,18800.0,3478.0,-1.0,44.0,-1.0,-1.0,4090.0,-1.0,-1.0,100.0,600.0,10100.0,500.0,20.0,5950.0,21134.0,30000.0,-1.0,-1,-1,-1.0,-1.0,870.0,-1.0,81.0,37.0,3331.0,-1,-1.0,21400.0,200.0,-1.0,-1.0,25000.0,-1.0,-1.0,-1.0,-1.0,965.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,85900.0,1680.0,-1.0,13461.0,44438.0
