,USSR,Burkina Faso,France,Fiji,Australia,Panama,Pakistan,French Guiana,Thailand,Belize,Ethiopia,Kenya,Guyana,Romania,Lao People's Democratic Republic,Zambia,Solomon Islands,Peru,Papua New Guinea,Somalia,Suriname,Togo,Albania,Brazil,Mozambique,Niger,"China, Hong Kong SAR",Democratic People's Republic of Korea,Australia & New Zealand,El Salvador,Hungary,Chad,Colombia,Spain,Central African Republic,India,Jamaica,Ecuador,Swaziland,Indonesia,Argentina,Turkey,Angola,Egypt,Melanesia,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Tajikistan,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Mali,Congo,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Puerto Rico,Iran (Islamic Republic of),Kazakhstan,Gambia,Ghana,"China, mainland",Algeria,Guinea-Bissau,Rwanda,Cameroon,Guatemala,Cuba,Pacific Islands Trust Territory,United States of America,Bhutan,Turkmenistan,Micronesia (Federated States of),Philippines,Iraq,Madagascar,Timor-Leste,United Republic of Tanzania,Burundi,Nepal,Costa Rica,Bangladesh,Italy,Senegal,Mauritius,Uganda,Comoros,Benin,Uzbekistan,China,Cambodia,Sudan (former),Morocco,Chile,Honduras,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Malawi,"China, Taiwan Province of",Réunion,Japan,Afghanistan,Trinidad and Tobago,Saudi Arabia,Sudan,Azerbaijan,Nicaragua,Viet Nam,Mauritania,Russian Federation,Micronesia,Portugal,Bolivia (Plurinational State of),Paraguay,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Brunei Darussalam,Mexico,Guinea,Sierra Leone,Sri Lanka,Côte d'Ivoire,South Africa,Bulgaria,Myanmar,Ukraine,Liberia
1971,34077.0,9219.0,37876.0,19418.0,73918.0,14244.0,23293.0,13333.0,19369.0,14624.0,,47393.0,18219.0,24182.0,12204.0,5529.0,26266.0,40119.0,29143.0,28000.0,33943.0,9049.0,31573.0,13840.0,14198.0,15956.0,22888.0,45419.0,73918.0,37453.0,25456.0,9352.0,35673.0,59067.0,5446.0,17110.0,15188.0,34931.0,29992.0,24254.0,37306.0,44877.0,12632.0,53047.0,20829.0,,24736.0,47311.0,,21316.0,46697.0,7356.0,12763.0,9256.0,16667.0,28649.0,15345.0,45872.0,65714.0,30407.0,,14347.0,9044.0,33026.0,23403.0,9000.0,21721.0,8842.0,27642.0,21007.0,9692.0,52882.0,20000.0,,,15980.0,28118.0,18984.0,15034.0,11176.0,13739.0,19520.0,25831.0,16022.0,50967.0,12927.0,57660.0,9167.0,8889.0,14211.0,,33145.0,14532.0,11902.0,27000.0,24615.0,13274.0,38894.0,11538.0,,15875.0,9625.0,38744.0,,52439.0,17500.0,28018.0,20000.0,,,31269.0,22265.0,9133.0,,9692.0,38284.0,15965.0,20793.0,,13588.0,16024.0,24039.0,17045.0,13034.0,20119.0,13652.0,15385.0,39402.0,17161.0,,12346.0
1972,36390.0,8307.0,23156.0,19477.0,61281.0,11903.0,23624.0,9600.0,18308.0,17213.0,,50789.0,19725.0,16729.0,12287.0,7465.0,33443.0,40856.0,29189.0,29885.0,32871.0,8125.0,30000.0,14914.0,13158.0,18505.0,20568.0,43613.0,61281.0,32422.0,22277.0,7992.0,38098.0,58511.0,4815.0,16046.0,16100.0,20945.0,33190.0,24556.0,35379.0,39863.0,9249.0,52076.0,20562.0,,23980.0,49525.0,,21905.0,46146.0,7761.0,18861.0,6579.0,12000.0,32036.0,26038.0,43509.0,65714.0,31830.0,,12876.0,10014.0,32288.0,20729.0,10000.0,26000.0,5231.0,27650.0,18695.0,8750.0,52679.0,20000.0,,,14431.0,28511.0,18899.0,17939.0,12065.0,21525.0,17633.0,27750.0,15716.0,40961.0,6834.0,43688.0,8771.0,9890.0,15151.0,,32475.0,13774.0,9919.0,44839.0,33574.0,13522.0,41095.0,9500.0,,20000.0,9929.0,41429.0,,58458.0,19048.0,28023.0,14468.0,,,28389.0,21935.0,12500.0,,8750.0,37689.0,16608.0,17963.0,,25207.0,16175.0,25822.0,17049.0,13764.0,20540.0,11348.0,23077.0,40613.0,16247.0,,12353.0
1973,35498.0,7987.0,43604.0,19700.0,68514.0,15389.0,24353.0,10000.0,19242.0,25318.0,,48769.0,18214.0,21645.0,13290.0,5622.0,30939.0,41040.0,29333.0,29091.0,36471.0,13116.0,31600.0,14933.0,15867.0,26053.0,22265.0,45588.0,68514.0,39114.0,25056.0,7636.0,40427.0,62948.0,7746.0,17259.0,17429.0,27671.0,34164.0,25572.0,33965.0,44538.0,13205.0,54319.0,20602.0,,26342.0,49391.0,,30379.0,49504.0,7720.0,13056.0,6753.0,10458.0,34384.0,6667.0,45552.0,65714.0,30737.0,,13564.0,9394.0,34727.0,20057.0,8000.0,34216.0,6270.0,20213.0,14896.0,9125.0,47911.0,20000.0,,,14624.0,24487.0,18167.0,19486.0,23008.0,18100.0,19690.0,15890.0,18083.0,54098.0,9966.0,44150.0,8878.0,10870.0,17778.0,,34818.0,12947.0,10987.0,38667.0,29640.0,14697.0,39640.0,6667.0,,20000.0,17000.0,39310.0,,60175.0,20000.0,28023.0,10000.0,,,31341.0,22117.0,36810.0,,9125.0,42764.0,16660.0,19413.0,,26709.0,24251.0,29958.0,17052.0,13647.0,19539.0,11552.0,23077.0,38099.0,17629.0,,12363.0
1974,35939.0,10801.0,33966.0,19399.0,60591.0,15894.0,21632.0,10000.0,18254.0,18533.0,,50617.0,24233.0,22747.0,13190.0,7139.0,30964.0,42697.0,28650.0,29825.0,36619.0,13599.0,30000.0,14500.0,16000.0,20375.0,16159.0,45167.0,60591.0,28836.0,19690.0,8479.0,42598.0,59951.0,9034.0,15744.0,18125.0,25936.0,32676.0,26412.0,38210.0,43103.0,11186.0,50677.0,20250.0,,28311.0,50000.0,,26533.0,51257.0,7704.0,19517.0,11117.0,10000.0,38550.0,44389.0,44028.0,65714.0,30115.0,,11918.0,10958.0,34926.0,24706.0,7000.0,22885.0,11343.0,16027.0,21441.0,9375.0,49770.0,20000.0,,,15458.0,22056.0,18932.0,23000.0,13681.0,20170.0,19779.0,15934.0,17289.0,54675.0,13926.0,39064.0,8671.0,11579.0,16940.0,,35033.0,11441.0,11652.0,32237.0,24946.0,14973.0,37023.0,6000.0,,14667.0,14524.0,39931.0,,58605.0,20000.0,28042.0,10000.0,,,27069.0,21564.0,30000.0,,9375.0,39242.0,15985.0,22134.0,,25280.0,29040.0,28425.0,17055.0,14019.0,20104.0,12808.0,23077.0,34522.0,17574.0,,12338.0
1975,37400.0,9661.0,41569.0,22500.0,51216.0,16018.0,22964.0,10000.0,18308.0,10903.0,,50933.0,21791.0,31293.0,13382.0,10308.0,20651.0,43830.0,29000.0,20625.0,36809.0,14026.0,33750.0,14665.0,13467.0,17047.0,17924.0,45019.0,51216.0,35844.0,25361.0,9574.0,42528.0,60982.0,9030.0,18582.0,19007.0,29719.0,27390.0,26297.0,37946.0,45662.0,13333.0,54803.0,22746.0,,26615.0,51000.0,,25000.0,53243.0,7760.0,19310.0,11773.0,10000.0,24618.0,49838.0,45780.0,70588.0,31020.0,,12197.0,9057.0,35178.0,27586.0,8933.0,24789.0,12610.0,16827.0,25068.0,9750.0,51086.0,20000.0,,,16636.0,20261.0,18290.0,20833.0,12990.0,22702.0,20742.0,22461.0,18531.0,56950.0,13284.0,20328.0,8939.0,12632.0,18499.0,,35283.0,12000.0,9917.0,47097.0,33383.0,16714.0,39540.0,5012.0,,14000.0,19250.0,40085.0,,61856.0,20714.0,25078.0,10000.0,,,30129.0,21198.0,37066.0,,9750.0,43916.0,16931.0,22711.0,,31962.0,27178.0,27921.0,17058.0,15016.0,19325.0,12718.0,23077.0,40274.0,18307.0,,11990.0
1976,35496.0,10100.0,38974.0,22500.0,55719.0,11805.0,23472.0,10000.0,18450.0,14697.0,,57750.0,17835.0,17895.0,12600.0,10792.0,29522.0,42835.0,28986.0,20000.0,35640.0,13147.0,35000.0,14658.0,6000.0,13226.0,18863.0,45295.0,55719.0,25876.0,11344.0,10643.0,41634.0,63469.0,8889.0,16372.0,19840.0,26376.0,27216.0,27843.0,35407.0,48759.0,10000.0,50770.0,23735.0,,27217.0,36316.0,,32750.0,59667.0,7803.0,12674.0,12753.0,10000.0,27340.0,36881.0,27909.0,70588.0,37893.0,,7895.0,9065.0,34771.0,25580.0,8889.0,24935.0,18709.0,12869.0,27633.0,10000.0,52268.0,20000.0,,,17967.0,31171.0,19198.0,20000.0,12959.0,22149.0,18914.0,18675.0,17839.0,48503.0,14382.0,45146.0,11881.0,12000.0,18039.0,,34957.0,11000.0,12696.0,33887.0,34152.0,15290.0,41378.0,4639.0,,16000.0,20000.0,43536.0,,54797.0,21333.0,28023.0,10000.0,,,26842.0,22327.0,33361.0,,10000.0,43634.0,15747.0,20195.0,,30850.0,19647.0,29072.0,17061.0,14500.0,19712.0,11558.0,23077.0,24745.0,18974.0,,12250.0
1977,37729.0,11791.0,21721.0,19293.0,57585.0,16929.0,23297.0,10000.0,15910.0,24968.0,,61813.0,26103.0,23535.0,12345.0,8455.0,32314.0,44212.0,28341.0,18182.0,40818.0,9980.0,36000.0,15009.0,8500.0,11565.0,18827.0,47091.0,57585.0,26324.0,12717.0,11905.0,41564.0,55847.0,10000.0,19613.0,21850.0,30603.0,26316.0,27929.0,35320.0,47455.0,10000.0,52039.0,21794.0,,26252.0,51366.0,,22600.0,67868.0,7720.0,16585.0,11180.0,10000.0,27359.0,30000.0,43812.0,79412.0,34665.0,,7748.0,8450.0,36226.0,24719.0,7500.0,26437.0,17432.0,20550.0,30033.0,10375.0,49450.0,20000.0,,,20142.0,31384.0,17590.0,20000.0,12922.0,18293.0,18056.0,23738.0,19398.0,36735.0,9940.0,59783.0,10714.0,12621.0,20674.0,,36373.0,10000.0,11053.0,38403.0,33844.0,11993.0,40161.0,4716.0,,15667.0,18889.0,43095.0,,61683.0,19048.0,28082.0,15917.0,,,31103.0,19378.0,22500.0,,10375.0,27694.0,17505.0,20440.0,,29910.0,15034.0,31438.0,17065.0,14634.0,21441.0,11663.0,23077.0,39417.0,19453.0,,12427.0
1978,33862.0,11349.0,32558.0,18251.0,53557.0,16384.0,24230.0,15227.0,19552.0,24144.0,,56701.0,26522.0,26682.0,12512.0,7697.0,28757.0,40933.0,28543.0,11633.0,40570.0,10628.0,37000.0,12974.0,6118.0,12441.0,18817.0,45011.0,53557.0,36565.0,9739.0,4140.0,43246.0,58754.0,9810.0,19912.0,20075.0,27709.0,26316.0,28862.0,32632.0,45243.0,10000.0,54050.0,20919.0,,25695.0,51630.0,,21999.0,69380.0,7653.0,17637.0,14174.0,10000.0,34246.0,20000.0,41317.0,79412.0,39547.0,,12358.0,8780.0,39781.0,11192.0,6667.0,25080.0,23986.0,22970.0,30149.0,10625.0,50257.0,20000.0,,,20253.0,31434.0,16964.0,20000.0,15000.0,15000.0,18527.0,26116.0,19385.0,49553.0,16073.0,54722.0,10533.0,12381.0,8242.0,,39809.0,10000.0,9524.0,24444.0,32105.0,17411.0,38651.0,5771.0,,15789.0,19574.0,41120.0,,61758.0,20381.0,28023.0,24214.0,,,30369.0,17922.0,19412.0,,10625.0,40964.0,14146.0,18312.0,,30190.0,15917.0,33119.0,17068.0,14588.0,22521.0,11776.0,23077.0,36781.0,21012.0,,12577.0
1979,36574.0,11731.0,43478.0,19973.0,62792.0,17036.0,23710.0,12308.0,18209.0,23883.0,,43064.0,26665.0,26593.0,12577.0,5974.0,34114.0,42634.0,29120.0,25833.0,40060.0,8001.0,38800.0,13931.0,7778.0,12172.0,15152.0,46365.0,62792.0,39435.0,20630.0,5140.0,42490.0,62245.0,9216.0,16105.0,20283.0,28723.0,26316.0,29855.0,30469.0,50000.0,9286.0,57212.0,23513.0,,28388.0,47145.0,,22613.0,63905.0,8001.0,18750.0,9900.0,10000.0,34445.0,20000.0,41134.0,87879.0,32726.0,,17193.0,8857.0,42481.0,25000.0,6667.0,27318.0,21364.0,29543.0,28825.0,10741.0,51548.0,20000.0,,,21131.0,26882.0,17583.0,20000.0,10077.0,30000.0,16424.0,27447.0,18809.0,60348.0,12267.0,54286.0,12500.0,10833.0,12561.0,,42491.0,6951.0,8000.0,32203.0,38489.0,16558.0,41322.0,5833.0,,23750.0,9778.0,42964.0,,59864.0,21311.0,33623.0,19852.0,,,31881.0,20716.0,34831.0,,10741.0,41878.0,14790.0,18902.0,,31192.0,21759.0,32652.0,17071.0,12500.0,24282.0,11920.0,23077.0,44712.0,23521.0,,12388.0
1980,38949.0,10991.0,38333.0,19811.0,52697.0,18354.0,24235.0,8000.0,18878.0,26290.0,,39400.0,29709.0,19545.0,14386.0,4339.0,36847.0,43034.0,28444.0,27288.0,39662.0,7989.0,32500.0,15658.0,8333.0,14876.0,21212.0,40714.0,52697.0,36179.0,15324.0,11700.0,43074.0,63333.0,9454.0,20002.0,26195.0,30062.0,26316.0,32928.0,32360.0,45827.0,9167.0,58331.0,24978.0,,28524.0,45000.0,,23942.0,43076.0,7999.0,19818.0,9725.0,10096.0,35509.0,45000.0,49267.0,87879.0,28356.0,,19677.0,7879.0,41338.0,28571.0,7000.0,33134.0,23366.0,33598.0,32428.0,10843.0,49461.0,20000.0,,,22105.0,30099.0,17589.0,20000.0,11878.0,23507.0,19320.0,38438.0,20197.0,54955.0,9625.0,42973.0,15455.0,10833.0,12174.0,,41435.0,11924.0,6349.0,48712.0,23369.0,18226.0,42696.0,5833.0,,21250.0,9048.0,46537.0,,51279.0,21728.0,33595.0,14667.0,,,34341.0,20798.0,31981.0,,10843.0,44613.0,14397.0,17000.0,,30759.0,13797.0,34937.0,17074.0,12512.0,25897.0,11667.0,23077.0,40709.0,27739.0,,12335.0
