,"China, Hong Kong SAR","China, Taiwan Province of",Croatia,Saudi Arabia,Philippines,Syrian Arab Republic,Martinique,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Republic of Korea,Melanesia,New Caledonia,Rwanda,Algeria,American Samoa,Senegal,Madagascar,Haiti,Ukraine,Israel,Dominica,Fiji,Belgium,United Arab Emirates,Sri Lanka,Azerbaijan,Egypt,Sudan (former),China,Uzbekistan,Colombia,Libya,Trinidad and Tobago,Lebanon,Brunei Darussalam,Occupied Palestinian Territory,Hungary,Kazakhstan,Mauritius,Guam,Portugal,Micronesia,"China, mainland",Peru,Democratic People's Republic of Korea,Cameroon,Serbia,Cuba,Malta,Dominican Republic,South Sudan,Pakistan,Spain,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Japan,Bahrain,Guyana,Bulgaria,United States of America,Iran (Islamic Republic of),Thailand,Djibouti,Kuwait,Kyrgyzstan,Ghana,Costa Rica,Georgia,India,Guadeloupe,Austria,Niger,Morocco,Congo,Qatar,Gabon,USSR,Romania,Honduras,Jordan,Puerto Rico,Mexico,Tunisia,Côte d'Ivoire,Albania,Jamaica,Yemen,France,Italy,Polynesia,Réunion,Sudan,Lithuania,Netherlands,Oman,Turkey,Republic of Moldova,Belgium-Luxembourg
1961,700.0,13611.0,-1.0,8000.0,46000.0,35000.0,1000.0,35000.0,-1.0,32057.0,9638.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.0,800.0,-1.0,15800.0,-1,100.0,-1.0,-1.0,21112.0,-1.0,127000.0,50000.0,4214311.0,-1.0,1600.0,100.0,2000.0,13000.0,-1.0,-1.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1.0,4200000.0,-1.0,11000.0,-1.0,-1.0,-1,-1.0,2187.0,-1,-1.0,82000.0,80000.0,400.0,1000.0,7.0,480270.0,-1.0,-1.0,16000.0,26281.0,-1.0,50000.0,7.0,-1.0,-1.0,4000.0,-1.0,-1.0,990000.0,-1.0,-1.0,-1.0,2100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51800.0,-1.0,3215.0,-1.0,11000.0,-1.0,80.0,-1.0,28430.0,208200.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,360000.0,-1.0,-1
1962,800.0,13485.0,-1.0,8000.0,55000.0,40901.0,1000.0,36000.0,-1.0,38740.0,9529.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,160.0,800.0,-1.0,14100.0,-1,100.0,-1.0,-1.0,12933.0,-1.0,141000.0,55000.0,3224285.0,-1.0,1620.0,100.0,2200.0,14000.0,-1.0,-1.0,-1.0,-1.0,1900.0,-1.0,-1.0,-1.0,3210000.0,-1.0,11500.0,-1.0,-1.0,-1,-1.0,2263.0,-1,-1.0,77200.0,80000.0,500.0,1000.0,10.0,547070.0,-1.0,-1.0,16400.0,25240.0,-1.0,49000.0,7.0,-1.0,-1.0,4000.0,-1.0,-1.0,1050000.0,-1.0,-1.0,-1.0,2500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52600.0,-1.0,3277.0,-1.0,11000.0,-1.0,80.0,-1.0,26890.0,209500.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,370000.0,-1.0,-1
1963,1010.0,14312.0,-1.0,9000.0,47800.0,36143.0,1000.0,38000.0,-1.0,37559.0,10093.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,160.0,800.0,-1.0,15600.0,-1,100.0,-1.0,-1.0,14611.0,-1.0,161000.0,55000.0,2885322.0,-1.0,1650.0,100.0,2243.0,27000.0,-1.0,-1.0,-1.0,-1.0,1957.0,-1.0,-1.0,-1.0,2870000.0,-1.0,12000.0,-1.0,-1.0,-1,-1.0,2342.0,-1,-1.0,78700.0,88074.0,400.0,1000.0,12.0,604380.0,-1.0,-1.0,16400.0,23714.0,-1.0,63000.0,7.0,-1.0,-1.0,6000.0,-1.0,-1.0,1100000.0,-1.0,-1.0,-1.0,2500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48000.0,-1.0,3663.0,-1.0,12000.0,-1.0,91.0,-1.0,23480.0,240700.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,380000.0,-1.0,-1
1964,659.0,14838.0,-1.0,9000.0,44234.0,33200.0,1200.0,40000.0,-1.0,40472.0,17137.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,170.0,800.0,-1.0,16900.0,-1,100.0,-1.0,-1.0,26309.0,-1.0,174000.0,55000.0,2575497.0,-1.0,1670.0,100.0,1609.0,29000.0,-1.0,-1.0,-1.0,-1.0,1197.0,-1.0,-1.0,-1.0,2560000.0,-1.0,12000.0,-1.0,-1.0,-1,-1.0,2420.0,-1,-1.0,77100.0,132787.0,600.0,1000.0,15.0,619480.0,-1.0,-1.0,16800.0,23898.0,-1.0,49200.0,7.0,-1.0,-1.0,8000.0,-1.0,-1.0,1150000.0,-1.0,-1.0,-1.0,2500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41700.0,-1.0,3903.0,-1.0,12000.0,-1.0,98.0,-1.0,27000.0,241900.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,400000.0,-1.0,-1
1965,778.0,14859.0,-1.0,9000.0,46737.0,34500.0,1200.0,42000.0,-1.0,44100.0,19811.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,170.0,900.0,-1.0,16300.0,-1,100.0,-1.0,-1.0,12942.0,-1.0,177000.0,57000.0,2715637.0,-1.0,1700.0,100.0,977.0,25000.0,-1.0,-1.0,-1.0,-1.0,1504.0,-1.0,-1.0,-1.0,2700000.0,-1.0,12000.0,-1.0,-1.0,-1,-1.0,2505.0,-1,-1.0,78800.0,136787.0,800.0,1168.0,18.0,623600.0,-1.0,-1.0,16800.0,25664.0,-1.0,47000.0,7.0,-1.0,-1.0,10567.0,-1.0,-1.0,1200000.0,-1.0,-1.0,-1.0,3500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47600.0,-1.0,4556.0,-1.0,13000.0,-1.0,127.0,-1.0,28430.0,263900.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,427200.0,-1.0,-1
1966,1000.0,14050.0,-1.0,9000.0,51852.0,35900.0,1200.0,43000.0,-1.0,48943.0,18162.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,180.0,900.0,-1.0,15550.0,-1,100.0,-1.0,80.0,17592.0,-1.0,196426.0,58000.0,2675050.0,-1.0,1720.0,100.0,1420.0,25108.0,-1.0,-1.0,-1.0,-1.0,1888.0,-1.0,-1.0,-1.0,2660000.0,-1.0,12500.0,-1.0,-1.0,-1,-1.0,2522.0,-1,-1.0,77300.0,148578.0,1003.0,2032.0,20.0,667110.0,-1.0,-1.0,17000.0,23578.0,-1.0,50000.0,9.0,-1.0,-1.0,10567.0,-1.0,-1.0,1230000.0,-1.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50400.0,-1.0,4877.0,-1.0,13000.0,-1.0,272.0,-1.0,28670.0,273400.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,438200.0,-1.0,-1
1967,2000.0,15391.0,-1.0,9000.0,53808.0,42500.0,1500.0,45000.0,-1.0,51453.0,22631.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,180.0,900.0,-1.0,16250.0,-1,100.0,-1.0,125.0,11335.0,-1.0,196409.0,58000.0,2717391.0,-1.0,1760.0,150.0,2614.0,19848.0,-1.0,-1.0,-1.0,-1.0,1898.0,-1.0,-1.0,-1.0,2700000.0,-1.0,13000.0,-1.0,-1.0,-1,-1.0,2588.0,-1,-1.0,91200.0,248685.0,1140.0,2032.0,30.0,715010.0,-1.0,-1.0,17019.0,25419.0,-1.0,49400.0,9.0,-1.0,-1.0,15850.0,-1.0,-1.0,1300000.0,-1.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58500.0,-1.0,5495.0,-1.0,14000.0,-1.0,182.0,-1.0,27930.0,282300.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,420000.0,-1.0,-1
1968,1000.0,14993.0,-1.0,9000.0,62589.0,57135.0,1400.0,47600.0,-1.0,51187.0,27080.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,200.0,900.0,-1.0,16300.0,-1,100.0,-1.0,100.0,12347.0,-1.0,209000.0,60000.0,2915993.0,-1.0,1800.0,125.0,2110.0,23407.0,-1.0,-1.0,-1.0,-1.0,1874.0,-1.0,-1.0,-1.0,2900000.0,-1.0,13500.0,-1.0,-1.0,-1,-1.0,2654.0,-1,-1.0,86400.0,122753.0,1295.0,2235.0,45.0,715630.0,-1.0,-1.0,22240.0,19647.0,-1.0,49500.0,9.0,-1.0,-1.0,18492.0,-1.0,-1.0,1365000.0,71.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27000.0,-1.0,7856.0,-1.0,14000.0,-1.0,84.0,-1.0,29300.0,293100.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,406199.0,-1.0,-1
1969,1000.0,18423.0,-1.0,9000.0,58991.0,49619.0,1337.0,60000.0,-1.0,54551.0,31773.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,200.0,900.0,-1.0,19450.0,-1,100.0,-1.0,200.0,13429.0,-1.0,234000.0,61000.0,3019423.0,-1.0,1840.0,150.0,1982.0,19720.0,-1.0,-1.0,-1.0,-1.0,2628.0,-1.0,-1.0,-1.0,3000000.0,-1.0,13500.0,-1.0,-1.0,-1,-1.0,2721.0,-1,-1.0,76000.0,130183.0,1590.0,2337.0,60.0,680400.0,-1.0,-1.0,23027.0,22079.0,-1.0,49900.0,9.0,-1.0,-1.0,15000.0,-1.0,-1.0,1400000.0,58.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29695.0,-1.0,16032.0,-1.0,15000.0,-1.0,72.0,-1.0,29770.0,303200.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,472470.0,-1.0,-1
1970,2000.0,19269.0,-1.0,9000.0,68599.0,49369.0,2200.0,70000.0,-1.0,54773.0,29597.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,200.0,900.0,-1.0,22900.0,-1,100.0,-1.0,200.0,13256.0,-1.0,218000.0,60000.0,2206269.0,-1.0,1880.0,200.0,2014.0,15762.0,-1.0,-1.0,-1.0,-1.0,2320.0,-1.0,-1.0,-1.0,2185000.0,-1.0,14000.0,-1.0,-1.0,-1,-1.0,2787.0,-1,-1.0,50300.0,119515.0,1660.0,2540.0,80.0,721800.0,-1.0,-1.0,23985.0,21662.0,-1.0,50000.0,10.0,-1.0,-1.0,10000.0,-1.0,-1.0,1480000.0,130.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23100.0,-1.0,17100.0,-1.0,15000.0,-1.0,180.0,-1.0,35480.0,319000.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,480000.0,-1.0,-1
