,Comoros,Indonesia,Seychelles,China,Sri Lanka,Togo,Morocco,Malaysia,"China, mainland",Mexico,Madagascar,Kenya,United Republic of Tanzania
1961,-1.0,20000.0,,-1.0,600.0,,,200.0,-1.0,,35000.0,-1.0,25000.0
1962,-1.0,20000.0,,-1.0,300.0,,,130.0,-1.0,,28000.0,-1.0,25000.0
1963,-1.0,23000.0,,-1.0,300.0,,,350.0,-1.0,,28000.0,-1.0,35000.0
1964,-1.0,40000.0,,-1.0,300.0,,,150.0,-1.0,,28245.0,-1.0,30000.0
1965,-1.0,27000.0,,-1.0,300.0,,,130.0,-1.0,,29540.0,-1.0,32000.0
1966,-1.0,52000.0,,-1.0,300.0,,,180.0,-1.0,,28650.0,-1.0,40000.0
1967,-1.0,27000.0,,-1.0,300.0,,,190.0,-1.0,,31340.0,65.0,40000.0
1968,-1.0,53000.0,,-1.0,300.0,,,200.0,-1.0,,28665.0,65.0,35000.0
1969,-1.0,34000.0,,-1.0,700.0,,,200.0,-1.0,,29000.0,65.0,20000.0
1970,-1.0,48000.0,,-1.0,700.0,,,300.0,-1.0,,31765.0,65.0,15000.0
1971,-1.0,36000.0,,-1.0,700.0,,,400.0,-1.0,,34100.0,65.0,30000.0
1972,-1.0,46000.0,,-1.0,700.0,,,270.0,-1.0,,41265.0,65.0,35000.0
1973,-1.0,56800.0,,-1.0,1400.0,,,400.0,-1.0,,46690.0,65.0,35000.0
1974,-1.0,69600.0,,-1.0,1500.0,,,500.0,-1.0,,40875.0,65.0,15000.0
1975,-1.0,71000.0,,-1.0,1500.0,,,500.0,-1.0,,45225.0,65.0,35000.0
1976,-1.0,79000.0,,-1.0,1600.0,,,600.0,-1.0,,46925.0,65.0,30000.0
1977,-1.0,92245.0,,-1.0,2600.0,,,600.0,-1.0,,63195.0,65.0,28000.0
1978,-1.0,100477.0,,-1.0,2700.0,,,700.0,-1.0,,68900.0,65.0,15000.0
1979,-1.0,110610.0,,-1.0,2800.0,,,700.0,-1.0,,69925.0,65.0,35000.0
1980,-1.0,138022.0,,-1.0,2900.0,,,900.0,-1.0,,71950.0,65.0,25000.0
1981,-1.0,172995.0,,-1.0,3000.0,,,800.0,-1.0,,72500.0,65.0,25000.0
1982,-1.0,191517.0,,-1.0,3100.0,,,850.0,-1.0,,73945.0,65.0,13000.0
1983,-1.0,221000.0,,-1.0,3200.0,,,800.0,-1.0,,75540.0,65.0,25000.0
1984,-1.0,267000.0,,-1.0,3500.0,,,700.0,-1.0,,76710.0,65.0,30000.0
1985,6000.0,290000.0,,-1.0,3971.0,,,800.0,-1.0,,77160.0,65.0,7000.0
1986,6000.0,317187.0,,1500.0,4952.0,,,850.0,1500.0,,77140.0,65.0,35000.0
1987,6000.0,316662.0,,1500.0,5775.0,,,900.0,1500.0,,77200.0,65.0,6600.0
1988,6000.0,352000.0,,1500.0,5898.0,,,910.0,1500.0,,74900.0,65.0,31000.0
1989,6000.0,370000.0,,1500.0,6050.0,,,910.0,1500.0,,80520.0,65.0,14000.0
1990,5961.0,415000.0,,1221.0,5997.0,,,920.0,1221.0,-1.0,80000.0,66.0,8400.0
1991,4293.0,460000.0,,1100.0,5876.0,,,940.0,1100.0,-1.0,80086.0,3311.0,30000.0
1992,3540.0,405000.0,,600.0,6146.0,-1.0,,980.0,600.0,-1.0,80083.0,2427.0,8000.0
1993,5999.0,384000.0,-1.0,667.0,6000.0,-1.0,,1000.0,667.0,-1.0,80000.0,1751.0,5579.0
1994,10000.0,392000.0,-1.0,673.0,5800.0,-1.0,-1.0,900.0,673.0,-1.0,78000.0,1296.0,12500.0
1995,6000.0,385000.0,-1.0,628.0,5555.0,-1.0,-1.0,890.0,628.0,-1.0,75000.0,363.0,7000.0
1996,8000.0,360877.0,-1.0,655.0,6871.0,-1.0,-1.0,869.0,655.0,-1.0,75000.0,100.0,20000.0
1997,7731.0,368789.0,-1.0,627.0,8000.0,-1.0,,800.0,627.0,-1.0,79600.0,130.0,8000.0
1998,8500.0,379519.0,-1.0,562.0,7716.0,-1.0,,845.0,562.0,-1.0,79600.0,170.0,11000.0
1999,10000.0,311000.0,-1.0,594.0,10000.0,-1.0,,843.0,594.0,-1.0,79600.0,220.0,12000.0
2000,10155.0,390000.0,-1.0,693.0,5000.0,-1.0,,840.0,693.0,-1.0,79930.0,1750.0,14846.0
2001,11000.0,400000.0,,676.0,6600.0,-1.0,,838.0,676.0,-1.0,79570.0,1850.0,14708.0
2002,11095.0,372710.0,,622.0,11000.0,,,840.0,622.0,-1.0,79225.0,2400.0,11922.0
2003,11531.0,420000.0,,669.0,8180.0,,,888.0,669.0,-1.0,78910.0,2329.0,12500.0
2004,12000.0,390000.0,,751.0,8060.0,,,896.0,751.0,-1.0,78900.0,2350.0,13000.0
2005,5500.0,400000.0,,650.0,7970.0,,,904.0,650.0,-1.0,37231.0,1871.0,13158.0
2006,9000.0,299224.0,,700.0,7740.0,,,912.0,700.0,-1.0,36670.0,1750.0,12500.0
2007,13000.0,303470.0,,750.0,7250.0,,,920.0,750.0,-1.0,37415.0,1750.0,12500.0
2008,11000.0,311760.0,,800.0,7420.0,,,928.0,800.0,-1.0,36865.0,1950.0,10300.0
2009,9575.0,319000.0,,847.0,7340.0,,,937.0,847.0,-1.0,37900.0,2300.0,9500.0
2010,9106.0,321000.0,,894.0,7300.0,,,946.0,894.0,-1.0,38179.0,2900.0,8781.0
2011,8727.0,331000.0,,933.0,7470.0,,,950.0,933.0,-1.0,39118.0,1950.0,8399.0
2012,6200.0,493900.0,,1000.0,7400.0,,,1000.0,1000.0,-1.0,38115.0,2000.0,6000.0
2013,8535.0,501400.0,,1000.0,7330.0,,,970.0,1000.0,-1.0,36965.0,2000.0,6000.0
2014,7683.0,505500.0,,990.0,7306.0,,,951.0,990.0,-1.0,35694.0,2058.0,7420.0
