,Bhutan,India,El Salvador,Peru,"China, Taiwan Province of",Mozambique,Ethiopia PDR,Nepal,Malaysia,Cuba,USSR,Brazil,China,South Sudan,Egypt,Sudan (former),Myanmar,Ethiopia,Indonesia,Pakistan,Côte d'Ivoire,Japan,Mali,Zimbabwe,Iran (Islamic Republic of),Uzbekistan,Viet Nam,Thailand,Chile,Spain,South Africa,Democratic Republic of the Congo,Bangladesh,Guatemala,Central African Republic,"China, mainland",Madagascar,Angola,Nigeria,Cameroon,Cambodia,Russian Federation
1961,-1.0,1560600.0,1400.0,720.0,13772.0,1000.0,-1.0,32000.0,-1.0,1000.0,39500.0,61349.0,136772.0,-1.0,5000.0,-1.0,4506.0,-1.0,4000.0,6900.0,-1,740.0,-1.0,1000.0,3672.0,-1.0,11300.0,250900.0,-1.0,2844.0,2300.0,10909.0,1348890.0,500.0,-1.0,123000.0,2410.0,1500.0,-1.0,-1.0,1700.0,-1.0
1962,-1.0,1372300.0,1400.0,1580.0,10794.0,1000.0,-1.0,34000.0,-1.0,1000.0,42000.0,60629.0,76794.0,-1.0,5000.0,-1.0,6416.0,-1.0,4000.0,7100.0,-1,680.0,-1.0,1000.0,3683.0,-1.0,13800.0,141100.0,-1.0,1829.0,2300.0,8608.0,1225060.0,600.0,16.0,66000.0,1087.0,1500.0,-1.0,-1.0,1800.0,-1.0
1963,-1.0,1511680.0,1400.0,3430.0,9930.0,1000.0,-1.0,36936.0,-1.0,2000.0,44500.0,57266.0,108930.0,-1.0,5000.0,-1.0,10500.0,-1.0,4000.0,7100.0,-1,600.0,-1.0,1000.0,2868.0,-1.0,16300.0,218600.0,-1.0,759.0,2300.0,9237.0,1139370.0,800.0,70.0,99000.0,1700.0,1500.0,-1.0,-1.0,2300.0,-1.0
1964,-1.0,1459124.0,1400.0,3453.0,13149.0,2000.0,-1.0,35712.0,-1.0,2300.0,38400.0,63927.0,130649.0,-1.0,5000.0,-1.0,13567.0,-1.0,5000.0,7800.0,-1,520.0,-1.0,1000.0,2000.0,-1.0,20000.0,309600.0,-1.0,100.0,2500.0,5364.0,1028780.0,700.0,120.0,117500.0,2305.0,1500.0,-1.0,-1.0,2400.0,-1.0
1965,-1.0,1096388.0,2900.0,3264.0,13455.0,4000.0,-1.0,38812.0,-1.0,4000.0,37900.0,77286.0,152955.0,-1.0,5000.0,-1.0,13621.0,-1.0,5000.0,6500.0,-1,332.0,-1.0,1000.0,3000.0,-1.0,22800.0,537100.0,-1.0,150.0,1500.0,6558.0,1373760.0,500.0,120.0,139500.0,2040.0,1500.0,-1.0,-1.0,1500.0,-1.0
1966,-1.0,1241466.0,5400.0,2911.0,10842.0,5000.0,-1.0,38735.0,-1.0,6600.0,41100.0,61658.0,185342.0,-1.0,5800.0,-1.0,16390.0,-1.0,8400.0,7400.0,-1,0.0,-1.0,1000.0,5000.0,-1.0,17200.0,673300.0,-1.0,200.0,1100.0,6010.0,1281820.0,300.0,180.0,174500.0,1735.0,2000.0,-1.0,-1.0,1500.0,-1.0
1967,30.0,1438014.0,4300.0,3287.0,10032.0,6000.0,-1.0,38000.0,-1.0,7200.0,52500.0,54212.0,209032.0,-1.0,5400.0,-1.0,14285.0,-1.0,15700.0,6500.0,-1,-1.0,-1.0,1000.0,2000.0,-1.0,19000.0,429600.0,-1.0,233.0,1200.0,5123.0,1322100.0,700.0,620.0,199000.0,2035.0,2000.0,-1.0,-1.0,4000.0,-1.0
1968,40.0,758162.0,4300.0,3420.0,11010.0,6000.0,-1.0,46000.0,-1.0,6550.0,44900.0,66455.0,209010.0,-1.0,5600.0,-1.0,22698.0,-1.0,12600.0,7100.0,-1,-1.0,23.0,1000.0,3000.0,-1.0,20000.0,320389.0,-1.0,-1.0,2000.0,7500.0,1082086.0,500.0,570.0,198000.0,2105.0,2400.0,-1.0,-1.0,6300.0,-1.0
1969,40.0,1288318.0,4100.0,4540.0,13119.0,5000.0,-1.0,43000.0,-1.0,2000.0,52500.0,61728.0,185119.0,-1.0,7400.0,-1.0,21355.0,-1.0,16900.0,6300.0,-1,-1.0,120.0,1000.0,3000.0,-1.0,18000.0,375874.0,-1.0,-1.0,2000.0,8800.0,1385103.0,238.0,400.0,172000.0,3980.0,2000.0,-1.0,-1.0,9400.0,-1.0
1970,50.0,1179640.0,2200.0,6340.0,8198.0,6800.0,-1.0,49000.0,-1.0,2000.0,50000.0,53144.0,165198.0,-1.0,15600.0,-1.0,22353.0,-1.0,15611.0,6265.0,-1,-1.0,213.0,1000.0,2000.0,-1.0,21000.0,382840.0,-1.0,-1.0,2000.0,6000.0,1262280.0,416.0,798.0,157000.0,2980.0,1700.0,-1.0,-1.0,8000.0,-1.0
