,Philippines,Panama,Madagascar,Togo,United Republic of Tanzania,Burundi,Thailand,Costa Rica,Senegal,Solomon Islands,Papua New Guinea,Suriname,Benin,Equatorial Guinea,China,Cambodia,Paraguay,Honduras,Colombia,Timor-Leste,Central African Republic,Gabon,Ecuador,Indonesia,Angola,Venezuela (Bolivarian Republic of),Sao Tome and Principe,Malaysia,Mexico,Melanesia,Nicaragua,Democratic Republic of the Congo,Nigeria,Congo,Dominican Republic,Brazil,Peru,Gambia,Ghana,Guinea,"China, mainland",Sierra Leone,Guinea-Bissau,Côte d'Ivoire,Cameroon,Guatemala,Liberia
1961,60.0,-1.0,,12000.0,860.0,600.0,205.0,1200.0,4914.0,40.0,,,53916.0,1500.0,10000.0,,6667.0,1050.0,500.0,,969.0,180.0,5000.0,34331.0,22300.0,,425.0,24600.0,25304.0,40.0,,132000.0,437000.0,7420.0,-1.0,129987.0,,1613.0,12500.0,28000.0,10000.0,58690.0,16652.0,13100.0,29500.0,,12950.0
1962,60.0,-1.0,,11000.0,2108.0,600.0,205.0,1700.0,5587.0,40.0,,,42344.0,1600.0,10000.0,,6889.0,1110.0,700.0,,912.0,180.0,5500.0,32831.0,22000.0,,426.0,28300.0,29298.0,40.0,,127000.0,368000.0,7717.0,-1.0,148827.0,,1864.0,13000.0,30000.0,10000.0,61965.0,17638.0,11000.0,28400.0,,8550.0
1963,60.0,-1.0,,13000.0,1532.0,600.0,205.0,2200.0,4200.0,40.0,,,50144.0,2000.0,10000.0,,6889.0,1125.0,750.0,,1229.0,200.0,5500.0,32606.0,23000.0,,360.0,30600.0,23558.0,40.0,,119000.0,420000.0,9615.0,-1.0,155349.0,,1730.0,13500.0,34000.0,10000.0,53634.0,12356.0,10600.0,38300.0,,6050.0
1964,60.0,-1.0,,15000.0,1555.0,600.0,205.0,2100.0,5400.0,40.0,,,60638.0,2900.0,10000.0,,9085.0,1240.0,850.0,,1104.0,206.0,5800.0,34200.0,23500.0,,351.0,30600.0,25740.0,40.0,,108000.0,408000.0,7526.0,-1.0,168167.0,,1332.0,14000.0,32000.0,10000.0,52995.0,9076.0,13200.0,41700.0,,6900.0
1965,60.0,-1.0,,16000.0,954.0,600.0,205.0,2200.0,5000.0,40.0,,,49874.0,2289.0,10000.0,,11332.0,1400.0,900.0,,1400.0,385.0,6800.0,32500.0,19400.0,,354.0,35100.0,25923.0,40.0,,82000.0,462000.0,5930.0,-1.0,186325.0,,1541.0,22100.0,27000.0,10000.0,50065.0,8995.0,16500.0,48200.0,,12200.0
1966,120.0,-1.0,,17000.0,1063.0,600.0,205.0,2500.0,4500.0,40.0,,,51802.0,1600.0,15000.0,,13896.0,1535.0,1000.0,933.0,1285.0,288.0,6200.0,35000.0,19700.0,,353.0,44130.0,26066.0,40.0,,83000.0,421000.0,4081.0,-1.0,187301.0,,1904.0,27000.0,28000.0,15000.0,56134.0,8226.0,11800.0,36800.0,,13500.0
1967,120.0,-1.0,,13500.0,1084.0,600.0,205.0,2700.0,7000.0,40.0,,,38376.0,1700.0,18000.0,,11452.0,1700.0,3400.0,950.0,1000.0,263.0,7500.0,34230.0,21500.0,,332.0,50755.0,23174.0,40.0,,101900.0,241000.0,4358.0,-1.0,191764.0,,2346.0,35000.0,30000.0,18000.0,21799.0,10242.0,17000.0,49600.0,,14050.0
1968,120.0,-1.0,,13000.0,1035.0,800.0,205.0,3000.0,8100.0,40.0,,,57142.0,2000.0,22000.0,,13485.0,1890.0,6000.0,969.0,1200.0,445.0,9000.0,37486.0,17300.0,,271.0,62667.0,25272.0,40.0,400.0,102300.0,214000.0,4062.0,-1.0,193044.0,,1972.0,34000.0,33000.0,22000.0,67642.0,8031.0,13900.0,50900.0,,12100.0
1969,250.0,-1.0,,22000.0,1026.0,1000.0,205.0,3100.0,7600.0,80.0,,,64128.0,2000.0,25000.0,,12667.0,2100.0,6000.0,988.0,1800.0,265.0,6000.0,41669.0,17500.0,,258.0,78319.0,18611.0,80.0,400.0,110000.0,255000.0,2773.0,-1.0,198981.0,,2487.0,34000.0,35000.0,25000.0,56300.0,9339.0,17000.0,45912.0,,11780.0
1970,400.0,-1.0,,14772.0,1080.0,1160.0,205.0,3200.0,9000.0,80.0,,,60930.0,2000.0,28000.0,,15556.0,2330.0,7000.0,1006.0,1800.0,280.0,4500.0,48763.0,16600.0,,223.0,92371.0,14002.0,80.0,400.0,95900.0,299300.0,1795.0,-1.0,235243.0,-1.0,1581.0,37000.0,35000.0,28000.0,67200.0,6787.0,21000.0,39864.0,,13350.0
1971,500.0,-1.0,,18150.0,5213.0,1190.0,205.0,3200.0,6800.0,100.0,300.0,,79312.0,2000.0,32000.0,,20445.0,2120.0,7500.0,1027.0,1800.0,222.0,6500.0,56507.0,13500.0,,205.0,126298.0,14929.0,400.0,400.0,91400.0,307000.0,2499.0,-1.0,221574.0,-1.0,2243.0,37000.0,35000.0,32000.0,56800.0,7298.0,20000.0,36436.0,,18200.0
