,Cuba,Jamaica,Pacific Islands Trust Territory,American Samoa,Vanuatu,Haiti,Micronesia (Federated States of),Fiji,Dominica,Panama,Madagascar,Togo,United Republic of Tanzania,Philippines,Samoa,Belize,Guyana,Costa Rica,Solomon Islands,Uganda,Papua New Guinea,Comoros,Suriname,Benin,Equatorial Guinea,Tonga,China,El Salvador,Sierra Leone,Honduras,Colombia,Timor-Leste,Central African Republic,Gabon,India,Saint Lucia,"China, Taiwan Province of",Ecuador,Indonesia,Angola,Trinidad and Tobago,Sao Tome and Principe,Malaysia,Grenada,Mexico,Melanesia,Nicaragua,Democratic Republic of the Congo,Nigeria,Micronesia,Congo,Martinique,Dominican Republic,Brazil,Bolivia (Plurinational State of),Thailand,Saint Vincent and the Grenadines,Peru,Ghana,Guinea,Guadeloupe,Sri Lanka,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Polynesia,Cameroon,Guatemala,Liberia
1961,12500.0,7170.0,40.0,63.0,1300.0,4500.0,,35.0,500.0,4500.0,1800.0,15000.0,1000.0,9040.0,8903.0,80.0,700.0,29000.0,24.0,900.0,27465.0,100.0,848.0,,90000.0,,,400.0,6000.0,209.0,33000.0,150.0,300.0,10000.0,-1.0,430.0,,220000.0,6690.0,1600.0,20000.0,31000.0,1300.0,5000.0,67994.0,28824.0,3800.0,15000.0,700000.0,40.0,3000.0,200.0,75000.0,474270.0,3452.0,-1.0,250.0,5600.0,1756000.0,15000.0,500.0,13971.0,70000.0,260000.0,8966.0,380000.0,1400.0,6500.0
1962,12500.0,7340.0,40.0,80.0,1600.0,4500.0,,35.0,500.0,4200.0,1800.0,15000.0,1000.0,9740.0,12141.0,10.0,785.0,29900.0,50.0,1000.0,30690.0,85.0,1122.0,,90000.0,,,400.0,10000.0,192.0,34000.0,150.0,500.0,10000.0,-1.0,290.0,,220000.0,7375.0,1600.0,20000.0,32000.0,1300.0,5000.0,68073.0,32375.0,3800.0,15000.0,700000.0,40.0,3000.0,200.0,75000.0,464762.0,3484.0,-1.0,300.0,5500.0,1800000.0,15000.0,800.0,12048.0,70000.0,277000.0,12221.0,380000.0,1400.0,6500.0
1963,13500.0,6300.0,40.0,100.0,2000.0,5000.0,,45.0,500.0,4000.0,1800.0,17000.0,1000.0,9170.0,10117.0,240.0,800.0,30000.0,80.0,1000.0,32000.0,110.0,941.0,,90000.0,,,400.0,7000.0,251.0,35000.0,150.0,450.0,10000.0,-1.0,290.0,,225000.0,6659.0,1400.0,20000.0,32000.0,1000.0,5000.0,68512.0,34125.0,3800.0,15000.0,700000.0,40.0,3000.0,200.0,80000.0,469644.0,3176.0,-1.0,350.0,5560.0,1820000.0,15000.0,800.0,10790.0,70000.0,292000.0,10217.0,380000.0,1400.0,6500.0
1964,7000.0,8300.0,40.0,100.0,1000.0,5000.0,,90.0,500.0,3800.0,1840.0,22000.0,1000.0,9630.0,10117.0,210.0,812.0,30000.0,125.0,1100.0,56300.0,116.0,827.0,,90000.0,,,400.0,7000.0,261.0,37000.0,150.0,550.0,10000.0,-1.0,290.0,,163000.0,7662.0,1400.0,20000.0,32000.0,2000.0,5000.0,68500.0,57515.0,3800.0,14000.0,700000.0,40.0,3000.0,200.0,80000.0,487136.0,3206.0,-1.0,400.0,4760.0,1848000.0,15000.0,500.0,9955.0,70000.0,308000.0,10217.0,380000.0,1700.0,9500.0
1965,11000.0,6100.0,45.0,100.0,1400.0,5400.0,,80.0,400.0,3600.0,2055.0,22000.0,1000.0,9390.0,6000.0,220.0,817.0,30000.0,160.0,1100.0,40000.0,80.0,1025.0,,90000.0,,,400.0,7000.0,272.0,37400.0,150.0,900.0,10000.0,-1.0,150.0,,240000.0,8431.0,1400.0,20000.0,32000.0,2000.0,4500.0,69756.0,41640.0,3800.0,14000.0,700000.0,45.0,3000.0,200.0,70000.0,482317.0,3028.0,-1.0,500.0,4770.0,1830000.0,15000.0,500.0,10783.0,70000.0,327000.0,6100.0,380000.0,1700.0,8500.0
1966,11000.0,5100.0,50.0,90.0,1400.0,4500.0,,100.0,400.0,3500.0,2235.0,22000.0,1000.0,9400.0,8000.0,90.0,826.0,30000.0,200.0,1200.0,37000.0,160.0,876.0,,90000.0,,,400.0,10000.0,286.0,38000.0,150.0,815.0,22600.0,-1.0,140.0,,180000.0,7783.0,1400.0,20000.0,32000.0,2000.0,4500.0,70015.0,38700.0,3800.0,15000.0,700000.0,50.0,3000.0,200.0,75000.0,455866.0,3056.0,-1.0,500.0,4399.0,1350000.0,15000.0,500.0,11403.0,69850.0,342800.0,8090.0,395000.0,1700.0,10500.0
1967,9000.0,4100.0,50.0,80.0,1400.0,4800.0,,80.0,400.0,3400.0,2245.0,25000.0,1000.0,8800.0,8000.0,100.0,793.0,30000.0,125.0,1400.0,45000.0,116.0,744.0,,90000.0,,,400.0,9000.0,352.0,37000.0,150.0,937.0,22000.0,-1.0,140.0,,200000.0,9176.0,1400.0,20000.0,32000.0,3000.0,4500.0,68951.0,46605.0,3900.0,15000.0,700000.0,50.0,3000.0,200.0,75000.0,473078.0,3334.0,-1.0,500.0,4400.0,1450000.0,15000.0,500.0,11018.0,69937.0,358000.0,8080.0,380000.0,2400.0,10000.0
1968,11000.0,3850.0,50.0,70.0,1800.0,4500.0,,180.0,400.0,3300.0,2270.0,28000.0,1000.0,9220.0,7082.0,150.0,796.0,32500.0,215.0,2000.0,52400.0,110.0,601.0,,102000.0,,,400.0,12000.0,349.0,39000.0,150.0,900.0,25000.0,-1.0,140.0,,210000.0,9470.0,2000.0,20000.0,33000.0,3000.0,5500.0,69894.0,54595.0,4000.0,15000.0,700000.0,50.0,3000.0,200.0,75000.0,432691.0,3611.0,-1.0,500.0,3667.0,1300000.0,15000.0,500.0,9339.0,69754.0,371100.0,7152.0,370000.0,1700.0,10000.0
1969,8800.0,3850.0,50.0,70.0,1200.0,4800.0,,135.0,400.0,3300.0,2400.0,30000.0,1000.0,9200.0,6515.0,50.0,796.0,31200.0,200.0,2100.0,55396.0,112.0,595.0,,90000.0,,,400.0,9000.0,377.0,41300.0,150.0,920.0,25000.0,-1.0,140.0,,228355.0,10041.0,2000.0,20000.0,33000.0,3000.0,5000.0,72908.0,56931.0,4000.0,16000.0,700000.0,50.0,3000.0,200.0,70000.0,437637.0,3650.0,-1.0,500.0,4231.0,1450000.0,15000.0,500.0,9983.0,70496.0,386800.0,6585.0,374000.0,1400.0,9000.0
1970,9000.0,5300.0,50.0,60.0,1800.0,5500.0,,130.0,400.0,3221.0,2800.0,33000.0,1000.0,8400.0,7000.0,80.0,773.0,30000.0,260.0,2000.0,54389.0,110.0,511.0,,90000.0,,,400.0,12000.0,300.0,45700.0,150.0,960.0,25000.0,-1.0,140.0,,228262.0,8107.0,4000.0,20000.0,33000.0,4000.0,5000.0,75934.0,56579.0,4500.0,21600.0,700000.0,50.0,3000.0,,105300.0,443916.0,3700.0,-1.0,500.0,4251.0,1451000.0,15000.0,500.0,11256.0,70594.0,404300.0,7060.0,390000.0,1400.0,9000.0
1971,9000.0,4000.0,50.0,60.0,1000.0,6200.0,,180.0,400.0,3200.0,3245.0,34000.0,1000.0,7400.0,7284.0,90.0,777.0,30000.0,240.0,2000.0,55262.0,60.0,428.0,,90000.0,,,400.0,11000.0,300.0,49000.0,150.0,1100.0,25000.0,-1.0,140.0,,219077.0,9163.0,2100.0,20000.0,33000.0,7400.0,4500.0,78358.0,56682.0,4500.0,21200.0,700000.0,50.0,4000.0,,90200.0,447693.0,3285.0,-1.0,500.0,4304.0,1500000.0,15000.0,500.0,9834.0,72584.0,422800.0,7344.0,396922.0,1700.0,11774.0
1972,12000.0,4750.0,50.0,60.0,2300.0,6600.0,,200.0,600.0,3200.0,3100.0,30000.0,1000.0,6900.0,5000.0,100.0,728.0,18000.0,130.0,2000.0,59187.0,110.0,396.0,,70000.0,,,400.0,16000.0,300.0,52600.0,150.0,1100.0,25000.0,-1.0,140.0,,217916.0,10607.0,2100.0,20000.0,33000.0,6500.0,4800.0,78365.0,61817.0,4500.0,21000.0,700000.0,50.0,4144.0,,101700.0,430184.0,4685.0,-1.0,500.0,4381.0,1450000.0,15000.0,500.0,19740.0,67408.0,440500.0,5060.0,323973.0,1800.0,14000.0
1973,11000.0,4200.0,50.0,60.0,2300.0,7000.0,,50.0,700.0,3200.0,3000.0,30000.0,1000.0,7100.0,5000.0,150.0,647.0,22500.0,170.0,2000.0,61600.0,60.0,403.0,,70000.0,,,400.0,18000.0,300.0,54900.0,150.0,1200.0,25000.0,-1.0,270.0,,213106.0,8044.0,3000.0,20000.0,33000.0,7000.0,4900.0,80316.0,64120.0,4500.0,20400.0,700000.0,50.0,4100.0,,100000.0,416175.0,4525.0,-1.0,550.0,4705.0,1400000.0,15000.0,500.0,9655.0,70346.0,497000.0,5060.0,355692.0,1800.0,10000.0
1974,8700.0,3600.0,52.0,60.0,2300.0,7000.0,,100.0,800.0,3200.0,3415.0,36000.0,1200.0,6900.0,5300.0,160.0,730.0,20305.0,210.0,2000.0,70100.0,80.0,396.0,,70000.0,,,350.0,14000.0,300.0,57900.0,150.0,1300.0,25000.0,-1.0,140.0,,221726.0,8648.0,2100.0,20000.0,33000.0,12000.0,5000.0,82373.0,72710.0,4000.0,19600.0,700000.0,52.0,4100.0,,107000.0,508570.0,4615.0,-1.0,550.0,4984.0,1400000.0,15000.0,400.0,8978.0,69990.0,471000.0,5360.0,337672.0,1800.0,14000.0
1975,8000.0,3600.0,54.0,60.0,2300.0,6000.0,,150.0,950.0,4000.0,3610.0,36000.0,1500.0,6570.0,5000.0,170.0,750.0,18077.0,400.0,2000.0,76700.0,60.0,401.0,,70000.0,,,400.0,15000.0,300.0,52600.0,150.0,1600.0,22000.0,-1.0,140.0,,229544.0,7376.0,2100.0,20000.0,33000.0,17000.0,5000.0,72364.0,79550.0,4750.0,20000.0,700000.0,54.0,4110.0,,88300.0,450949.0,4770.0,-1.0,550.0,5221.0,1400000.0,15000.0,400.0,8482.0,73973.0,498000.0,5060.0,350000.0,1800.0,9500.0
1976,8700.0,3600.0,56.0,60.0,2300.0,6000.0,,180.0,1000.0,4500.0,3820.0,35500.0,1350.0,4010.0,5000.0,170.0,750.0,17390.0,230.0,2000.0,75219.0,60.0,390.0,,70000.0,,,400.0,14000.0,300.0,54500.0,150.0,1300.0,20500.0,-1.0,140.0,,229500.0,8800.0,2100.0,20000.0,33000.0,22000.0,5500.0,72377.0,77929.0,4750.0,20100.0,700000.0,56.0,4155.0,,94600.0,407329.0,5170.0,-1.0,550.0,5160.0,1300000.0,15000.0,400.0,8417.0,72513.0,526000.0,5060.0,408371.0,1800.0,8500.0
1977,8000.0,3600.0,58.0,60.0,2300.0,6000.0,,180.0,2000.0,3000.0,4000.0,35000.0,1250.0,4500.0,5000.0,180.0,750.0,20000.0,350.0,2000.0,80000.0,60.0,390.0,,70000.0,,,350.0,13000.0,500.0,57500.0,150.0,1300.0,20000.0,380.0,140.0,,238000.0,11208.0,2100.0,20000.0,33000.0,27000.0,5500.0,64412.0,82830.0,4787.0,19800.0,700000.0,58.0,4201.0,,98500.0,412743.0,5295.0,-1.0,550.0,7805.0,1200000.0,15000.0,400.0,8533.0,69730.0,698000.0,5060.0,431058.0,8000.0,9200.0
1978,10085.0,3650.0,60.0,55.0,2700.0,8000.0,,220.0,2300.0,4800.0,5265.0,35000.0,2400.0,4150.0,5000.0,180.0,750.0,30000.0,470.0,2000.0,82000.0,60.0,208.0,,71000.0,,,360.0,17000.0,500.0,60500.0,150.0,1600.0,21000.0,630.0,140.0,,287190.0,12553.0,1900.0,20000.0,33000.0,22723.0,6350.0,64891.0,85390.0,3100.0,19600.0,700000.0,60.0,4200.0,,94339.0,443866.0,3980.0,-1.0,550.0,8147.0,1200000.0,15000.0,400.0,8560.0,69216.0,740000.0,5055.0,425302.0,8500.0,16000.0
1979,10434.0,3000.0,62.0,55.0,2700.0,8000.0,,257.0,1300.0,5200.0,5765.0,35000.0,1800.0,4500.0,5000.0,180.0,750.0,30000.0,600.0,2000.0,75000.0,60.0,214.0,,71000.0,,,365.0,22000.0,500.0,62700.0,150.0,1100.0,21000.0,1000.0,150.0,,269994.0,16000.0,1900.0,20000.0,33000.0,28498.0,6400.0,66328.0,78557.0,3100.0,19900.0,700000.0,62.0,4200.0,,99874.0,453569.0,4030.0,-1.0,560.0,8532.0,1200000.0,15000.0,80.0,7720.0,70415.0,784700.0,5055.0,429161.0,3000.0,15000.0
