,Ukraine,Democratic People's Republic of Korea,Kenya,Bolivia (Plurinational State of),Peru,Georgia,Serbia and Montenegro,Cameroon,Republic of Korea,Switzerland,Romania,Azerbaijan,Spain,Brazil,Bosnia and Herzegovina,China,The former Yugoslav Republic of Macedonia,Japan,Latvia,Albania,Portugal,Slovakia,Malawi,Trinidad and Tobago,Chile,Hungary,Greece,USSR,Bulgaria,Yugoslav SFR,France,Zimbabwe,Slovenia,Poland,"China, mainland",Russian Federation,Italy,Turkey
1961,-1.0,2500.0,-1,-1.0,-1.0,-1,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,99000.0,199.0,-1.0,129000.0,-1.0,27500.0,-1.0,-1.0,82000.0,-1.0,-1,-1,-1.0,800.0,12634.0,1400.0,131.0,5250.0,71230.0,-1.0,-1.0,-1.0,129000.0,-1,123854.0,38400.0
1962,-1.0,2800.0,-1,-1.0,-1.0,-1,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,70000.0,201.0,-1.0,130000.0,-1.0,28100.0,-1.0,-1.0,96000.0,-1.0,-1,-1,-1.0,1500.0,15526.0,1400.0,98.0,1600.0,92920.0,-1.0,-1.0,-1.0,130000.0,-1,107779.0,35200.0
1963,-1.0,3000.0,-1,-1.0,-1.0,-1,-1.0,-1.0,700.0,-1.0,-1.0,-1.0,79000.0,221.0,-1.0,132000.0,-1.0,23600.0,-1.0,-1.0,64000.0,-1.0,-1,-1,-1.0,2500.0,15168.0,1800.0,99.0,1400.0,93670.0,-1.0,-1.0,-1.0,132000.0,-1,113284.0,31640.0
1964,-1.0,3300.0,-1,-1.0,-1.0,-1,-1.0,-1.0,800.0,-1.0,-1.0,-1.0,87000.0,224.0,-1.0,133000.0,-1.0,28500.0,-1.0,-1.0,90000.0,-1.0,-1,-1,-1.0,1700.0,13401.0,2000.0,103.0,4100.0,89850.0,-1.0,-1.0,-1.0,133000.0,-1,96832.0,32000.0
1965,-1.0,3400.0,-1,-1.0,-1.0,-1,-1.0,-1.0,1000.0,-1.0,-1.0,-1.0,88000.0,225.0,-1.0,135000.0,-1.0,26200.0,-1.0,-1.0,47000.0,-1.0,-1,-1,-1.0,1231.0,14636.0,2500.0,77.0,7800.0,82460.0,-1.0,-1.0,-1.0,135000.0,-1,86549.0,33000.0
1966,-1.0,3500.0,-1,-1.0,-1.0,-1,-1.0,-1.0,1134.0,-1.0,-1.0,-1.0,76000.0,145.0,-1.0,136000.0,-1.0,33600.0,-1.0,-1.0,93895.0,-1.0,-1,-1,-1.0,2242.0,15597.0,2200.0,88.0,4800.0,81190.0,-1.0,-1.0,-1.0,136000.0,-1,91440.0,30000.0
1967,-1.0,3600.0,-1,-1.0,-1.0,-1,-1.0,-1.0,1201.0,-1.0,-1.0,-1.0,65000.0,146.0,-1.0,138000.0,-1.0,39700.0,-1.0,-1.0,89670.0,-1.0,-1,-1,-1.0,1985.0,15650.0,2600.0,100.0,6400.0,67811.0,-1.0,-1.0,-1.0,138000.0,-1,89154.0,34000.0
1968,-1.0,3700.0,-1,-1.0,-1.0,-1,-1.0,-1.0,1793.0,-1.0,-1.0,-1.0,82000.0,138.0,-1.0,140000.0,-1.0,48200.0,-1.0,-1.0,72515.0,-1.0,-1,-1,-1.0,2294.0,18635.0,3000.0,200.0,2700.0,61060.0,-1.0,-1.0,-1.0,140000.0,-1,71344.0,43000.0
1969,-1.0,3800.0,-1,-1.0,-1.0,-1,-1.0,-1.0,1734.0,-1.0,-1.0,-1.0,82000.0,121.0,-1.0,143000.0,-1.0,48600.0,-1.0,-1.0,81721.0,-1.0,-1,-1,-1.0,2320.0,15480.0,2500.0,100.0,4000.0,65900.0,-1.0,-1.0,-1.0,143000.0,-1,72382.0,45500.0
1970,-1.0,4000.0,-1,-1.0,-1.0,-1,-1.0,-1.0,2333.0,-1.0,-1.0,-1.0,81700.0,117.0,-1.0,145000.0,-1.0,48300.0,-1.0,-1.0,91663.0,-1.0,-1,-1,-1.0,2389.0,17469.0,3600.0,100.0,6500.0,47670.0,-1.0,-1.0,-1.0,145000.0,-1,66431.0,48000.0
1971,-1.0,4100.0,-1,-1.0,-1.0,-1,-1.0,-1.0,2789.0,-1.0,-1.0,-1.0,75000.0,119.0,-1.0,146000.0,-1.0,49900.0,-1.0,-1.0,25900.0,-1.0,-1,-1,-1.0,2444.0,17106.0,3700.0,100.0,6500.0,44140.0,-1.0,-1.0,-1.0,146000.0,-1,61800.0,48000.0
1972,-1.0,4200.0,-1,-1.0,-1.0,-1,-1.0,-1.0,2905.0,-1.0,-1.0,-1.0,72600.0,127.0,-1.0,148000.0,-1.0,55800.0,-1.0,-1.0,46500.0,-1.0,-1,-1,-1.0,2306.0,17679.0,3300.0,200.0,5100.0,37100.0,-1.0,-1.0,-1.0,148000.0,-1,57496.0,50600.0
1973,-1.0,4300.0,-1,-1.0,-1.0,-1,-1.0,-1.0,2949.0,-1.0,-1.0,-1.0,65300.0,92.0,-1.0,150000.0,-1.0,63100.0,-1.0,-1.0,46800.0,-1.0,-1,-1,-1.0,2796.0,19876.0,4200.0,200.0,6800.0,44460.0,-1.0,-1.0,-1.0,150000.0,-1,71316.0,52000.0
1974,-1.0,4500.0,-1,-1.0,-1.0,-1,-1.0,-1.0,3449.0,-1.0,-1.0,-1.0,45000.0,-1.0,-1.0,145000.0,-1.0,59000.0,-1.0,-1.0,32400.0,-1.0,-1,-1,-1.0,2754.0,14793.0,3700.0,150.0,3900.0,30320.0,-1.0,-1.0,-1.0,145000.0,-1,60548.0,48000.0
1975,-1.0,4600.0,-1,-1.0,-1.0,-1,-1.0,-1.0,7697.0,-1.0,-1.0,-1.0,25000.0,-1.0,-1.0,142000.0,-1.0,59800.0,-1.0,-1.0,32724.0,-1.0,-1,-1,-1.0,2907.0,16287.0,4200.0,150.0,1200.0,39220.0,-1.0,-1.0,-1.0,142000.0,-1,69303.0,47000.0
