,"China, Taiwan Province of",Romania,Norway,Philippines,Sri Lanka,The former Yugoslav Republic of Macedonia,Belgium,Japan,Ethiopia,Kenya,Luxembourg,Costa Rica,Republic of Moldova,Italy,Mauritius,South Africa,Latvia,Sweden,Albania,Uzbekistan,China,Finland,Slovakia,Niger,Australia & New Zealand,Morocco,Slovenia,Congo,Canada,Denmark,Spain,Kyrgyzstan,Germany,New Zealand,Malta,Austria,Indonesia,Poland,Switzerland,Belgium-Luxembourg,Togo,Greece,United Kingdom,France,Republic of Korea,Zimbabwe,Croatia,Hungary,Turkey,Cameroon,Iran (Islamic Republic of),Peru,Mexico,"China, mainland",Yemen,Ireland,Cyprus,Kazakhstan,Rwanda,Lithuania,Portugal,Netherlands
1961,18263.0,-1.0,,-1.0,2005.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,23263.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,10000.0,,,,-1.0,-1.0,26000.0,-1.0,-1.0,50000.0,,,,392370.0,-1.0,-1.0,,-1.0,225000.0,,-1.0,-1.0,-1.0,5000.0,,,,,-1.0,,,
1962,18362.0,-1.0,,-1.0,789.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,23362.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,10000.0,,,,-1.0,-1.0,28500.0,-1.0,-1.0,50000.0,,,,392230.0,-1.0,-1.0,,-1.0,227000.0,,-1.0,-1.0,-1.0,5000.0,,,,,-1.0,,,
1963,18682.0,-1.0,,-1.0,1783.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,23682.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,10000.0,,,,-1.0,-1.0,30000.0,-1.0,-1.0,60000.0,,,,452760.0,-1.0,-1.0,,-1.0,229000.0,,-1.0,-1.0,-1.0,5000.0,,,,,-1.0,,,
1964,20054.0,-1.0,,-1.0,1039.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,25854.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,14951.0,,,,-1.0,-1.0,31000.0,-1.0,-1.0,52500.0,,,,388550.0,-1.0,-1.0,,-1.0,231000.0,,-1.0,-1.0,-1.0,5800.0,,,,,-1.0,,,
1965,19111.0,-1.0,,-1.0,1087.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,25111.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,16953.0,,,,-1.0,-1.0,32500.0,-1.0,-1.0,59600.0,,,,415370.0,-1.0,-1.0,,-1.0,233000.0,,-1.0,-1.0,-1.0,6000.0,,,,,-1.0,,,
1966,14558.0,-1.0,2531.0,-1.0,2596.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,20558.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,12512.0,,,,-1.0,-1.0,33000.0,-1.0,-1.0,59700.0,,,,407270.0,-1.0,-1.0,,-1.0,235000.0,,-1.0,-1.0,-1.0,6000.0,,,,,-1.0,,,
1967,16010.0,-1.0,2501.0,-1.0,2675.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,22510.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,13934.0,,,,-1.0,-1.0,34000.0,-1.0,-1.0,85600.0,,,,416530.0,-1.0,-1.0,,-1.0,237000.0,,-1.0,-1.0,-1.0,6500.0,,,,,-1.0,,,
1968,18512.0,-1.0,2609.0,-1.0,1555.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,25012.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,15865.0,,,,-1.0,-1.0,34230.0,-1.0,-1.0,65400.0,,,,410950.0,-1.0,-1.0,,-1.0,239447.0,,-1.0,-1.0,-1.0,6500.0,,,,,-1.0,,,
1969,21873.0,-1.0,2712.0,-1.0,1021.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,28873.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,17477.0,,,,-1.0,-1.0,34000.0,-1.0,-1.0,55000.0,,,,418550.0,-1.0,-1.0,,-1.0,272299.0,,-1.0,-1.0,-1.0,7000.0,,,,,-1.0,,,
1970,16166.0,-1.0,2771.0,-1.0,2111.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,23166.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,19566.0,,,,-1.0,-1.0,34000.0,-1.0,-1.0,44000.0,,,,410360.0,-1.0,-1.0,,-1.0,300000.0,,-1.0,-1.0,-1.0,7000.0,,,,,-1.0,,,
