,Saint Kitts and Nevis,Belize,Burundi,Melanesia,Niue,Cameroon,Burkina Faso,Comoros,Sudan (former),Dominican Republic,Philippines,South Sudan,Martinique,Benin,United Republic of Tanzania,Ethiopia,Kenya,Liberia,Japan,Sao Tome and Principe,Togo,Venezuela (Bolivarian Republic of),Papua New Guinea,Antigua and Barbuda,New Caledonia,Guyana,Samoa,Barbados,Democratic Republic of the Congo,Sudan,American Samoa,Nigeria,Tonga,Saint Lucia,Haiti,Costa Rica,Guinea,Cuba,Guadeloupe,Dominica,Fiji,Chad,Rwanda,Wallis and Futuna Islands,Ethiopia PDR,Congo,Gabon,Cayman Islands,Central African Republic,Mauritania,Germany,Côte d'Ivoire,Colombia,Mali,Jamaica,Solomon Islands,Trinidad and Tobago,Puerto Rico,Polynesia,Panama,Saint Vincent and the Grenadines,Portugal,Brazil,Ghana,Grenada,Nicaragua
1961,380.0,-1.0,5700.0,141300.0,100.0,150000.0,22530.0,-1.0,120000.0,20700.0,35000.0,-1.0,19000.0,614172.0,5000.0,-1.0,-1.0,13000.0,54000.0,500.0,300000.0,45496.0,120000.0,20.0,8500.0,-1.0,600.0,12600.0,60000.0,-1.0,60.0,3500000.0,28000.0,2032.0,80000.0,-1.0,50000.0,-1.0,19500.0,2000.0,800.0,110000.0,1000.0,450.0,197000.0,30000.0,50000.0,-1.0,100000.0,1800.0,-1,1150000.0,118000.0,7000.0,42918.0,12000.0,1878.0,13199.0,29210.0,10500.0,2000.0,1500.0,85000.0,1100000.0,450.0,-1.0
1962,380.0,-1.0,5700.0,147100.0,100.0,150000.0,22530.0,-1.0,130000.0,22900.0,37236.0,-1.0,19000.0,494485.0,5000.0,-1.0,-1.0,13000.0,54000.0,500.0,290000.0,45182.0,125000.0,25.0,9000.0,-1.0,750.0,13136.0,70000.0,-1.0,62.0,3500000.0,29000.0,2743.0,80000.0,-1.0,50000.0,-1.0,19500.0,2000.0,800.0,112000.0,1000.0,450.0,198000.0,31000.0,48000.0,-1.0,120000.0,1900.0,-1,1200000.0,123000.0,7400.0,49550.0,12300.0,2294.0,12935.0,30362.0,10600.0,2000.0,1500.0,88000.0,1100000.0,460.0,-1.0
1963,380.0,-1.0,5700.0,149300.0,100.0,148000.0,22000.0,-1.0,130000.0,22000.0,38045.0,-1.0,20000.0,495774.0,5000.0,-1.0,-1.0,13000.0,60000.0,500.0,280000.0,44898.0,127000.0,30.0,9000.0,-1.0,750.0,13908.0,75000.0,-1.0,50.0,4500000.0,29000.0,1626.0,83000.0,-1.0,50000.0,-1.0,23000.0,2100.0,800.0,114000.0,1100.0,450.0,225400.0,32000.0,43000.0,-1.0,130000.0,1900.0,-1,1230000.0,126000.0,7700.0,49895.0,12500.0,2680.0,14379.0,30350.0,10900.0,2000.0,1500.0,93000.0,1099000.0,470.0,-1.0
1964,380.0,-1.0,5700.0,152500.0,100.0,146999.0,20000.0,-1.0,140000.0,22300.0,33237.0,-1.0,20000.0,552680.0,5000.0,-1.0,-1.0,13000.0,71700.0,600.0,277000.0,46222.0,130000.0,35.0,9000.0,-1.0,750.0,13944.0,80000.0,-1.0,100.0,5000000.0,29000.0,1119.0,85000.0,-1.0,55000.0,-1.0,23000.0,2150.0,800.0,115000.0,1200.0,450.0,228500.0,32000.0,38000.0,-1.0,120000.0,2000.0,-1,1260000.0,130000.0,8100.0,54791.0,12700.0,2540.0,13517.0,30400.0,11000.0,2020.0,1700.0,98000.0,1153000.0,480.0,-1.0
1965,390.0,-1.0,5700.0,158800.0,100.0,148528.0,20000.0,-1.0,150000.0,22600.0,27797.0,-1.0,20000.0,542635.0,5500.0,-1.0,-1.0,13000.0,72000.0,600.0,295000.0,46659.0,133000.0,40.0,12000.0,-1.0,800.0,10000.0,90000.0,-1.0,100.0,6000000.0,29200.0,1829.0,88000.0,-1.0,55000.0,-1.0,14300.0,2200.0,800.0,116000.0,1250.0,450.0,234400.0,35000.0,40000.0,-1.0,100000.0,2000.0,-1,1300000.0,133000.0,8300.0,57479.0,13000.0,2400.0,13608.0,30650.0,11800.0,2041.0,2000.0,100000.0,1055000.0,480.0,-1.0
1966,390.0,-1.0,5700.0,162100.0,100.0,161914.0,24000.0,-1.0,150000.0,24942.0,26252.0,-1.0,20000.0,454200.0,6000.0,-1.0,-1.0,13000.0,73500.0,600.0,280000.0,44049.0,138000.0,50.0,10000.0,-1.0,800.0,8680.0,101600.0,-1.0,90.0,6987000.0,30000.0,2000.0,90000.0,-1.0,55000.0,-1.0,25500.0,2250.0,800.0,117000.0,1300.0,450.0,238800.0,38000.0,35000.0,8.0,140000.0,2000.0,-1,1320000.0,139000.0,8500.0,63486.0,13300.0,2629.0,13608.0,31440.0,12400.0,2268.0,2437.0,105000.0,874000.0,490.0,-1.0
1967,390.0,-1.0,5700.0,163370.0,100.0,171991.0,30000.0,-1.0,145000.0,25532.0,26702.0,-1.0,20000.0,564300.0,6000.0,-1.0,-1.0,13000.0,80000.0,600.0,285000.0,43376.0,142000.0,60.0,7000.0,-1.0,800.0,11000.0,113000.0,-1.0,80.0,7806000.0,31000.0,2400.0,90000.0,-1.0,60000.0,-1.0,6180.0,2300.0,870.0,118000.0,1600.0,505.0,243300.0,42000.0,38000.0,9.0,130000.0,2100.0,-1,1350000.0,141000.0,8700.0,74580.0,13500.0,2673.0,14288.0,32485.0,13200.0,2722.0,2508.0,112000.0,1133800.0,495.0,-1.0
1968,390.0,-1.0,5700.0,169900.0,100.0,178023.0,34166.0,-1.0,135000.0,26122.0,24994.0,-1.0,20000.0,647500.0,6000.0,-1.0,-1.0,13000.0,85000.0,600.0,290000.0,44081.0,145000.0,80.0,10000.0,-1.0,850.0,14000.0,155000.0,-1.0,70.0,8233000.0,31000.0,2800.0,90000.0,-1.0,60000.0,-1.0,22500.0,2350.0,1100.0,119000.0,1155.0,510.0,248000.0,44000.0,40000.0,9.0,130000.0,2000.0,-1,1388000.0,144000.0,8900.0,66306.0,13800.0,3099.0,12700.0,32530.0,15100.0,2948.0,1711.0,115000.0,1236000.0,500.0,-1.0
1969,400.0,-1.0,5700.0,173100.0,100.0,161158.0,35000.0,-1.0,130000.0,26711.0,23087.0,-1.0,22000.0,529600.0,7000.0,-1.0,-1.0,13000.0,92000.0,600.0,300000.0,45155.0,150000.0,150.0,8000.0,-1.0,900.0,11004.0,167500.0,-1.0,62.0,9785000.0,31000.0,3000.0,90000.0,-1.0,55000.0,-1.0,22500.0,2400.0,1100.0,120000.0,1860.0,515.0,252900.0,46000.0,40000.0,9.0,120000.0,2100.0,-1,1520000.0,120000.0,9000.0,62556.0,14000.0,3251.0,13381.0,32577.0,14500.0,2642.0,2083.0,120000.0,1325000.0,510.0,-1.0
1970,400.0,-1.0,5800.0,175600.0,100.0,223070.0,35000.0,-1.0,120000.0,27301.0,24413.0,-1.0,22000.0,515820.0,7000.0,-1.0,-1.0,13500.0,98000.0,600.0,290000.0,41020.0,152000.0,230.0,8500.0,-1.0,900.0,15420.0,161200.0,-1.0,57.0,12033000.0,30000.0,3339.0,94000.0,-1.0,55000.0,-1.0,22000.0,2450.0,900.0,120000.0,3933.0,520.0,258100.0,50000.0,45000.0,10.0,125000.0,2100.0,-1,1551000.0,100000.0,9200.0,80825.0,14200.0,3175.0,13018.0,31577.0,11700.0,2256.0,1789.0,124000.0,909000.0,515.0,-1.0
1971,400.0,-1.0,5900.0,178250.0,100.0,268060.0,40000.0,-1.0,120000.0,27890.0,22318.0,-1.0,23000.0,527500.0,7000.0,-1.0,-1.0,13500.0,113400.0,500.0,300000.0,38852.0,155000.0,280.0,8000.0,-1.0,900.0,14349.0,164800.0,-1.0,54.0,9766000.0,30767.0,3450.0,96000.0,-1.0,60000.0,-1.0,22500.0,2500.0,750.0,121000.0,4302.0,560.0,260000.0,48000.0,45000.0,10.0,125000.0,2100.0,-1,1555000.0,63100.0,9400.0,122864.0,14500.0,3404.0,12247.0,32381.0,14500.0,2948.0,1690.0,128000.0,909000.0,520.0,-1.0
1972,400.0,-1.0,5300.0,182600.0,100.0,337160.0,40000.0,-1.0,115000.0,28434.0,18762.0,-1.0,20000.0,535400.0,7000.0,-1.0,-1.0,13000.0,127600.0,500.0,383200.0,42670.0,158000.0,327.0,9000.0,-1.0,900.0,12043.0,164600.0,-1.0,50.0,6900000.0,31500.0,3580.0,98000.0,-1.0,60000.0,-1.0,22500.0,2550.0,600.0,123000.0,4455.0,560.0,263500.0,46000.0,47000.0,10.0,130000.0,1900.0,-1,1525000.0,70400.0,8800.0,127489.0,15000.0,3315.0,12927.0,33110.0,15000.0,3243.0,2754.0,133000.0,679000.0,450.0,-1.0
