,South Africa,Israel,Australia & New Zealand,Australia,Iraq,Pakistan,Libya,Italy,Qatar,Lebanon,Yemen,Albania,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Morocco,Slovenia,Chile,Malta,Argentina,Colombia,Spain,Syrian Arab Republic,India,Cyprus,Ecuador,Japan,Jordan,Afghanistan,Venezuela (Bolivarian Republic of),Egypt,The former Yugoslav Republic of Macedonia,Mexico,Azerbaijan,France,Tunisia,Croatia,Montenegro,Turkey,Cameroon,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,Greece,China,"China, mainland",Tajikistan,Algeria,United Arab Emirates,Bosnia and Herzegovina,Portugal,Brazil
1971,26567.0,26000.0,84800.0,84800.0,,,,56346.0,,78563.0,,,,,,,,,,,,,31787.0,27461.0,22222.0,64277.0,,,36654.0,25909.0,31321.0,51381.0,,71883.0,,124667.0,10375.0,,,52384.0,,63750.0,,18750.0,88890.0,62300.0,77477.0,,,,15040.0,30000.0,,7765.0,78011.0
1972,27117.0,21000.0,82444.0,82444.0,,,,60288.0,,79094.0,,,,,,,,,,,,,31724.0,18362.0,22222.0,60838.0,,,30979.0,30973.0,31985.0,47619.0,,69550.0,,81818.0,11250.0,,,58705.0,,60000.0,,18750.0,91168.0,52331.0,88876.0,,,,15210.0,35000.0,,4705.0,85564.0
1973,25183.0,22222.0,73750.0,73750.0,,,,64252.0,,73306.0,,,,,,,,,,,,,30390.0,14716.0,22222.0,59383.0,,,38731.0,31670.0,32171.0,47619.0,,63817.0,,82569.0,10214.0,,,51525.0,,60000.0,,18750.0,90599.0,60968.0,85499.0,,,,14911.0,36667.0,,4550.0,47359.0
1974,24717.0,19000.0,123667.0,123667.0,,,,64842.0,,101784.0,,,,,,,,,,,,,34228.0,18297.0,22222.0,37910.0,,,22186.0,31343.0,31831.0,53723.0,,77589.0,,78642.0,8505.0,,,42400.0,,60000.0,,18750.0,89629.0,65789.0,81155.0,,,,14980.0,40000.0,,8835.0,77045.0
1975,25683.0,18085.0,65200.0,65200.0,,,,74724.0,,75000.0,,,,,,,,,,,,,33220.0,17768.0,22222.0,53060.0,,,36269.0,31489.0,32014.0,51003.0,,68027.0,,76804.0,9427.0,,,48276.0,,65000.0,,18750.0,90336.0,56344.0,97512.0,,,,15140.0,42857.0,,8406.0,77357.0
1976,24033.0,17778.0,93000.0,93000.0,,,,66340.0,,66667.0,,,,,,,,,,,,,34704.0,18581.0,22472.0,56866.0,,,46250.0,29362.0,,46413.0,,50222.0,,78346.0,9408.0,,,50983.0,,65000.0,,18750.0,88803.0,49949.0,109375.0,,,,15025.0,47500.0,,6235.0,77379.0
1977,24583.0,30000.0,68500.0,68500.0,,,,68538.0,103704.0,75000.0,,,,,,,,,,,,,21406.0,21848.0,22727.0,56866.0,,,34724.0,17410.0,,46229.0,,57350.0,,71268.0,10619.0,,,50909.0,,65000.0,,18750.0,84656.0,71574.0,106455.0,,,,15067.0,51111.0,,4800.0,51323.0
1978,22617.0,34682.0,75333.0,75333.0,,,,50347.0,100000.0,70588.0,,,,,,,,,,,,,24669.0,17445.0,22989.0,212239.0,,,32918.0,25641.0,,45098.0,,56287.0,,76643.0,9412.0,,,52857.0,,63889.0,,18750.0,82931.0,58036.0,105360.0,,,,15073.0,39231.0,,4877.0,56694.0
1979,23417.0,25773.0,38667.0,38667.0,,,,54286.0,96552.0,70588.0,55046.0,,,,,,,,,,,,25154.0,20718.0,22989.0,152375.0,,,17490.0,25221.0,,54066.0,,63530.0,,74074.0,14535.0,,,56140.0,,64242.0,,18750.0,84345.0,72284.0,115897.0,,,,16980.0,46667.0,,5200.0,67912.0
1980,21717.0,16981.0,38667.0,38667.0,,68704.0,,53066.0,87500.0,72222.0,54386.0,,,,,,,,,,,,24913.0,24822.0,22989.0,140115.0,,,63841.0,26049.0,,30795.0,,62625.0,,69811.0,16176.0,,,55593.0,,64343.0,,18750.0,77523.0,71295.0,112173.0,,,,15089.0,44722.0,,5100.0,69994.0
