,Cuba,Jamaica,Pacific Islands Trust Territory,American Samoa,Vanuatu,Haiti,Micronesia (Federated States of),Fiji,Dominica,Panama,Madagascar,Togo,United Republic of Tanzania,Philippines,Samoa,Belize,Guyana,Costa Rica,Solomon Islands,Uganda,Papua New Guinea,Comoros,Suriname,Benin,Equatorial Guinea,Tonga,China,El Salvador,Sierra Leone,Honduras,Colombia,Timor-Leste,Central African Republic,Gabon,India,Saint Lucia,"China, Taiwan Province of",Ecuador,Indonesia,Angola,Trinidad and Tobago,Sao Tome and Principe,Malaysia,Grenada,Mexico,Melanesia,Nicaragua,Democratic Republic of the Congo,Nigeria,Micronesia,Congo,Martinique,Dominican Republic,Brazil,Bolivia (Plurinational State of),Thailand,Saint Vincent and the Grenadines,Peru,Ghana,Guinea,Guadeloupe,Sri Lanka,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Polynesia,Cameroon,Guatemala,Liberia
1961,2500.0,2870.0,15.0,5.0,663.0,2500.0,,15.0,200.0,1300.0,600.0,11550.0,450.0,3200.0,4300.0,17.0,26.0,10600.0,12.0,20.0,9271.0,41.0,162.0,-1.0,26000.0,,,300.0,2840.0,163.0,14300.0,20.0,7.0,3190.0,,300.0,,44100.0,1031.0,400.0,7030.0,9100.0,600.0,2500.0,26938.0,9961.0,500.0,5800.0,197000.0,15.0,900.0,100.0,34850.0,155901.0,1100.0,-1.0,40.0,2688.0,415200.0,1500.0,100.0,3378.0,16901.0,85000.0,4305.0,75100.0,500.0,670.0
1962,2387.0,2789.0,15.0,7.0,810.0,2500.0,,15.0,100.0,1200.0,500.0,11400.0,300.0,3400.0,5065.0,2.0,28.0,12600.0,24.0,25.0,14000.0,34.0,352.0,-1.0,30900.0,,,300.0,4780.0,149.0,15000.0,20.0,11.0,3360.0,,200.0,,44300.0,897.0,400.0,6715.0,9600.0,600.0,2800.0,29473.0,14849.0,500.0,6500.0,182000.0,15.0,630.0,100.0,33230.0,140363.0,1100.0,-1.0,54.0,2464.0,428100.0,1800.0,200.0,3200.0,18910.0,110000.0,5072.0,76000.0,500.0,830.0
1963,2516.0,2396.0,15.0,10.0,940.0,2800.0,,20.0,200.0,1000.0,400.0,13900.0,200.0,3500.0,5100.0,58.0,29.0,10700.0,40.0,25.0,15500.0,46.0,301.0,-1.0,33000.0,,,300.0,3310.0,197.0,15700.0,20.0,10.0,3600.0,,200.0,,44300.0,824.0,300.0,7322.0,7800.0,400.0,2600.0,30067.0,16500.0,500.0,5600.0,223000.0,15.0,800.0,200.0,38036.0,143495.0,1100.0,-1.0,68.0,2670.0,427800.0,1800.0,200.0,3300.0,20771.0,115000.0,5110.0,85000.0,500.0,1030.0
1964,1204.0,2733.0,20.0,2.0,515.0,2800.0,,40.0,200.0,900.0,530.0,17500.0,150.0,4180.0,5100.0,50.0,29.0,10200.0,64.0,30.0,18706.0,52.0,228.0,-1.0,35100.0,,,300.0,3180.0,203.0,16400.0,20.0,12.0,4000.0,,200.0,,37800.0,945.0,300.0,4716.0,10700.0,850.0,2800.0,20100.0,19325.0,500.0,4800.0,298300.0,20.0,1100.0,80.0,41223.0,153685.0,1100.0,-1.0,82.0,2674.0,580500.0,2000.0,133.0,2700.0,20469.0,139069.0,5102.0,91200.0,600.0,1538.0
1965,2154.0,2447.0,25.0,5.0,696.0,3000.0,,35.0,100.0,700.0,640.0,14300.0,100.0,4011.0,2300.0,55.0,30.0,7600.0,80.0,30.0,20438.0,33.0,243.0,-1.0,35400.0,,,300.0,2980.0,211.0,17100.0,20.0,20.0,2170.0,,100.0,,49900.0,1110.0,400.0,5062.0,8900.0,1200.0,2300.0,21140.0,21249.0,500.0,4300.0,184600.0,25.0,800.0,100.0,25000.0,160823.0,1100.0,-1.0,100.0,1836.0,415800.0,2000.0,150.0,2200.0,20173.0,121772.0,2305.0,78800.0,600.0,1200.0
1966,2019.0,2174.0,25.0,10.0,700.0,2500.0,,45.0,100.0,500.0,735.0,16300.0,100.0,4000.0,2900.0,20.0,30.0,9300.0,97.0,32.0,19200.0,69.0,185.0,-1.0,38200.0,,,300.0,4534.0,223.0,17800.0,20.0,19.0,4296.0,,100.0,,50764.0,1172.0,300.0,5416.0,10900.0,1700.0,2200.0,23429.0,20042.0,500.0,5300.0,267200.0,25.0,877.0,100.0,27990.0,172900.0,1000.0,-1.0,100.0,2149.0,381100.0,2000.0,114.0,2500.0,19881.0,149662.0,2910.0,86500.0,600.0,1524.0
1967,1459.0,1642.0,25.0,20.0,700.0,2700.0,,36.0,100.0,500.0,795.0,18338.0,200.0,3500.0,3300.0,25.0,29.0,7200.0,62.0,46.0,21400.0,56.0,154.0,-1.0,33600.0,,,300.0,3869.0,276.0,17000.0,20.0,27.0,4061.0,,100.0,,61236.0,1233.0,400.0,5283.0,10900.0,2250.0,2760.0,25160.0,22198.0,600.0,4900.0,238000.0,25.0,1144.0,120.0,25908.0,194692.0,1200.0,-1.0,100.0,2301.0,423500.0,2000.0,100.0,2700.0,20659.0,146640.0,3320.0,93000.0,800.0,1430.0
1968,1939.0,1864.0,27.0,20.0,900.0,2500.0,,80.0,100.0,500.0,825.0,20000.0,400.0,4100.0,2750.0,35.0,29.0,9100.0,107.0,86.0,23900.0,42.0,78.0,-1.0,38000.0,,,300.0,5039.0,274.0,18000.0,20.0,19.0,4751.0,,100.0,,81724.0,1204.0,500.0,6873.0,10600.0,2350.0,2826.0,26580.0,24987.0,600.0,4500.0,191800.0,27.0,1288.0,100.0,27266.0,149338.0,1300.0,-1.0,100.0,1795.0,327000.0,2000.0,100.0,2200.0,19332.0,144476.0,2770.0,102000.0,600.0,2291.0
1969,1234.0,1857.0,30.0,24.0,600.0,2700.0,,60.0,100.0,600.0,885.0,23600.0,400.0,4400.0,3200.0,12.0,30.0,4800.0,97.0,147.0,26600.0,51.0,127.0,-1.0,28000.0,,,300.0,3782.0,294.0,18500.0,20.0,25.0,4366.0,,100.0,,47993.0,1763.0,300.0,3464.0,9100.0,2750.0,3056.0,27368.0,27357.0,600.0,4900.0,220800.0,30.0,1195.0,100.0,25823.0,211162.0,1300.0,-1.0,100.0,2412.0,414300.0,2000.0,100.0,1800.0,18278.0,180706.0,3224.0,108186.0,500.0,1920.0
1970,1330.0,2163.0,25.0,24.0,700.0,2900.0,,59.0,100.0,648.0,1000.0,27900.0,400.0,4300.0,2600.0,17.0,30.0,4200.0,131.0,241.0,26100.0,48.0,106.0,-1.0,35000.0,,,300.0,5080.0,300.0,19000.0,20.0,35.0,6095.0,,100.0,,53584.0,1738.0,445.0,6213.0,9700.0,3200.0,2926.0,28823.0,26990.0,600.0,6200.0,304800.0,25.0,1344.0,,37924.0,197061.0,1300.0,-1.0,100.0,2107.0,406000.0,2000.0,100.0,2300.0,18884.0,179156.0,2624.0,133770.0,600.0,1621.0
