,Luxembourg,Kenya,Peru,"China, Taiwan Province of",Croatia,Cameroon,United Kingdom,Malta,Philippines,Sweden,Indonesia,Ethiopia,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Republic of Korea,Cyprus,Japan,New Zealand,Yemen,Rwanda,France,Australia & New Zealand,Iran (Islamic Republic of),Mauritius,Slovenia,Kyrgyzstan,Netherlands,Costa Rica,Germany,Belgium,Niger,Morocco,Poland,Congo,Switzerland,Mexico,Austria,Romania,Italy,Spain,Sri Lanka,China,Ireland,Latvia,Albania,Slovakia,Uzbekistan,South Africa,Hungary,Kazakhstan,Portugal,Togo,Lithuania,Finland,"China, mainland",Turkey,Norway,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,-1.0,-1.0,18263.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,392370.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,2005.0,23263.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,5000.0,225000.0,-1.0,-1.0,50000.0
1962,-1.0,-1.0,-1.0,18362.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,392230.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,789.0,23362.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,5000.0,227000.0,-1.0,-1.0,50000.0
1963,-1.0,-1.0,-1.0,18682.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,452760.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,1783.0,23682.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,5000.0,229000.0,-1.0,-1.0,60000.0
1964,-1.0,-1.0,-1.0,20054.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,388550.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14951.0,1039.0,25854.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,5800.0,231000.0,-1.0,-1.0,52500.0
1965,-1.0,-1.0,-1.0,19111.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,415370.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16953.0,1087.0,25111.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,6000.0,233000.0,-1.0,-1.0,59600.0
1966,-1.0,-1.0,-1.0,14558.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,407270.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12512.0,2596.0,20558.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,6000.0,235000.0,2531.0,-1.0,59700.0
1967,-1.0,-1.0,-1.0,16010.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,416530.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13934.0,2675.0,22510.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,6500.0,237000.0,2501.0,-1.0,85600.0
1968,-1.0,-1.0,-1.0,18512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34230.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,410950.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15865.0,1555.0,25012.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,6500.0,239447.0,2609.0,-1.0,65400.0
1969,-1.0,-1.0,-1.0,21873.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,418550.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17477.0,1021.0,28873.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,7000.0,272299.0,2712.0,-1.0,55000.0
1970,-1.0,-1.0,-1.0,16166.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,410360.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19566.0,2111.0,23166.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,7000.0,300000.0,2771.0,-1.0,44000.0
