,USSR,Romania,Haiti,Serbia and Montenegro,Madagascar,Pakistan,United Republic of Tanzania,Burundi,Thailand,Ethiopia,Kenya,Libya,Bangladesh,Italy,Uganda,Benin,Mozambique,China,Cambodia,Paraguay,Sudan (former),Morocco,El Salvador,Argentina,South Sudan,Syrian Arab Republic,India,"China, Taiwan Province of",Ecuador,Cabo Verde,Indonesia,Angola,Ethiopia PDR,Togo,Sudan,Mexico,Nicaragua,Republic of Korea,Viet Nam,Hungary,Russian Federation,Dominican Republic,Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,Philippines,Ukraine,"China, mainland",South Africa,Bulgaria,Myanmar,Brazil
1961,73000.0,24300.0,5400.0,,10000.0,8000.0,18800.0,2600.0,35360.0,,2300.0,5000.0,405.0,5.0,3700.0,1945.0,3700.0,100000.0,3000.0,12000.0,5377.0,600.0,100.0,9636.0,,100.0,486000.0,,21100.0,80.0,6000.0,13300.0,20000.0,2000.0,,11021.0,-1.0,2474.0,6200.0,2271.0,,330.0,5320.0,13000.0,4150.0,12000.0,600.0,,100000.0,17000.0,1765.0,-1.0,283405.0
1962,101000.0,20800.0,3600.0,,8000.0,9500.0,15600.0,2000.0,44000.0,,12000.0,5000.0,405.0,3.0,5700.0,1940.0,6400.0,100000.0,4733.0,12500.0,4761.0,300.0,120.0,7500.0,,100.0,469000.0,,23300.0,80.0,6000.0,13400.0,20000.0,1934.0,,12340.0,-1.0,5713.0,4900.0,1639.0,,332.0,4190.0,17000.0,4300.0,16000.0,800.0,,100000.0,33000.0,999.0,-1.0,284180.0
1963,110000.0,22100.0,3200.0,,6000.0,10100.0,17300.0,1500.0,44640.0,,13000.0,5000.0,405.0,3.0,5600.0,1600.0,9700.0,110000.0,3000.0,10000.0,6839.0,300.0,150.0,8770.0,,100.0,484000.0,,24400.0,80.0,6000.0,13400.0,21000.0,1655.0,,12320.0,-1.0,7568.0,3400.0,1191.0,,335.0,3010.0,17000.0,4300.0,30000.0,250.0,,110000.0,15000.0,672.0,-1.0,307187.0
1964,150000.0,21600.0,2300.0,,6440.0,12200.0,17000.0,1000.0,37920.0,,13000.0,3000.0,405.0,4.0,4100.0,750.0,4000.0,130000.0,2800.0,10000.0,9447.0,300.0,120.0,8350.0,,100.0,441000.0,,28900.0,80.0,6000.0,13500.0,21000.0,1100.0,,12134.0,-1.0,5526.0,4000.0,1.0,,335.0,2900.0,17000.0,4450.0,28000.0,180.0,,130000.0,22000.0,107.0,-1.0,347600.0
1965,179000.0,18393.0,2200.0,,6510.0,12500.0,25000.0,500.0,33120.0,,14000.0,1500.0,405.0,2.0,4000.0,1220.0,6000.0,180000.0,1000.0,11200.0,7779.0,200.0,100.0,6953.0,,100.0,405000.0,,21100.0,90.0,6000.0,13000.0,21300.0,1200.0,,9492.0,-1.0,4265.0,4000.0,,,336.0,1720.0,17000.0,3900.0,27000.0,160.0,,180000.0,25000.0,112.0,-1.0,394146.0
1966,165000.0,21000.0,1000.0,,6485.0,17600.0,23000.0,700.0,41600.0,,18000.0,500.0,405.0,2.0,4000.0,600.0,5800.0,220000.0,1000.0,8700.0,13529.0,300.0,100.0,6100.0,,100.0,400900.0,,23697.0,100.0,6000.0,13000.0,21300.0,1312.0,,9434.0,-1.0,3483.0,4000.0,,,370.0,2650.0,17000.0,3900.0,23000.0,165.0,,220000.0,6600.0,80.0,-1.0,347133.0
1967,173000.0,22500.0,1500.0,,6560.0,17000.0,22000.0,700.0,45760.0,,13000.0,1500.0,405.0,2.0,4000.0,600.0,7700.0,220000.0,200.0,4170.0,13842.0,200.0,120.0,6350.0,,100.0,439400.0,,21597.0,90.0,6000.0,13000.0,21500.0,850.0,,8939.0,-1.0,3047.0,4000.0,,,370.0,3130.0,17000.0,3900.0,14200.0,165.0,,220000.0,6900.0,27.0,-1.0,360622.0
1968,184000.0,21950.0,1600.0,,6475.0,16000.0,21000.0,450.0,36640.0,,15000.0,500.0,425.0,,4200.0,600.0,7500.0,200000.0,100.0,5400.0,10502.0,200.0,150.0,5675.0,,50.0,393800.0,,15835.0,80.0,6000.0,13000.0,21700.0,570.0,,9282.0,-1.0,2892.0,4000.0,,,370.0,2660.0,17000.0,3900.0,42000.0,280.0,,200000.0,5200.0,486.0,-1.0,377048.0
1969,175000.0,21657.0,1700.0,,6500.0,16000.0,15000.0,200.0,35520.0,,15000.0,500.0,426.0,,4650.0,600.0,4000.0,180000.0,350.0,8610.0,18904.0,170.0,160.0,9870.0,,55.0,401900.0,,23442.0,90.0,8875.0,11000.0,21900.0,700.0,,9563.0,-1.0,2952.0,4000.0,,,370.0,1438.0,17000.0,20.0,19600.0,700.0,,180000.0,8000.0,963.0,-1.0,377636.0
1970,220000.0,20058.0,1400.0,,6500.0,17000.0,22000.0,100.0,44000.0,,9000.0,200.0,439.0,,4000.0,500.0,4000.0,180000.0,400.0,13330.0,14283.0,170.0,200.0,6200.0,,50.0,438600.0,,15560.0,85.0,13096.0,11000.0,22100.0,700.0,,9166.0,-1.0,1958.0,4000.0,,,380.0,719.0,17000.0,20.0,9000.0,300.0,,180000.0,8000.0,808.0,-1.0,380986.0
