,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
Unnamed: 0,Afghanistan,Albania,Algeria,American Samoa,Angola,Antarctica,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma (Myanmar),Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Brazzaville),Congo (Kinshasa),Cook Islands,Costa Rica,Cote dIvoire (IvoryCoast),Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands (Islas Malvinas),Faroe Islands,Fiji,Finland,Former Czechoslovakia,Former Serbia and Montenegro,Former U.S.S.R.,Former Yugoslavia,France,French Guiana,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,"Germany, East","Germany, West",Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Hawaiian Trade Zone,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palestinian Territories,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent/Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste (East Timor),Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,U.S. Pacific Islands,U.S. Territories,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,"Virgin Islands,  U.S.","Virgin Islands, British",Wake Island,Western Sahara,Yemen,Zambia,Zimbabwe
1989,1.01277,3.431,12.19,0.0837,0.899,,0.08184,39.924,,0.31062,128.119,43.373,,0.8091,3.08,5.019,0.376,,57.816,0.07997,0.15,0.40734,0.04469,1.672,,0.80621,208.70564,1.038,42.68,0.14229,1.546,0.10879,0.13299,2.364,434.624367031,0.03069,0.17019,0.08556,0.07161,15.496,498.708,27.061,0.01488,0.386,4.829,0.01302,3.177,2.092,,13.245,1.627,,28.317,0.15345,0.02697,2.348,4.322,32.061,1.715,0.01581,,,1.205,0.0093,0.19158,0.37618,57.115,80.44,,1464.39778855,,316.492,0.27342,0.23994,0.877,0.05301,,,110.58,395.68,4.629,0.071,29.146,0.18321,0.042,0.55497,1.15197984,1.868,0.45663,0.02697,0.275,0.396,,1.789,20.746,34.795,4.138,202.675,32.606,40.241,25.996,11.388,17.91,211.879,1.624,731.925,2.726,,2.702,0.00651,32.566,81.014,18.718,,0.29407,,2.646,,0.73005,13.522,,4.075,0.70021,,0.50313,0.5394,19.335,0.0186,0.22599,0.934,0.55893,0.11439,0.60636,101.5,,3.233,,0.01302,7.744,0.471,,0.02511,0.509,71.534,0.581,1.06671,27.141,1.289,0.32729,8.345,0.00279,-,95.135,3.956,31.801,,2.036,1.57263,2.739,11.62086,20.908,123.064,23.036,12.52245,4.137,0.73005,75.102,,0.18175,0.00465,0.03255,0.09021,0.03906,0.04464,0.04464,0.01395,57.133,0.616,,0.0744,0.19437,12.369,,,0.02604,0.22599,144.62,--,125.826,2.336,1,1.251,0.68967,131.253,46.366,5.753,73.179,,1.237,33.929,,0.383,0.01953,2.858,4.18,40.134,,0.0093,0.17484,-,0.52226,,13.27,282.268,2755.848822,3.601,,0.02232,46.132,5.822,0.83049,0.03813,,0.07254,1.446,5.092,9.24
1990,1.02114,1.659,12.734,0.08742,0.958,,0.08277,37.105,,0.29574,135.454,44.325,,0.83049,3.039,5.022,0.396,,59.002,0.09206,0.165,0.42873,0.04764,1.781,,0.87636,212.68556,1.11,38.786,0.16182,1.734,0.11737,0.14229,2.323,433.832893,0.03627,0.19716,0.08649,0.07905,18.378,549.338,28.197,0.01395,0.405,4.42,0.01395,3.305,1.857,,12.267,1.746,,28.828,0.15624,0.02697,2.564,4.784,37.201,1.624,0.01581,,,1.079,0.0093,0.18786,0.42454,65.028,81.79,,1460.91841001,,323.108,0.30876,0.25761,0.877,0.06138,,,97.72744,402.058,5.336,0.071,30.524,0.19251,0.045,0.65076,1.19639478,2.271,0.46035,0.03534,0.247,0.437,,1.982,22.099,34.109,4.073,219.847,38.472,49.792,19.52,12.014,18.193,218.976,1.958,773.022,3.118,,2.85263,0.00651,32.885,94.491,18.126,,0.29187,,2.715,0.192,0.27993,12.619,,4.106,0.77999,,0.53382,0.6603,22.35,0.02139,0.22413,1.13,0.59613,0.12369,0.66867,100.453,,2.984,,0.01209,8.37,0.694,0.586,0.02511,0.768,72.868,0.631,1.02114,28.364,1.32,0.33394,8.027,0.00279,-,97.406,3.696,30.54,,2.158,1.58565,2.326,11.271,21.493,114.403,23.97,13.24908039,4.279,0.81747,64.645,,0.16617,0.00465,0.05673,0.09114,0.0372,0.04557,0.04464,0.01395,60.914,0.693,,0.08835,0.19623,14.065,,,0.0279,0.22878,144.692,--,129.227,2.593,1.739,1.41,0.73457,130.224,46.81,5.268,76.115,,1.367,39.608,,0.403,0.02139,3.034,4.597,47.76,,0.01767,0.17763,-,0.60238,,14.519,284.397,2836.294907,5.032,,0.02232,46.928,6.263,0.85653,0.03906,,0.0744,1.371,6.05,9.948
1991,1.04477,1.715,13.034,0.09486,0.899,,0.08277,39.655,,0.29667,138.026,47.287,,0.99231,3.128,5.49,0.46,,61.803,0.10694,0.176,0.44826,0.05673,1.969,,0.92347,222.44502,1.178,33.505,0.16926,1.614,0.12716,0.14694,2.334,439.84571,0.0465,0.2046,0.08556,0.07626,18.191,597.193,28.813,0.01395,0.462,4.384,0.01395,3.543,1.463,,10.397,1.818,,29.924,0.15717,0.0279,2.687,5.163,38.135,1.569,0.01581,,,1.09,0.0093,0.18042,0.42919,64.899,77.939,,1446.883,,345.456,0.35433,0.26691,0.893,0.06138,,491.059,,,5.71,0.071,31.48,0.18786,0.05,0.71865,1.29593268,2.428,0.465,0.03627,0.176,0.447,,1.947,23.409,31.803,4.082,240.164,40.495,53.871,17.821,12.605,18.797,224.421,1.618,797.845,3.323,,2.994,0.00651,32.837,107.472,9.443,,0.21774,,2.709,0.206,0.25389,12.959,,4.226,0.87748,,0.52824,0.70401,24.252,0.02418,0.2325,1.224,0.64542,0.12648,0.73191,104.583,,2.779,,0.01302,8.877,0.812,0.45,0.02511,0.72,75.88,0.641,1.03602,29.807,1.164,0.32843,8.189,0.00279,-,99.679,3.803,31.409,,2.3,1.58565,2.559,12.277,20.74,107.876,25.174,13.82033382,4.112,0.88536,53.477,,0.17231,0.00465,0.07347,0.09207,0.03906,0.04743,0.04464,0.01395,64.338,0.708,,0.093,0.20088,15.201,,,0.0279,0.23157,146.26,--,131.908,2.718,1.717,1.564,0.73272,131.968,47.909,5.11,83.499,,1.479,42.652,,0.453,0.02232,3.01,4.796,50.346,,0.02139,0.17949,-,0.609029,,14.628,291.616,2886.041658,4.05,,0.02325,49.451,6.708,0.8742,0.03906,,0.0744,1.363,5.958,9.418
1992,0.76805,1.443,14.035,0.09486,1.013,,0.08277,45.292,6.358,0.29853,140.153,47.134,15.248,1.01835,3.466,6.65,0.477,38.66,63.99,0.11996,0.229,0.45198,0.05065,1.942,5.324,1.09184,228.11014,1.237,29.857,0.1767,1.771,0.12158,0.15438,2.318,444.651821,0.05301,0.20553,0.08742,0.07347,19.181,666.125,26.584,0.01395,0.44,4.207,0.013943,4.232,1.293,9.985,10.304,2.102,,30.454,0.15717,0.0279,2.385,5.404,38.783,1.709,0.01674,,6.8,1.097,0.0093,0.17763,0.42733,60.925,72.284,,,,355.2858,0.38874,0.28086,0.914,0.06231,10.113,485.677,,,6.077,0.079,32.915,0.18879,0.053,0.78561,1.331574,2.497,0.46686,0.03813,0.179,0.416,,1.731,24.053,30.423,4.13,255.599,43.819,59.171,22.64,13.367,21.732,229.554,1.634,805.571,3.932,82.879,3.008,0.00651,23.968,118.983,14.766,8.519,0.23814,6.768,3.123,0.241,0.26226,13.327,10.656,4.21,0.98076,5.523,0.5394,0.72819,25.996,0.02604,0.25203,1.281,0.69006,0.12927,0.81375,108.146,9.301,2.584,,0.01302,9.804,0.672,0.32,0.02604,0.737,78.027,0.692,1.03974,27.989,1.215,0.33229,8.425,0.00279,-,100.16,4.173,35.409,,2.249,1.58565,2.505,10.502,19.03,103.185,25.928,14.36463306,4.564,0.9765,50.082,864.37,0.17082,0.00465,0.07347,0.13299372,0.03906,0.05115,0.05394,0.01395,67.819,0.782,,0.09579,0.20088,16.358,,9.069,0.0279,0.23157,143.58,--,133.947,2.577,1.751,1.607,0.94272,129.709,48.214,4.259,89.252,16.213,1.415,48.59,,0.469,0.02325,3.255,5.159,55.4,8.347,0.02418,0.17205,-,0.801539,210.563,14.73,292.445,2897.016959,4.135,42.796,0.02511,53.23,6.944,0.89187,0.03906,,0.0744,1.419,5.988,8.3
1993,0.72961,1.727,14.039,0.10695,1.062,,0.08277,48.407,3.724,0.46407,144.007,46.179,14.334,1.06392,3.788,7.513,0.474,33.326,64.681,0.13484,0.221,0.45291,0.07565,1.971,3.157,1.11411,239.140122,1.39,30.235,0.19065,2.055,0.1373,0.15996,2.324,454.927803,0.05938,0.22041,0.08835,0.07533,19.716,,29.663,0.01395,0.355,3.926,0.013943,4.558,1.758,9.84,9.291,2.296,48.6455,30.724,0.15903,0.0279,3.671,5.51,42.734,2.033,0.01674,,5.726,1.297,0.0093,0.16086039,0.43663,63.531,,26.971,,,356.144,0.38967,0.28644,0.953,0.06417,8.379,477.235,,,5.83,0.07219,33.513,0.22041,0.055,0.836711,1.46873319,2.577,0.47151,0.04092,0.18,0.335,,1.697,25.469,29.222306,4.413,275.575877,47.554,62.051,23.598,13.673,23.041,229.193,3.566,813.484,4.193,79.286,3.293492,0.00651,23.419,126.06242,17.877,8.244,0.28851,5.158,4.043,0.281,0.2604,13.239,9.021,4.347,1.14067,4.899,0.54033,0.88629,28.735,0.03534,0.27156,1.29,0.74493,0.12927,0.86862,112.359312,6.121,2.186,,0.01395,10.218,1.08,0.755,0.02604,0.751,79.534653,0.744,1.03974,30.269,1.157,0.33157,8.273,0.00279,-,101.597,4.772,33.573242,,2.486,1.58565,2.544,11.799,19.917,104.216,26.254,15.0462096,4.871,0.98766,48.965,807.839,0.15501,0.00465,0.06045,0.14899158,0.0372,0.0558,0.05394,0.01395,75.432,0.77,,0.1023,0.20367,17.586,23.4245,8.859,0.0279,0.23436,148.02,--,133.813,3.223,1.723,1.63,0.90572,130.075,47.761,4.918,96.924,14.165,1.399,55.113,,0.595,0.02325,3.247,5.236,60.323,7.553,0.0279,0.1767,-,0.785496,193.509,14.567,293.948,3000.50014,4.481,41.703,0.02511,54.594,7.857,0.90954,0.03906,,0.0744,1.44,5.98,8.773
1994,0.75017,2.017,14.365,0.11346,1.071,,0.08463,49.914,3.273,0.4929,147.515,46.824,14.594,1.11693,4.113,8.237,0.498,29.627,67.743,0.12275,0.252,0.46035,0.09087,2.322,3.554,1.28092,248.002752,1.515,30.2755,0.19158,2.207,0.15088,0.16647,2.231,459.593142,0.06475,0.24924,0.09207,0.0744,21.272,,31.982,0.01395,0.351,4.031,0.013943,4.8,2.014,10.086,9.248,2.395,50.35,31.35,0.15903,0.03069,3.189,6.027,45.169,2.41,0.01674,0.131,5.91,1.288,0.0093,0.15619765,0.47197,66.513,,27.447,,,363.623,0.38967,0.2976,0.806,0.06417,7.708,474.996,,,5.593,0.07719,35.093,0.2232,0.06,0.882281,1.55205003,2.736,0.47337,0.04278,0.258,0.277,,1.43,23.079,29.5,4.535,297.98,51.271,65.533,25.217,14.254,25.246,236.635,3.974,866.982,4.48,59.78,3.328,0.00651,23.23,163.29274,19.58,8.145,0.21477,4.905,4.185,0.31,0.2604,13.881,8.381,4.666,1.23647,5.027,0.54312,0.93,34.034,0.03999,0.25575,1.308,0.78957,0.13299,0.90582,120.804,6.841,2.18,,0.01395,10.35,0.896,0.585,0.02604,0.797,82.26,0.793,1.13646,31.252,1.173,0.32534,7.996,0.00279,-,102.543,5.039,39.864,,2.533,1.5903,2.737,11.207,24.555,105.065,27.304,15.65602734,5.105,0.99882,48.186,701.841,0.1598,0.00558,0.0651,0.15794934,0.03813,0.05673,0.05766,0.01674,85.163,0.841,,0.10974,0.20739,19.225,23.9585,9.812,0.0279,0.23715,154.1,--,139.595,3.553,1.789,1.65,0.95272,129.006,48.175,5.791,103.737,13.783,1.33,60.806,,0.518,0.02511,3.337,5.613,62.67,6.288,0.03162,0.18042,-,0.822045,169.769,15.602,287.202,3081.585833,4.674,40.553,0.02511,55.203,9.231,0.92442,0.03906,,0.0744,1.62,5.954,8.2
1995,0.68544,2.152,14.474,0.11997,1.074,,0.08556,54.918,2.858,0.53847,152.291,47.936,13.724,1.09647,4.273,8.616,0.529,26.951,69.659,0.12926,0.242,0.4557,0.12488,2.497,3.205,1.31371,261.51587,1.779,33.218,0.21576,2.349,0.13967,0.206,2.203,466.641881,0.06654,0.25947,0.093,0.07812,25.656,,33.484,0.01395,0.355,4.479,0.017663,4.295,2.519,10.443,9.447,2.21,53.126,31.463,0.16089,0.04092,3.586,6.077,47.141,2.752,0.01767,0.138,5.571,1.3,0.01023,0.1552701,0.49429,65.282,,30.097,,,367.9325,0.39339,0.31155,0.87,0.0651,5.514,482.508,,,5.625,0.07719,36.492,0.22506,0.081,0.884141,1.50536961,2.95201,0.48546,0.04371,0.445,0.269,,1.551,26.51,29.879733,4.615,318.306,50.067,63.732,26.18,14.937,26.575,243.26,4.833,890.777,5.356,58.533,3.443,0.00651,23.084,180.08593,19.692,7.994,0.33589,4.874,4.407,0.324,0.2604,14.267,8.419,4.958,1.45928,5.103,0.56637,0.94674,39.216,0.05022,0.28365,1.382,0.85281,0.1488,0.9858,125.15,6.093,2.35,,0.01488,11.404,0.807,1.728,0.0279,0.984,84.124,0.823,1.46475,31.514,1.175,0.31927,7.908,0.00279,-,104.483,5.218,38.852582,,2.865,1.41639,3.232,13.381,26.45,107.689,29.179,16.18863276,5.155,1.07136,50.151,712.072,0.15966,0.00558,0.07068,0.1718454,0.03627,0.06417,0.06138,0.01767,91.889,0.843,,0.11253,0.0837,20.556,24.362,9.666,0.03069,0.23808,161.668,--,145.393,3.87,1.797,1.474,0.9993,131.749,49.078,9.829,102.292,13.655,1.558,69.697,,0.622,0.02604,3.603,6.193,68.295,5.986,0.03441,0.18321,-,0.856757,162.786,21.21,297.214,3163.594068,4.996,39.473,0.02604,56.17,11.135,0.93651,0.03906,,0.07626,1.714,6.138,8.49
1996,0.62057,2.79,15.172,0.12462,1.085,,0.08556,57.968,3.486,0.56079,156.48966,49.716,13.614,1.12809,4.499,8.989,0.564,27.091,71.133,0.13298,0.2787,0.45942,0.24529,2.674,3.916,1.39087,277.78929,1.953,34.733,0.24459,2.407,0.14474,0.238,2.341,473.592624,0.07019,0.26133,0.09486,0.07905,28.021,,34.131,0.01488,0.449,4.676,0.017663,4.45,2.279,10.1,10.078,2.2875,55.018,31.909,0.16182,0.03906,4.694,6.921,47.715,2.844,0.01767,0.157,5.899,1.376,0.01023,0.1618166,0.49522,67.2592,,32.376,,,382.652,0.39339,0.31341,0.909,0.06603,5.26,489.325,,,6.113,0.07905,38.062,0.22599,0.086,0.98363,1.6135314,2.66429,0.49011,0.04464,0.527,0.286,,2.185,29.75,30.64876,4.5737,323.069,56.895,69.671,26.08,15.9,28.387,245.674,5.008,910.19903,5.396,52.1,3.589,0.00651,21.082,199.94462,21.145,6.94,0.41297,4.799,6.354,0.335,0.2604,14.119,8.37,4.865,1.3737,5.456,0.61752,0.94581,43.372,0.05487,0.30318,1.341,0.89094,0.16275,0.86025,132.84,5.841,2.37,,0.01488,11.617,0.777,1.732,0.0279,0.92,87.222,0.862,1.31395,32.69486,1.284,0.33299,7.631,0.00279,-,103.895,5.454,38.402,,3.333,1.58286,3.937,14.019,29.086,111.29522,30.723,16.62746442,5.789,1.22295,51.684,700.237,0.15092,0.00558,0.07161,0.17312043,0.03627,0.06789,0.06882,0.0186,94.551,0.864,,0.11625,0.12555,21.623,26.252,9.572,0.03534,0.24087,165.313,--,150.658,3.646,1.842,1.289,0.9523,131.3716,48.937,11.206,108.087,13.401,1.796,76.272,,0.601,0.02976,3.803,6.824,75.22,6.164,0.03348,0.18507,-,0.924368,146.652,22.56,315.783,3253.098612,5.071,40.047,0.0279,57.842,13.264,0.94023,0.03906,,0.07626,1.646,5.683,8.793
1997,0.56407,2.084,15.365,0.13113,1.216,,0.08649,62.815,4.281,0.59055,161.721,50.256,14.12,1.19226,4.653,9.388,0.599,28.506,72.99895,0.146,0.2797,0.46314,0.38853,2.875,4.373,1.5571,290.88481,2.234,30.066,0.26226,2.719,0.14753,0.25,2.483,482.386399,0.07484,0.26226,0.09672,0.07905,30.644,,34.854,0.01488,0.447,4.386,0.017663,4.897,2.459,11.505,10.777,2.375,54.86239,32.458,0.16368,0.0465,4.754,6.852,51.743,3.127,0.0186,0.1484,6.204,1.434,0.01023,0.16282589,0.5007986,70.65058,,32.326,,,381.795,0.39525,0.31899,0.956,0.06975,5.678,492.91043,,,6.262,0.08091,39.78718,0.23994,0.091,1.05589,1.62327966,2.53557,0.5766,0.0465,0.602,0.286,,2.378,30.508,30.83812,5.11269,344.461,64.206,73.358,26.667,16.64022,29.927,252.73797,5.187,937.805,5.696,44.952,3.622,0.0093,19.025,218.193237,22.181,6.693,0.434,4.874,7.534,0.318,0.27342,14.443,8.302,5.103,1.40032,5.558,0.64635,0.97185,50.614,0.06231,0.35247,1.364,0.94209,0.17577,0.99789,144.61069,5.477,2.344,,0.01581,12.114,0.881,1.65,0.0279,0.825,89.37408,0.861,1.3435,33.516,1.4,0.3262,7.884,0.00279,-,104.142,5.832,42.557,1.031,3.151,1.45452,3.515,14.698,31.532,113.575,32.36195,17.43110067,6.044,1.4043,48.259215,689.725,0.16952,0.00558,0.07905,0.18633294,0.03627,0.07068,0.07161,0.01953,99.521,0.95,,0.12927,0.0837,24.143,25.263,9.966,0.03906,0.24087,172.311,--,162.538,4.109,1.782,1.295,0.9893,131.753,48.93157,11.556,115.727,12.899,1.576,75.917,,0.509,0.03162,4.271,7.292,82.67384,6.243,0.04464,0.18414,-,1.04843,140.108,24.871,316.019,3301.854322,5.56,40.489,0.03069,59.848,15.084,0.94395,0.03906,,0.07626,1.74,6.525,9.559
1998,0.5278,2.2,16.905,0.13671,1.328,,0.08835,67.905,3.671,0.63798,172.022,51.055,14.76,1.29549,4.967,10.166,0.615,26.322,74.87811,0.138546,0.2707,0.4743,0.31412,3.043,5.484,1.571,302.89677,2.324,30.01,0.29016,2.759,0.13223,0.275,2.505,479.302168,0.08128,0.26412,0.09486,0.07998,31.682,,34.091,0.01581,0.324,4.141,0.017663,4.755,2.724,12.958,10.772,2.601,53.985,32.29073,0.16368,0.05766,5.143,7.368,55.441,3.27,0.01953,0.151962,6.042,1.443,0.01116,0.17005413,0.49700046,73.801,,29.432,,,393.414,0.39618,0.3162,1,0.07626,6.695,497.381,,,5.097,0.08556,41.953,0.24552,0.101,1.05926,1.64237907,3.25213,0.59799,0.0465,0.639,0.278,,2.648,32.224,31.02841,5.832,360.468,66.023,77.62,26.781,17.674,32.485,260.063,5.459,943.323,6.046,41.957,3.724,0.0093,18.174,212.393,24.887,6.998,0.501,4.702,7.586,0.209,0.279,10.086,8.569,5.277,1.4082,5.811,0.6975,1.10112,52.391,0.07161,0.35991,1.408,0.95325,0.18135,1.03695,149.542203,5.355,2.343,,0.01302,12.935,0.785,1.279,0.0279,1.073,92.509,0.912,1.40295,34.977,1.399,0.34148,8.554,0.00279,-,110.52,6.402,40.043,1.683,2.747,1.93905,3.788,15.74,34.011,113.444,34.132,17.86750503,7.112,1.58007,45.147,675.21,0.22152,0.00558,0.08091,0.20620704,0.0372,0.07533,0.08184,0.02046,108.244,1.018,,0.13857,0.09579,25.505,25.294,10.284,0.04371,0.2418,172.012,--,168.555,4.481,1.921,1.303,0.99444,132.61,49.61,13.814,141.344,12.772,2.213,75.216,,0.68,0.03255,4.424,7.581,88.55571,6.095,0.0465,0.18693,-,0.99838,132.824,29.595,322.928,3424.936465,6.3,40.343,0.03255,61.171,17.433,0.94767,0.03906,,0.07626,1.647,6.253,9.013
1999,0.52315,3.482,18.492,0.14136,1.106,,0.08835,70.355,3.88,0.64542,176.085,52.321,15.118,1.36152,5.206,11.339,0.662,28.436,75.284,0.146916,0.3147,0.5115,0.29419,3.262,5.105,1.749,310.65138,2.26,27.333,0.32364,2.919,0.12707,0.284,2.645,490.022692,0.0943,0.2883,0.09579,0.07998,34.85,,32.668,0.01581,0.361,4.357,0.019523,5.508,2.629,12.177,11.342,2.755,52.161,32.542,0.16368,0.06603,6.424,7.639,60.245,3.42,0.01953,0.162,5.686,1.443,0.01116,0.17872991,0.5378535,75.054,,27.454,,,401.307,0.39804,0.32271,1.039,0.08463,6.702,497.047,,,5.683,0.08928,43.442,0.25761,0.105,1.06205,1.68702,4.17706,0.67425,0.04743,0.671,0.268,,2.513,32.329,31.875,6.706,365.55,70.975,84.588,25.568,18.712,34.255,266.651,5.574,949.064,6.514,39.823,3.45,0.01116,15.147,211.911,26.208,8.596,0.553,4.697,7.531,0.23635,0.186,10.599,8.234,5.453,1.43415,5.44,0.72261,1.07601,56.361,0.08091,0.36456,1.516,0.97185,0.18879,1.27457,157.507284,4.113,2.305,,0.01302,13.103,1.967,1.706,0.02883,1.341,94.916,0.91,1.43178,32.912,1.528,0.28206,8.36,0.00279,-,110.412,6.446,44.938,1.523,3.4,1.75119,3.903,16.299,34.147,111.387,36.017,18.69666792,7.807,1.58379,41.389,688.429,0.18083,0.00465,0.08556,0.22396539,0.0372,0.07533,0.08835,0.02418,107.131,1.001,,0.15066,0.06324,26.493,24.47,10.447,0.04836,0.24273,173.854,--,180.68,4.743,2.468,1.32,0.9813,132.451,52.239,14.337,148.623,13.118,1.812,78.347,,0.663,0.03069,4.487,8.348,91.5,6.573,0.0558,0.32457,-,0.99652,128.337,34.015,328.415,3484.269615,6.154,39.961,0.03255,59.932,19.295,0.9486,0.03906,,0.0744,1.674,5.909,9.676
2000,0.53431,3.75836,19.71552,0.14787,1.19302,,0.13113,73.21606,3.69148,0.6789,182.84356,53.31042,15.4061,1.45545,12.466,12.4555,0.703,28.36256,78.47876,0.1497039,0.39008,0.55335,0.28949,3.34214,7.3399,1.71218,321.95242,2.36142,27.3932,0.29574,3.30344,0.123,0.38118,2.68272,505.187524,0.12034,0.3702237,0.09765,0.07998,38.10274,,32.5837,0.01767,0.29394,4.53882,0.022313,5.92446,2.66284,12.18304,11.77606,2.98,53.614,32.78384,0.1674,0.06882,5.74866,7.81482,63.20646,4.056,0.03906,0.15846,5.85854,1.48462,0.013006,0.18921281,0.498933,76.1237,,30.205,,,409.82266,0.39804,0.36177,1.0357,0.102765,6.27416,508.94848,,,5.96522,0.1135,46.06392,0.2604,0.114,1.06321,1.720277265,3.84358,0.69099,0.0279,0.667,0.28416,,3.13754,34.422,31.81722,7.2807,383.887,77.69496,94.31908,27.27666,20.10972,37.2082,278.36828,5.59672,942.012,6.54302,44.46942,3.35156,0.01209,15.68,259.42733,26.82762,9.114,0.54,4.91122,9.20952,0.27984,0.186,10.97424,8.26574,5.7321,1.39177,5.54954,0.7254,1.11972,60.32766,0.09114,0.37107,1.56698,0.97464,0.21358194,1.511222,167.70756,5.623,2.4,,0.01023,12.98614,4.14936,1.769,0.02883,1.428,99.08144,0.91,1.45217,35.19492,1.491,0.36954,8.491,0.00279,-,112.94948,6.715,46.854,2.263,3.758,1.95486,4.183,17.291,37.689,113.37934,38.55818,20.28609,7.953,1.7484,42.354,715.514,0.19909,0.00465,0.08742,0.2419302,0.03813,0.0837,0.08184,0.02604,109.489,0.888,,0.16554,0.08277,27.863,24.82358,10.91846,0.05394,0.21855,180.09586,--,193.87216,4.974,2.575,1.276,1.04222,135.15614,52.57296,16.125,163.482,13.29,1.931,82.103,,0.512,0.0279,4.714,8.825,98.45916,6.853,0.06603,0.34038,-,1.28401,125.115,36.196,335.56462,3592.756995,6.439,41.345,0.03627,62.506,22.037,0.95325,0.0372,,0.0744,2.26,6.143,10.411
