,Indonesia,Thailand
1961,7688.0,28771.0
1962,7453.0,35920.0
1963,7449.0,31059.0
1964,8274.0,28979.0
1965,8902.0,28286.0
1966,9260.0,28219.0
1967,8978.0,28216.0
1968,6650.0,28251.0
1969,5347.0,28087.0
1970,5904.0,28247.0
1971,6261.0,33600.0
1972,6032.0,30023.0
1973,4997.0,37395.0
1974,4364.0,37805.0
1975,4271.0,34060.0
1976,4499.0,32334.0
1977,4867.0,31642.0
1978,5333.0,24843.0
1979,5206.0,21396.0
1980,4918.0,26563.0
1981,6116.0,29582.0
1982,6142.0,25182.0
1983,6404.0,30288.0
1984,6209.0,30694.0
1985,6253.0,32955.0
1986,7249.0,32131.0
1987,7029.0,34748.0
1988,8538.0,32249.0
1989,8397.0,33161.0
1990,9831.0,34630.0
1991,9923.0,31362.0
1992,10964.0,29728.0
1993,11153.0,32131.0
1994,11039.0,31235.0
1995,12846.0,33105.0
1996,13602.0,35579.0
1997,13978.0,34658.0
1998,14084.0,33006.0
1999,14109.0,34472.0
2000,16218.0,36287.0
2001,16207.0,35810.0
2002,15746.0,36607.0
2003,16268.0,35774.0
2004,16023.0,35868.0
2005,14842.0,36081.0
2006,15446.0,36288.0
2007,11991.0,36113.0
2008,11785.0,36168.0
2009,10585.0,36224.0
2010,9721.0,36280.0
2011,13585.0,36335.0
2012,14073.0,36391.0
2013,14231.0,36446.0
2014,13789.0,36502.0
