,USSR,Finland,Fiji,Kenya,Guyana,Solomon Islands,Papua New Guinea,Somalia,Albania,Brazil,Serbia,El Salvador,Saint Lucia,Canada,Colombia,Spain,New Zealand,Honduras,Jamaica,Cabo Verde,Republic of Moldova,Mongolia,Belgium-Luxembourg,Angola,Saudi Arabia,Togo,Greece,Tajikistan,Haiti,Mali,Hungary,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Iran (Islamic Republic of),Gambia,Ghana,Sweden,Cyprus,Kazakhstan,Rwanda,Bosnia and Herzegovina,Portugal,Saint Kitts and Nevis,"China, Taiwan Province of",Dominica,Madagascar,United Republic of Tanzania,Nepal,Libya,Costa Rica,Bangladesh,Germany,Comoros,Latvia,Benin,Occupied Palestinian Territory,Cambodia,Armenia,Chile,Malta,Denmark,Lebanon,Malawi,Algeria,Slovakia,Israel,Réunion,Belarus,Afghanistan,Trinidad and Tobago,Grenada,Lithuania,Russian Federation,Tunisia,Paraguay,Venezuela (Bolivarian Republic of),South Africa,Myanmar,Eritrea,Australia & New Zealand,Australia,Panama,Pakistan,Thailand,Belize,Ethiopia,Bhutan,Lao People's Democratic Republic,Zambia,Botswana,Mozambique,Niger,Democratic People's Republic of Korea,Slovenia,South Sudan,New Caledonia,Central African Republic,Bahamas,Ecuador,Indonesia,Poland,Chad,Jordan,Ethiopia PDR,Estonia,Melanesia,France,Republic of Korea,Democratic Republic of the Congo,Nigeria,Congo,Peru,United States of America,"China, mainland",The former Yugoslav Republic of Macedonia,India,Guinea-Bissau,Cameroon,Netherlands,Guatemala,Cuba,Lesotho,Romania,Norway,Philippines,Iraq,Swaziland,Burundi,Belgium,Luxembourg,Czechia,Senegal,Italy,Ireland,Uganda,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Switzerland,Sierra Leone,Uruguay,Zimbabwe,Gabon,Austria,Japan,Maldives,Timor-Leste,Egypt,Argentina,Namibia,United Kingdom,Azerbaijan,Nicaragua,Viet Nam,Barbados,Turkey,Bolivia (Plurinational State of),Saint Vincent and the Grenadines,Mexico,Guinea,Mauritania,Czechoslovakia,Sri Lanka,Côte d'Ivoire,Croatia,Bulgaria,Ukraine,Liberia
1961,851670.0,700.0,73.0,22300.0,2.0,93.0,96.0,120.0,3279.0,118887.0,,1513.0,1.0,10855.0,9426.0,96263.0,4000.0,3062.0,244.0,1440.0,,350.0,2207.0,3450.0,64.0,1925.0,25788.0,,5668.0,239.0,32570.0,1680.0,15480.0,76764.0,19546.0,400.0,750.0,4913.0,1509.0,,4812.0,,17853.0,3.0,1882.0,16.0,3914.0,11465.0,6050.0,267.0,1776.0,7871.0,30426.0,120.0,,2320.0,0.0,1400.0,,12905.0,145.0,600.0,742.0,15100.0,2886.0,,662.0,65.0,,1260.0,75.0,1.0,,,5079.0,1640.0,2310.0,12194.0,21600.0,,7200.0,3200.0,640.0,82127.0,3411.0,26.0,,56.0,408.0,1000.0,500.0,4400.0,20250.0,23520.0,,,6.0,400.0,6.0,4004.0,13600.0,38840.0,6610.0,4548.0,49715.0,,268.0,20785.0,2340.0,6023.0,57600.0,334.0,6640.0,68000.0,1018000.0,,853548.0,90.0,6680.0,4078.0,3857.0,3400.0,902.0,45674.0,12.0,2006.0,2080.0,205.0,16900.0,,,,1482.0,150224.0,160.0,12927.0,,1019882.0,4260.0,,3021.0,17957.0,480.0,1894.0,399.0,2250.0,6.0,405.0,22342.0,2.0,239.0,33680.0,7012.0,405.0,1200.0,,1725.0,9953.0,12.0,58523.0,1693.0,14.0,56942.0,2475.0,1800.0,9284.0,213.0,1560.0,,16971.0,,200.0
1962,1279620.0,400.0,73.0,22500.0,2.0,93.0,104.0,176.0,4830.0,131344.0,,1278.0,1.0,11006.0,9080.0,96230.0,4000.0,3310.0,257.0,1440.0,,350.0,2418.0,3450.0,68.0,1946.0,23773.0,,5930.0,239.0,37750.0,1680.0,14164.0,77166.0,19746.0,400.0,900.0,4306.0,1685.0,,4761.0,,18102.0,3.0,1826.0,16.0,4058.0,13745.0,6675.0,268.0,2072.0,7782.0,29920.0,126.0,,2320.0,0.0,2200.0,,12343.0,165.0,600.0,643.0,15540.0,2851.0,,525.0,65.0,,1350.0,94.0,1.0,,,6220.0,1656.0,2790.0,13518.0,27024.0,,6857.0,2857.0,640.0,82426.0,6518.0,29.0,,60.0,412.0,1100.0,500.0,4800.0,21490.0,27440.0,,,6.0,400.0,7.0,3733.0,13000.0,43040.0,6690.0,3371.0,51495.0,,276.0,20645.0,2482.0,6103.0,98505.0,351.0,6733.0,63000.0,812000.0,,846085.0,90.0,6730.0,4915.0,4575.0,3250.0,862.0,48418.0,5.0,2056.0,1984.0,196.0,17076.0,,,,1543.0,154393.0,150.0,13578.0,,813826.0,4365.0,,3415.0,17987.0,480.0,1894.0,399.0,2198.0,6.0,685.0,22500.0,2.0,244.0,32050.0,6874.0,405.0,1600.0,,1724.0,10258.0,12.0,56419.0,1870.0,14.0,56848.0,2475.0,2200.0,10123.0,243.0,960.0,,17939.0,,200.0
1963,1259160.0,500.0,70.0,22500.0,4.0,96.0,112.0,240.0,4463.0,137116.0,,983.0,1.0,11357.0,9018.0,88804.0,4000.0,3739.0,241.0,1360.0,,350.0,2384.0,3600.0,72.0,2250.0,21446.0,,6020.0,263.0,37240.0,1920.0,16591.0,75535.0,20040.0,400.0,975.0,4244.0,1585.0,,3968.0,,17689.0,3.0,2074.0,16.0,4085.0,12188.0,6309.0,230.0,1749.0,7398.0,30222.0,126.0,,1613.0,0.0,2000.0,,10969.0,137.0,600.0,950.0,16660.0,2630.0,,558.0,65.0,,1350.0,92.0,1.0,,,7190.0,1862.0,2990.0,10733.0,29328.0,,6696.0,2696.0,440.0,75296.0,6572.0,38.0,,63.0,412.0,1200.0,500.0,4800.0,22084.0,28400.0,,,6.0,400.0,7.0,5656.0,13500.0,38840.0,6850.0,4716.0,52175.0,,284.0,18513.0,2524.0,6183.0,94955.0,365.0,6990.0,64000.0,803000.0,,815366.0,90.0,6130.0,4761.0,5306.0,3100.0,980.0,44646.0,5.0,1939.0,1984.0,201.0,18704.0,,,,1544.0,147575.0,160.0,15757.0,,805074.0,4710.0,,3507.0,18156.0,480.0,1897.0,409.0,2159.0,6.0,658.0,22420.0,2.0,252.0,40790.0,7260.0,405.0,1600.0,,1994.0,10566.0,12.0,56050.0,1830.0,14.0,69392.0,2475.0,2200.0,10835.0,212.0,1260.0,,21658.0,,200.0
1964,809820.0,600.0,70.0,22700.0,3.0,96.0,120.0,520.0,3219.0,144281.0,,1082.0,1.0,12694.0,8982.0,87936.0,4000.0,2695.0,205.0,1360.0,,380.0,1888.0,3570.0,76.0,2173.0,21751.0,,6100.0,224.0,37470.0,1880.0,18998.0,73760.0,20230.0,400.0,1020.0,3933.0,1506.0,,4965.0,,17708.0,3.0,1715.0,16.0,3945.0,9548.0,6839.0,230.0,2096.0,7373.0,28150.0,138.0,,1670.0,0.0,2080.0,,10469.0,132.0,500.0,1075.0,17900.0,3322.0,,892.0,40.0,,1440.0,92.0,1.0,,,5075.0,2284.0,3010.0,13253.0,25040.0,,7024.0,3024.0,340.0,78480.0,7839.0,41.0,,62.0,416.0,1300.0,500.0,4800.0,20521.0,27200.0,,,6.0,400.0,8.0,5411.0,14000.0,44000.0,6700.0,6132.0,52725.0,,291.0,16819.0,2682.0,6303.0,102570.0,378.0,6565.0,58000.0,803000.0,,748789.0,90.0,6130.0,3781.0,5123.0,3000.0,980.0,41787.0,0.0,1838.0,2261.0,193.0,18844.0,,,,1634.0,137464.0,160.0,14920.0,,804715.0,4540.0,,3522.0,18200.0,352.0,1897.0,409.0,2522.0,6.0,712.0,21209.0,2.0,286.0,42530.0,7766.0,405.0,1400.0,,2117.0,10791.0,12.0,54700.0,1833.0,14.0,70815.0,2475.0,2330.0,10464.0,276.0,720.0,,20046.0,,200.0
1965,709950.0,600.0,70.0,23100.0,4.0,99.0,128.0,584.0,4332.0,146938.0,,1216.0,1.0,13343.0,8539.0,90984.0,4000.0,3001.0,389.0,1314.0,,165.0,2149.0,3570.0,80.0,1794.0,20162.0,,6260.0,224.0,41500.0,2280.0,12506.0,19798.0,20439.0,440.0,1500.0,3659.0,1178.0,,6396.0,,17189.0,3.0,1785.0,16.0,3952.0,12655.0,6526.0,239.0,1728.0,8036.0,26568.0,138.0,,1766.0,0.0,2120.0,,10617.0,56.0,400.0,1308.0,17350.0,2545.0,,578.0,50.0,,1530.0,76.0,1.0,,,8145.0,2362.0,3040.0,12836.0,26498.0,,7311.0,3311.0,540.0,69790.0,8920.0,56.0,,65.0,416.0,1400.0,500.0,4800.0,26542.0,24960.0,,,6.0,400.0,8.0,6310.0,14000.0,46560.0,6590.0,3840.0,53555.0,,302.0,16227.0,3080.0,6470.0,113135.0,391.0,7784.0,61000.0,741500.0,,809805.0,90.0,6030.0,3792.0,4518.0,3000.0,941.0,43983.0,0.0,1797.0,2344.0,202.0,18921.0,,,,2592.0,132982.0,120.0,14152.0,,743285.0,4705.0,,3353.0,19683.0,392.0,1854.0,292.0,2952.0,6.0,1119.0,20301.0,2.0,290.0,35425.0,7915.0,423.0,1400.0,,2264.0,10954.0,12.0,54860.0,1819.0,15.0,74821.0,2475.0,2380.0,9879.0,250.0,636.0,,18993.0,,200.0
1966,653610.0,500.0,91.0,23100.0,3.0,99.0,136.0,608.0,4629.0,162569.0,,1307.0,1.0,11436.0,8729.0,88905.0,4000.0,3156.0,556.0,1139.0,,135.0,2178.0,3581.0,84.0,1717.0,18909.0,,6264.0,230.0,40990.0,1896.0,14819.0,16605.0,20619.0,400.0,1500.0,3546.0,1087.0,,6198.0,,16290.0,3.0,1836.0,16.0,4049.0,13170.0,6635.0,244.0,1480.0,8151.0,25250.0,147.0,,2320.0,0.0,2360.0,,10508.0,37.0,600.0,1022.0,18110.0,2909.0,,676.0,40.0,,1080.0,99.0,1.0,,,8725.0,2389.0,3270.0,13942.0,27623.0,,6994.0,2994.0,540.0,79856.0,8968.0,36.0,,68.0,420.0,1500.0,500.0,4800.0,30031.0,24960.0,,,5.0,400.0,8.0,6156.0,13500.0,39980.0,6600.0,3401.0,54700.0,,331.0,16306.0,3091.0,6615.0,144355.0,400.0,8607.0,60287.0,741500.0,,715519.0,90.0,4430.0,3666.0,4549.0,3000.0,1019.0,42897.0,0.0,1589.0,2666.0,219.0,20324.0,,,,2988.0,128233.0,100.0,18330.0,,743336.0,4848.0,,3021.0,18730.0,384.0,1898.0,292.0,2900.0,6.0,1110.0,21494.0,2.0,252.0,29455.0,8180.0,423.0,1600.0,,2362.0,11889.0,13.0,54740.0,1759.0,16.0,66475.0,2700.0,2510.0,8771.0,271.0,720.0,,17272.0,,200.0
1967,604560.0,400.0,154.0,23500.0,3.0,102.0,144.0,608.0,4992.0,162432.0,,1458.0,1.0,11575.0,9087.0,84185.0,3000.0,3131.0,706.0,240.0,,85.0,2101.0,3581.0,88.0,1775.0,15463.0,,6124.0,245.0,38760.0,1627.0,15771.0,16433.0,20818.0,400.0,1575.0,3766.0,1157.0,,6259.0,,15847.0,3.0,1976.0,16.0,4144.0,13352.0,6848.0,280.0,1104.0,8390.0,21610.0,150.0,,2326.0,0.0,2640.0,,10330.0,40.0,790.0,1041.0,18669.0,3948.0,,656.0,40.0,,1620.0,81.0,1.0,,,7835.0,2224.0,3340.0,13240.0,25190.0,,6582.0,3582.0,440.0,72849.0,13165.0,65.0,,69.0,432.0,1600.0,500.0,4800.0,32195.0,24960.0,,,5.0,400.0,8.0,6798.0,10500.0,31920.0,6450.0,3064.0,55980.0,,405.0,15830.0,3088.0,6695.0,124500.0,418.0,7592.0,55298.0,724500.0,,670194.0,90.0,4731.0,3389.0,5493.0,2250.0,1019.0,39857.0,0.0,1625.0,2609.0,181.0,21036.0,,,,2103.0,119866.0,70.0,21880.0,,726476.0,5035.0,,2785.0,15854.0,384.0,1975.0,305.0,2900.0,6.0,1001.0,15631.0,2.0,294.0,29430.0,9178.0,423.0,2000.0,,2398.0,11348.0,14.0,54160.0,1779.0,16.0,62494.0,2700.0,2230.0,6876.0,283.0,720.0,,13681.0,,200.0
1968,620760.0,300.0,102.0,23300.0,4.0,102.0,152.0,800.0,4386.0,160795.0,,1512.0,1.0,12549.0,8933.0,77687.0,5000.0,3105.0,504.0,400.0,,85.0,2429.0,3600.0,92.0,1850.0,14514.0,,6206.0,233.0,33060.0,1960.0,18363.0,14807.0,21018.0,400.0,1875.0,3519.0,1033.0,,6620.0,,15192.0,3.0,1946.0,16.0,4358.0,13045.0,6963.0,300.0,1520.0,8838.0,21449.0,156.0,,1958.0,0.0,2320.0,,8317.0,35.0,190.0,1000.0,19245.0,3869.0,,687.0,40.0,,1620.0,70.0,1.0,,,8390.0,2025.0,3540.0,12197.0,27684.0,,9786.0,4786.0,440.0,60944.0,13871.0,77.0,,72.0,432.0,1600.0,500.0,4800.0,41734.0,25200.0,,,5.0,450.0,8.0,5342.0,11000.0,31080.0,6374.0,2942.0,56365.0,,361.0,15278.0,3174.0,6477.0,148475.0,431.0,8893.0,56926.0,697000.0,,815957.0,90.0,6026.0,3685.0,4845.0,1750.0,1098.0,35409.0,0.0,1540.0,2329.0,208.0,19662.0,,,,2151.0,114568.0,80.0,20900.0,,698946.0,4855.0,,2626.0,16272.0,384.0,2018.0,312.0,2900.0,6.0,519.0,14609.0,2.0,273.0,31300.0,9559.0,423.0,2200.0,,2362.0,10860.0,16.0,54250.0,1808.0,16.0,58863.0,2700.0,2450.0,5831.0,257.0,720.0,,11709.0,,225.0
1969,606150.0,400.0,80.0,23800.0,4.0,105.0,160.0,1888.0,4496.0,153779.0,,1662.0,1.0,13326.0,8706.0,73291.0,6000.0,3083.0,460.0,160.0,,45.0,2392.0,3600.0,96.0,1902.0,14548.0,,6266.0,290.0,35190.0,1720.0,17747.0,14706.0,21217.0,400.0,2295.0,3894.0,1205.0,,6677.0,,14473.0,3.0,2010.0,16.0,4275.0,15620.0,7066.0,257.0,1200.0,9315.0,18239.0,162.0,,2104.0,0.0,1520.0,,10437.0,32.0,640.0,934.0,19846.0,3911.0,,654.0,40.0,,1680.0,58.0,1.0,,,8390.0,3645.0,3370.0,11128.0,25623.0,,11326.0,5326.0,439.0,59941.0,16067.0,122.0,,78.0,432.0,1700.0,500.0,4800.0,42007.0,25200.0,,,5.0,480.0,8.0,5727.0,12200.0,31060.0,6350.0,2833.0,57285.0,,350.0,16696.0,3136.0,6645.0,140720.0,440.0,8964.0,58380.0,707500.0,,722182.0,90.0,7015.0,3806.0,7813.0,1750.0,1333.0,36189.0,0.0,1902.0,2630.0,209.0,20869.0,,,,1908.0,111377.0,90.0,20300.0,,709510.0,4960.0,,2468.0,20940.0,384.0,2054.0,367.0,2770.0,7.0,497.0,13574.0,2.0,462.0,28520.0,8611.0,432.0,3000.0,,2210.0,10750.0,17.0,52820.0,1343.0,16.0,61685.0,2700.0,2450.0,4375.0,240.0,660.0,,10752.0,,225.0
1970,619650.0,300.0,48.0,24800.0,5.0,105.0,168.0,1696.0,4336.0,174380.0,,1835.0,1.0,8207.0,8622.0,68552.0,7000.0,3055.0,540.0,160.0,,5.0,2099.0,3600.0,100.0,1850.0,14141.0,,6388.0,281.0,33450.0,1960.0,16873.0,14347.0,21378.0,480.0,2280.0,3769.0,1428.0,,6644.0,,12963.0,4.0,1940.0,16.0,4727.0,15150.0,7110.0,127.0,933.0,9619.0,19727.0,168.0,,1773.0,0.0,1600.0,,12272.0,31.0,760.0,922.0,20447.0,3615.0,,628.0,30.0,,1560.0,96.0,1.0,,,9070.0,3568.0,3360.0,8941.0,24685.0,,14300.0,7300.0,449.0,61276.0,11446.0,85.0,,84.0,432.0,1700.0,625.0,4800.0,42799.0,25200.0,,,4.0,500.0,9.0,4780.0,13700.0,29520.0,6350.0,2639.0,58410.0,,325.0,16801.0,2820.0,6866.0,139670.0,458.0,8045.0,54380.0,596000.0,,794197.0,90.0,7255.0,3165.0,9060.0,1750.0,1372.0,32936.0,0.0,1875.0,2462.0,251.0,21284.0,,,,2139.0,91216.0,120.0,30270.0,,597940.0,4270.0,,2472.0,18877.0,368.0,2059.0,311.0,2910.0,7.0,428.0,14734.0,2.0,588.0,27385.0,9463.0,432.0,2400.0,,2240.0,10780.0,17.0,53690.0,1436.0,16.0,68725.0,2700.0,2460.0,4091.0,201.0,720.0,,10019.0,,250.0
