,Kenya,Bolivia (Plurinational State of),"China, Hong Kong SAR",Serbia and Montenegro,Rwanda,Myanmar,Burkina Faso,Malaysia,Comoros,Melanesia,Tonga,Dominican Republic,Syrian Arab Republic,Samoa,Nepal,Ethiopia,Indonesia,Pakistan,Saint Vincent and the Grenadines,Greece,Zimbabwe,Bangladesh,Malawi,Cyprus,Papua New Guinea,Uzbekistan,Spain,Eritrea,Guyana,Bulgaria,Vanuatu,Iran (Islamic Republic of),Guatemala,Togo,Mauritius,Kuwait,Nigeria,Madagascar,Kyrgyzstan,Saint Lucia,Bhutan,"China, Macao SAR",Georgia,India,Zambia,Dominica,Austria,Niger,Morocco,Ethiopia PDR,Lebanon,Mexico,Grenada,Romania,Ecuador,Democratic Republic of the Congo,Sri Lanka,China,Tunisia,Côte d'Ivoire,Colombia,Albania,Jamaica,Solomon Islands,Occupied Palestinian Territory,Italy,Hungary,Polynesia,Sierra Leone,Argentina,Thailand,Micronesia,Peru,"China, mainland",Wallis and Futuna Islands,Timor-Leste,Guam,Turkey
1961,1500.0,-1.0,50.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,55.0,-1.0,11000.0,38.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1,400.0,37600.0,-1.0,94.0,10.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,29.0,-1.0,800.0,15.0,-1.0,-1.0,320.0,-1,-1.0,-1.0,-1.0,-1.0,-1,1000.0,1250.0,0.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,50.0,13.0,-1.0,-1.0,-1.0,250.0,-1.0,-1.0,-1,-1.0,97.0,-1.0,-1.0,1250.0,-1,-1.0,-1.0,4.0,-1.0,-1,11000.0
1962,1500.0,-1.0,50.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,60.0,-1.0,11000.0,38.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1,400.0,31600.0,-1.0,100.0,10.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,57.0,-1.0,1600.0,15.0,-1.0,-1.0,325.0,-1,-1.0,230000.0,-1.0,-1.0,-1,1000.0,1250.0,0.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,50.0,13.0,-1.0,-1.0,-1.0,190.0,-1.0,-1.0,-1,-1.0,102.0,-1.0,-1.0,1250.0,-1,-1.0,-1.0,4.0,-1.0,-1,11336.0
1963,1500.0,-1.0,50.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,65.0,-1.0,11000.0,38.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1,400.0,29500.0,-1.0,107.0,15.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,48.0,-1.0,2400.0,15.0,-1.0,-1.0,330.0,-1,-1.0,240000.0,-1.0,-1.0,-1,1000.0,1250.0,0.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,50.0,6.0,-1.0,-1.0,-1.0,200.0,-1.0,-1.0,-1,-1.0,107.0,-1.0,-1.0,1250.0,-1,-1.0,-1.0,4.0,-1.0,-1,17313.0
1964,1500.0,-1.0,50.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,70.0,-1.0,18500.0,38.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1,400.0,29900.0,-1.0,107.0,15.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,35.0,-1.0,2400.0,15.0,-1.0,-1.0,335.0,-1,-1.0,257000.0,-1.0,-1.0,-1,1000.0,1250.0,0.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,50.0,13.0,-1.0,-1.0,-1.0,140.0,-1.0,-1.0,-1,-1.0,112.0,-1.0,-1.0,1250.0,-1,-1.0,-1.0,4.0,-1.0,-1,10204.0
1965,1500.0,-1.0,50.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,75.0,-1.0,11800.0,38.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1,400.0,12900.0,-1.0,24.0,15.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,33.0,-1.0,1600.0,15.0,-1.0,-1.0,345.0,-1,-1.0,261000.0,-1.0,-1.0,-1,1000.0,1250.0,0.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,50.0,9.0,-1.0,-1.0,-1.0,240.0,-1.0,-1.0,-1,-1.0,117.0,-1.0,-1.0,1250.0,-1,-1.0,-1.0,4.0,-1.0,-1,7694.0
1966,1500.0,-1.0,30.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,76.0,-1.0,800.0,38.0,-1.0,-1.0,-1.0,2748.0,-1.0,-1,400.0,13400.0,-1.0,24.0,20.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,57.0,-1.0,3100.0,15.0,-1.0,-1.0,350.0,-1,-1.0,258000.0,-1.0,-1.0,-1,1000.0,1600.0,0.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,30.0,9.0,-1.0,-1.0,-1.0,90.0,-1.0,-1.0,-1,-1.0,118.0,-1.0,-1.0,1650.0,-1,-1.0,-1.0,4.0,-1.0,-1,6012.0
1967,1500.0,-1.0,44.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,77.0,-1.0,800.0,39.0,-1.0,-1.0,-1.0,1763.0,-1.0,-1,400.0,13400.0,-1.0,54.0,20.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,50.0,-1.0,1500.0,15.0,-1.0,-1.0,350.0,-1,-1.0,260000.0,-1.0,-1.0,-1,1000.0,1600.0,0.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,44.0,9.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1,-1.0,120.0,-1.0,-1.0,1650.0,-1,-1.0,-1.0,4.0,-1.0,-1,6112.0
1968,1500.0,-1.0,40.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,78.0,-1.0,600.0,40.0,-1.0,-1.0,-1.0,1563.0,-1.0,-1,400.0,11700.0,-1.0,20.0,20.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,46.0,-1.0,2200.0,15.0,-1.0,-1.0,350.0,-1,-1.0,273000.0,-1.0,-1.0,-1,1000.0,1900.0,1200.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,40.0,15.0,-1.0,-1.0,-1.0,140.0,-1.0,-1.0,-1,-1.0,122.0,-1.0,-1.0,1650.0,-1,-1.0,-1.0,4.0,-1.0,-1,5478.0
1969,1500.0,-1.0,50.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,78.0,-1.0,627.0,40.0,-1.0,-1.0,-1.0,1700.0,-1.0,-1,400.0,29716.0,-1.0,13.0,25.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,70.0,-1.0,3000.0,15.0,-1.0,-1.0,350.0,-1,-1.0,291000.0,-1.0,-1.0,-1,2500.0,1900.0,800.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,50.0,9.0,-1.0,-1.0,-1.0,150.0,-1.0,-1.0,-1,-1.0,122.0,-1.0,-1.0,1650.0,-1,-1.0,-1.0,4.0,-1.0,-1,6990.0
1970,1500.0,-1.0,55.0,-1,40.0,-1.0,-1.0,-1.0,-1.0,37.0,78.0,-1.0,521.0,40.0,-1.0,-1.0,-1.0,2588.0,-1.0,-1,400.0,29249.0,-1.0,13.0,35.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,44.0,-1.0,3300.0,15.0,-1.0,-1.0,360.0,-1,-1.0,352600.0,-1.0,-1.0,-1,3000.0,1900.0,0.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,55.0,20.0,-1.0,-1.0,-1.0,110.0,-1.0,-1.0,-1,-1.0,122.0,-1.0,-1.0,1650.0,-1,-1.0,-1.0,4.0,-1.0,-1,10508.0
1971,1500.0,-1.0,70.0,-1,30.0,-1.0,-1.0,-1.0,-1.0,52.0,79.0,-1.0,434.0,40.0,-1.0,-1.0,-1.0,3337.0,-1.0,-1,400.0,28270.0,-1.0,13.0,50.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,57.0,-1.0,2600.0,15.0,-1.0,-1.0,370.0,-1,-1.0,438300.0,-1.0,-1.0,-1,3600.0,2500.0,0.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,70.0,20.0,-1.0,-1.0,-1.0,81.0,-1.0,-1.0,-1,-1.0,123.0,-1.0,-1.0,2000.0,-1,-1.0,-1.0,4.0,-1.0,-1,5375.0
1972,1500.0,-1.0,90.0,-1,30.0,-1.0,-1.0,-1.0,-1.0,37.0,79.0,-1.0,283.0,40.0,-1.0,-1.0,-1.0,4487.0,-1.0,-1,400.0,27179.0,-1.0,13.0,35.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,63.0,-1.0,2600.0,15.0,-1.0,-1.0,370.0,-1,-1.0,321700.0,-1.0,-1.0,-1,2700.0,3300.0,700.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,90.0,25.0,-1.0,-1.0,-1.0,119.0,-1.0,-1.0,-1,-1.0,123.0,-1.0,-1.0,2000.0,-1,-1.0,-1.0,4.0,-1.0,-1,9110.0
1973,1500.0,-1.0,90.0,-1,30.0,-1.0,-1.0,-1.0,-1.0,42.0,79.0,-1.0,369.0,40.0,-1.0,-1.0,-1.0,3555.0,-1.0,-1,500.0,26298.0,-1.0,-1.0,40.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,67.0,3.0,1800.0,15.0,-1.0,-1.0,380.0,-1,-1.0,355300.0,-1.0,-1.0,-1,3000.0,3000.0,800.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,90.0,60.0,-1.0,-1.0,-1.0,102.0,-1.0,-1.0,-1,-1.0,123.0,-1.0,-1.0,2000.0,-1,-1.0,-1.0,4.0,-1.0,-1,9220.0
1974,1500.0,-1.0,90.0,-1,30.0,-1.0,-1.0,-1.0,-1.0,217.0,80.0,-1.0,519.0,40.0,-1.0,-1.0,-1.0,2853.0,-1.0,-1,500.0,25016.0,-1.0,-1.0,215.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,93.0,3.0,1500.0,15.0,-1.0,-1.0,380.0,-1,-1.0,324900.0,-1.0,-1.0,-1,2600.0,4000.0,800.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,90.0,60.0,-1.0,-1.0,-1.0,115.0,-1.0,-1.0,-1,-1.0,124.0,-1.0,-1.0,2300.0,-1,-1.0,-1.0,4.0,-1.0,-1,11025.0
1975,1500.0,-1.0,90.0,-1,27.0,-1.0,-1.0,-1.0,-1.0,242.0,80.0,-1.0,1674.0,40.0,-1.0,-1.0,-1.0,3237.0,-1.0,-1,500.0,25345.0,-1.0,25.0,240.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,49.0,3.0,2600.0,15.0,-1.0,-1.0,400.0,-1,-1.0,314200.0,-1.0,-1.0,-1,2800.0,3000.0,1000.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,90.0,250.0,-1.0,-1.0,-1.0,170.0,-1.0,-1.0,-1,-1.0,124.0,-1.0,-1.0,2300.0,-1,-1.0,-1.0,4.0,-1.0,-1,16698.0
1976,1500.0,-1.0,90.0,-1,36.0,-1.0,-1.0,-1.0,-1.0,252.0,80.0,-1.0,1729.0,40.0,-1.0,-1.0,-1.0,2861.0,-1.0,-1,500.0,23194.0,-1.0,35.0,250.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,56.0,2.0,2600.0,15.0,-1.0,-1.0,400.0,-1,-1.0,330200.0,-1.0,-1.0,-1,1700.0,5000.0,300.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,90.0,750.0,-1.0,-1.0,-1.0,109.0,-1.0,-1.0,-1,-1.0,125.0,-1.0,-1.0,2300.0,-1,-1.0,-1.0,5.0,-1.0,-1,10318.0
1977,1500.0,-1.0,90.0,-1,40.0,-1.0,-1.0,-1.0,-1.0,157.0,80.0,-1.0,1542.0,40.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1,600.0,23576.0,-1.0,10.0,155.0,-1.0,-1.0,-1.0,-1,-1.0,2.0,-1.0,-1.0,-1.0,23.0,3.0,4100.0,15.0,-1.0,-1.0,400.0,-1,-1.0,584600.0,-1.0,-1.0,-1,600.0,5500.0,500.0,-1.0,-1.0,-1.0,-1,-1.0,-1,2900.0,90.0,750.0,-1.0,-1.0,-1.0,111.0,-1.0,-1.0,-1,-1.0,125.0,-1.0,-1.0,2300.0,-1,-1.0,-1.0,5.0,-1.0,-1,12719.0
