,USSR,Cambodia,France,Australia & New Zealand,Australia,Pakistan,Slovakia,Thailand,Ethiopia,Kenya,Nigeria,Yemen,Romania,Lao People's Democratic Republic,Zambia,Botswana,Peru,Togo,Tunisia,Equatorial Guinea,Albania,Brazil,Chad,Mozambique,Niger,Democratic People's Republic of Korea,El Salvador,Canada,Colombia,Spain,Central African Republic,Tajikistan,India,Jamaica,Ecuador,Swaziland,Indonesia,Poland,Argentina,Turkey,Antigua and Barbuda,Belgium-Luxembourg,Angola,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Czechoslovakia,Haiti,Republic of Korea,Democratic Republic of the Congo,New Zealand,Sudan,Mali,Hungary,Dominican Republic,Syrian Arab Republic,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Gambia,Ghana,"China, mainland",Cyprus,Guinea-Bissau,Rwanda,Lithuania,Cameroon,Netherlands,Guatemala,Saint Kitts and Nevis,Cuba,Austria,United States of America,Bhutan,Turkmenistan,Philippines,Iraq,Madagascar,United Republic of Tanzania,Burundi,Belgium,Nepal,Czechia,Costa Rica,Bangladesh,Italy,Senegal,Germany,Uganda,Comoros,Benin,Sweden,Montserrat,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Chile,Honduras,Uruguay,Denmark,Zimbabwe,Kyrgyzstan,Malawi,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Afghanistan,Somalia,Namibia,Grenada,United Kingdom,Azerbaijan,Mauritius,Nicaragua,Viet Nam,Estonia,Russian Federation,Portugal,Bolivia (Plurinational State of),Paraguay,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Latvia,Guinea,South Africa,Guadeloupe,Sri Lanka,Côte d'Ivoire,Croatia,Bulgaria,Myanmar,Ukraine
1961,4938.0,10293.0,10715.0,2271.0,2176.0,2358.0,,10291.0,,5792.0,1700.0,2766.0,4488.0,3208.0,,10000.0,5518.0,569.0,3354.0,4000.0,2269.0,3046.0,552.0,1831.0,1369.0,2364.0,7308.0,,5719.0,3644.0,784.0,,2638.0,5848.0,1824.0,3684.0,3820.0,5403.0,2499.0,3497.0,2540.0,12042.0,7170.0,778.0,4128.0,,23965.0,4328.0,5433.0,4511.0,2842.0,2942.0,9624.0,,522.0,9270.0,2933.0,4850.0,5995.0,7312.0,3419.0,,,,2531.0,1163.0,,3019.0,,1396.0,12599.0,5013.0,3125.0,5773.0,7755.0,4915.0,,,5141.0,2319.0,7585.0,5481.0,2636.0,,10667.0,,6638.0,15334.0,4300.0,3000.0,3320.0,809.0,6920.0,679.0,10467.0,6923.0,,2599.0,349.0,,3090.0,2571.0,9107.0,7567.0,2477.0,10000.0,5315.0,,1044.0,1579.0,13766.0,8672.0,33333.0,6238.0,,2211.0,672.0,,1146.0,,,3667.0,5920.0,12036.0,,,9695.0,4950.0,2429.0,2750.0,3017.0,,1000.0,4548.0,2400.0,3296.0,1398.0,,2636.0,1168.0,
1962,4778.0,20635.0,9830.0,2795.0,2750.0,2698.0,,9139.0,,5044.0,1700.0,3489.0,5202.0,4186.0,,8000.0,5915.0,718.0,3000.0,4000.0,2373.0,3290.0,989.0,1984.0,1891.0,2364.0,7636.0,,5454.0,3575.0,834.0,,2628.0,5722.0,1726.0,1909.0,3111.0,5285.0,2060.0,3866.0,2267.0,11574.0,8918.0,849.0,6645.0,,21966.0,3154.0,5071.0,4531.0,2073.0,1690.0,2834.0,,848.0,7989.0,2932.0,4969.0,6406.0,7428.0,2653.0,,,,2560.0,1196.0,,3179.0,,2216.0,12650.0,4733.0,3115.0,4379.0,7821.0,5124.0,,,5997.0,2411.0,9657.0,5327.0,2385.0,,11333.0,,6828.0,16478.0,4233.0,1405.0,3619.0,467.0,7347.0,602.0,10417.0,6364.0,,2626.0,615.0,,4474.0,3687.0,9286.0,8206.0,2813.0,10000.0,5686.0,,1610.0,1700.0,13518.0,9716.0,33333.0,6556.0,,2855.0,764.0,,1041.0,,,3250.0,7513.0,12883.0,,,9247.0,4950.0,2140.0,2933.0,3452.0,,1000.0,4656.0,2286.0,3347.0,1467.0,,3416.0,1273.0,
1963,5469.0,21344.0,9776.0,2056.0,1559.0,2874.0,,10299.0,,5810.0,1433.0,3200.0,4790.0,4186.0,3755.0,8000.0,5850.0,422.0,3367.0,5000.0,2832.0,3011.0,1328.0,1951.0,1525.0,2364.0,8164.0,,5823.0,4027.0,772.0,,2728.0,5707.0,1692.0,1833.0,2825.0,4848.0,2649.0,4285.0,1573.0,11665.0,7832.0,829.0,6536.0,,19773.0,4247.0,5825.0,4832.0,3460.0,1840.0,2564.0,,963.0,9478.0,3605.0,5255.0,6619.0,7438.0,3402.0,,,,3101.0,1188.0,,2645.0,,2271.0,12707.0,6289.0,3111.0,5133.0,,5790.0,,,6524.0,2000.0,9658.0,5205.0,1804.0,,11543.0,,6881.0,15519.0,5750.0,1349.0,3462.0,803.0,7356.0,616.0,9443.0,6667.0,,3155.0,597.0,,3556.0,3711.0,9286.0,7166.0,3357.0,10000.0,4937.0,,936.0,1848.0,14013.0,10859.0,33333.0,6204.0,,3023.0,722.0,,1426.0,,,13490.0,7793.0,13152.0,,,8460.0,6600.0,1794.0,2750.0,4161.0,,1000.0,4885.0,2250.0,3513.0,1540.0,,3174.0,1329.0,
1964,5341.0,14177.0,11019.0,2316.0,2028.0,2609.0,,11086.0,,5194.0,1567.0,2486.0,4747.0,3043.0,4239.0,15594.0,5705.0,489.0,6102.0,5000.0,2817.0,2965.0,1235.0,2198.0,1624.0,2364.0,6651.0,12308.0,5121.0,4135.0,869.0,,2610.0,5610.0,2300.0,1345.0,3108.0,4330.0,2018.0,4964.0,1800.0,11845.0,8185.0,873.0,7510.0,,21318.0,5216.0,5799.0,4694.0,3611.0,2186.0,2614.0,,1161.0,10038.0,3190.0,6134.0,7456.0,8299.0,3298.0,,,,3738.0,1464.0,,2181.0,,2027.0,12872.0,6843.0,3077.0,8616.0,,5797.0,,,6087.0,2724.0,11022.0,5164.0,2849.0,,11160.0,,6565.0,14249.0,5019.0,1400.0,3671.0,800.0,6443.0,915.0,10262.0,7000.0,,3796.0,568.0,,2272.0,4306.0,9286.0,8333.0,2341.0,10000.0,4646.0,,1166.0,2215.0,16035.0,12242.0,33333.0,6350.0,,2142.0,921.0,,954.0,,,12060.0,8184.0,13858.0,,,9794.0,4125.0,2366.0,2765.0,3896.0,,1000.0,2894.0,2250.0,3700.0,1611.0,,4143.0,1211.0,
1965,6078.0,13636.0,10042.0,4095.0,5651.0,2696.0,,11991.0,,5069.0,1533.0,2771.0,6091.0,3556.0,3058.0,18182.0,5565.0,517.0,3750.0,4260.0,3598.0,2837.0,1055.0,1522.0,1230.0,2364.0,7477.0,,5138.0,4183.0,790.0,,2269.0,9289.0,2492.0,1544.0,3348.0,5563.0,2625.0,4901.0,1250.0,11561.0,8368.0,921.0,6582.0,,13980.0,5467.0,6119.0,5318.0,4525.0,1937.0,2540.0,,1040.0,10856.0,3205.0,6276.0,7146.0,8425.0,4121.0,,,,4542.0,1956.0,,1478.0,,2300.0,12276.0,7464.0,3135.0,8142.0,,5909.0,,,5690.0,3179.0,11298.0,4491.0,2250.0,,12129.0,,6276.0,14461.0,5222.0,2800.0,4282.0,876.0,6467.0,919.0,9637.0,7222.0,,4589.0,507.0,,3389.0,4703.0,9286.0,8220.0,2000.0,10000.0,4203.0,,1693.0,2554.0,14475.0,12321.0,33333.0,7099.0,,3089.0,924.0,,1802.0,,,10944.0,9373.0,13916.0,,,9378.0,4950.0,2522.0,2750.0,4176.0,,1000.0,4910.0,2333.0,2833.0,1842.0,,3556.0,1440.0,
1966,6464.0,18070.0,10781.0,5724.0,7922.0,2924.0,,11758.0,,4710.0,1533.0,2229.0,6847.0,3354.0,7034.0,20326.0,5979.0,627.0,4333.0,2570.0,3612.0,3264.0,1508.0,1775.0,1427.0,2364.0,6778.0,12075.0,5284.0,3908.0,1179.0,,2451.0,7615.0,3557.0,1606.0,3948.0,5948.0,2659.0,5507.0,1266.0,10999.0,8593.0,1136.0,5905.0,,14827.0,6352.0,6222.0,4948.0,5493.0,1961.0,2599.0,,1678.0,10951.0,3605.0,5552.0,7371.0,9222.0,3426.0,,,,5047.0,1860.0,,2744.0,,2116.0,11060.0,9580.0,3174.0,8797.0,,5383.0,,,6979.0,2911.0,10078.0,4585.0,2073.0,,12105.0,,6394.0,14045.0,5858.0,4290.0,4277.0,919.0,4380.0,997.0,,7250.0,,5088.0,1093.0,,3481.0,4682.0,9286.0,7982.0,3337.0,10000.0,5118.0,,853.0,1472.0,14624.0,11354.0,33333.0,5498.0,,4229.0,924.0,,1378.0,,,14357.0,7727.0,15023.0,,,8257.0,5868.0,1481.0,2750.0,4649.0,,1000.0,2549.0,3644.0,6303.0,2626.0,,5556.0,1378.0,
1967,6583.0,18939.0,12068.0,4848.0,6688.0,3023.0,,10106.0,,4467.0,1733.0,3189.0,6330.0,3298.0,2680.0,11496.0,5070.0,682.0,2000.0,1180.0,3217.0,2086.0,1268.0,1759.0,1271.0,2364.0,8200.0,,6144.0,4557.0,1438.0,,2698.0,7708.0,3417.0,2184.0,4344.0,6575.0,2672.0,5634.0,1050.0,12279.0,7678.0,1214.0,6467.0,,16218.0,6791.0,6479.0,4948.0,5999.0,1873.0,2309.0,,1922.0,11724.0,3341.0,5295.0,7383.0,8824.0,3926.0,,,,4975.0,2629.0,,2708.0,,1856.0,13437.0,6492.0,3158.0,9040.0,,5007.0,33333.0,,6486.0,3127.0,9559.0,4616.0,2966.0,,11875.0,,6303.0,12778.0,5216.0,5090.0,4812.0,898.0,5260.0,1346.0,,6250.0,,5016.0,953.0,,3771.0,3539.0,9464.0,7141.0,2246.0,10000.0,6570.0,,750.0,1717.0,15530.0,9691.0,33333.0,6477.0,,4375.0,924.0,,883.0,,,11582.0,7555.0,16769.0,,,9330.0,5401.0,2337.0,2765.0,4291.0,,1000.0,2231.0,3812.0,2677.0,3080.0,,5055.0,1450.0,
1968,6317.0,14961.0,16349.0,7078.0,9338.0,3032.0,,9957.0,,4552.0,900.0,2982.0,5244.0,4327.0,2525.0,9112.0,6183.0,504.0,3500.0,3000.0,1899.0,2254.0,1868.0,1862.0,1308.0,2364.0,8825.0,12222.0,6562.0,5709.0,1684.0,,2111.0,7323.0,3550.0,1544.0,3682.0,6297.0,2608.0,6232.0,1309.0,12063.0,8581.0,1265.0,7184.0,,28987.0,5244.0,6102.0,4879.0,5723.0,1792.0,2557.0,,2133.0,9845.0,4744.0,5376.0,8183.0,4841.0,4954.0,,,2059.0,5110.0,2821.0,,2685.0,,2487.0,12570.0,8079.0,3091.0,10310.0,,5785.0,40000.0,,6165.0,3730.0,9563.0,4162.0,3032.0,,9787.0,,6434.0,11584.0,5286.0,5469.0,5592.0,760.0,3944.0,1948.0,,6500.0,,5149.0,1602.0,,3733.0,4304.0,9554.0,7482.0,1927.0,10000.0,4015.0,,892.0,1897.0,14174.0,10940.0,33333.0,6347.0,,4341.0,840.0,,1378.0,,,15721.0,6947.0,18602.0,,,9456.0,6091.0,2601.0,2750.0,4431.0,,1000.0,2817.0,3625.0,1907.0,3249.0,,3036.0,1950.0,
1969,6241.0,7611.0,13416.0,7094.0,9282.0,3091.0,,8863.0,,4749.0,1538.0,2455.0,5819.0,4719.0,2611.0,10967.0,5450.0,715.0,4714.0,4000.0,2275.0,2241.0,1475.0,1852.0,1666.0,2364.0,9003.0,,5795.0,3937.0,1656.0,,2610.0,7308.0,4607.0,1462.0,3035.0,6020.0,2835.0,6396.0,1571.0,11703.0,7463.0,1294.0,8005.0,,14676.0,6952.0,6998.0,4657.0,5656.0,1956.0,2594.0,,3081.0,13113.0,3568.0,4844.0,7617.0,5808.0,4349.0,,,1504.0,4699.0,3937.0,,2934.0,,3139.0,12341.0,8699.0,3000.0,10401.0,,4864.0,40000.0,,6227.0,4242.0,10036.0,4138.0,2977.0,,9348.0,,7015.0,13492.0,4124.0,3976.0,5623.0,909.0,2725.0,2509.0,,5333.0,,4743.0,1530.0,,4772.0,4060.0,9643.0,7611.0,2797.0,10000.0,6178.0,,1638.0,1923.0,14704.0,11971.0,33333.0,6222.0,,5218.0,840.0,,1192.0,,,17299.0,7034.0,18866.0,,,9785.0,6161.0,2169.0,2750.0,4590.0,,1000.0,3626.0,3750.0,5705.0,3439.0,,3948.0,2117.0,
1970,6408.0,13894.0,10179.0,6038.0,7754.0,3125.0,,9324.0,,3653.0,2053.0,3278.0,5238.0,5030.0,2684.0,5625.0,6642.0,711.0,3500.0,4000.0,2273.0,2085.0,1172.0,1947.0,1737.0,2364.0,8303.0,12179.0,5297.0,6049.0,1592.0,,2411.0,7308.0,6055.0,1630.0,2999.0,5850.0,3263.0,7685.0,1625.0,9450.0,7144.0,1381.0,7632.0,,20495.0,7453.0,5854.0,4638.0,5421.0,1572.0,2594.0,,3040.0,10525.0,3969.0,5980.0,8130.0,6556.0,4793.0,,3636.0,1834.0,4907.0,2537.0,,2937.0,,2744.0,10191.0,8693.0,3000.0,10629.0,,4916.0,33333.0,,7162.0,4637.0,9354.0,4168.0,3507.0,,9478.0,,8636.0,13262.0,3239.0,3088.0,5390.0,980.0,2786.0,3246.0,,6571.0,,4938.0,1023.0,,4374.0,3454.0,10648.0,7790.0,2258.0,7197.0,4296.0,,1506.0,1122.0,14309.0,10106.0,33333.0,5600.0,,4659.0,910.0,,1278.0,,,21728.0,6280.0,20903.0,,,9196.0,6159.0,2508.0,2750.0,4777.0,,1000.0,2947.0,3750.0,3493.0,3642.0,,4093.0,2256.0,
