,Canada
1961,5665.0
1962,6501.0
1963,6557.0
1964,6450.0
1965,5711.0
1966,6911.0
1967,6012.0
1968,6780.0
1969,6467.0
1970,7290.0
1971,6299.0
1972,6431.0
1973,6538.0
1974,7537.0
1975,8808.0
1976,7420.0
1977,6992.0
1978,8854.0
1979,10382.0
1980,8627.0
1981,10344.0
1982,11686.0
1983,10516.0
1984,11436.0
1985,10217.0
1986,10305.0
1987,12050.0
1988,11228.0
1989,11652.0
1990,13053.0
1991,12691.0
1992,12722.0
1993,12907.0
1994,13948.0
1995,12890.0
1996,14135.0
1997,13446.0
1998,14917.0
1999,13922.0
2000,12998.0
2001,13977.0
2002,14991.0
2003,15604.0
2004,14089.0
2005,13956.0
2006,14512.0
2007,14882.0
2008,13890.0
2009,16345.0
2010,18186.0
2011,18739.0
2012,17995.0
2013,16374.0
2014,14688.0
