,Austria,USSR,Romania,Japan,Poland,Syrian Arab Republic,Turkey,Republic of Korea,Saudi Arabia,Pakistan,Czechoslovakia,France,Czechia,Bangladesh,Italy,Hungary,Germany,Russian Federation,Bulgaria,Yugoslav SFR,Sweden,China,Serbia and Montenegro,Democratic People's Republic of Korea,"China, mainland",Chile,Cyprus,Spain,Croatia,Portugal,Netherlands,Ukraine,India
1961,10.0,200000.0,31000.0,2330.0,17260.0,494.0,7100.0,7126.0,,,4774.0,1995.0,,,12601.0,20386.0,3576.0,,11971.0,44000.0,863.0,90000.0,,7000.0,90000.0,3600.0,,7065.0,,122.0,-1.0,,
1962,11.0,200000.0,24400.0,1870.0,20000.0,441.0,6000.0,7012.0,,,4461.0,1824.0,,,14724.0,22272.0,4973.0,,10965.0,48700.0,858.0,100000.0,,7000.0,100000.0,3600.0,,8795.0,,152.0,-1.0,,
1963,,200000.0,23500.0,1240.0,16000.0,454.0,6300.0,6586.0,,,4725.0,1203.0,,,12213.0,22376.0,4372.0,,10459.0,44400.0,667.0,120000.0,,7000.0,120000.0,3600.0,,6625.0,,113.0,-1.0,,
1964,,250000.0,26100.0,1110.0,18000.0,399.0,6000.0,5992.0,,,5358.0,1817.0,,,8765.0,22800.0,4548.0,,10180.0,45300.0,530.0,130000.0,,7000.0,130000.0,3600.0,,3775.0,,166.0,-1.0,,
1965,,271000.0,21200.0,1000.0,22400.0,354.0,6700.0,5630.0,,,4166.0,1854.0,,,8858.0,23555.0,2903.0,,11412.0,47400.0,386.0,140000.0,,7000.0,140000.0,3600.0,,1648.0,,115.0,-1.0,,
1966,,245000.0,23400.0,1000.0,21100.0,500.0,6700.0,5625.0,,,6054.0,869.0,,,9410.0,22839.0,2598.0,,15108.0,45500.0,,153000.0,,7000.0,153000.0,3600.0,,1074.0,,123.0,-1.0,,
1967,,229000.0,28000.0,950.0,19900.0,300.0,4700.0,6002.0,,,6222.0,598.0,,,6066.0,19492.0,2048.0,,13698.0,38900.0,,155000.0,,7000.0,155000.0,3600.0,,722.0,,60.0,-1.0,,
1968,,223000.0,28835.0,950.0,15400.0,387.0,6300.0,5666.0,,,4326.0,199.0,,,4002.0,13509.0,1875.0,,11459.0,17200.0,,157000.0,,7000.0,157000.0,3600.0,,314.0,,79.0,-1.0,,
1969,,216000.0,28892.0,950.0,15300.0,384.0,5500.0,5829.0,,,1510.0,80.0,,,1861.0,13759.0,1462.0,,11677.0,16450.0,,157000.0,,7000.0,157000.0,3600.0,,294.0,,93.0,-1.0,,
1970,,204000.0,23062.0,900.0,14000.0,687.0,5600.0,5284.0,,,1754.0,130.0,,,899.0,12696.0,1698.0,,10039.0,17952.0,,160000.0,,7000.0,160000.0,3700.0,,261.0,,93.0,-1.0,,
1971,,187000.0,25577.0,900.0,14100.0,357.0,5300.0,3872.0,,,2087.0,130.0,,,454.0,10275.0,1548.0,,9397.0,16043.0,,163000.0,,8000.0,163000.0,3500.0,,92.0,,-1.0,-1.0,,
1972,,187000.0,24900.0,720.0,13200.0,439.0,5700.0,3582.0,,,2177.0,130.0,,,269.0,9198.0,474.0,,8870.0,11683.0,,165000.0,,8000.0,165000.0,3500.0,,85.0,,-1.0,-1.0,,
1973,,166000.0,27500.0,720.0,11100.0,369.0,5500.0,3317.0,,,2311.0,130.0,,,161.0,10489.0,0.0,,7291.0,10757.0,,167000.0,,8000.0,167000.0,3200.0,,92.0,,-1.0,-1.0,,
1974,,162000.0,31900.0,720.0,13300.0,505.0,5900.0,2739.0,,,2239.0,130.0,,,142.0,10102.0,-1.0,,9064.0,10518.0,,165000.0,,8000.0,165000.0,3500.0,,1327.0,,-1.0,-1.0,,
1975,,155000.0,31800.0,540.0,11877.0,451.0,4700.0,2062.0,,,1694.0,130.0,,,162.0,6178.0,-1.0,,5557.0,9035.0,,164000.0,,8000.0,164000.0,3800.0,,103.0,,-1.0,-1.0,,
1976,,144000.0,32900.0,540.0,11086.0,329.0,8000.0,458.0,,,1943.0,130.0,,,205.0,8574.0,-1.0,,7249.0,7577.0,,162000.0,,8000.0,162000.0,4000.0,,139.0,,-1.0,-1.0,,
