,Ukraine,Tajikistan,Belarus,Czechoslovakia,Bhutan,Croatia,USSR,Brazil,China,Canada,Japan,Republic of Korea,South Africa,Hungary,Kazakhstan,United States of America,Yugoslav SFR,France,Lithuania,Slovenia,Poland,"China, mainland",Russian Federation,Czechia,Republic of Moldova
1961,-1.0,-1.0,-1.0,102.0,352.0,-1.0,205830.0,57.0,346500.0,1000.0,1185.0,738.0,975.0,0.0,-1.0,2000.0,712.0,3654.0,-1.0,-1.0,3200.0,346500.0,-1.0,-1.0,-1.0
1962,-1.0,-1.0,-1.0,112.0,368.0,-1.0,164160.0,600.0,283500.0,1000.0,1125.0,682.0,975.0,0.0,-1.0,1000.0,662.0,4032.0,-1.0,-1.0,2900.0,283500.0,-1.0,-1.0,-1.0
1963,-1.0,-1.0,-1.0,86.0,376.0,-1.0,124470.0,480.0,262500.0,1000.0,1041.0,699.0,1300.0,0.0,-1.0,2000.0,596.0,3186.0,-1.0,-1.0,2500.0,262500.0,-1.0,-1.0,-1.0
1964,-1.0,-1.0,-1.0,74.0,388.0,-1.0,161460.0,366.0,262500.0,1000.0,939.0,893.0,1105.0,0.0,-1.0,1000.0,551.0,2988.0,-1.0,-1.0,3000.0,262500.0,-1.0,-1.0,-1.0
1965,-1.0,-1.0,-1.0,82.0,400.0,-1.0,165960.0,198.0,294000.0,1000.0,843.0,629.0,975.0,0.0,-1.0,1000.0,497.0,2511.0,-1.0,-1.0,2800.0,294000.0,-1.0,-1.0,-1.0
1966,-1.0,-1.0,-1.0,72.0,412.0,-1.0,155070.0,258.0,252000.0,1632.0,753.0,513.0,975.0,0.0,-1.0,1000.0,477.0,1989.0,-1.0,-1.0,3100.0,252000.0,-1.0,-1.0,-1.0
1967,-1.0,-1.0,-1.0,38.0,424.0,-1.0,153270.0,1140.0,231000.0,1772.0,714.0,1097.0,1625.0,0.0,-1.0,1000.0,473.0,1611.0,-1.0,-1.0,2600.0,231000.0,-1.0,-1.0,-1.0
1968,-1.0,-1.0,-1.0,37.0,424.0,-1.0,183870.0,576.0,258300.0,2166.0,615.0,447.0,1625.0,0.0,-1.0,1000.0,458.0,1548.0,-1.0,-1.0,3600.0,258300.0,-1.0,-1.0,-1.0
1969,-1.0,-1.0,-1.0,31.0,432.0,-1.0,169110.0,576.0,265650.0,3309.0,555.0,399.0,228.0,0.0,-1.0,1000.0,440.0,1422.0,-1.0,-1.0,3500.0,265650.0,-1.0,-1.0,-1.0
1970,-1.0,-1.0,-1.0,24.0,440.0,-1.0,159120.0,492.0,241500.0,2460.0,563.0,364.0,358.0,0.0,-1.0,1000.0,286.0,1314.0,-1.0,-1.0,3200.0,241500.0,-1.0,-1.0,-1.0
1971,-1.0,-1.0,-1.0,29.0,440.0,-1.0,154800.0,462.0,257250.0,2243.0,654.0,289.0,228.0,0.0,-1.0,1000.0,282.0,1071.0,-1.0,-1.0,2500.0,257250.0,-1.0,-1.0,-1.0
1972,-1.0,-1.0,-1.0,11.0,448.0,-1.0,148320.0,1440.0,234150.0,1089.0,810.0,432.0,283.0,0.0,-1.0,1200.0,264.0,1008.0,-1.0,-1.0,2100.0,234150.0,-1.0,-1.0,-1.0
1973,-1.0,-1.0,-1.0,11.0,448.0,-1.0,143010.0,1860.0,222600.0,1306.0,699.0,285.0,540.0,0.0,-1.0,500.0,208.0,963.0,-1.0,-1.0,2500.0,222600.0,-1.0,-1.0,-1.0
1974,-1.0,-1.0,-1.0,2.0,468.0,-1.0,131310.0,2460.0,213150.0,1393.0,549.0,246.0,1076.0,0.0,-1.0,1300.0,186.0,936.0,-1.0,-1.0,1900.0,213150.0,-1.0,-1.0,-1.0
1975,-1.0,-1.0,-1.0,2.0,488.0,-1.0,128790.0,1500.0,210000.0,1380.0,441.0,303.0,280.0,0.0,-1.0,1700.0,149.0,702.0,-1.0,-1.0,2400.0,210000.0,-1.0,-1.0,-1.0
1976,-1.0,-1.0,-1.0,0.0,488.0,-1.0,156870.0,1260.0,189945.0,2200.0,498.0,506.0,224.0,0.0,-1.0,1800.0,140.0,579.0,-1.0,-1.0,2200.0,189945.0,-1.0,-1.0,-1.0
