,Côte d'Ivoire,Australia,Argentina,United Kingdom,Kuwait,Macau,Swaziland,South Africa,Slovakia,Trinidad and Tobago,Niger,Grenada,India,Japan,Morocco,Tanzania,Yemen,Mongolia,Greece,Peru,Norway,Brazil,Serbia,Zimbabwe,Taiwan,Honduras,Zambia,Uganda,Malta,Nigeria,Israel,Mauritania,Soviet Union,Cape Verde,Gabon,Iraq,Sudan,Liberia,Lithuania,Uzbekistan,Lesotho,Vietnam,Guyana,Estonia,Italy,Uruguay,Nicaragua,Timor-Leste,Myanmar,Germany,Poland,Guinea-Bissau,Tunisia,Iceland,Hong Kong,United States,Ecuador,Togo,Kenya,Finland,El Salvador,Mali,Costa Rica,Kazakhstan,Sudan,Senegal,Angola,Guatemala,Lebanon,Samoa,Malaysia,Cyprus,Portugal,Benin,Oman,Philippines,Brunei Darussalam,Turkmenistan,Bahamas,Central African Republic,Montenegro,Switzerland,Slovenia,Ghana,Botswana,Moldova,Hungary,Mexico,Colombia,Jamaica,Netherlands Antilles,Croatia,Suriname,Vanuatu,Tajikistan,Lao People's Democratic Republic,Czech Republic,New Zealand,Sweden,Bosnia and Herzegovina,Austria,Sri Lanka,Jordan,Macedonia,Iran,Belarus,Panama,Mauritius,Fiji,Afghanistan,Spain,Djibouti,New Caledonia,Sierra Leone,Maldives,Nepal,Congo,Haiti,Ireland,Saudi Arabia,Mozambique,Saint Vincent and the Grenadines,Sao Tome and Principe,Cambodia,Montenegro,Ukraine,United Arab Emirates,Myanmar,Romania,Albania,Turkey,Namibia,North Korea,Cuba,Venezuela,Rwanda,Egypt,Chad,China,Cameroon,Belgium,Barbados,Bulgaria,Madagascar,Luxembourg,Gambia,Saint Lucia,Thailand,Denmark,Canada,France,Yugoslavia,Paraguay,Burkina Faso,Armenia,Slovakia,Dominican Republic,South Korea,Chile,Belize,Georgia,Solomon Islands,Malawi,Russian Federation,The Netherlands,Ethiopia,French Polynesia,Guinea,Saint Kitts and Nevis,Azerbaijan,Kyrgyzstan,Pakistan,Algeria,Latvia,Bolivia,Bangladesh,Indonesia
0,1947.0,,,,0.018173879823173058,,,,,,,,,,,,,0.025050482999508808,0.02008404737215521,,,,,,0.027069802979861373,,,,,,,,,,,,,,,,,,,,,0.029334715930797364,,,,,0.028734377558260107,,,,,0.01858320144081209,,,,,0.017464389019265402,,,,0.01484473066637559,,,,0.021148283578016697,,,,,0.02551438083283305,0.018665065764339902,,0.017027779293783768,,,,0.01844676090159908,0.027206243519074386,,0.01331659662718987,,0.01732794848005239,,,,0.024668449489712384,,,,,0.013016427440921245,0.011242700431152105,0.02147574087212793,0.025268787862249627,0.02043879277410904,,0.017709981989848824,,,0.01792828685258964,,,0.033673525077771105,0.017982863068274846,,,0.013016427440921245,0.020302352234896032,,,,,,0.015472357146755444,0.012034055558587569,,,,,,,,,,0.02079353817606287,,,,,0.01858320144081209,,,,0.010205752333133221,,0.02824319161709327,,0.015636085793811056,,0.024368280303443755,,,,,0.014217104185995744,,0.018501337117284286,,,0.020002183048627404,,0.013971511215412322,,0.013671342029143696,0.021230147901544504,0.029989630519019813,0.01940184467609016,,,0.0198384544015718,,0.019783878185886592,,,,,,0.025923702450472083,,0.018501337117284286,,,
1,1948.0,,,,0.022602485936605247,,,,,,,,,,,,,0.032270017179236714,0.02533095294236535,,,,,,0.032000538956445584,,,,,,,,,,,,,,,,,,,,,0.035369016741334594,,,,,0.03462795162865901,,,,,0.02526358338666756,,,,,,,,,0.017684508370667297,,,,,,,,,0.03122578906592112,0.024118300939805302,,0.020817192710614076,,,,0.02196247515747634,0.03412267996092566,,,,,,,,0.031495267288712235,,,,,,,0.027352039613298757,0.030888941287432213,0.02661097450062317,,,,,,,,,0.025196213830969785,,,0.01448445447502274,0.026274126722134267,,,,,,0.020042442820089604,0.014113921918684947,,,,,,,,,,0.029541550173476608,,,,,0.024118300939805302,,,,0.01458550880856941,,0.03496479940714791,,,,0.031158419510223325,,,,,0.020008758042240712,,0.02580253983224981,,,,,,,0.018055040927005092,0.028598376393707686,0.0367164078552902,0.025937278943645368,,,0.024084616161956413,,0.027655202613938758,,,,,,0.03122578906592112,,0.022265638158116347,,,
2,1949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
