,Kenya,Melanesia,Yemen,Guyana,Cameroon,Saudi Arabia,Malaysia,Philippines,Syrian Arab Republic,Benin,Jamaica,Pakistan,Iraq,Cyprus,Belize,Bahamas,United States of America,Barbados,Guatemala,Mauritius,United Arab Emirates,Senegal,Jordan,India,Burkina Faso,Fiji,Bahrain,Kuwait,Congo,Qatar,Mexico,Nigeria,Egypt,Puerto Rico,Oman,Côte d'Ivoire,Albania,Lebanon,Brunei Darussalam,Trinidad and Tobago,Occupied Palestinian Territory,Sudan,Ghana,Sudan (former),Turkey
1961,-1.0,25000.0,-1.0,-1.0,-1.0,29412.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,146667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51667.0,100000.0,25000.0,-1.0,-1.0,-1.0,-1.0,58824.0,15667.0,150000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35000.0,-1.0,27027.0
1962,-1.0,25000.0,-1.0,-1.0,-1.0,29412.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,137705.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0,100000.0,25000.0,-1.0,-1.0,-1.0,-1.0,58824.0,16067.0,150000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35000.0,-1.0,27027.0
1963,-1.0,25000.0,-1.0,-1.0,-1.0,29412.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,132258.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0,100000.0,25000.0,-1.0,-1.0,-1.0,-1.0,58824.0,16400.0,166667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35000.0,-1.0,29730.0
1964,-1.0,25000.0,-1.0,-1.0,-1.0,29412.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,129032.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49706.0,100000.0,25000.0,-1.0,-1.0,-1.0,-1.0,60000.0,16800.0,120000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35000.0,-1.0,29730.0
1965,-1.0,25000.0,-1.0,-1.0,-1.0,28889.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,139683.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0,100000.0,25000.0,-1.0,-1.0,-1.0,-1.0,61905.0,16710.0,136364.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35000.0,-1.0,30000.0
1966,-1.0,25000.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,147619.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50811.0,100000.0,25000.0,-1.0,-1.0,-1.0,-1.0,60870.0,17097.0,150000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33810.0,-1.0,30000.0
1967,-1.0,25000.0,-1.0,-1.0,-1.0,29474.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,140000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51053.0,100000.0,25000.0,-1.0,-1.0,-1.0,-1.0,60000.0,17548.0,133333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33913.0,-1.0,30000.0
1968,-1.0,25000.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,146154.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50505.0,100000.0,25000.0,-1.0,-1.0,-1.0,-1.0,59259.0,18000.0,137500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33913.0,-1.0,30188.0
1969,-1.0,25000.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,148462.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35000.0,50000.0,100000.0,25000.0,-1.0,-1.0,-1.0,-1.0,58824.0,18516.0,138889.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32800.0,-1.0,31285.0
1970,-1.0,25000.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,151642.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51020.0,52752.0,100000.0,25000.0,-1.0,-1.0,-1.0,-1.0,60000.0,18125.0,135000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35714.0,-1.0,30000.0
