,Paraguay,Seychelles,Kenya,Bolivia (Plurinational State of),Peru,Rwanda,Cameroon,Israel,Dominican Republic,Philippines,Guadeloupe,Australia & New Zealand,Cook Islands,Ethiopia,Indonesia,Pacific Islands Trust Territory,Greece,Zimbabwe,Réunion,Côte d'Ivoire,Venezuela (Bolivarian Republic of),Cyprus,South Africa,Spain,New Zealand,Guyana,Democratic Republic of the Congo,Bahamas,United States of America,Barbados,Guatemala,French Polynesia,Mauritius,Senegal,Madagascar,French Guiana,Argentina,Haiti,Costa Rica,Cuba,El Salvador,Dominica,Morocco,Congo,Lebanon,Mexico,Grenada,Ecuador,Honduras,Central African Republic,Bosnia and Herzegovina,Sri Lanka,China,Tunisia,Cayman Islands,Colombia,Trinidad and Tobago,Portugal,Jamaica,Micronesia (Federated States of),Occupied Palestinian Territory,Chile,Saint Lucia,Panama,Martinique,Samoa,Australia,France,Brazil,Micronesia,Ghana,Polynesia,"China, mainland",Puerto Rico,Timor-Leste,Swaziland,Guam,Turkey
1961,10000.0,6.0,16000.0,1500.0,19910.0,-1.0,12000.0,800.0,106215.0,13320.0,100.0,400.0,450.0,-1.0,30000.0,10.0,-1.0,-1.0,-1.0,5000.0,53710.0,40.0,4733.0,340.0,-1.0,300.0,14000.0,-1.0,51342.0,160.0,12200.0,-1.0,-1,-1,-1.0,50.0,2000.0,40000.0,10600.0,35000.0,16400.0,100.0,1000.0,6500.0,-1.0,108057.0,2000.0,16000.0,3586.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,12000.0,180.0,-1.0,2887.0,-1,-1.0,8000.0,310.0,5100.0,1400.0,1190.0,400.0,-1.0,82500.0,16.0,4000.0,1640.0,-1.0,4767.0,-1.0,-1.0,6.0,-1.0
1962,10000.0,6.0,16000.0,1610.0,20930.0,-1.0,13000.0,1200.0,107850.0,13000.0,100.0,400.0,450.0,-1.0,30000.0,9.0,-1.0,-1.0,-1.0,5000.0,53832.0,45.0,5412.0,373.0,-1.0,310.0,14000.0,-1.0,47382.0,155.0,13100.0,-1.0,-1,-1,-1.0,50.0,3000.0,40000.0,11000.0,35000.0,17600.0,100.0,1000.0,6500.0,-1.0,112934.0,2000.0,25920.0,3683.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,12200.0,190.0,-1.0,2315.0,-1,-1.0,9000.0,315.0,5300.0,1500.0,1250.0,400.0,-1.0,93750.0,15.0,4000.0,1700.0,-1.0,4336.0,-1.0,-1.0,6.0,-1.0
1963,8000.0,6.0,16000.0,1650.0,22460.0,-1.0,13000.0,1550.0,109511.0,13900.0,100.0,500.0,500.0,-1.0,30000.0,7.0,-1.0,-1.0,-1.0,5000.0,53958.0,45.0,4054.0,377.0,-1.0,320.0,12000.0,-1.0,55579.0,160.0,13900.0,-1.0,-1,-1,-1.0,50.0,2900.0,41000.0,11700.0,35983.0,17900.0,100.0,1000.0,6500.0,-1.0,130046.0,2050.0,29174.0,3823.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,12300.0,202.0,-1.0,2315.0,-1,-1.0,10000.0,320.0,5500.0,1500.0,1320.0,500.0,-1.0,100000.0,14.0,4000.0,1820.0,-1.0,4858.0,-1.0,-1.0,7.0,-1.0
1964,8200.0,6.0,16000.0,1760.0,23645.0,-1.0,14000.0,1550.0,115674.0,14423.0,150.0,500.0,530.0,-1.0,35000.0,4.0,-1.0,-1.0,-1.0,5000.0,54079.0,45.0,4553.0,347.0,-1.0,330.0,12000.0,-1.0,33752.0,175.0,14200.0,-1.0,-1,-1,-1.0,50.0,3030.0,42000.0,12200.0,37779.0,18800.0,100.0,1000.0,6000.0,-1.0,131721.0,2050.0,28782.0,3960.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,12400.0,210.0,-1.0,2588.0,-1,-1.0,10500.0,325.0,5600.0,1700.0,1380.0,500.0,-1.0,100406.0,11.0,4000.0,1910.0,-1.0,5822.0,-1.0,-1.0,7.0,-1.0
1965,8600.0,6.0,16000.0,1570.0,29815.0,-1.0,14000.0,1400.0,116520.0,15885.0,150.0,600.0,550.0,-1.0,35000.0,4.0,-1.0,-1.0,-1.0,5000.0,54205.0,50.0,4152.0,400.0,-1.0,340.0,16000.0,-1.0,55681.0,180.0,14800.0,-1.0,-1,-1,-1.0,50.0,3520.0,43000.0,12800.0,31818.0,19800.0,100.0,1000.0,6000.0,-1.0,161910.0,2100.0,23984.0,4104.0,250.0,-1.0,-1.0,-1.0,-1.0,-1.0,12500.0,220.0,-1.0,2452.0,-1,-1.0,11150.0,330.0,5800.0,1600.0,1440.0,600.0,-1.0,110780.0,12.0,3861.0,1990.0,-1.0,5720.0,-1.0,-1.0,8.0,-1.0
1966,8900.0,6.0,16000.0,1800.0,46522.0,-1.0,15000.0,2300.0,115162.0,15885.0,150.0,600.0,550.0,-1.0,50000.0,-1.0,-1.0,-1.0,-1.0,6000.0,48627.0,50.0,4011.0,469.0,-1.0,350.0,16000.0,-1.0,55704.0,181.0,16400.0,-1.0,-1,-1,-1.0,50.0,4213.0,44000.0,13300.0,12997.0,20800.0,100.0,1000.0,6000.0,-1.0,169510.0,2110.0,22998.0,4245.0,250.0,-1.0,-1.0,-1.0,-1.0,2.0,12600.0,230.0,-1.0,2588.0,-1,-1.0,10000.0,335.0,6000.0,1800.0,1500.0,600.0,-1.0,117459.0,-1.0,4064.0,2050.0,-1.0,5720.0,-1.0,-1.0,-1.0,-1.0
1967,9200.0,6.0,16000.0,1830.0,45305.0,-1.0,15000.0,3500.0,116798.0,16961.0,150.0,700.0,600.0,-1.0,50000.0,-1.0,-1.0,-1.0,-1.0,6000.0,47752.0,50.0,5891.0,599.0,-1.0,360.0,17000.0,-1.0,73400.0,200.0,15800.0,-1.0,-1,-1,-1.0,50.0,4293.0,45000.0,14100.0,27541.0,21900.0,100.0,1000.0,6500.0,-1.0,173899.0,2120.0,27395.0,4412.0,260.0,-1.0,-1.0,-1.0,-1.0,2.0,12700.0,250.0,-1.0,2452.0,-1,-1.0,10500.0,340.0,6200.0,1800.0,1560.0,700.0,-1.0,128016.0,-1.0,3759.0,2160.0,-1.0,5788.0,-1.0,-1.0,-1.0,-1.0
1968,11200.0,6.0,16000.0,1860.0,49053.0,-1.0,16000.0,4750.0,118433.0,14381.0,200.0,700.0,600.0,-1.0,50000.0,-1.0,-1.0,-1.0,-1.0,6000.0,46892.0,50.0,6150.0,555.0,-1.0,370.0,18000.0,-1.0,47811.0,220.0,15800.0,-1.0,-1,-1,-1.0,60.0,10525.0,46000.0,14800.0,16150.0,23600.0,100.0,1000.0,6500.0,-1.0,192307.0,2120.0,30788.0,4567.0,250.0,-1.0,-1.0,-1.0,-1.0,2.0,12800.0,270.0,-1.0,2043.0,-1,-1.0,11000.0,345.0,6400.0,2000.0,1620.0,700.0,-1.0,140249.0,-1.0,4000.0,2220.0,-1.0,5902.0,-1.0,-1.0,-1.0,-1.0
1969,12800.0,7.0,16000.0,1920.0,66388.0,-1.0,16000.0,5200.0,120067.0,15179.0,200.0,800.0,600.0,-1.0,40000.0,-1.0,-1.0,-1.0,-1.0,6000.0,46048.0,55.0,8747.0,674.0,-1.0,380.0,18000.0,-1.0,67319.0,299.0,17000.0,-1.0,-1,-1,150.0,60.0,11100.0,47000.0,15600.0,16492.0,24000.0,100.0,1000.0,6500.0,-1.0,201739.0,2125.0,23768.0,4673.0,300.0,-1.0,-1.0,-1.0,-1.0,2.0,12900.0,240.0,-1.0,2315.0,-1,-1.0,11300.0,350.0,6600.0,2000.0,1680.0,800.0,-1.0,143852.0,-1.0,4000.0,2280.0,-1.0,5902.0,-1.0,-1.0,-1.0,-1.0
1970,14500.0,7.0,16000.0,1950.0,87396.0,-1.0,17000.0,4100.0,121702.0,18090.0,200.0,800.0,650.0,-1.0,33000.0,-1.0,-1.0,-1.0,-1.0,6000.0,45219.0,55.0,7757.0,600.0,-1.0,387.0,19500.0,-1.0,41854.0,260.0,17700.0,-1.0,-1,-1,400.0,60.0,9150.0,48000.0,16300.0,16080.0,24100.0,100.0,1000.0,6500.0,-1.0,226034.0,2125.0,23358.0,4901.0,300.0,-1.0,-1.0,-1.0,-1.0,2.0,13000.0,220.0,-1.0,2452.0,-1,-1.0,11500.0,355.0,2400.0,2000.0,1740.0,800.0,-1.0,153173.0,-1.0,4000.0,2390.0,-1.0,5675.0,-1.0,-1.0,-1.0,-1.0
