,Peru,"China, Taiwan Province of",Morocco,Mexico,Romania,Philippines,Jordan,China,Côte d'Ivoire,Japan,Iraq,Jamaica,Venezuela (Bolivarian Republic of),Polynesia,United States of America,Barbados,France,Egypt,Poland,French Polynesia,Argentina,Turkey
1961,650.0,2552.0,-1.0,-1.0,-1,-1.0,-1,2552.0,-1.0,9900.0,-1.0,45.0,340.0,9.0,124289.0,-1.0,29432.0,-1.0,-1.0,9.0,3980.0,3000.0
1962,650.0,2558.0,-1.0,-1.0,-1,-1.0,-1,2558.0,-1.0,10300.0,-1.0,50.0,360.0,9.0,118863.0,-1.0,28722.0,-1.0,-1.0,9.0,3975.0,3000.0
1963,650.0,2708.0,-1.0,-1.0,-1,-1.0,-1,2708.0,-1.0,10800.0,-1.0,55.0,400.0,9.0,121716.0,-1.0,30122.0,-1.0,-1.0,9.0,3420.0,3500.0
1964,650.0,2862.0,-1.0,-1.0,-1,-1.0,-1,2862.0,-1.0,11500.0,-1.0,60.0,420.0,9.0,129243.0,-1.0,30400.0,-1.0,-1.0,9.0,3713.0,3500.0
1965,885.0,2949.0,-1.0,-1.0,-1,-1.0,-1,2949.0,-1.0,11600.0,-1.0,65.0,440.0,9.0,132569.0,-1.0,28840.0,-1.0,-1.0,9.0,3305.0,3500.0
1966,585.0,2965.0,-1.0,-1.0,-1,-1.0,-1,2965.0,-1.0,12200.0,-1.0,69.0,460.0,9.0,138862.0,-1.0,31670.0,-1.0,-1.0,9.0,3304.0,4000.0
1967,770.0,3059.0,-1.0,-1.0,-1,-1.0,-1,3059.0,-1.0,12100.0,-1.0,90.0,480.0,9.0,150622.0,-1.0,31303.0,-1.0,-1.0,9.0,3792.0,4000.0
1968,660.0,2891.0,-1.0,-1.0,-1,-1.0,-1,2891.0,-1.0,11750.0,-1.0,134.0,523.0,9.0,145122.0,-1.0,30921.0,-1.0,-1.0,9.0,3765.0,4500.0
1969,615.0,4244.0,-1.0,-1.0,-1,-1.0,-1,4244.0,-1.0,11700.0,-1.0,60.0,507.0,9.0,137231.0,-1.0,30649.0,-1.0,-1.0,9.0,3346.0,6000.0
1970,950.0,3082.0,-1.0,-1.0,-1,-1.0,-1,3082.0,-1.0,12300.0,-1.0,117.0,532.0,9.0,126713.0,-1.0,35000.0,-1.0,-1.0,9.0,3153.0,8000.0
1971,1075.0,3028.0,-1.0,-1.0,-1,-1.0,-1,3028.0,-1.0,12600.0,-1.0,175.0,553.0,9.0,131039.0,-1.0,39743.0,-1.0,-1.0,9.0,4680.0,8000.0
1972,1095.0,3055.0,-1.0,-1.0,-1,-1.0,-1,3055.0,-1.0,12400.0,-1.0,174.0,613.0,9.0,138457.0,-1.0,34903.0,-1.0,-1.0,9.0,5025.0,9500.0
1973,975.0,3485.0,-1.0,-1.0,-1,-1.0,-1,3485.0,-1.0,12000.0,-1.0,165.0,662.0,9.0,152989.0,-1.0,35845.0,-1.0,-1.0,9.0,5170.0,10000.0
1974,1451.0,4165.0,-1.0,-1.0,-1,-1.0,-1,4165.0,-1.0,11500.0,-1.0,136.0,695.0,9.0,151379.0,-1.0,38184.0,-1.0,-1.0,9.0,4690.0,10000.0
1975,2071.0,3946.0,-1.0,-1.0,-1,-1.0,-1,3946.0,-1.0,11200.0,-1.0,200.0,723.0,9.0,144956.0,-1.0,40813.0,-1.0,-1.0,9.0,3664.0,8000.0
1976,1535.0,4073.0,-1.0,-1.0,-1,-1.0,-1,4073.0,-1.0,11400.0,-1.0,230.0,582.0,10.0,130347.0,-1.0,31179.0,-1.0,-1.0,10.0,3471.0,8500.0
1977,1913.0,4132.0,-1.0,-1.0,-1,-1.0,-1,4132.0,-1.0,11600.0,-1.0,166.0,550.0,10.0,135931.0,-1.0,42453.0,-1.0,-1.0,10.0,3000.0,5700.0
1978,1453.0,4507.0,-1.0,-1.0,-1,-1.0,-1,4507.0,-1.0,11600.0,7225.0,146.0,716.0,12.0,148372.0,-1.0,45587.0,-1.0,-1.0,12.0,3050.0,7000.0
1979,1613.0,4556.0,-1.0,-1.0,-1,-1.0,-1,4556.0,-1.0,11800.0,10350.0,114.0,746.0,15.0,150112.0,-1.0,34600.0,-1.0,-1.0,15.0,3900.0,8000.0
1980,1542.0,4695.0,-1.0,8337.0,-1,-1.0,-1,4695.0,-1.0,12000.0,13225.0,144.0,805.0,15.0,141990.0,-1.0,27800.0,-1.0,-1.0,15.0,4050.0,9000.0
1981,1537.0,5047.0,-1.0,6066.0,-1,-1.0,-1,5047.0,-1.0,12000.0,12550.0,166.0,787.0,16.0,124100.0,90.0,31800.0,-1.0,-1.0,16.0,4170.0,9500.0
1982,1762.0,5188.0,-1.0,5852.0,-1,-1.0,-1,5188.0,-1.0,11900.0,13550.0,159.0,844.0,16.0,82723.0,90.0,35100.0,-1.0,-1.0,16.0,3890.0,9000.0
1983,1777.0,4943.0,-1.0,6209.0,-1,-1.0,-1,4943.0,-1.0,12000.0,13175.0,227.0,1050.0,15.0,79615.0,100.0,27400.0,-1.0,-1.0,15.0,4020.0,9000.0
1984,2059.0,4670.0,-1.0,7412.0,-1,-1.0,-1,4670.0,-1.0,11900.0,13250.0,274.0,1071.0,18.0,87672.0,70.0,28100.0,-1.0,-1.0,18.0,3953.0,8500.0
1985,1814.0,5043.0,-1.0,4288.0,-1,-1.0,-1,5043.0,-1.0,11900.0,14150.0,297.0,1057.0,14.0,89904.0,60.0,33400.0,-1.0,-1.0,14.0,4000.0,7000.0
1986,1942.0,5012.0,-1.0,6606.0,-1,-1.0,-1,5012.0,-1.0,11900.0,14650.0,334.0,1089.0,11.0,77120.0,80.0,34300.0,-1.0,-1.0,11.0,4200.0,5000.0
1987,1905.0,4863.0,-1.0,7271.0,-1,-1.0,-1,4863.0,-1.0,12200.0,13950.0,242.0,1103.0,8.0,90650.0,90.0,32000.0,-1.0,-1.0,8.0,4300.0,5000.0
1988,1833.0,4332.0,-1.0,8706.0,-1,-1.0,-1,4332.0,-1.0,12100.0,13400.0,217.0,1085.0,13.0,88080.0,100.0,33200.0,-1.0,-1.0,13.0,4300.0,5000.0
1989,2118.0,2516.0,800.0,10832.0,-1,-1.0,-1,2516.0,-1.0,11900.0,13800.0,402.0,1096.0,10.0,100760.0,90.0,37064.0,-1.0,-1.0,10.0,4300.0,4500.0
1990,2044.0,2226.0,1200.0,6842.0,-1,7048.0,-1,2226.0,-1.0,11800.0,13425.0,372.0,1075.0,10.0,99600.0,80.0,38000.0,50.0,7200.0,10.0,4307.0,4260.0
1991,2172.0,2200.0,1600.0,7922.0,-1,6975.0,-1,2200.0,-1.0,11300.0,11725.0,473.0,1025.0,10.0,93700.0,150.0,41712.0,50.0,7600.0,10.0,4400.0,4578.0
1992,2141.0,1977.0,2000.0,8253.0,-1,6641.0,-1,1977.0,-1.0,10900.0,13500.0,320.0,933.0,10.0,112310.0,170.0,40407.0,55.0,7500.0,10.0,4500.0,5010.0
1993,2252.0,2068.0,2800.0,5253.0,-1,6935.0,-1,2068.0,-1.0,10500.0,14000.0,396.0,903.0,12.0,114850.0,130.0,37000.0,140.0,7600.0,12.0,4600.0,5097.0
1994,2017.0,1741.0,3400.0,7872.0,-1,7039.0,-1,1741.0,-1.0,10200.0,13800.0,458.0,1030.0,15.0,123980.0,85.0,33700.0,55.0,5570.0,15.0,4700.0,5400.0
1995,2230.0,1819.0,2800.0,10155.0,-1,7199.0,-1,1819.0,-1.0,9870.0,14000.0,786.0,1041.0,15.0,123320.0,302.0,34400.0,50.0,7800.0,15.0,4800.0,5100.0
1996,1776.0,1737.0,2900.0,8326.0,-1,7879.0,-1,1737.0,-1.0,9740.0,13500.0,646.0,1001.0,15.0,117320.0,280.0,38400.0,50.0,6800.0,15.0,4900.0,6400.0
1997,2603.0,2179.0,2200.0,8253.0,-1,7776.0,-1,2179.0,-1.0,9350.0,14000.0,512.0,1056.0,15.0,112400.0,155.0,39715.0,25.0,6899.0,15.0,4973.0,5400.0
1998,5344.0,2203.0,1900.0,7454.0,-1,7496.0,-1,2203.0,-1.0,9160.0,15000.0,501.0,634.0,15.0,115940.0,148.0,39242.0,25.0,7200.0,15.0,5028.0,5433.0
1999,7235.0,1868.0,2000.0,8300.0,-1,7944.0,-1,1868.0,-1.0,8910.0,12557.0,528.0,618.0,15.0,122510.0,158.0,36194.0,15.0,6800.0,15.0,5000.0,5500.0
2000,8704.0,1894.0,2177.0,8975.0,-1,7643.0,-1,1894.0,1200.0,8690.0,14500.0,469.0,546.0,15.0,125850.0,158.0,31918.0,25.0,7000.0,15.0,5162.0,5600.0
2001,7616.0,1989.0,2200.0,9661.0,-1,7559.0,-1,1989.0,1300.0,8420.0,12156.0,525.0,599.0,15.0,117554.0,160.0,32702.0,25.0,6800.0,15.0,5255.0,5800.0
2002,7542.0,1705.0,2700.0,9700.0,-1,7733.0,-1,1705.0,1300.0,8070.0,12500.0,489.0,664.0,15.0,121488.0,165.0,32930.0,30.0,5000.0,15.0,5500.0,5900.0
2003,6492.0,1633.0,4500.0,9800.0,-1,15213.0,-1,1633.0,1200.0,7950.0,12448.0,625.0,405.0,15.0,114001.0,170.0,33403.0,30.0,6081.0,15.0,5600.0,7100.0
2004,6500.0,1530.0,5500.0,9800.0,-1,15257.0,-1,1530.0,1200.0,7660.0,12000.0,535.0,443.0,15.0,118651.0,175.0,31665.0,15.0,6010.0,15.0,5367.0,7400.0
2005,7000.0,1284.0,6000.0,9800.0,-1,15291.0,-1,1284.0,1200.0,7440.0,13234.0,541.0,485.0,15.0,122184.0,180.0,30641.0,25.0,7272.0,15.0,5517.0,7377.0
2006,7500.0,1445.0,11500.0,9800.0,-1,14707.0,-1,1445.0,1200.0,7220.0,15000.0,546.0,570.0,16.0,120250.0,190.0,29812.0,30.0,7288.0,16.0,5500.0,7700.0
2007,8000.0,1422.0,8630.0,10100.0,-1,15021.0,-1,1422.0,1200.0,7040.0,13000.0,486.0,624.0,18.0,119452.0,195.0,32402.0,35.0,7329.0,18.0,5641.0,8000.0
2008,8600.0,1342.0,8140.0,10400.0,-1,14848.0,-1,1342.0,1300.0,7030.0,12000.0,463.0,605.0,15.0,116830.0,159.0,31731.0,30.0,7494.0,15.0,5719.0,8100.0
2009,8700.0,1341.0,8200.0,11300.0,-1,14832.0,-1,1341.0,1348.0,7120.0,11678.0,584.0,600.0,16.0,116500.0,131.0,29500.0,90.0,7864.0,16.0,5795.0,9500.0
2010,9087.0,1137.0,8378.0,11205.0,-1,14681.0,-1,1137.0,1400.0,6830.0,10457.0,522.0,625.0,16.0,113950.0,50.0,27057.0,70.0,6490.0,16.0,5873.0,8200.0
2011,9789.0,1017.0,6028.0,11364.0,-1,14298.0,-1,1017.0,1450.0,6430.0,12973.0,763.0,645.0,20.0,104672.0,64.0,29020.0,45.0,7263.0,20.0,5952.0,9000.0
2012,9470.0,980.0,5649.0,11481.0,-1,14200.0,-1,980.0,1465.0,6240.0,11938.0,730.0,677.0,20.0,98360.0,200.0,28304.0,38.0,7026.0,20.0,6100.0,9500.0
2013,9661.0,853.0,6156.0,11675.0,-1,13770.0,-1,853.0,1500.0,5990.0,12699.0,754.0,688.0,20.0,90190.0,28.0,26371.0,41.0,5117.0,20.0,6107.0,8865.0
2014,9855.0,826.0,5626.0,11868.0,-1,13786.0,-1,826.0,1496.0,5820.0,10512.0,614.0,636.0,19.0,92130.0,170.0,24869.0,43.0,6120.0,19.0,6171.0,8983.0
