,"China, mainland",Côte d'Ivoire,Benin,Nigeria,China,Mali,Burkina Faso,Togo,Ghana
1961,-1,3000.0,5250.0,27000.0,-1,69000.0,38000.0,1000.0,26000.0
1962,-1,3000.0,6480.0,35000.0,-1,70000.0,34000.0,1000.0,26000.0
1963,-1,3000.0,9000.0,51000.0,-1,71000.0,30000.0,2000.0,26000.0
1964,-1,6000.0,3050.0,36000.0,-1,72500.0,40000.0,2000.0,39000.0
1965,-1,3000.0,7500.0,54000.0,-1,74000.0,37000.0,1000.0,36000.0
1966,-1,5000.0,7735.0,41000.0,-1,76500.0,40000.0,3000.0,36000.0
1967,-1,1500.0,8700.0,66000.0,-1,78000.0,35000.0,1000.0,42000.0
1968,-1,2500.0,5800.0,59000.0,-1,80000.0,42000.0,3000.0,42000.0
1969,-1,3000.0,6500.0,67000.0,-1,81000.0,44000.0,3000.0,44000.0
1970,-1,3000.0,8900.0,67000.0,-1,82000.0,44000.0,3000.0,44000.0
1971,-1,5000.0,5800.0,70000.0,-1,83000.0,40000.0,4554.0,44000.0
1972,-1,1500.0,6000.0,75000.0,-1,80000.0,44000.0,4500.0,40000.0
1973,-1,1500.0,5200.0,79000.0,-1,82000.0,44000.0,4441.0,40000.0
1974,-1,2500.0,9600.0,83000.0,-1,78000.0,40000.0,5000.0,42000.0
1975,-1,4500.0,7475.0,88000.0,-1,78000.0,45000.0,5395.0,48000.0
1976,-1,7500.0,8000.0,92000.0,-1,82000.0,80000.0,5000.0,42000.0
1977,-1,3000.0,8870.0,96000.0,-1,87000.0,60000.0,6709.0,44000.0
1978,-1,6500.0,9000.0,100000.0,-1,85000.0,42385.0,5000.0,44000.0
1979,-1,7000.0,8928.0,105000.0,-1,90000.0,55000.0,5090.0,44000.0
1980,-1,9300.0,9148.0,110000.0,-1,85000.0,80000.0,9265.0,44000.0
1981,-1,9100.0,9368.0,116000.0,-1,85000.0,100000.0,6348.0,45000.0
1982,-1,7400.0,6000.0,122000.0,-1,85000.0,80000.0,4403.0,46000.0
1983,-1,25700.0,7000.0,98000.0,-1,85000.0,80000.0,12757.0,55000.0
1984,-1,13200.0,25500.0,99000.0,-1,85000.0,100000.0,936.0,50000.0
1985,-1,60800.0,26000.0,100000.0,-1,85000.0,158824.0,20878.0,55000.0
1986,-1,11285.0,25000.0,103000.0,-1,85000.0,87369.0,4468.0,63000.0
1987,-1,18518.0,20000.0,104000.0,-1,85000.0,91968.0,16692.0,50000.0
1988,-1,10974.0,20000.0,109000.0,-1,85000.0,87719.0,9000.0,65000.0
1989,-1,9431.0,7000.0,252000.0,-1,85000.0,120856.0,4227.0,50000.0
1990,-1,20551.0,7000.0,289000.0,-1,99944.0,88173.0,6396.0,52000.0
1991,-1,11712.0,10000.0,326000.0,-1,149334.0,90000.0,3000.0,52048.0
1992,-1,12122.0,8000.0,331000.0,-1,149645.0,82800.0,10000.0,50000.0
1993,-1,8219.0,11000.0,336000.0,-1,149956.0,76200.0,6500.0,52691.0
1994,-1,19785.0,15500.0,353000.0,-1,150268.0,70100.0,7000.0,55000.0
1995,-1,36245.0,15000.0,384000.0,-1,150579.0,75700.0,8520.0,52000.0
1996,-1,17554.0,14060.0,367000.0,-1,150890.0,70000.0,2504.0,55000.0
1997,-1,32242.0,14062.0,368000.0,-1,151201.0,70608.0,6500.0,54244.0
1998,-1,29156.0,14064.0,368000.0,-1,151512.0,69077.0,7000.0,53000.0
1999,-1,30346.0,14073.0,369000.0,-1,151824.0,67667.0,6500.0,52000.0
2000,-1,30874.0,14093.0,369000.0,-1,152135.0,66368.0,8500.0,65000.0
2001,-1,30564.0,14124.0,370000.0,-1,152446.0,65153.0,8000.0,61135.0
2002,-1,31572.0,12904.0,371000.0,-1,152757.0,60943.0,8388.0,60000.0
2003,-1,26078.0,13262.0,410000.0,-1,153069.0,66252.0,8691.0,65000.0
2004,-1,26194.0,12059.0,414000.0,-1,152484.0,65638.0,8972.0,61562.0
2005,-1,27058.0,12216.0,409939.0,-1,101684.0,72145.0,9000.0,60895.0
2006,-1,27951.0,12382.0,414788.0,-1,53407.0,69357.0,9300.0,52359.0
2007,-1,28874.0,12557.0,425000.0,-1,182202.0,67084.0,12000.0,48958.0
2008,-1,29100.0,12741.0,384699.0,-1,190000.0,64828.0,10500.0,39082.0
2009,-1,29820.0,12933.0,332770.0,-1,168316.0,62457.0,10900.0,37459.0
2010,-1,32631.0,13131.0,325610.0,-1,171945.0,65000.0,11250.0,35793.0
2011,-1,32306.0,13000.0,326990.0,-1,208000.0,54726.0,11200.0,32655.0
2012,-1,31836.0,14000.0,361814.0,-1,210000.0,47000.0,12000.0,33310.0
2013,-1,31162.0,15000.0,359248.0,-1,195000.0,45000.0,12800.0,33630.0
2014,-1,31891.0,14895.0,359720.0,-1,48960.0,44599.0,12292.0,34300.0
