,Serbia,Kenya,Senegal,Niger,Mozambique,Croatia,Cameroon,Burkina Faso,Malawi,Sri Lanka,Sudan (former),Philippines,South Sudan,Egypt,Mauritania,Madagascar,Yugoslav SFR,The former Yugoslav Republic of Macedonia,Japan,Zimbabwe,Trinidad and Tobago,Iraq,Jamaica,United Republic of Tanzania,Cyprus,Occupied Palestinian Territory,South Africa,Guyana,Australia & New Zealand,Swaziland,Australia,Serbia and Montenegro,United States of America,Slovenia,Nigeria,Bosnia and Herzegovina,Mali,Uganda,Myanmar,Haiti
1961,-1.0,0.0,1470.0,19000.0,0.0,-1.0,0.0,3420.0,2940.0,48.0,0.0,200.0,-1.0,50.0,800.0,180.0,228.0,-1.0,835.0,47.0,1.0,108.0,19.0,1200.0,24.0,0.0,459.0,0.0,0.0,80.0,0.0,-1.0,11000.0,-1.0,51555.0,-1.0,200.0,3000.0,836.0,1950.0
1962,-1.0,0.0,1530.0,20240.0,0.0,-1.0,0.0,3525.0,2940.0,96.0,0.0,200.0,-1.0,50.0,1200.0,180.0,279.0,-1.0,690.0,54.0,1.0,149.0,20.0,1360.0,24.0,0.0,513.0,0.0,0.0,80.0,0.0,-1.0,9000.0,-1.0,92330.0,-1.0,200.0,3000.0,860.0,2010.0
1963,-1.0,0.0,1530.0,20774.0,0.0,-1.0,0.0,3870.0,3000.0,81.0,0.0,200.0,-1.0,100.0,1200.0,177.0,252.0,-1.0,673.0,39.0,1.0,181.0,19.0,700.0,23.0,0.0,513.0,0.0,0.0,80.0,0.0,-1.0,9000.0,-1.0,88585.0,-1.0,200.0,3900.0,989.0,2100.0
1964,-1.0,0.0,1620.0,18726.0,0.0,-1.0,0.0,3660.0,3000.0,83.0,0.0,200.0,-1.0,150.0,1280.0,174.0,204.0,-1.0,615.0,52.0,1.0,192.0,16.0,520.0,22.0,0.0,513.0,0.0,0.0,80.0,0.0,-1.0,7000.0,-1.0,96005.0,-1.0,200.0,3900.0,772.0,2220.0
1965,-1.0,0.0,2577.0,24332.0,0.0,-1.0,0.0,3825.0,3060.0,92.0,0.0,180.0,-1.0,100.0,1280.0,180.0,125.0,-1.0,577.0,52.0,0.0,192.0,30.0,900.0,9.0,0.0,351.0,0.0,0.0,80.0,0.0,-1.0,7000.0,-1.0,106505.0,-1.0,200.0,3000.0,700.0,2340.0
1966,-1.0,0.0,2973.0,27576.0,0.0,-1.0,0.0,3968.0,3300.0,129.0,0.0,190.0,-1.0,95.0,1360.0,180.0,118.0,-1.0,530.0,0.0,0.0,284.0,45.0,600.0,4.0,0.0,513.0,0.0,0.0,80.0,0.0,-1.0,7000.0,-1.0,137725.0,-1.0,200.0,3900.0,722.0,2340.0
1967,-1.0,0.0,2088.0,29780.0,0.0,-1.0,0.0,4155.0,3360.0,90.0,0.0,205.0,-1.0,155.0,1080.0,180.0,122.0,-1.0,487.0,0.0,0.0,227.0,44.0,900.0,5.0,0.0,432.0,0.0,0.0,76.0,0.0,-1.0,6000.0,-1.0,117740.0,-1.0,200.0,3900.0,685.0,2400.0
1968,-1.0,0.0,2136.0,38724.0,0.0,-1.0,0.0,3975.0,3360.0,87.0,0.0,175.0,-1.0,110.0,1200.0,179.0,101.0,-1.0,447.0,0.0,0.0,196.0,30.0,1240.0,5.0,0.0,486.0,0.0,0.0,76.0,0.0,-1.0,0.0,-1.0,141715.0,-1.0,200.0,3900.0,727.0,2400.0
1969,-1.0,0.0,1893.0,39192.0,0.0,-1.0,0.0,4080.0,3420.0,91.0,0.0,285.0,-1.0,110.0,1200.0,135.0,125.0,-1.0,435.0,0.0,0.0,211.0,27.0,900.0,5.0,0.0,351.0,0.0,0.0,76.0,0.0,-1.0,0.0,-1.0,133700.0,-1.0,200.0,2880.0,765.0,2460.0
1970,-1.0,0.0,2124.0,39984.0,0.0,-1.0,0.0,3390.0,3480.0,95.0,0.0,325.0,-1.0,110.0,1160.0,105.0,112.0,-1.0,232.0,0.0,0.0,143.0,35.0,600.0,9.0,0.0,351.0,0.0,0.0,80.0,0.0,-1.0,0.0,-1.0,132650.0,-1.0,200.0,2400.0,682.0,2460.0
1971,-1.0,0.0,2592.0,36824.0,0.0,-1.0,0.0,3375.0,3540.0,121.0,0.0,275.0,-1.0,110.0,1000.0,90.0,90.0,-1.0,307.0,0.0,0.0,113.0,38.0,700.0,13.0,0.0,432.0,0.0,0.0,80.0,0.0,-1.0,0.0,-1.0,86240.0,-1.0,200.0,3798.0,617.0,2520.0
1972,-1.0,0.0,1588.0,33280.0,0.0,-1.0,0.0,3180.0,3660.0,122.0,0.0,275.0,-1.0,98.0,400.0,71.0,64.0,-1.0,267.0,0.0,0.0,98.0,32.0,700.0,13.0,0.0,432.0,0.0,0.0,72.0,0.0,-1.0,0.0,-1.0,113960.0,-1.0,200.0,2940.0,708.0,2460.0
1973,-1.0,0.0,1782.0,36752.0,0.0,-1.0,0.0,4170.0,3720.0,66.0,0.0,234.0,-1.0,75.0,640.0,80.0,81.0,-1.0,232.0,0.0,1.0,83.0,44.0,800.0,18.0,0.0,432.0,0.0,0.0,72.0,0.0,-1.0,0.0,-1.0,102795.0,-1.0,200.0,4080.0,661.0,2460.0
1974,-1.0,0.0,1860.0,33572.0,0.0,-1.0,0.0,4800.0,3780.0,192.0,0.0,405.0,-1.0,98.0,1000.0,114.0,61.0,-1.0,158.0,0.0,0.0,35.0,57.0,920.0,20.0,0.0,297.0,0.0,0.0,72.0,0.0,-1.0,0.0,-1.0,106155.0,-1.0,200.0,4680.0,712.0,2190.0
1975,-1.0,0.0,1872.0,34936.0,0.0,-1.0,0.0,3825.0,3840.0,423.0,0.0,413.0,-1.0,98.0,1176.0,81.0,98.0,-1.0,141.0,0.0,1.0,14.0,41.0,1900.0,36.0,0.0,270.0,0.0,0.0,72.0,0.0,-1.0,0.0,-1.0,95235.0,-1.0,200.0,5201.0,716.0,2100.0
1976,-1.0,0.0,1717.0,29052.0,0.0,-1.0,0.0,4245.0,3960.0,664.0,0.0,433.0,-1.0,112.0,1400.0,107.0,79.0,-1.0,143.0,0.0,1.0,20.0,56.0,1946.0,36.0,0.0,297.0,0.0,0.0,68.0,0.0,-1.0,0.0,-1.0,54320.0,-1.0,200.0,4842.0,744.0,1800.0
1977,-1.0,0.0,1873.0,38098.0,0.0,-1.0,0.0,4485.0,3960.0,607.0,0.0,439.0,-1.0,89.0,1440.0,93.0,56.0,-1.0,115.0,0.0,1.0,20.0,117.0,1991.0,34.0,0.0,324.0,0.0,0.0,80.0,0.0,-1.0,0.0,-1.0,49210.0,-1.0,200.0,4812.0,744.0,3042.0
1978,-1.0,0.0,1395.0,37776.0,0.0,-1.0,0.0,4530.0,4020.0,666.0,0.0,315.0,-1.0,69.0,1480.0,87.0,66.0,-1.0,87.0,0.0,1.0,22.0,67.0,2037.0,16.0,0.0,270.0,0.0,0.0,60.0,0.0,-1.0,0.0,-1.0,49210.0,-1.0,200.0,2580.0,758.0,3233.0
1979,-1.0,0.0,1500.0,44204.0,0.0,-1.0,0.0,4020.0,4080.0,562.0,0.0,329.0,-1.0,87.0,1480.0,68.0,84.0,-1.0,75.0,0.0,1.0,22.0,62.0,2083.0,16.0,0.0,297.0,0.0,0.0,71.0,0.0,-1.0,0.0,-1.0,51205.0,-1.0,200.0,2280.0,729.0,2550.0
1980,-1.0,0.0,1775.0,48628.0,0.0,-1.0,0.0,4868.0,4140.0,839.0,0.0,317.0,-1.0,111.0,1488.0,57.0,93.0,-1.0,83.0,0.0,1.0,22.0,54.0,2129.0,16.0,0.0,432.0,0.0,0.0,72.0,0.0,-1.0,0.0,-1.0,41055.0,-1.0,200.0,2460.0,873.0,2550.0
1981,-1.0,0.0,1377.0,54867.0,0.0,-1.0,0.0,4635.0,4200.0,786.0,0.0,314.0,-1.0,101.0,1488.0,111.0,90.0,-1.0,89.0,0.0,1.0,22.0,45.0,2174.0,15.0,0.0,378.0,0.0,0.0,72.0,0.0,-1.0,0.0,-1.0,53200.0,-1.0,200.0,2700.0,904.0,2550.0
1982,-1.0,0.0,1183.0,61965.0,0.0,-1.0,0.0,4290.0,4260.0,1008.0,0.0,230.0,-1.0,178.0,1400.0,119.0,89.0,-1.0,63.0,0.0,1.0,22.0,65.0,2220.0,15.0,0.0,297.0,0.0,0.0,72.0,0.0,-1.0,0.0,-1.0,41405.0,-1.0,174.0,2790.0,806.0,2550.0
1983,-1.0,0.0,1575.0,60510.0,0.0,-1.0,0.0,4170.0,4320.0,689.0,0.0,279.0,-1.0,70.0,1440.0,120.0,49.0,-1.0,64.0,0.0,1.0,22.0,64.0,2266.0,18.0,0.0,351.0,0.0,350.0,72.0,350.0,-1.0,0.0,-1.0,38710.0,-1.0,352.0,2940.0,839.0,2550.0
1984,-1.0,0.0,3621.0,62651.0,0.0,-1.0,0.0,6060.0,4380.0,500.0,0.0,163.0,-1.0,75.0,1440.0,120.0,96.0,-1.0,41.0,0.0,1.0,23.0,54.0,2311.0,18.0,0.0,297.0,0.0,288.0,72.0,288.0,-1.0,0.0,-1.0,49175.0,-1.0,407.0,2640.0,811.0,2550.0
1985,-1.0,0.0,3528.0,63622.0,0.0,-1.0,0.0,7244.0,4440.0,609.0,0.0,152.0,-1.0,80.0,1480.0,123.0,83.0,-1.0,52.0,0.0,1.0,23.0,39.0,2357.0,15.0,0.0,324.0,0.0,378.0,72.0,378.0,-1.0,0.0,-1.0,49175.0,-1.0,291.0,3000.0,1011.0,2460.0
1986,-1.0,0.0,2144.0,71632.0,0.0,-1.0,0.0,6275.0,4500.0,607.0,0.0,146.0,-1.0,85.0,1520.0,125.0,95.0,-1.0,46.0,0.0,1.0,21.0,73.0,2403.0,12.0,0.0,351.0,0.0,648.0,72.0,648.0,-1.0,0.0,-1.0,52360.0,-1.0,262.0,2520.0,951.0,2460.0
1987,-1.0,0.0,2121.0,77008.0,0.0,-1.0,0.0,8055.0,4560.0,532.0,0.0,131.0,-1.0,90.0,1600.0,126.0,108.0,-1.0,52.0,0.0,1.0,21.0,34.0,2449.0,11.0,0.0,351.0,0.0,617.0,72.0,617.0,-1.0,0.0,-1.0,53970.0,-1.0,552.0,2760.0,831.0,2160.0
1988,-1.0,0.0,1944.0,87994.0,0.0,-1.0,0.0,7485.0,4560.0,634.0,0.0,115.0,-1.0,95.0,1720.0,128.0,109.0,-1.0,12.0,0.0,1.0,22.0,29.0,2494.0,10.0,0.0,351.0,0.0,315.0,72.0,315.0,-1.0,0.0,-1.0,57505.0,-1.0,321.0,2820.0,892.0,1890.0
