,Cuba,Dominican Republic,Mexico,Puerto Rico,Peru,Panama,Trinidad and Tobago,El Salvador,United Republic of Tanzania,Belize,Saint Lucia,Nicaragua,Dominica,Costa Rica,Venezuela (Bolivarian Republic of)
1961,25000.0,23295.0,-1.0,-1.0,4700.0,4400.0,1600.0,-1.0,,-1.0,90.0,,4000.0,-1.0,54199.0
1962,25475.0,27000.0,-1.0,-1.0,5150.0,4500.0,1700.0,-1.0,,-1.0,90.0,,4100.0,-1.0,55825.0
1963,44989.0,24000.0,-1.0,-1.0,4750.0,4600.0,1855.0,-1.0,,-1.0,100.0,,4300.0,-1.0,57500.0
1964,43192.0,25903.0,-1.0,-1.0,4200.0,4600.0,1683.0,-1.0,,-1.0,100.0,,4300.0,-1.0,59225.0
1965,46629.0,25450.0,-1.0,-1.0,5972.0,5000.0,1510.0,-1.0,,-1.0,100.0,,4400.0,-1.0,61062.0
1966,71275.0,25750.0,-1.0,-1.0,8955.0,5200.0,1402.0,-1.0,,-1.0,100.0,,4500.0,-1.0,62832.0
1967,42413.0,27300.0,-1.0,-1.0,8346.0,5600.0,1783.0,-1.0,,-1.0,90.0,,4600.0,-1.0,64717.0
1968,42554.0,29400.0,-1.0,-1.0,9185.0,6000.0,1706.0,-1.0,,-1.0,90.0,,4700.0,-1.0,66658.0
1969,35022.0,31000.0,-1.0,-1.0,11616.0,5900.0,1828.0,-1.0,,-1.0,80.0,,4800.0,-1.0,68657.0
1970,11989.0,32000.0,-1.0,-1.0,15347.0,6200.0,1769.0,-1.0,,-1.0,80.0,,4900.0,-1.0,56305.0
1971,13516.0,33000.0,-1.0,-1.0,17931.0,6100.0,1750.0,-1.0,,-1.0,52.0,,5000.0,-1.0,58403.0
1972,25770.0,34000.0,-1.0,-1.0,23407.0,7000.0,1800.0,-1.0,,-1.0,108.0,,5100.0,-1.0,52676.0
1973,19609.0,39900.0,-1.0,-1.0,24430.0,7900.0,1940.0,-1.0,,-1.0,110.0,,5200.0,-1.0,41227.0
1974,25581.0,41087.0,-1.0,-1.0,25641.0,8000.0,1980.0,-1.0,,-1.0,90.0,,5300.0,-1.0,42840.0
1975,32500.0,32788.0,-1.0,-1.0,21262.0,8069.0,2000.0,-1.0,,-1.0,90.0,,5450.0,-1.0,44598.0
1976,43734.0,36281.0,-1.0,-1.0,21826.0,8150.0,2100.0,-1.0,,-1.0,100.0,,5810.0,-1.0,36494.0
1977,85722.0,40816.0,-1.0,-1.0,17467.0,8232.0,1900.0,-1.0,,-1.0,100.0,,5990.0,-1.0,47077.0
1978,217353.0,23491.0,-1.0,-1.0,16426.0,8314.0,2000.0,-1.0,,-1.0,100.0,,6440.0,-1.0,36993.0
1979,196046.0,35100.0,-1.0,-1.0,16901.0,8396.0,2100.0,-1.0,,-1.0,90.0,,6294.0,-1.0,38771.0
1980,161371.0,36960.0,-1.0,-1.0,21256.0,4017.0,2200.0,-1.0,,-1.0,95.0,,6290.0,-1.0,39453.0
1981,99205.0,25350.0,-1.0,-1.0,18562.0,4362.0,2300.0,-1.0,,-1.0,88.0,,6218.0,-1.0,44502.0
1982,45554.0,25668.0,-1.0,-1.0,22037.0,9437.0,2400.0,-1.0,,-1.0,100.0,,6199.0,-1.0,44316.0
1983,45211.0,26484.0,-1.0,-1.0,24961.0,7457.0,2000.0,-1.0,,-1.0,110.0,,6241.0,-1.0,48040.0
