,USSR,Burkina Faso,France,Fiji,Australia,Panama,Pakistan,French Guiana,Thailand,Belize,Ethiopia,Kenya,Guyana,Romania,Lao People's Democratic Republic,Zambia,Solomon Islands,Peru,Papua New Guinea,Somalia,Suriname,Togo,Albania,Brazil,Mozambique,Niger,"China, Hong Kong SAR",Democratic People's Republic of Korea,Australia & New Zealand,El Salvador,Hungary,Chad,Colombia,Spain,Central African Republic,India,Jamaica,Ecuador,Swaziland,Indonesia,Republic of Moldova,Argentina,Turkey,Angola,South Sudan,Egypt,Melanesia,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Tajikistan,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Mali,Congo,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Puerto Rico,Iran (Islamic Republic of),Kazakhstan,Gambia,Ghana,"China, mainland",Algeria,Guinea-Bissau,Rwanda,New Zealand,Cameroon,Guatemala,Cuba,Pacific Islands Trust Territory,United States of America,Bhutan,Turkmenistan,Micronesia (Federated States of),Philippines,Iraq,Madagascar,Timor-Leste,United Republic of Tanzania,Burundi,Nepal,Costa Rica,Bangladesh,Italy,Senegal,Mauritius,Uganda,Comoros,Benin,Uzbekistan,China,Cambodia,Armenia,Sudan (former),Morocco,Chile,Honduras,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Malawi,"China, Taiwan Province of",Réunion,Japan,Afghanistan,Trinidad and Tobago,Saudi Arabia,Sudan,Azerbaijan,Nicaragua,Viet Nam,Mauritania,Russian Federation,Micronesia,Portugal,Bolivia (Plurinational State of),Paraguay,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Brunei Darussalam,Mexico,Guinea,Sierra Leone,Sri Lanka,Côte d'Ivoire,South Africa,Bulgaria,Myanmar,Ukraine,Liberia
1961,118000.0,53835.0,33000.0,12950.0,20000.0,100400.0,1214475.0,205.0,6120000.0,1168.0,,6400.0,106141.0,10600.0,620000.0,,115.0,81086.0,450.0,,25629.0,14973.0,2967.0,3174037.0,60000.0,9155.0,14821.0,420000.0,20000.0,8888.0,22041.0,22000.0,237100.0,61900.0,3500.0,34694000.0,3237.0,94646.0,1938.0,6857000.0,,46000.0,59000.0,25000.0,,226000.0,13515.0,,516489.0,22122.0,,32000.0,1128000.0,88000.0,149000.0,182000.0,5000.0,58000.0,200.0,5620.0,450.0,280000.0,,24280.0,27518.0,26250000.0,2090.0,61000.0,,,7452.0,8982.0,150000.0,7.0,643000.0,18500.0,,,3179190.0,25000.0,804000.0,8400.0,82000.0,797.0,1088000.0,48200.0,8483516.0,123262.0,72500.0,,2630.0,8000.0,2125.0,,27044821.0,2182000.0,,1370.0,5000.0,38490.0,9081.0,17190.0,1000.0,,350.0,13100.0,780000.0,,3312000.0,210000.0,4540.0,1000.0,,,23700.0,4744000.0,300.0,,7.0,37918.0,23762.0,8500.0,,58450.0,2836.0,146341.0,123985.0,283000.0,495550.0,206000.0,1600.0,10385.0,4253700.0,,200000.0
1962,119000.0,66843.0,31100.0,12747.0,20309.0,99600.0,1185742.0,310.0,6540000.0,1136.0,,5800.0,99149.0,6500.0,590000.0,,120.0,90791.0,500.0,,27071.0,24963.0,3408.0,3349810.0,60000.0,9115.0,11295.0,440000.0,20309.0,10863.0,19219.0,23350.0,297550.0,63040.0,4000.0,35695008.0,3318.0,111751.0,2404.0,7283000.0,,53060.0,81000.0,19000.0,,349000.0,13367.0,,544223.0,18543.0,,33000.0,1139000.0,93000.0,218000.0,200000.0,5100.0,58000.0,418.0,5580.0,450.0,300000.0,,25090.0,28000.0,26908000.0,2000.0,65000.0,,,9688.0,10291.0,164210.0,7.0,717000.0,19000.0,,,3161320.0,40000.0,857000.0,9000.0,83000.0,1100.0,1090000.0,51800.0,8694360.0,118472.0,66000.0,,3197.0,8000.0,1558.0,,27711295.0,2286000.0,,535.0,5000.0,27690.0,9635.0,17788.0,1000.0,,480.0,6000.0,792000.0,,3295000.0,210000.0,4740.0,800.0,,,22600.0,4888860.0,300.0,,7.0,36645.0,26733.0,7000.0,,68998.0,2831.0,133904.0,129445.0,255110.0,526734.0,260000.0,1500.0,11812.0,4654000.0,,210000.0
1963,147000.0,32800.0,29530.0,12140.0,22229.0,103300.0,1286105.0,40.0,6500000.0,1267.0,,5326.0,80565.0,13700.0,600000.0,,125.0,72790.0,500.0,,27513.0,19940.0,3871.0,3721800.0,65000.0,9373.0,7877.0,450000.0,22229.0,9100.0,19066.0,26500.0,254000.0,62700.0,5000.0,35809008.0,2549.0,113059.0,2412.0,6731000.0,,52300.0,55000.0,20000.0,,403000.0,12765.0,,552947.0,18886.0,,33000.0,1155000.0,75000.0,162000.0,123000.0,4600.0,60000.0,465.0,6080.0,480.0,300000.0,,25495.0,32374.0,27687008.0,1512.0,65000.0,,,13695.0,12557.0,140000.0,8.0,717000.0,19500.0,,,3087450.0,55000.0,850000.0,9100.0,115000.0,960.0,1090000.0,51300.0,9007995.0,115081.0,75000.0,,1376.0,9100.0,2099.0,,28486885.0,2233000.0,,1024.0,4000.0,30850.0,8490.0,20986.0,2000.0,,240.0,4451.0,792000.0,,3276000.0,210000.0,4650.0,789.0,,,21500.0,4496520.0,350.0,,8.0,36529.0,29000.0,7000.0,,73699.0,2821.0,134757.0,135145.0,263936.0,535080.0,245000.0,1300.0,11712.0,4877500.0,,239000.0
1964,191000.0,34800.0,30017.0,10117.0,24038.0,120800.0,1355712.0,45.0,6310000.0,1734.0,,5358.0,148422.0,20000.0,916000.0,,130.0,82200.0,500.0,,30277.0,27100.0,3539.0,4182361.0,65000.0,9360.0,8638.0,480000.0,24038.0,14806.0,17898.0,27000.0,302500.0,64088.0,6500.0,36462000.0,1821.0,108911.0,2367.0,6980000.0,,54020.0,35000.0,20000.0,,404000.0,10747.0,,555785.0,24690.0,,34000.0,1195000.0,68000.0,179000.0,158500.0,4650.0,65000.0,600.0,6510.0,500.0,322000.0,,26709.0,42653.0,29577008.0,1310.0,80000.0,,,12702.0,11414.0,70969.0,8.0,723000.0,20000.0,,,3199670.0,65000.0,854760.0,9300.0,110000.0,1200.0,1101000.0,54400.0,9228955.0,119613.0,86000.0,,1983.0,9200.0,2254.0,,30348646.0,2377000.0,,1890.0,5000.0,30553.0,8122.0,20557.0,2000.0,,394.0,4856.0,763000.0,,3264000.0,220000.0,4590.0,1000.0,,,22500.0,4987800.0,350.0,,8.0,37799.0,31428.0,8000.0,,90721.0,2600.0,132594.0,141095.0,264013.0,538059.0,271000.0,1300.0,11377.0,4976100.0,,255000.0
1965,217000.0,33000.0,29704.0,8083.0,24935.0,133100.0,1393348.0,45.0,6270000.0,2581.0,,2482.0,119154.0,18684.0,916000.0,,135.0,74920.0,500.0,,33555.0,27110.0,3933.0,4618898.0,62000.0,8700.0,8538.0,480000.0,24935.0,13230.0,17357.0,27390.0,374750.0,58998.0,7000.0,35470000.0,1619.0,102806.0,2200.0,7327000.0,,67880.0,50000.0,23000.0,,356000.0,8718.0,,581904.0,23720.0,,35000.0,1228000.0,102076.0,188000.0,169000.0,4800.0,76000.0,1100.0,5860.0,530.0,360000.0,,26911.0,32306.0,29795008.0,1900.0,60000.0,,,10932.0,7500.0,38000.0,8.0,725470.0,20500.0,,,3109180.0,65000.0,848990.0,5745.0,56000.0,1050.0,1111000.0,54800.0,9360480.0,126436.0,82168.0,,4000.0,10900.0,2784.0,,30574546.0,2344000.0,,1295.0,5000.0,27463.0,8869.0,27529.0,2000.0,,376.0,6000.0,771000.0,,3258500.0,220000.0,4530.0,1800.0,,,24900.0,4826300.0,350.0,,8.0,35297.0,32785.0,8000.0,,105102.0,2510.0,138065.0,147310.0,301000.0,431823.0,261000.0,1300.0,10777.0,4848300.0,,257000.0
1966,248000.0,34500.0,27991.0,8369.0,26061.0,131500.0,1409535.0,85.0,7353000.0,1853.0,,2830.0,137287.0,20500.0,930000.0,,138.0,95875.0,500.0,,29350.0,30725.0,3846.0,4004850.0,75000.0,9200.0,9469.0,500000.0,26061.0,19725.0,18849.0,28335.0,350000.0,59100.0,7000.0,35251008.0,927.0,110625.0,2218.0,7691000.0,,46795.0,65000.0,22000.0,,355000.0,9007.0,,572995.0,16870.0,,37000.0,1231000.0,113200.0,160000.0,177500.0,3000.0,76000.0,918.0,5080.0,550.0,429000.0,,27000.0,33000.0,30498000.0,1920.0,45000.0,,,14051.0,6137.0,32000.0,15.0,796086.0,21000.0,,,3096120.0,65000.0,962960.0,7087.0,127000.0,962.0,1100000.0,55700.0,9075000.0,132494.0,87974.0,,3000.0,12000.0,2383.0,,31294469.0,2182000.0,,469.0,5500.0,36884.0,9280.0,30499.0,2000.0,,350.0,16300.0,787000.0,,3258000.0,222000.0,4450.0,1000.0,,,26300.0,4681300.0,350.0,,15.0,34729.0,33524.0,4600.0,,110001.0,2448.0,152642.0,153795.0,327000.0,534033.0,258000.0,1300.0,12215.0,4516500.0,,133000.0
1967,281000.0,35827.0,27190.0,8767.0,29835.0,129500.0,1419653.0,40.0,6400000.0,2076.0,,2830.0,116812.0,22228.0,960000.0,,140.0,106690.0,500.0,,33684.0,27998.0,4032.0,4291147.0,75000.0,11507.0,6309.0,500000.0,29835.0,28000.0,20076.0,24700.0,290700.0,59810.0,7000.0,36437408.0,480.0,113510.0,2299.0,7516000.0,,61830.0,60000.0,22200.0,,452000.0,9407.0,,597599.0,17861.0,,38000.0,1235000.0,125000.0,262000.0,197600.0,3000.0,80625.0,908.0,4350.0,600.0,343000.0,,18000.0,43705.0,30406000.0,1710.0,35000.0,110.0,,15487.0,11699.0,44367.0,22.0,797260.0,21500.0,,,3304000.0,103000.0,981000.0,8700.0,110000.0,1424.0,1154290.0,57000.0,9889400.0,143700.0,101200.0,,6000.0,10900.0,1781.0,,31198309.0,2020000.0,,2339.0,5400.0,33000.0,9711.0,33976.0,2150.0,,350.0,15800.0,786000.0,,3267000.0,206000.0,4250.0,789.0,,,25500.0,4795800.0,300.0,,22.0,32268.0,30716.0,7280.0,,114318.0,3480.0,168363.0,160570.0,350000.0,544793.0,300900.0,1300.0,13725.0,4706000.0,,134000.0
1968,312000.0,46021.0,24487.0,8960.0,30738.0,128600.0,1554819.0,10.0,6940000.0,1789.0,,3440.0,114932.0,25192.0,656000.0,486.0,868.0,75975.0,500.0,,35273.0,28552.0,4154.0,4458952.0,74589.0,15291.0,9955.0,500000.0,30738.0,27300.0,21282.0,30980.0,277125.0,60468.0,10000.0,36966304.0,400.0,111820.0,2347.0,8020770.0,,70800.0,45000.0,22000.0,,507000.0,10328.0,,660372.0,20980.0,,38000.0,1151000.0,232000.0,235000.0,162300.0,3500.0,88060.0,3905.0,5000.0,650.0,358000.0,,29137.0,45729.0,29864000.0,1950.0,30000.0,315.0,,14210.0,13563.0,71900.0,30.0,952374.0,22000.0,,,3332150.0,109000.0,1008500.0,11000.0,128000.0,2200.0,1162015.0,62000.0,9742100.0,155520.0,64600.0,31.0,5000.0,9000.0,2270.0,,30662955.0,2324000.0,,1615.0,7800.0,32480.0,10191.0,30747.0,2300.0,,350.0,11000.0,789000.0,,3284000.0,206000.0,4130.0,789.0,,,31700.0,4893800.0,738.0,,30.0,32929.0,39035.0,9334.0,,115202.0,3480.0,138712.0,167640.0,320000.0,567243.0,300000.0,1300.0,13537.0,4763400.0,,140000.0
1969,328000.0,40128.0,22913.0,9713.0,33696.0,125700.0,1622000.0,30.0,7259000.0,1683.0,,4923.0,113151.0,28969.0,664773.0,1012.0,1024.0,109855.0,620.0,,32460.0,24000.0,4366.0,4620699.0,73660.0,15485.0,8067.0,530000.0,33696.0,10710.0,22085.0,36393.0,250460.0,63600.0,15000.0,37680304.0,470.0,91672.0,2829.0,8013620.0,,87500.0,56500.0,15000.0,,502000.0,11357.0,,684234.0,21240.0,,38000.0,1220000.0,212500.0,258000.0,133300.0,3500.0,84000.0,1069.0,6902.0,680.0,364000.0,,26709.0,49000.0,30402000.0,1970.0,30000.0,440.0,,14792.0,9347.0,128300.0,40.0,861321.0,22500.0,,,3195830.0,106000.0,980350.0,7000.0,129000.0,2069.0,1173170.0,52400.0,10314000.0,168988.0,102600.0,201.0,7000.0,9000.0,2676.0,,31195067.0,1944000.0,,3314.0,8800.0,16190.0,10694.0,34340.0,2500.0,,130.0,16000.0,785000.0,,3279000.0,206000.0,3970.0,1000.0,,,25125.0,4930000.0,612.0,,40.0,37559.0,54560.0,10226.0,,118596.0,3650.0,152980.0,175020.0,310000.0,536349.0,288300.0,1300.0,15538.0,4671600.0,,147000.0
1970,350000.0,40315.0,21500.0,10781.0,40145.0,93114.0,1503423.0,10.0,6854000.0,1775.0,,5844.0,110824.0,27916.0,664693.0,1113.0,708.0,140395.0,580.0,350.0,39132.0,25011.0,5024.0,4979165.0,76893.0,16400.0,6861.0,530000.0,40145.0,11900.0,23400.0,41000.0,233213.0,64155.0,12700.0,37591696.0,405.0,86593.0,2406.0,8135080.0,,101900.0,66000.0,25000.0,,480000.0,12069.0,,704767.0,15800.0,,38000.0,1203000.0,244400.0,255000.0,172000.0,2000.0,83028.0,656.0,7729.0,700.0,378000.0,,28327.0,55000.0,32326000.0,1370.0,30000.0,716.0,,16573.0,11278.0,195300.0,50.0,734373.0,23000.0,,,3195000.0,75000.0,997050.0,7000.0,151000.0,3510.0,1182470.0,43400.0,9912800.0,172946.0,88000.0,263.0,15621.0,9000.0,3300.0,,33107861.0,2399000.0,,5123.0,8000.0,25220.0,11222.0,35691.0,2650.0,,365.0,19600.0,775000.0,,2927000.0,202000.0,3743.0,1000.0,,,25253.0,4724400.0,1098.0,,50.0,41721.0,55125.0,22999.0,,130254.0,3456.0,149973.0,182730.0,326810.0,718681.0,289100.0,1300.0,17166.0,4808700.0,,154000.0
