,"China, Taiwan Province of",Israel,Australia & New Zealand,Australia,The former Yugoslav Republic of Macedonia,Philippines,Belgium,Kenya,Czechia,Costa Rica,Italy,Germany,China,Finland,Slovakia,Morocco,Slovenia,Chile,Canada,Colombia,Spain,New Zealand,Austria,Ecuador,Japan,Poland,Argentina,Belgium-Luxembourg,Switzerland,Denmark,Iran (Islamic Republic of),Greece,United Kingdom,France,Zimbabwe,Hungary,Turkey,Thailand,Peru,United States of America,Mexico,"China, mainland",Lithuania,Bulgaria,Netherlands
1961,,,30237.0,39833.0,,,,,,,60196.0,26312.0,25385.0,,,35000.0,,,16946.0,,57692.0,13333.0,42857.0,,32000.0,,22222.0,148760.0,,15723.0,,,22831.0,29555.0,,3108.0,15000.0,,50000.0,28027.0,38462.0,25385.0,,,
1962,,,30221.0,39208.0,,,,,,,59815.0,24633.0,26933.0,,,25000.0,,,16990.0,,62500.0,13066.0,45000.0,,30000.0,,27273.0,85685.0,,15686.0,,,22831.0,27592.0,,3025.0,15000.0,,50000.0,28572.0,38462.0,26933.0,,,
1963,,,34824.0,38960.0,,,,,,,60000.0,29160.0,28281.0,,,25556.0,,,16954.0,,52273.0,26415.0,40606.0,,30000.0,,25720.0,83624.0,,15686.0,,,22831.0,27211.0,,5833.0,15000.0,,50000.0,29000.0,37037.0,28281.0,,,
1964,22815.0,,30357.0,33275.0,,,,,,,57352.0,31099.0,27926.0,,,30000.0,,,16896.0,,56250.0,24706.0,42353.0,,30966.0,,29598.0,102144.0,,15686.0,,,22831.0,25897.0,,5438.0,15000.0,,50000.0,27284.0,37778.0,27931.0,,,
1965,17561.0,,32749.0,37620.0,,,,,,,55381.0,23984.0,28936.0,,,25000.0,,,17083.0,,54000.0,23529.0,46333.0,,22201.0,,28770.0,80141.0,,15717.0,,,22831.0,24974.0,,4970.0,15000.0,,50000.0,28015.0,37778.0,29310.0,,,
1966,40563.0,,29457.0,34302.0,,,,,,,59550.0,33941.0,30051.0,,,24903.0,,,15944.0,,53103.0,19275.0,44865.0,,21931.0,,32692.0,80822.0,,16869.0,,,20905.0,25481.0,,7029.0,15000.0,,44460.0,29038.0,37143.0,29643.0,,,
1967,38753.0,,35315.0,43219.0,,,,,,,57579.0,26684.0,30243.0,,,25000.0,,,16222.0,,40952.0,19740.0,43125.0,,22767.0,,50250.0,81923.0,,17256.0,,,14630.0,23172.0,,9299.0,15000.0,,47754.0,27132.0,37857.0,30000.0,,,
1968,80788.0,,32424.0,37939.0,,,,,,,61707.0,31275.0,33996.0,,,25000.0,,,18183.0,,48209.0,21372.0,48182.0,,23571.0,,38889.0,105042.0,,17044.0,,,18270.0,28163.0,,8066.0,15000.0,,42764.0,29573.0,39286.0,32909.0,,,
1969,81394.0,,28017.0,31889.0,,,,,,,61260.0,27005.0,36803.0,,,30000.0,,,19566.0,,47500.0,21191.0,35778.0,,25484.0,,39209.0,58824.0,,16228.0,,10800.0,15062.0,29677.0,,18366.0,15000.0,,41809.0,27353.0,41379.0,35455.0,,,
1970,89237.0,,25618.0,28129.0,,,,,,,59018.0,28510.0,40856.0,,,30000.0,,,20532.0,,43750.0,20470.0,40000.0,,26667.0,,37560.0,45455.0,,20993.0,,12600.0,13708.0,30957.0,,18785.0,15000.0,,58976.0,27508.0,43333.0,37356.0,,,
1971,73051.0,,29912.0,33707.0,,,,,,,65737.0,31824.0,40354.0,,,30556.0,,,20323.0,,35233.0,20960.0,40000.0,,27869.0,,42235.0,49505.0,,18526.0,,23420.0,15978.0,31852.0,,17463.0,15000.0,,42912.0,27401.0,43834.0,37500.0,,,
1972,66969.0,,24207.0,27576.0,,,,,,,62250.0,28636.0,37768.0,,,30556.0,,,18720.0,,35495.0,16580.0,41026.0,,29032.0,,44419.0,43316.0,,16457.0,,11100.0,11416.0,28399.0,,16067.0,15000.0,,56450.0,27214.0,40000.0,35385.0,,,
1973,69662.0,,25141.0,27375.0,,,,,,,61855.0,30403.0,37370.0,,,35714.0,,,21835.0,,37333.0,20448.0,40000.0,,30645.0,,44706.0,40323.0,,15768.0,,26340.0,13708.0,29460.0,,12185.0,14000.0,,64244.0,24724.0,46667.0,35000.0,,,
1974,64043.0,,24385.0,25729.0,,,,,,,65226.0,25499.0,38976.0,,,35714.0,,,19346.0,,37760.0,20701.0,38333.0,,32258.0,,30578.0,37088.0,,16582.0,,30740.0,17500.0,30320.0,,13988.0,17000.0,,63326.0,25947.0,46667.0,36905.0,,,
1975,46084.0,,20384.0,19900.0,,,,,,,65647.0,26214.0,37497.0,,,36000.0,,,17926.0,,28015.0,21706.0,38333.0,,33871.0,,37996.0,36842.0,,14901.0,,11375.0,15000.0,27654.0,,12071.0,16667.0,,59022.0,23390.0,46602.0,36818.0,,,
1976,72655.0,,24604.0,26964.0,,,,,,,64491.0,26344.0,38808.0,,,36000.0,,,15899.0,,36031.0,19865.0,38571.0,,35484.0,,42045.0,30000.0,,12400.0,,9000.0,20000.0,26362.0,,13125.0,16667.0,,59032.0,27864.0,42858.0,36818.0,,,
1977,74316.0,,29170.0,29072.0,,,,,,,57352.0,25719.0,38652.0,,,40000.0,,,17634.0,,25597.0,29507.0,40000.0,,37097.0,,42222.0,30000.0,,15296.0,,9050.0,20000.0,24481.0,,19604.0,15500.0,,60188.0,28491.0,45837.0,36522.0,,,
1978,77499.0,,28539.0,31163.0,,,,,,,56379.0,25870.0,35308.0,,,40000.0,,,16971.0,,28582.0,21327.0,37778.0,,38710.0,,40000.0,30000.0,,12818.0,,45375.0,13333.0,24547.0,,14714.0,18500.0,,56004.0,24882.0,62750.0,33269.0,,,
1979,76317.0,,30789.0,37201.0,,,,,,,55889.0,23885.0,37167.0,,,40000.0,,,17040.0,,34563.0,17874.0,37778.0,,40323.0,,40667.0,30000.0,,12308.0,,9050.0,10000.0,25324.0,,12894.0,16667.0,,51937.0,26555.0,51334.0,35098.0,,,
1980,90820.0,,25777.0,36364.0,,,,,,,53263.0,22023.0,36691.0,,,40000.0,,,15193.0,,34490.0,12779.0,38000.0,,41693.0,,31250.0,40000.0,,11151.0,,25000.0,14535.0,24912.0,,15368.0,16667.0,,29286.0,22579.0,47161.0,34000.0,,,
1981,65760.0,,21954.0,42105.0,,,,,,,52430.0,24513.0,37233.0,,,40000.0,,,16151.0,,34898.0,9899.0,41000.0,,41875.0,,36000.0,45385.0,,11261.0,,10000.0,12136.0,26386.0,,14486.0,16667.0,,32220.0,23404.0,47304.0,35926.0,,,
1982,46999.0,,15157.0,29620.0,,,,,,,45812.0,24150.0,35112.0,,,40000.0,,16667.0,14160.0,,31795.0,8292.0,40000.0,,34293.0,,38776.0,41667.0,,,,27257.0,15385.0,28214.0,,31397.0,17692.0,,35121.0,22936.0,49004.0,34667.0,,,
1983,48040.0,,19014.0,36166.0,,,,,,,51835.0,23482.0,35336.0,,,40000.0,,16667.0,12308.0,,32312.0,13243.0,40909.0,,41538.0,,43085.0,40741.0,,,,42033.0,15000.0,28313.0,,21296.0,17692.0,,36021.0,23006.0,38841.0,34933.0,,,
1984,57599.0,,26367.0,56309.0,,,,,,,46688.0,23341.0,35687.0,,,40000.0,,18182.0,12292.0,,28775.0,14085.0,40833.0,,41333.0,,43925.0,28000.0,,,,36491.0,17620.0,29636.0,,19598.0,19231.0,,45627.0,23631.0,33840.0,35000.0,,,
1985,62676.0,,20552.0,31687.0,,,,,,,44281.0,26121.0,36078.0,,,40000.0,,18182.0,13483.0,,36810.0,14789.0,40000.0,,41429.0,,40741.0,28235.0,,,,42840.0,16345.0,30970.0,,14891.0,25000.0,,51963.0,26179.0,48041.0,35200.0,,,
1986,44860.0,20000.0,19326.0,26485.0,,,,,,,40742.0,27682.0,35124.0,,,40000.0,,18750.0,15148.0,,38325.0,15509.0,40769.0,,35005.0,,43033.0,27778.0,,,,20029.0,17799.0,30056.0,,17107.0,31250.0,,40777.0,25976.0,47783.0,34848.0,,,
1987,56308.0,25000.0,23332.0,33838.0,,,,,,,44837.0,22220.0,35413.0,,,40000.0,,19048.0,12939.0,,37580.0,17323.0,40357.0,,35000.0,,44545.0,27500.0,,,,42292.0,15471.0,33663.0,,17812.0,37500.0,,42366.0,26351.0,59506.0,35000.0,,,
1988,51204.0,32667.0,23653.0,30391.0,,,,,,,42120.0,24695.0,35143.0,,,40000.0,,20148.0,15002.0,,33633.0,19374.0,40000.0,,35000.0,,40435.0,56250.0,,,,23333.0,18957.0,35245.0,,14059.0,37500.0,55000.0,44874.0,26900.0,52377.0,34865.0,,,60541.0
1989,47803.0,32500.0,25397.0,31844.0,,86667.0,,,,,44718.0,25513.0,33192.0,,,40000.0,,19942.0,17339.0,40000.0,38231.0,21766.0,39375.0,,35000.0,,40870.0,54000.0,,,,36667.0,23561.0,33903.0,,21380.0,50000.0,73333.0,50756.0,28385.0,44838.0,33000.0,,,59000.0
1990,56188.0,34000.0,33606.0,45723.0,,72824.0,,,,,46943.0,27611.0,33933.0,,,40000.0,,21814.0,17718.0,40000.0,37189.0,27643.0,39024.0,28000.0,36667.0,110000.0,42040.0,50000.0,,,142857.0,35462.0,22851.0,29061.0,33333.0,39526.0,50000.0,69000.0,64461.0,28997.0,43306.0,33767.0,,,51111.0
1991,50981.0,37111.0,26438.0,38677.0,,79158.0,,,,,46349.0,24758.0,34130.0,,,44000.0,,30000.0,17113.0,42857.0,36021.0,22222.0,39412.0,28082.0,35307.0,107950.0,40000.0,44833.0,,,142980.0,36735.0,23045.0,28203.0,33840.0,37500.0,50000.0,44000.0,60399.0,28188.0,40848.0,34043.0,,,45385.0
1992,52023.0,36437.0,25170.0,40323.0,,78044.0,,,,,50940.0,37735.0,36726.0,,,43605.0,,35000.0,19778.0,40000.0,38031.0,21333.0,40000.0,28086.0,35367.0,107602.0,39200.0,50000.0,,,142857.0,28636.0,20680.0,34442.0,33777.0,41211.0,50000.0,55000.0,56827.0,30588.0,38617.0,36667.0,,,59643.0
1993,52138.0,36809.0,26739.0,38750.0,,88479.0,,,,,50454.0,36952.0,38220.0,,50000.0,37073.0,,40000.0,18889.0,40000.0,43766.0,20333.0,40789.0,28090.0,35438.0,107254.0,39047.0,52771.0,,,143022.0,33425.0,19793.0,32685.0,33714.0,41338.0,40000.0,65714.0,55074.0,30429.0,32139.0,38182.0,,,76923.0
1994,50462.0,37091.0,26932.0,41158.0,,90267.0,,100000.0,,44444.0,52038.0,33038.0,40377.0,,50000.0,46075.0,,40000.0,17683.0,40000.0,39667.0,19375.0,39211.0,28000.0,35525.0,106904.0,38462.0,47429.0,,,143060.0,42000.0,23416.0,31006.0,33651.0,41532.0,50000.0,65000.0,74209.0,32090.0,37079.0,40351.0,,33495.0,55833.0
1995,53641.0,37557.0,24747.0,34824.0,,83981.0,,112500.0,,44444.0,51380.0,34825.0,39377.0,,51224.0,67677.0,,39742.0,25318.0,40000.0,40737.0,20250.0,37600.0,28095.0,35878.0,106554.0,39286.0,52114.0,,,143101.0,38286.0,29167.0,27401.0,33588.0,41747.0,44298.0,65556.0,53730.0,33407.0,36235.0,39344.0,,36599.0,61739.0
1996,49639.0,37302.0,25507.0,39505.0,,84978.0,,75000.0,166667.0,42857.0,52308.0,27553.0,39728.0,,51032.0,43636.0,,39708.0,20350.0,40000.0,37190.0,18000.0,40800.0,28000.0,35914.0,106203.0,40000.0,76100.0,,,143141.0,37260.0,24375.0,27673.0,33525.0,41162.0,42768.0,70000.0,56504.0,30308.0,29982.0,39706.0,,40000.0,64348.0
1997,46726.0,38889.0,29970.0,36858.0,,83399.0,,50000.0,160000.0,42857.0,53240.0,29791.0,40728.0,,50000.0,118919.0,,40964.0,16417.0,41667.0,42099.0,24062.0,45000.0,28109.0,35714.0,105849.0,39625.0,71800.0,,,143172.0,37662.0,22500.0,29134.0,33462.0,42857.0,40000.0,70000.0,87041.0,30674.0,33072.0,40714.0,,53333.0,66364.0
1998,42749.0,35000.0,40973.0,49875.0,,61194.0,,50000.0,213333.0,40000.0,59118.0,40416.0,41382.0,,50000.0,160000.0,,44996.0,20396.0,40055.0,37948.0,31579.0,55979.0,28000.0,34846.0,105491.0,39623.0,69300.0,,,143188.0,38572.0,23333.0,26720.0,33399.0,42813.0,40000.0,80000.0,86366.0,29804.0,31553.0,41379.0,,54047.0,60714.0
1999,48391.0,36000.0,36951.0,46380.0,,44498.0,,88571.0,78125.0,40000.0,66885.0,39538.0,41680.0,,50000.0,100677.0,,44227.0,22271.0,36540.0,38741.0,26316.0,49320.0,28102.0,29901.0,105113.0,40000.0,86000.0,,,143183.0,39241.0,22222.0,29642.0,33336.0,49399.0,40000.0,80000.0,93745.0,32139.0,41049.0,41667.0,,41667.0,63636.0
2000,50583.0,38333.0,44505.0,54735.0,,42803.0,92344.0,101429.0,73333.0,45000.0,55279.0,43800.0,42870.0,,55000.0,56061.0,,44382.0,23262.0,41194.0,38921.0,26471.0,62244.0,28000.0,37615.0,104429.0,39407.0,,,,143152.0,39726.0,20391.0,28500.0,33274.0,62191.0,40000.0,90701.0,80231.0,32901.0,37620.0,42857.0,,45455.0,71429.0
2001,47887.0,34800.0,37779.0,51987.0,,48077.0,57143.0,40345.0,78788.0,45000.0,61829.0,40488.0,43757.0,,53672.0,50000.0,,47000.0,22980.0,40163.0,42527.0,21469.0,59970.0,28846.0,39142.0,104054.0,39180.0,,,,142857.0,41333.0,19231.0,27550.0,33211.0,50000.0,40000.0,58026.0,96681.0,33202.0,44259.0,43750.0,,47920.0,56684.0
