,USSR,Finland,Fiji,Kenya,Guyana,Solomon Islands,Papua New Guinea,Somalia,Albania,Brazil,Serbia,El Salvador,Saint Lucia,Canada,Colombia,Spain,Grenada,New Zealand,Honduras,Jamaica,Cabo Verde,Republic of Moldova,Mongolia,Belgium-Luxembourg,Angola,Saudi Arabia,Togo,Greece,Tajikistan,Haiti,Mali,Hungary,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Iran (Islamic Republic of),Gambia,Ghana,Sweden,Cyprus,Kazakhstan,Rwanda,Bosnia and Herzegovina,Portugal,Saint Kitts and Nevis,"China, Taiwan Province of",Puerto Rico,Turkmenistan,Dominica,Madagascar,United Republic of Tanzania,Nepal,Libya,Costa Rica,Bangladesh,Germany,Comoros,Latvia,Benin,Occupied Palestinian Territory,Cambodia,Armenia,Chile,Malta,Denmark,Lebanon,Malawi,Algeria,Slovakia,Israel,Réunion,Belarus,Afghanistan,Trinidad and Tobago,Sudan,Georgia,Lithuania,Russian Federation,Tunisia,Paraguay,Venezuela (Bolivarian Republic of),Djibouti,Guadeloupe,South Africa,Myanmar,Eritrea,Bahrain,Australia & New Zealand,Australia,Panama,Pakistan,Thailand,Belize,Ethiopia,Bhutan,Lao People's Democratic Republic,Zambia,Botswana,Yemen,Suriname,Mozambique,Niger,Democratic People's Republic of Korea,Slovenia,South Sudan,New Caledonia,Central African Republic,Bahamas,Ecuador,Indonesia,Poland,Chad,Jordan,Ethiopia PDR,Estonia,Melanesia,France,Republic of Korea,Democratic Republic of the Congo,Nigeria,Congo,Martinique,Peru,United States of America,"China, mainland",The former Yugoslav Republic of Macedonia,India,Guinea-Bissau,Cameroon,Netherlands,Guatemala,Cuba,Lesotho,Romania,Norway,Philippines,Iraq,Swaziland,Burundi,Belgium,Luxembourg,Czechia,Senegal,Italy,Ireland,Uganda,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Switzerland,Sierra Leone,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Austria,Japan,Maldives,Timor-Leste,Egypt,Argentina,Namibia,United Kingdom,Azerbaijan,Nicaragua,Viet Nam,Barbados,Turkey,Bolivia (Plurinational State of),Saint Vincent and the Grenadines,Mexico,Guinea,Mauritania,Czechoslovakia,Sri Lanka,Côte d'Ivoire,Croatia,Bulgaria,Montenegro,Ukraine,Liberia
1961,8627.0,13462.0,5000.0,4264.0,7059.0,6667.0,5000.0,2500.0,5637.0,6681.0,,4881.0,20000.0,11412.0,5342.0,6362.0,11286.0,22107.0,6128.0,6599.0,1944.0,,1714.0,32479.0,4783.0,16667.0,3214.0,6984.0,,4262.0,2564.0,7932.0,9124.0,6138.0,3772.0,6903.0,2000.0,1000.0,16246.0,6836.0,,6662.0,,2175.0,10000.0,7614.0,5989.0,,4250.0,8529.0,3976.0,4939.0,4018.0,3984.0,6948.0,16340.0,6500.0,,2902.0,,5500.0,,7979.0,12421.0,25519.0,8162.0,5784.0,3864.0,,5574.0,12308.0,,8780.0,8628.0,,,,,2830.0,7649.0,4928.0,,,4841.0,4424.0,,,12747.0,8650.0,3090.0,4904.0,10938.0,5479.0,,4444.0,6600.0,8000.0,7100.0,10000.0,5962.0,4815.0,1511.0,5660.0,,,6250.0,5000.0,11034.0,6275.0,11074.0,11135.0,3542.0,4359.0,7455.0,,5726.0,11007.0,5218.0,5241.0,3606.0,5652.0,,9964.0,14050.0,8763.0,,5401.0,8000.0,4440.0,33297.0,5996.0,5003.0,6138.0,1594.0,24545.0,5347.0,7965.0,5170.0,9905.0,,,,2517.0,6447.0,20000.0,6449.0,,8760.0,4611.0,,11240.0,3619.0,,5457.0,8036.0,5907.0,,5000.0,18564.0,13826.0,6000.0,5179.0,11366.0,10041.0,8889.0,24160.0,,7655.0,4510.0,10000.0,10088.0,5938.0,6667.0,4899.0,5455.0,3624.0,11025.0,4574.0,4000.0,,3760.0,,,5000.0
1962,9745.0,10929.0,4940.0,4264.0,7059.0,6645.0,5000.0,933.0,5913.0,6217.0,,5578.0,20000.0,13479.0,5318.0,6774.0,11286.0,18306.0,6298.0,6650.0,2778.0,,1714.0,33021.0,5043.0,16250.0,3367.0,6654.0,,4291.0,2567.0,8864.0,9074.0,8035.0,3520.0,6917.0,2100.0,1000.0,12288.0,7135.0,,7780.0,,2114.0,10000.0,7224.0,6128.0,,4250.0,7091.0,3987.0,4943.0,3193.0,3850.0,6810.0,18028.0,6500.0,,2913.0,,5813.0,,8269.0,15685.0,19894.0,11170.0,5877.0,3081.0,,5400.0,12308.0,,8857.0,8776.0,,,,,5037.0,7298.0,5214.0,,,3518.0,5019.0,,,12241.0,9543.0,2961.0,4731.0,10758.0,5452.0,,4595.0,6471.0,8000.0,6000.0,10000.0,6170.0,5818.0,1870.0,5952.0,,,6667.0,5000.0,10938.0,5828.0,11359.0,11547.0,4676.0,5266.0,7505.0,,5701.0,10754.0,5194.0,5405.0,3506.0,5600.0,,10722.0,13832.0,10182.0,,4892.0,8000.0,4269.0,39584.0,6111.0,5000.0,5235.0,1354.0,19200.0,6681.0,8278.0,5455.0,9785.0,,,,2711.0,6844.0,28125.0,6650.0,,10176.0,4522.0,,13064.0,5920.0,,5460.0,7890.0,6547.0,,5000.0,17949.0,10592.0,6000.0,5439.0,19315.0,10916.0,8889.0,28487.0,,7473.0,4681.0,10000.0,10011.0,6022.0,6667.0,4400.0,6364.0,3624.0,10371.0,3699.0,3846.0,,2699.0,,,5000.0
1963,6854.0,15882.0,4940.0,4308.0,7176.0,6774.0,5000.0,1364.0,6143.0,6427.0,,5205.0,20000.0,13087.0,5193.0,6728.0,11429.0,22561.0,6473.0,6631.0,3056.0,,1857.0,28297.0,5217.0,16471.0,3586.0,6582.0,,4280.0,2567.0,8233.0,9270.0,7190.0,3439.0,6932.0,2200.0,1000.0,15057.0,6540.0,,8032.0,,2283.0,10000.0,6112.0,6016.0,,4500.0,7789.0,4074.0,4952.0,3448.0,4043.0,6784.0,16152.0,6190.0,,2388.0,,4000.0,,7566.0,11109.0,24747.0,11071.0,5945.0,3644.0,,6344.0,12308.0,,8711.0,9459.0,,,,,4577.0,7521.0,4745.0,,,3303.0,5234.0,,,13906.0,9583.0,3151.0,4987.0,11544.0,7869.0,,4500.0,6408.0,8000.0,6000.0,10000.0,6883.0,5583.0,1883.0,5977.0,,,6667.0,5000.0,11176.0,5467.0,11088.0,10278.0,4610.0,2950.0,7458.0,,5735.0,12719.0,4744.0,5513.0,2389.0,5696.0,,10762.0,15569.0,10000.0,,4760.0,8000.0,4450.0,34634.0,6107.0,4615.0,5063.0,1238.0,23478.0,6185.0,8033.0,4772.0,9451.0,,,,2761.0,8323.0,18000.0,6653.0,,9990.0,4494.0,,11141.0,6410.0,,5052.0,7890.0,6173.0,,5000.0,21632.0,11853.0,6000.0,5690.0,15958.0,11923.0,8889.0,26266.0,,8424.0,4484.0,10000.0,10764.0,5709.0,6667.0,4380.0,4545.0,3624.0,10873.0,4477.0,5625.0,,4303.0,,,5000.0
1964,9549.0,16316.0,4598.0,4308.0,6707.0,6750.0,5000.0,2833.0,6017.0,6121.0,,5790.0,20000.0,13443.0,5225.0,6126.0,11500.0,24758.0,6649.0,6613.0,3529.0,,1857.0,30863.0,5250.0,16667.0,2988.0,7693.0,,4278.0,2580.0,7615.0,9007.0,9294.0,3536.0,6958.0,2300.0,1000.0,17861.0,5207.0,,7073.0,,2137.0,10000.0,8299.0,6980.0,,4500.0,7999.0,4023.0,4898.0,3192.0,3992.0,7193.0,16510.0,6429.0,,2574.0,,4000.0,,8509.0,17636.0,28239.0,10822.0,5991.0,6681.0,,10065.0,12308.0,,9156.0,8832.0,,,,,3964.0,7357.0,4231.0,,,3958.0,5421.0,,,15384.0,10151.0,2835.0,5076.0,10904.0,7181.0,,4524.0,6408.0,8000.0,6000.0,10000.0,8776.0,5333.0,1945.0,5915.0,,,6667.0,5000.0,11429.0,4978.0,11030.0,10254.0,4828.0,8732.0,7722.0,,5653.0,11054.0,5112.0,5643.0,2510.0,5732.0,,10628.0,14411.0,10805.0,,4222.0,8000.0,5067.0,33997.0,6175.0,4355.0,4000.0,1032.0,,5726.0,7438.0,4675.0,9553.0,,,,3346.0,7945.0,15625.0,6381.0,,10797.0,4470.0,,11235.0,6499.0,,5470.0,7661.0,5552.0,,5250.0,24302.0,8053.0,6000.0,5563.0,19001.0,9907.0,9333.0,30468.0,,8140.0,4679.0,7500.0,10374.0,5718.0,6667.0,4646.0,6000.0,3624.0,10448.0,4626.0,6190.0,,4922.0,,,5000.0
1965,9145.0,17083.0,4598.0,4351.0,7317.0,6875.0,5000.0,3077.0,5361.0,6877.0,,7035.0,20000.0,15956.0,5225.0,5339.0,11714.0,21679.0,6822.0,6655.0,3824.0,,1447.0,26619.0,5043.0,16316.0,3241.0,7806.0,,4345.0,2559.0,10996.0,9121.0,7609.0,3108.0,7016.0,2500.0,1000.0,15532.0,9808.0,,7223.0,,1747.0,10000.0,8055.0,6768.0,,4500.0,7636.0,4277.0,5111.0,3545.0,4009.0,7159.0,19479.0,5870.0,,2960.0,,4004.0,,7998.0,21618.0,26614.0,10712.0,6048.0,5385.0,,9311.0,17500.0,,9042.0,9281.0,,,,,6050.0,7351.0,4324.0,,,3640.0,4759.0,,,10927.0,6012.0,3217.0,5218.0,10449.0,6634.0,,4878.0,6346.0,8000.0,6000.0,10000.0,10500.0,5583.0,2081.0,5882.0,,,8219.0,5000.0,11316.0,6102.0,11176.0,13300.0,5141.0,8205.0,7731.0,,5714.0,12852.0,4842.0,5703.0,2433.0,5765.0,,9063.0,12841.0,10845.0,,5115.0,8000.0,4780.0,26002.0,6159.0,4167.0,4185.0,1271.0,,5713.0,9075.0,5000.0,9340.0,,,,2612.0,8542.0,16250.0,6587.0,,10838.0,4476.0,,11747.0,7611.0,,4864.0,8067.0,4232.0,,5250.0,23765.0,11904.0,6000.0,5641.0,18241.0,12439.0,9333.0,28639.0,,8333.0,4692.0,8750.0,10670.0,5705.0,6667.0,4474.0,6000.0,3542.0,11496.0,5174.0,5250.0,,4277.0,,,5000.0
1966,10962.0,14545.0,4598.0,4361.0,5786.0,6788.0,5000.0,3288.0,6056.0,6368.0,,5850.0,20000.0,14164.0,5126.0,7040.0,11857.0,24721.0,7606.0,6605.0,4438.0,,8485.0,24588.0,5378.0,16500.0,3211.0,9169.0,,4366.0,2559.0,7946.0,8754.0,5005.0,11832.0,7067.0,2545.0,1000.0,17056.0,9035.0,,8338.0,,2065.0,10000.0,8227.0,7791.0,,4750.0,7511.0,4340.0,5142.0,4740.0,3924.0,7118.0,18751.0,5870.0,,2803.0,,5261.0,,9737.0,15974.0,22857.0,7501.0,6033.0,5388.0,,8554.0,15000.0,,8863.0,10079.0,,,,,3416.0,6121.0,4532.0,,,3679.0,4592.0,,,12899.0,7743.0,3402.0,4814.0,9841.0,8965.0,,4884.0,6346.0,8000.0,5000.0,10000.0,13393.0,5417.0,1579.0,6090.0,,,8571.0,5000.0,11500.0,5174.0,11345.0,12244.0,5252.0,5226.0,7906.0,,5680.0,15292.0,4982.0,5786.0,1994.0,5795.0,,8992.0,14497.0,8750.0,,4389.0,10000.0,4678.0,23549.0,6171.0,3833.0,5060.0,1694.0,,5439.0,9445.0,4695.0,9306.0,,,,2135.0,8316.0,28333.0,6319.0,,8749.0,4477.0,,12068.0,5280.0,,4512.0,9635.0,5595.0,,5250.0,26509.0,8421.0,6000.0,6055.0,19917.0,12628.0,9149.0,26564.0,,8347.0,4758.0,7950.0,10587.0,5792.0,6842.0,4927.0,6000.0,3685.0,10305.0,4218.0,5943.0,,8005.0,,,5000.0
1967,11090.0,16190.0,5296.0,4361.0,5758.0,6970.0,5000.0,3289.0,6129.0,6867.0,,6153.0,20526.0,16591.0,5488.0,7225.0,11429.0,29117.0,6879.0,6683.0,3563.0,,2593.0,32351.0,5319.0,17143.0,3271.0,9736.0,,4414.0,2561.0,10274.0,9102.0,11279.0,12829.0,7166.0,2600.0,1000.0,16910.0,10448.0,,8353.0,,2470.0,10000.0,8705.0,7555.0,,4750.0,7968.0,5123.0,5172.0,4657.0,4264.0,6937.0,21704.0,5633.0,,3100.0,,5380.0,,11844.0,20447.0,29000.0,10955.0,6008.0,5399.0,,10789.0,17500.0,,8333.0,9941.0,,,,,3492.0,6921.0,4611.0,,,4967.0,3941.0,,,11961.0,4362.0,3726.0,4881.0,9408.0,8419.0,,4889.0,6286.0,8000.0,6000.0,10000.0,11807.0,4635.0,1605.0,6218.0,,,7353.0,5000.0,11852.0,5255.0,10952.0,12793.0,5000.0,10921.0,7938.0,,5823.0,13700.0,4890.0,5877.0,1479.0,5889.0,,9262.0,13626.0,8750.0,,3865.0,10000.0,4206.0,38695.0,6218.0,3667.0,4359.0,1800.0,,5202.0,9321.0,4890.0,9348.0,,,,3087.0,8958.0,24000.0,6811.0,,8750.0,4461.0,,12075.0,5775.0,,5453.0,9349.0,5714.0,,5000.0,28290.0,13262.0,6000.0,5848.0,14411.0,9161.0,9149.0,32616.0,,8384.0,4862.0,10465.0,11066.0,5885.0,6667.0,5470.0,6667.0,3605.0,11804.0,4211.0,6000.0,,7705.0,,,5000.0
1968,13189.0,19412.0,4668.0,4593.0,6423.0,7059.0,5000.0,3289.0,6109.0,6502.0,,6712.0,21111.0,12113.0,5435.0,7360.0,11429.0,25861.0,6578.0,5579.0,1307.0,,2941.0,27750.0,5319.0,16818.0,3067.0,9122.0,,4265.0,2569.0,7063.0,9908.0,6091.0,11661.0,7257.0,2600.0,1048.0,17562.0,8352.0,,7307.0,,2470.0,10000.0,9235.0,10638.0,,5000.0,8527.0,4456.0,5212.0,4384.0,4007.0,7521.0,21519.0,5640.0,,2673.0,,5129.0,,9404.0,17606.0,35950.0,5809.0,6022.0,4817.0,,10733.0,17500.0,,9111.0,10268.0,,,,,4302.0,6052.0,3920.0,,,4405.0,4395.0,,,13717.0,8435.0,3685.0,4670.0,9710.0,7845.0,,5000.0,6759.0,8000.0,6000.0,10000.0,12254.0,5478.0,1269.0,6346.0,,,7692.0,5000.0,12195.0,4914.0,12506.0,12194.0,4380.0,4659.0,7997.0,,5553.0,15288.0,6105.0,5953.0,2007.0,5851.0,,8287.0,14142.0,7949.0,,5314.0,10000.0,4375.0,29748.0,6267.0,3556.0,4332.0,814.0,,5491.0,9471.0,4506.0,9308.0,,,,2482.0,8090.0,31429.0,6114.0,,7953.0,4451.0,,11334.0,10894.0,,5046.0,9011.0,5952.0,,5000.0,25691.0,12771.0,6000.0,6577.0,19936.0,6620.0,9362.0,24467.0,,8393.0,4527.0,11875.0,10911.0,5781.0,7179.0,5271.0,6167.0,3713.0,10292.0,3598.0,5333.0,,5173.0,,,5250.0
1969,13973.0,16923.0,4717.0,4926.0,8723.0,7235.0,5000.0,3000.0,5972.0,5987.0,,7996.0,20556.0,12111.0,5692.0,7331.0,11185.0,27911.0,6272.0,6461.0,1958.0,,1765.0,28063.0,5292.0,16957.0,2750.0,9298.0,,4526.0,2564.0,11709.0,9795.0,9451.0,13144.0,7387.0,2600.0,960.0,13584.0,9642.0,,8803.0,,2298.0,10000.0,10245.0,10073.0,,5000.0,8439.0,4107.0,5182.0,4170.0,4025.0,7716.0,19648.0,5577.0,,3216.0,,6417.0,,8488.0,20516.0,29160.0,7551.0,6034.0,4774.0,,9578.0,17500.0,,9481.0,9900.0,,,,,4042.0,6382.0,3638.0,,,3463.0,4813.0,,,13902.0,7226.0,3446.0,5179.0,8429.0,8074.0,,5000.0,6759.0,8000.0,6000.0,10000.0,10303.0,5183.0,1233.0,6413.0,,,7692.0,5000.0,12530.0,4697.0,12321.0,11901.0,4202.0,7846.0,8076.0,,5732.0,14927.0,5987.0,5761.0,2360.0,5876.0,,8202.0,15043.0,8000.0,,4957.0,10000.0,5016.0,30911.0,6874.0,2857.0,3475.0,1469.0,,5225.0,8911.0,5099.0,9682.0,,,,3201.0,9674.0,30000.0,5450.0,,8007.0,4474.0,,11273.0,8104.0,,5332.0,8944.0,5952.0,,5000.0,22382.0,12381.0,6000.0,7311.0,18844.0,7391.0,9362.0,27024.0,,8369.0,4628.0,11849.0,10955.0,4701.0,7692.0,5478.0,6167.0,3663.0,11342.0,4096.0,6250.0,,8676.0,,,4889.0
1970,13884.0,17333.0,5000.0,4859.0,9506.0,7257.0,5000.0,3305.0,6133.0,6253.0,,8272.0,20556.0,13415.0,5891.0,7005.0,10763.0,20084.0,5955.0,7174.0,1705.0,,2222.0,27837.0,6250.0,17083.0,2484.0,10674.0,,4617.0,2596.0,11776.0,11201.0,4753.0,12819.0,7514.0,2600.0,915.0,20391.0,6324.0,,8752.0,,2379.0,10000.0,10373.0,9662.0,,4750.0,8442.0,4051.0,5284.0,3736.0,4008.0,7798.0,20978.0,5556.0,,3325.0,,6373.0,,9277.0,22266.0,34249.0,8991.0,6069.0,4343.0,,8769.0,17500.0,,9536.0,11634.0,,,,,3417.0,6381.0,3931.0,,,4014.0,4494.0,,,12148.0,8323.0,3425.0,5303.0,6978.0,7698.0,,5000.0,6759.0,8000.0,6000.0,7692.0,8164.0,5583.0,1097.0,6540.0,,,9167.0,5000.0,12857.0,5170.0,11781.0,12746.0,4074.0,2674.0,8121.0,,5873.0,18398.0,6204.0,5811.0,2375.0,5960.0,,8269.0,13779.0,9079.0,,5406.0,10000.0,4580.0,29797.0,4333.0,3143.0,2857.0,1754.0,,4933.0,8989.0,5000.0,9861.0,,,,2846.0,9626.0,27778.0,6428.0,,9083.0,4458.0,,11831.0,8409.0,,5143.0,9094.0,5995.0,,5000.0,23765.0,13813.0,6000.0,5293.0,19963.0,8466.0,9375.0,23287.0,,9140.0,4706.0,11818.0,10653.0,7699.0,7000.0,5690.0,5833.0,3663.0,11998.0,4671.0,6545.0,,8228.0,,,4889.0
