,Paraguay,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Serbia,India,Serbia and Montenegro,Tunisia,Brazil,United Kingdom,Ethiopia,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,Pakistan,Bangladesh,Republic of Korea,Belgium,Netherlands,Japan,New Zealand,Rwanda,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Mongolia,Algeria,Slovenia,Czechoslovakia,Tajikistan,Kyrgyzstan,Ukraine,Argentina,Luxembourg,Germany,Austria,South Africa,Morocco,Ethiopia PDR,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Italy,Spain,Uruguay,Bosnia and Herzegovina,China,Ireland,Uzbekistan,Colombia,Latvia,Yugoslav SFR,Slovakia,Czechia,Chile,Hungary,Kazakhstan,Estonia,Australia,France,Lithuania,Finland,"China, mainland",Russian Federation,Turkey,Norway,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,7918.0,-1.0,-1.0,-1,-1.0,2883000.0,-1.0,-1.0,-1.0,600.0,-1.0,11429.0,287444.0,-1.0,-1.0,498980.0,225817.0,1759.0,-1.0,3924.0,194900.0,200.0,-1,21000.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,54256.0,-1.0,-1.0,-1.0,6900.0,-1.0,157418.0,4491.0,-1.0,-1.0,50000.0,164800.0,49967.0,5670.0,6000.0,29000.0,9800.0,6460.0,-1.0,-1.0,-1.0,1473918.0,-1.0,-1.0,-1.0,-1.0,7890.0,-1.0,-1.0,28900.0,9472.0,-1.0,-1.0,-1.0,70176.0,-1.0,6311.0,1466000.0,-1.0,5800.0,910.0,-1.0,81.0
1962,-1.0,9345.0,-1.0,-1.0,-1,-1.0,3168000.0,-1.0,-1.0,-1.0,800.0,-1.0,24932.0,150217.0,-1.0,-1.0,450820.0,238767.0,9164.0,-1.0,4089.0,173100.0,200.0,-1,9274.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,34343.0,-1.0,-1.0,-1.0,6400.0,-1.0,143659.0,4427.0,-1.0,-1.0,50000.0,249600.0,61369.0,5800.0,4000.0,29360.0,200.0,6477.0,-1.0,-1.0,-1.0,1369345.0,-1.0,-1.0,-1.0,-1.0,2340.0,-1.0,-1.0,29600.0,3203.0,-1.0,-1.0,-1.0,89407.0,-1.0,6400.0,1360000.0,-1.0,6700.0,1330.0,-1.0,118.0
1963,-1.0,10398.0,-1.0,-1.0,-1,-1.0,3127000.0,-1.0,-1.0,-1.0,1200.0,-1.0,15649.0,193437.0,-1.0,-1.0,494530.0,233101.0,5673.0,-1.0,3960.0,140700.0,200.0,-1,2671.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,37216.0,-1.0,-1.0,-1.0,7600.0,-1.0,146121.0,4393.0,-1.0,-1.0,50000.0,192700.0,54193.0,6398.0,5000.0,11750.0,100.0,5539.0,-1.0,-1.0,-1.0,1452398.0,-1.0,-1.0,-1.0,-1.0,2650.0,-1.0,-1.0,42100.0,4661.0,-1.0,-1.0,-1.0,79901.0,-1.0,6600.0,1442000.0,-1.0,6700.0,2100.0,-1.0,61.0
1964,-1.0,19598.0,-1.0,-1.0,-1,-1.0,3046000.0,-1.0,-1.0,-1.0,1200.0,-1.0,25320.0,320102.0,-1.0,-1.0,474700.0,202345.0,7029.0,-1.0,3623.0,119600.0,200.0,-1,3977.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,47817.0,-1.0,-1.0,-1.0,10500.0,-1.0,167655.0,5752.0,-1.0,-1.0,50000.0,236500.0,78409.0,6347.0,4000.0,4400.0,1000.0,5095.0,-1.0,-1.0,-1.0,1807598.0,-1.0,-1.0,-1.0,-1.0,3050.0,-1.0,-1.0,49900.0,6183.0,-1.0,-1.0,-1.0,124292.0,-1.0,8800.0,1788000.0,-1.0,8000.0,2920.0,-1.0,66.0
1965,-1.0,19593.0,-1.0,-1.0,-1,-1.0,2910000.0,-1.0,-1.0,-1.0,1200.0,-1.0,27170.0,580716.0,-1.0,-1.0,488460.0,185753.0,6801.0,-1.0,4842.0,85400.0,250.0,-1,845.0,250.0,-1.0,-1.0,-1.0,-1.0,-1.0,50868.0,-1.0,-1.0,-1.0,7900.0,-1.0,164823.0,6073.0,-1.0,-1.0,50000.0,273600.0,85406.0,6725.0,6000.0,7780.0,10000.0,5453.0,-1.0,-1.0,-1.0,1841693.0,-1.0,-1.0,-1.0,-1.0,2960.0,-1.0,-1.0,57593.0,5546.0,-1.0,-1.0,-1.0,173220.0,-1.0,5300.0,1822100.0,-1.0,8000.0,4788.0,-1.0,52.0
1966,-1.0,7679.0,-1.0,-1.0,-1,-1.0,2913000.0,-1.0,-1.0,-1.0,2450.0,-1.0,20716.0,617137.0,-1.0,-1.0,441520.0,191800.0,12189.0,-1.0,5048.0,66500.0,400.0,-1,66.0,400.0,-1.0,-1.0,-1.0,-1.0,-1.0,47934.0,-1.0,-1.0,-1.0,2800.0,-1.0,161019.0,6545.0,-1.0,-1.0,50000.0,272000.0,50134.0,6762.0,7000.0,7320.0,5000.0,5547.0,-1.0,-1.0,-1.0,1753679.0,-1.0,-1.0,-1.0,-1.0,3150.0,-1.0,-1.0,61817.0,6968.0,-1.0,-1.0,-1.0,178822.0,-1.0,3000.0,1746000.0,-1.0,6400.0,6364.0,-1.0,44.0
1967,-1.0,4498.0,-1.0,-1.0,-1,-1.0,3005900.0,-1.0,-1.0,-1.0,6100.0,-1.0,19782.0,655582.0,-1.0,-1.0,459730.0,197100.0,16414.0,-1.0,5229.0,54400.0,330.0,-1,495.0,330.0,-1.0,-1.0,-1.0,-1.0,-1.0,49051.0,-1.0,-1.0,-1.0,1600.0,-1.0,165196.0,6762.0,-1.0,-1.0,50000.0,315000.0,93572.0,7551.0,7000.0,9100.0,10000.0,3286.0,-1.0,-1.0,-1.0,1667498.0,-1.0,-1.0,-1.0,-1.0,4020.0,-1.0,-1.0,45100.0,6260.0,-1.0,-1.0,-1.0,213119.0,-1.0,4900.0,1663000.0,-1.0,6700.0,9421.0,-1.0,454.0
1968,-1.0,2888.0,-1.0,-1.0,-1,-1.0,3243700.0,-1.0,-1.0,-1.0,5300.0,-1.0,14698.0,425723.0,-1.0,-1.0,542280.0,214500.0,17576.0,-1.0,6647.0,39500.0,300.0,-1,427.0,1716.0,-1.0,-1.0,-1.0,-1.0,-1.0,51774.0,-1.0,-1.0,-1.0,2400.0,-1.0,182358.0,6416.0,-1.0,-1.0,50000.0,361100.0,108016.0,7684.0,7000.0,7100.0,200.0,2743.0,-1.0,-1.0,-1.0,1405888.0,-1.0,-1.0,-1.0,-1.0,5060.0,-1.0,-1.0,37440.0,12179.0,-1.0,-1.0,1416.0,252639.0,-1.0,4500.0,1403000.0,-1.0,6500.0,11371.0,-1.0,647.0
1969,-1.0,2221.0,-1.0,-1.0,-1,-1.0,2870200.0,-1.0,-1.0,-1.0,7284.0,-1.0,11895.0,814216.0,-1.0,-1.0,442330.0,223400.0,27942.0,-1.0,6170.0,29600.0,300.0,-1,155.0,5156.0,-1.0,-1.0,-1.0,-1.0,-1.0,34589.0,-1.0,-1.0,-1.0,3000.0,-1.0,180533.0,4191.0,-1.0,-1.0,50000.0,148300.0,104532.0,7583.0,7000.0,2800.0,800.0,2630.0,20.0,-1.0,-1.0,1428221.0,-1.0,-1.0,-1.0,-1.0,5566.0,-1.0,-1.0,48380.0,17481.0,-1.0,-1.0,4856.0,290700.0,-1.0,5500.0,1426000.0,-1.0,7000.0,7765.0,-1.0,531.0
1970,-1.0,1722.0,-1.0,-1.0,-1,-1.0,3172600.0,-1.0,-1.0,-1.0,4006.0,-1.0,13057.0,1638954.0,-1.0,-1.0,477130.0,217700.0,23187.0,-1.0,7493.0,19200.0,300.0,-1,84.0,43197.0,-1.0,-1.0,-1.0,-1.0,-1.0,34413.0,-1.0,-1.0,-1.0,2000.0,-1.0,183291.0,3960.0,-1.0,-1.0,51000.0,297600.0,94144.0,8794.0,6000.0,4300.0,1400.0,3078.0,5.0,-1.0,-1.0,1453722.0,-1.0,-1.0,-1.0,-1.0,6239.0,-1.0,-1.0,53710.0,28700.0,-1.0,-1.0,42897.0,350400.0,-1.0,6600.0,1452000.0,-1.0,2900.0,3604.0,-1.0,492.0
