,Kenya,"China, Taiwan Province of",Australia,Croatia,Syrian Arab Republic,Brazil,Bhutan,Nepal,Ethiopia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Republic of Korea,Kyrgyzstan,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,Slovenia,Madagascar,Tajikistan,Ukraine,Israel,Switzerland,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Malta,Colombia,Libya,Lebanon,Uzbekistan,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Portugal,Poland,"China, mainland",Russian Federation,Italy,Bolivia (Plurinational State of),Peru,Yemen,Serbia and Montenegro,Cameroon,Serbia,Germany,Armenia,Canada,Japan,Afghanistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Spain,New Zealand,Bulgaria,United States of America,Iran (Islamic Republic of),Pakistan,Czechoslovakia,Czechia,Argentina,Paraguay,Georgia,India,Austria,Morocco,Democratic People's Republic of Korea,USSR,Mexico,Romania,Ecuador,Jordan,Tunisia,Albania,Turkmenistan,France,South Africa,Réunion,Slovakia,Republic of Moldova,Turkey
1961,-1.0,84536.0,82150.0,-1.0,16730.0,63581.0,-1.0,-1.0,-1.0,-1.0,28544.0,-1.0,59619.0,-1.0,86428.0,-1.0,-1.0,20182.0,-1.0,25000.0,-1.0,-1.0,143333.0,-1.0,-1.0,-1.0,86584.0,-1.0,71726.0,-1.0,-1.0,-1.0,51282.0,-1.0,-1.0,49180.0,-1.0,-1.0,-1.0,89907.0,-1.0,71667.0,-1.0,118713.0,48000.0,112000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90807.0,100149.0,66298.0,-1.0,22500.0,15000.0,135632.0,109417.0,168307.0,123872.0,41111.0,13396.0,-1.0,-1.0,-1.0,-1.0,-1.0,43000.0,-1.0,-1.0,62500.0,25500.0,136724.0,-1.0,48619.0,19500.0,9500.0,-1.0,-1.0,61821.0,99331.0,-1.0,-1.0,-1.0,100905.0
1962,-1.0,83786.0,82150.0,-1.0,42406.0,61696.0,-1.0,-1.0,-1.0,-1.0,28430.0,-1.0,58499.0,-1.0,87047.0,-1.0,-1.0,20000.0,-1.0,25000.0,-1.0,-1.0,160000.0,-1.0,-1.0,-1.0,124567.0,-1.0,60737.0,-1.0,-1.0,-1.0,42105.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,72000.0,-1.0,60635.0,-1.0,117070.0,48444.0,112000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90723.0,92330.0,66298.0,-1.0,22545.0,14764.0,118876.0,112472.0,106577.0,122452.0,42222.0,60000.0,-1.0,-1.0,-1.0,-1.0,-1.0,43333.0,-1.0,-1.0,66667.0,24545.0,125735.0,-1.0,66794.0,15000.0,9158.0,-1.0,-1.0,59663.0,85566.0,-1.0,-1.0,-1.0,73811.0
1963,-1.0,81872.0,100946.0,-1.0,24869.0,67086.0,-1.0,-1.0,-1.0,-1.0,24675.0,-1.0,55942.0,-1.0,108154.0,-1.0,-1.0,20000.0,-1.0,25000.0,-1.0,-1.0,142500.0,-1.0,-1.0,-1.0,132607.0,-1.0,64385.0,-1.0,-1.0,-1.0,53333.0,-1.0,-1.0,50400.0,-1.0,-1.0,-1.0,88286.0,-1.0,64286.0,-1.0,138621.0,47826.0,116000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90757.0,95942.0,66298.0,-1.0,22603.0,16933.0,131818.0,150857.0,83306.0,126940.0,42222.0,76250.0,-1.0,-1.0,-1.0,-1.0,-1.0,45370.0,-1.0,-1.0,70833.0,30000.0,136252.0,-1.0,58403.0,13700.0,9222.0,-1.0,-1.0,87038.0,95259.0,-1.0,-1.0,-1.0,63081.0
1964,-1.0,80059.0,90675.0,-1.0,27500.0,58452.0,-1.0,-1.0,-1.0,-1.0,34793.0,-1.0,69311.0,-1.0,98036.0,-1.0,-1.0,20000.0,-1.0,25000.0,-1.0,-1.0,148571.0,-1.0,-1.0,-1.0,94678.0,-1.0,55121.0,-1.0,-1.0,-1.0,196429.0,-1.0,-1.0,51200.0,-1.0,-1.0,-1.0,50000.0,-1.0,55000.0,-1.0,142426.0,47826.0,120690.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90780.0,98381.0,76563.0,-1.0,22584.0,16494.0,111825.0,143733.0,118316.0,130135.0,43333.0,70625.0,-1.0,-1.0,-1.0,-1.0,-1.0,45000.0,-1.0,-1.0,75000.0,25333.0,136000.0,-1.0,38193.0,22250.0,8833.0,-1.0,-1.0,88419.0,97401.0,-1.0,-1.0,-1.0,107350.0
1965,-1.0,85596.0,94922.0,-1.0,28125.0,74440.0,-1.0,-1.0,-1.0,-1.0,30845.0,-1.0,51659.0,-1.0,99369.0,-1.0,-1.0,19979.0,-1.0,25000.0,-1.0,-1.0,136429.0,-1.0,-1.0,-1.0,67169.0,-1.0,55488.0,-1.0,-1.0,-1.0,186275.0,-1.0,-1.0,53846.0,-1.0,-1.0,-1.0,74082.0,-1.0,55333.0,-1.0,135396.0,48043.0,105263.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,91058.0,108905.0,80693.0,-1.0,22619.0,17188.0,109355.0,130000.0,89811.0,134755.0,44444.0,130769.0,-1.0,-1.0,-1.0,-1.0,-1.0,43636.0,-1.0,-1.0,79167.0,22571.0,137266.0,-1.0,37227.0,32350.0,8857.0,-1.0,-1.0,98127.0,105318.0,-1.0,-1.0,-1.0,63842.0
1966,-1.0,76343.0,102439.0,-1.0,30964.0,55553.0,-1.0,-1.0,-1.0,-1.0,38014.0,-1.0,58807.0,-1.0,109141.0,-1.0,-1.0,20065.0,-1.0,25000.0,-1.0,-1.0,153571.0,-1.0,-1.0,-1.0,88026.0,-1.0,39245.0,-1.0,-1.0,-1.0,97895.0,-1.0,-1.0,55725.0,-1.0,-1.0,-1.0,71429.0,-1.0,39100.0,-1.0,140198.0,48261.0,116226.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90739.0,123271.0,81614.0,-1.0,28056.0,27093.0,86625.0,157563.0,102385.0,135222.0,44444.0,60000.0,-1.0,-1.0,-1.0,-1.0,-1.0,42857.0,-1.0,-1.0,57143.0,30750.0,136433.0,-1.0,42776.0,27071.0,9250.0,-1.0,-1.0,63238.0,100459.0,-1.0,-1.0,-1.0,60634.0
1967,-1.0,74554.0,110875.0,-1.0,37006.0,85707.0,-1.0,-1.0,-1.0,-1.0,44556.0,-1.0,61996.0,-1.0,116866.0,-1.0,-1.0,20316.0,-1.0,25000.0,-1.0,-1.0,191111.0,-1.0,-1.0,-1.0,114250.0,-1.0,38163.0,-1.0,-1.0,-1.0,138116.0,-1.0,-1.0,58519.0,-1.0,-1.0,-1.0,77551.0,-1.0,38000.0,-1.0,115277.0,48478.0,113490.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90564.0,131759.0,88755.0,-1.0,29300.0,52588.0,84720.0,159095.0,124628.0,110893.0,44444.0,53333.0,-1.0,-1.0,-1.0,-1.0,-1.0,44545.0,-1.0,-1.0,60000.0,35000.0,135667.0,-1.0,35624.0,51053.0,9167.0,-1.0,-1.0,100744.0,102945.0,-1.0,-1.0,-1.0,97409.0
1968,-1.0,81607.0,119431.0,-1.0,35733.0,56865.0,-1.0,-1.0,-1.0,-1.0,59922.0,-1.0,61501.0,-1.0,123954.0,-1.0,-1.0,20264.0,-1.0,25000.0,-1.0,-1.0,148182.0,-1.0,-1.0,-1.0,111111.0,-1.0,32390.0,-1.0,-1.0,-1.0,204439.0,-1.0,-1.0,58519.0,-1.0,-1.0,-1.0,56875.0,-1.0,32174.0,-1.0,158000.0,48696.0,106088.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90883.0,138271.0,91393.0,-1.0,30558.0,45156.0,105707.0,155216.0,112741.0,146956.0,44444.0,74545.0,-1.0,-1.0,-1.0,-1.0,-1.0,41667.0,-1.0,-1.0,62857.0,36857.0,136219.0,-1.0,53053.0,38261.0,8875.0,-1.0,-1.0,137631.0,97531.0,-1.0,-1.0,-1.0,99398.0
1969,-1.0,60698.0,131421.0,-1.0,29910.0,78881.0,-1.0,-1.0,-1.0,-1.0,57789.0,40000.0,59088.0,-1.0,135527.0,-1.0,-1.0,20235.0,-1.0,29412.0,-1.0,-1.0,147273.0,-1.0,-1.0,-1.0,111111.0,-1.0,38045.0,-1.0,-1.0,-1.0,131113.0,-1.0,-1.0,61429.0,-1.0,-1.0,-1.0,52186.0,-1.0,37895.0,-1.0,107659.0,47826.0,89844.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90911.0,132933.0,90726.0,-1.0,31609.0,40622.0,84800.0,161678.0,109084.0,156513.0,44444.0,75000.0,-1.0,-1.0,-1.0,-1.0,-1.0,42609.0,-1.0,-1.0,65714.0,32400.0,119574.0,-1.0,43062.0,46148.0,9333.0,-1.0,-1.0,114103.0,98806.0,-1.0,-1.0,-1.0,63218.0
1970,-1.0,59208.0,112987.0,-1.0,27132.0,93933.0,-1.0,-1.0,-1.0,-1.0,59305.0,41667.0,65995.0,-1.0,122418.0,-1.0,-1.0,20000.0,-1.0,32500.0,-1.0,-1.0,163636.0,-1.0,-1.0,-1.0,79365.0,-1.0,35855.0,-1.0,-1.0,-1.0,152955.0,-1.0,-1.0,62759.0,-1.0,-1.0,-1.0,52162.0,-1.0,35714.0,-1.0,135831.0,47872.0,103316.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90927.0,138955.0,87200.0,-1.0,32712.0,50800.0,75197.0,181429.0,128134.0,136671.0,44444.0,90000.0,-1.0,-1.0,-1.0,-1.0,-1.0,44091.0,-1.0,-1.0,48000.0,32549.0,115462.0,-1.0,42373.0,42437.0,9250.0,-1.0,-1.0,110961.0,97427.0,-1.0,-1.0,-1.0,100197.0
