,USSR,France,Bahrain,Fiji,Australia,Pakistan,Thailand,Belize,Rwanda,Guyana,Romania,Lebanon,Papua New Guinea,Micronesia,Tunisia,Albania,Paraguay,Niger,"China, Hong Kong SAR",Democratic People's Republic of Korea,Australia & New Zealand,El Salvador,Saint Lucia,Argentina,Philippines,Spain,Central African Republic,Bahamas,Malta,Jamaica,Ecuador,Cabo Verde,Indonesia,Poland,Canada,Turkey,Jordan,Colombia,Egypt,Melanesia,Malaysia,Greece,Yemen,Haiti,Republic of Korea,Democratic Republic of the Congo,Tonga,India,Hungary,Republic of Moldova,Martinique,Dominican Republic,Syrian Arab Republic,Mexico,Iran (Islamic Republic of),Peru,United States of America,"China, mainland",French Polynesia,Cyprus,United Arab Emirates,Uruguay,Lithuania,Cameroon,Netherlands,South Sudan,Cuba,Austria,Puerto Rico,Bhutan,Trinidad and Tobago,Dominica,Iraq,New Zealand,Saint Pierre and Miquelon,Belgium,Libya,Bangladesh,Italy,Qatar,Senegal,Germany,Cayman Islands,Mozambique,China,Finland,Slovakia,Sudan (former),Morocco,Antigua and Barbuda,Chile,Honduras,Kyrgyzstan,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Denmark,Switzerland,Saudi Arabia,Grenada,Azerbaijan,Mauritius,Oman,Barbados,Russian Federation,Portugal,Bolivia (Plurinational State of),Sudan,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Brunei Darussalam,Latvia,Ukraine,Kuwait,Guadeloupe,Sri Lanka,Guam,Côte d'Ivoire,Polynesia,South Africa,Bulgaria,Occupied Palestinian Territory
1961,,3767.0,,-1.0,4796.0,,4300.0,-1.0,7000.0,-1.0,1026100.0,1200.0,46.0,,740.0,-1.0,700.0,-1.0,150.0,3300.0,5276.0,-1.0,-1.0,26321.0,6700.0,6100.0,1000.0,-1.0,403.0,1500.0,-1.0,-1.0,,-1.0,-1.0,20100.0,2800.0,1820.0,12602.0,46.0,100.0,5950.0,,-1.0,2852.0,2000.0,-1.0,125000.0,2300.0,,35.0,3200.0,4500.0,11200.0,13000.0,3800.0,-1.0,49000.0,2.0,147.0,,7120.0,,-1.0,-1.0,,28000.0,-1.0,1196.0,-1.0,70.0,,4936.0,480.0,,,230.0,15104.0,14600.0,,-1.0,-1.0,,247.0,50491.0,-1.0,,2000.0,3900.0,4.0,5000.0,-1.0,,,1341.0,945.0,-1.0,26700.0,11.0,-1.0,1900.0,33.0,,140.0,-1.0,,,100.0,,,5.0,-1.0,-1.0,,,,8.0,7650.0,,-1.0,2.0,6500.0,4850.0,-1.0
1962,,3490.0,,-1.0,5014.0,,6200.0,-1.0,7000.0,-1.0,839200.0,1100.0,47.0,,750.0,-1.0,700.0,-1.0,160.0,3300.0,5614.0,-1.0,-1.0,31211.0,6700.0,5600.0,1000.0,-1.0,400.0,1100.0,-1.0,-1.0,,-1.0,-1.0,21600.0,3000.0,1850.0,12182.0,47.0,100.0,4760.0,,-1.0,6245.0,2470.0,-1.0,133000.0,2600.0,,35.0,3500.0,5000.0,11300.0,14500.0,3800.0,-1.0,50000.0,2.0,161.0,,8600.0,,-1.0,-1.0,,29000.0,-1.0,1198.0,-1.0,75.0,,4882.0,600.0,,,292.0,13991.0,13200.0,,-1.0,-1.0,,293.0,51482.0,-1.0,,2000.0,3600.0,5.0,5000.0,-1.0,,,1322.0,970.0,-1.0,26000.0,11.0,-1.0,2000.0,34.0,,160.0,-1.0,,,100.0,,,5.0,-1.0,-1.0,,,,8.0,5361.0,,-1.0,2.0,7000.0,5127.0,-1.0
1963,,3297.0,,-1.0,5450.0,,9700.0,-1.0,7000.0,-1.0,1064700.0,1200.0,30.0,,750.0,-1.0,700.0,-1.0,170.0,3400.0,6170.0,-1.0,-1.0,27110.0,6700.0,5700.0,1000.0,-1.0,182.0,1180.0,-1.0,-1.0,,-1.0,-1.0,23100.0,3126.0,1880.0,13443.0,30.0,120.0,5290.0,,-1.0,6453.0,1860.0,-1.0,140000.0,3000.0,,40.0,3500.0,5000.0,11400.0,16000.0,3800.0,-1.0,55000.0,2.0,187.0,,8100.0,,-1.0,-1.0,,30000.0,-1.0,1245.0,-1.0,75.0,,5145.0,720.0,,,176.0,15157.0,14940.0,,-1.0,-1.0,,300.0,56499.0,-1.0,,2200.0,3100.0,6.0,5050.0,-1.0,,,1329.0,900.0,-1.0,25900.0,11.0,-1.0,2000.0,34.0,,150.0,-1.0,,,100.0,,,6.0,-1.0,-1.0,,,,9.0,9448.0,,-1.0,2.0,7500.0,3607.0,-1.0
1964,,3446.0,,-1.0,5123.0,,6400.0,-1.0,7500.0,-1.0,1039100.0,1350.0,38.0,,800.0,-1.0,750.0,-1.0,180.0,3400.0,5788.0,-1.0,-1.0,25553.0,6700.0,5200.0,1000.0,-1.0,187.0,540.0,-1.0,-1.0,,-1.0,-1.0,23800.0,3868.0,1900.0,13443.0,38.0,110.0,5170.0,,-1.0,9434.0,1640.0,-1.0,147000.0,1900.0,,40.0,3700.0,5000.0,11500.0,17000.0,3800.0,-1.0,56000.0,2.0,161.0,,7000.0,,-1.0,-1.0,,38000.0,-1.0,1273.0,-1.0,80.0,,6462.0,665.0,,,200.0,15327.0,15014.0,,-1.0,-1.0,,300.0,57436.0,-1.0,,2200.0,2900.0,7.0,5100.0,-1.0,,,1256.0,955.0,-1.0,24600.0,11.0,-1.0,2100.0,35.0,,155.0,-1.0,,,100.0,,,6.0,-1.0,-1.0,,,,9.0,7798.0,,-1.0,2.0,8000.0,4250.0,-1.0
1965,,3589.0,,-1.0,5450.0,,7000.0,-1.0,7500.0,-1.0,794000.0,1160.0,37.0,,950.0,-1.0,800.0,-1.0,200.0,3500.0,6420.0,-1.0,-1.0,25937.0,6800.0,5100.0,500.0,-1.0,184.0,930.0,-1.0,-1.0,,-1.0,-1.0,24600.0,2956.0,1920.0,13244.0,37.0,100.0,5070.0,,-1.0,7739.0,2680.0,-1.0,150000.0,1950.0,,40.0,3700.0,5449.0,11600.0,18000.0,3800.0,-1.0,58000.0,2.0,174.0,,6500.0,,-1.0,-1.0,,25000.0,-1.0,1462.0,-1.0,80.0,,7104.0,970.0,,,276.0,15052.0,14358.0,,-1.0,-1.0,,300.0,59487.0,-1.0,,2200.0,3600.0,8.0,5123.0,-1.0,,,1287.0,890.0,-1.0,22800.0,16.0,-1.0,2200.0,35.0,,206.0,-1.0,,,100.0,,,6.0,-1.0,-1.0,,,,9.0,7500.0,,-1.0,2.0,8500.0,3446.0,-1.0
1966,,3446.0,,-1.0,7000.0,,7700.0,-1.0,7500.0,-1.0,659600.0,1090.0,39.0,,1050.0,-1.0,800.0,-1.0,200.0,3500.0,8000.0,-1.0,-1.0,26611.0,6800.0,5033.0,500.0,-1.0,177.0,1621.0,-1.0,-1.0,,-1.0,-1.0,18300.0,2900.0,1950.0,15131.0,39.0,140.0,4970.0,,-1.0,7412.0,2470.0,-1.0,160000.0,2100.0,,50.0,3900.0,4481.0,11700.0,19000.0,3855.0,-1.0,59000.0,2.0,201.0,,5122.0,,-1.0,-1.0,,22000.0,-1.0,2083.0,-1.0,80.0,,7032.0,1000.0,,,215.0,14947.0,15045.0,,-1.0,-1.0,2.0,300.0,60493.0,-1.0,,2400.0,5100.0,8.0,5150.0,-1.0,,,1293.0,945.0,-1.0,22200.0,16.0,-1.0,2200.0,35.0,,156.0,-1.0,,,100.0,,,6.0,-1.0,-1.0,,,,9.0,6803.0,,-1.0,2.0,9000.0,3223.0,-1.0
1967,,3368.0,,-1.0,7800.0,,8500.0,-1.0,7500.0,-1.0,508500.0,988.0,19.0,,1050.0,-1.0,830.0,-1.0,300.0,3600.0,8700.0,-1.0,-1.0,30325.0,6900.0,4712.0,560.0,-1.0,151.0,1288.0,-1.0,-1.0,,-1.0,-1.0,18700.0,2863.0,1960.0,17080.0,19.0,144.0,5080.0,,-1.0,6899.0,2890.0,-1.0,170000.0,1700.0,,50.0,4100.0,5462.0,11800.0,20500.0,4285.0,-1.0,58000.0,2.0,214.0,1.0,6000.0,,-1.0,-1.0,,24948.0,-1.0,1965.0,-1.0,100.0,,7838.0,900.0,,,230.0,15000.0,14270.0,,-1.0,-1.0,2.0,300.0,59607.0,-1.0,,2400.0,4300.0,9.0,5180.0,-1.0,,,1307.0,1000.0,-1.0,20800.0,18.0,-1.0,2300.0,36.0,,157.0,-1.0,,,100.0,,,6.0,-1.0,-1.0,,,,10.0,6967.0,,-1.0,2.0,8500.0,3088.0,-1.0
1968,,3245.0,,-1.0,8374.0,,9300.0,-1.0,8000.0,-1.0,324600.0,1001.0,19.0,,1200.0,-1.0,850.0,-1.0,350.0,3700.0,9274.0,-1.0,-1.0,24752.0,6900.0,4554.0,650.0,-1.0,146.0,1266.0,-1.0,-1.0,,-1.0,-1.0,18700.0,1210.0,1970.0,19744.0,19.0,183.0,4570.0,,-1.0,7764.0,1355.0,-1.0,175000.0,1600.0,,50.0,4300.0,5318.0,11900.0,21500.0,4090.0,-1.0,58000.0,3.0,227.0,8.0,6500.0,,-1.0,-1.0,,20694.0,-1.0,1336.0,-1.0,85.0,,7153.0,900.0,,,230.0,14842.0,14159.0,,-1.0,-1.0,2.0,350.0,60654.0,-1.0,,2500.0,5000.0,10.0,5200.0,-1.0,,,2304.0,970.0,-1.0,18700.0,11.0,-1.0,2500.0,36.0,,122.0,-1.0,,,100.0,,,7.0,-1.0,-1.0,,,,10.0,7514.0,,-1.0,3.0,9000.0,3269.0,-1.0
1969,,3477.0,,-1.0,6618.0,,10200.0,-1.0,8000.0,-1.0,284000.0,1110.0,12.0,,1000.0,-1.0,880.0,-1.0,350.0,3800.0,7618.0,-1.0,-1.0,25758.0,7000.0,4394.0,680.0,-1.0,153.0,1091.0,-1.0,-1.0,,-1.0,-1.0,18900.0,467.0,1970.0,19324.0,12.0,250.0,4730.0,,-1.0,8787.0,1500.0,-1.0,180000.0,1900.0,,50.0,5300.0,5009.0,12000.0,23000.0,5190.0,-1.0,58000.0,3.0,201.0,16.0,7000.0,,-1.0,-1.0,,8648.0,-1.0,1336.0,-1.0,100.0,,6562.0,1000.0,,,246.0,15437.0,12864.0,,-1.0,-1.0,2.0,350.0,59865.0,-1.0,,2500.0,3900.0,12.0,5220.0,-1.0,,700.0,1515.0,930.0,-1.0,17300.0,19.0,-1.0,2700.0,37.0,,82.0,-1.0,,,100.0,,,8.0,-1.0,-1.0,,,,10.0,8694.0,,-1.0,3.0,9500.0,3323.0,-1.0
1970,,3300.0,,-1.0,8725.0,,11400.0,-1.0,8300.0,-1.0,205500.0,917.0,24.0,,1050.0,-1.0,900.0,-1.0,300.0,4000.0,9725.0,-1.0,-1.0,27350.0,7000.0,3230.0,750.0,-1.0,159.0,1464.0,-1.0,-1.0,,-1.0,-1.0,18700.0,957.0,1990.0,18904.0,24.0,276.0,4800.0,,-1.0,8796.0,2000.0,-1.0,183000.0,1800.0,,60.0,6000.0,5016.0,12100.0,23500.0,6280.0,-1.0,58000.0,3.0,268.0,25.0,7351.0,,-1.0,-1.0,,15337.0,-1.0,1258.0,-1.0,95.0,,7006.0,1000.0,,,246.0,15961.0,13023.0,,-1.0,-1.0,2.0,350.0,59766.0,-1.0,,2500.0,5000.0,14.0,5250.0,-1.0,,1600.0,1466.0,960.0,-1.0,18400.0,25.0,-1.0,3000.0,37.0,,75.0,-1.0,,,100.0,,,6.0,-1.0,-1.0,,,,10.0,6627.0,,-1.0,3.0,10000.0,2839.0,-1.0
