,Paraguay,"China, Taiwan Province of",Belarus,Croatia,Serbia,India,Ukraine,Brazil,United Kingdom,Ethiopia,Denmark,Canada,The former Yugoslav Republic of Macedonia,Japan,Pakistan,Yugoslav SFR,Republic of Korea,Spain,Norway,Bulgaria,Australia & New Zealand,United States of America,Bangladesh,Serbia and Montenegro,Algeria,Slovenia,Czechia,Argentina,Luxembourg,Germany,Austria,Ethiopia PDR,USSR,Mexico,Romania,"China, mainland",Bosnia and Herzegovina,China,Ireland,Colombia,Latvia,Uruguay,Uzbekistan,Chile,Hungary,Kazakhstan,Australia,France,Lithuania,Poland,Netherlands,Russian Federation,Italy,Turkey
1961,0.0,9.0,-1.0,-1.0,-1.0,20000.0,-1.0,0.0,10.0,-1.0,1247.0,2000.0,-1.0,1039.0,3156.0,23.0,55.0,0.0,6.0,121.0,0.0,0.0,3582.0,-1.0,374.0,-1.0,-1.0,32.0,-1.0,4976.0,21.0,500.0,881.0,40.0,2.0,47600.0,-1.0,47609.0,0.0,0.0,-1.0,0.0,-1.0,207.0,60.0,-1.0,0.0,447.0,-1.0,24960.0,57.0,-1.0,65.0,67.0
1962,0.0,10.0,-1.0,-1.0,-1.0,20000.0,-1.0,0.0,16.0,-1.0,782.0,1000.0,-1.0,844.0,3462.0,27.0,34.0,0.0,10.0,35.0,0.0,0.0,3497.0,-1.0,266.0,-1.0,-1.0,38.0,-1.0,5028.0,21.0,500.0,353.0,50.0,1.0,50470.0,-1.0,50480.0,0.0,0.0,-1.0,0.0,-1.0,295.0,80.0,-1.0,0.0,400.0,-1.0,19270.0,55.0,-1.0,55.0,67.0
1963,0.0,20.0,-1.0,-1.0,-1.0,20000.0,-1.0,0.0,16.0,-1.0,1266.0,2000.0,-1.0,718.0,3323.0,31.0,42.0,0.0,14.0,52.0,0.0,0.0,3035.0,-1.0,370.0,-1.0,-1.0,53.0,-1.0,5822.0,28.0,500.0,132.0,40.0,10.0,62580.0,-1.0,62600.0,0.0,0.0,-1.0,0.0,-1.0,349.0,120.0,-1.0,0.0,621.0,-1.0,23650.0,51.0,-1.0,50.0,80.0
1964,0.0,20.0,-1.0,-1.0,-1.0,14000.0,-1.0,0.0,16.0,-1.0,1359.0,3000.0,-1.0,512.0,3419.0,30.0,41.0,0.0,23.0,11.0,0.0,0.0,2786.0,-1.0,332.0,-1.0,-1.0,40.0,-1.0,5745.0,29.0,500.0,233.0,60.0,100.0,63774.0,-1.0,63793.0,0.0,0.0,-1.0,0.0,-1.0,403.0,141.0,-1.0,0.0,866.0,-1.0,27360.0,68.0,-1.0,55.0,80.0
1965,0.0,8.0,-1.0,-1.0,-1.0,22000.0,-1.0,0.0,32.0,-1.0,1036.0,5000.0,-1.0,399.0,3091.0,32.0,73.0,0.0,31.0,1.0,0.0,0.0,2877.0,-1.0,297.0,-1.0,-1.0,14.0,-1.0,5513.0,31.0,500.0,220.0,70.0,50.0,61110.0,-1.0,61118.0,0.0,0.0,-1.0,0.0,-1.0,433.0,140.0,-1.0,0.0,894.0,-1.0,27200.0,71.0,-1.0,55.0,64.0
1966,0.0,4.0,-1.0,-1.0,-1.0,19000.0,-1.0,0.0,79.0,-1.0,989.0,5000.0,-1.0,326.0,3218.0,40.0,98.0,0.0,45.0,6.0,0.0,0.0,2957.0,-1.0,271.0,-1.0,-1.0,8.0,-1.0,5697.0,32.0,500.0,273.0,70.0,100.0,58205.0,-1.0,58209.0,0.0,0.0,-1.0,0.0,-1.0,316.0,120.0,-1.0,0.0,1066.0,-1.0,31500.0,73.0,-1.0,30.0,67.0
1967,0.0,3.0,-1.0,-1.0,-1.0,18000.0,-1.0,0.0,69.0,-1.0,735.0,6000.0,-1.0,237.0,3796.0,51.0,105.0,0.0,55.0,6.0,6.0,0.0,3218.0,-1.0,268.0,-1.0,-1.0,12.0,-1.0,6471.0,31.0,500.0,213.0,70.0,2.0,49105.0,-1.0,49108.0,0.0,0.0,-1.0,0.0,-1.0,262.0,200.0,-1.0,6.0,1263.0,-1.0,36110.0,93.0,-1.0,30.0,65.0
1968,0.0,2.0,-1.0,-1.0,-1.0,24000.0,-1.0,0.0,95.0,-1.0,595.0,4000.0,-1.0,178.0,3096.0,56.0,168.0,0.0,37.0,2.0,19.0,0.0,3351.0,-1.0,294.0,-1.0,-1.0,15.0,-1.0,6490.0,20.0,500.0,84.0,70.0,8.0,49910.0,-1.0,49912.0,0.0,0.0,-1.0,0.0,-1.0,339.0,300.0,-1.0,19.0,1454.0,-1.0,14830.0,86.0,-1.0,30.0,70.0
1969,0.0,2.0,-1.0,-1.0,-1.0,20000.0,-1.0,0.0,52.0,-1.0,653.0,7000.0,-1.0,115.0,3340.0,62.0,139.0,0.0,17.0,1.0,172.0,0.0,3266.0,-1.0,306.0,-1.0,-1.0,10.0,-1.0,6753.0,19.0,510.0,129.0,60.0,14.0,50820.0,-1.0,50822.0,0.0,0.0,-1.0,0.0,-1.0,376.0,500.0,-1.0,172.0,1752.0,-1.0,29760.0,105.0,-1.0,30.0,29.0
1970,0.0,2.0,-1.0,-1.0,-1.0,24000.0,-1.0,0.0,68.0,-1.0,1259.0,14000.0,-1.0,82.0,3569.0,91.0,172.0,3.0,9.0,1.0,340.0,0.0,3224.0,-1.0,292.0,-1.0,-1.0,19.0,-1.0,7415.0,17.0,510.0,177.0,60.0,12.0,56490.0,-1.0,56492.0,0.0,0.0,-1.0,0.0,-1.0,346.0,800.0,-1.0,340.0,1689.0,-1.0,36150.0,146.0,-1.0,30.0,25.0
