,Ukraine,Germany,Belgium,Czechoslovakia,Poland,Switzerland,USSR,Slovakia,United Kingdom,Denmark,Spain,Latvia,Kyrgyzstan,Austria,Hungary,New Zealand,Estonia,Australia & New Zealand,Lithuania,Finland,Netherlands,Russian Federation,Czechia,Norway,Republic of Moldova
1961,-1.0,97735.0,-1.0,5000.0,7900.0,-1.0,14000.0,-1.0,15138.0,200.0,26.0,-1.0,-1.0,1000.0,3400.0,680.0,-1.0,680.0,-1.0,3000.0,-1,-1.0,-1.0,5101.0,-1.0
1962,-1.0,91192.0,-1.0,4000.0,9100.0,-1.0,15000.0,-1.0,13310.0,400.0,17.0,-1.0,-1.0,1000.0,2700.0,629.0,-1.0,629.0,-1.0,3500.0,-1,-1.0,-1.0,5143.0,-1.0
1963,-1.0,102244.0,-1.0,5000.0,9800.0,-1.0,20000.0,-1.0,16460.0,269.0,17.0,-1.0,-1.0,1000.0,4400.0,490.0,-1.0,490.0,-1.0,2100.0,-1,-1.0,-1.0,5254.0,-1.0
1964,-1.0,100234.0,-1.0,4828.0,5700.0,-1.0,22000.0,-1.0,11278.0,335.0,6.0,-1.0,-1.0,1000.0,4300.0,900.0,-1.0,900.0,-1.0,3200.0,-1,-1.0,-1.0,4845.0,-1.0
1965,-1.0,89717.0,-1.0,4837.0,6700.0,-1.0,22000.0,-1.0,16155.0,241.0,4.0,-1.0,-1.0,1000.0,4261.0,1100.0,-1.0,1100.0,-1.0,2600.0,-1,-1.0,-1.0,4173.0,-1.0
1966,-1.0,93200.0,-1.0,5983.0,5400.0,-1.0,15000.0,-1.0,11075.0,415.0,4.0,-1.0,-1.0,1000.0,3680.0,113.0,-1.0,113.0,-1.0,2600.0,-1,-1.0,-1.0,4454.0,-1.0
1967,-1.0,80179.0,-1.0,5880.0,9000.0,-1.0,15000.0,-1.0,7519.0,237.0,3.0,-1.0,-1.0,1000.0,3813.0,86.0,-1.0,86.0,-1.0,2300.0,-1,-1.0,-1.0,3830.0,-1.0
1968,-1.0,93260.0,-1.0,6673.0,9100.0,-1.0,22000.0,-1.0,12497.0,241.0,1.0,-1.0,-1.0,1100.0,4144.0,121.0,-1.0,121.0,-1.0,2600.0,-1,-1.0,-1.0,4119.0,-1.0
1969,-1.0,92823.0,-1.0,6857.0,14300.0,-1.0,15000.0,-1.0,12904.0,174.0,2.0,-1.0,-1.0,1100.0,4435.0,93.0,-1.0,93.0,-1.0,2500.0,-1,-1.0,-1.0,3470.0,-1.0
1970,-1.0,94516.0,-1.0,7730.0,17600.0,-1.0,35000.0,-1.0,12802.0,229.0,2.0,-1.0,-1.0,1298.0,6324.0,170.0,-1.0,170.0,-1.0,2500.0,-1,-1.0,-1.0,3379.0,-1.0
1971,-1.0,86906.0,-1.0,5687.0,21465.0,-1.0,42000.0,-1.0,10465.0,145.0,2.0,-1.0,-1.0,1309.0,6705.0,158.0,-1.0,158.0,-1.0,2500.0,-1,-1.0,-1.0,3406.0,-1.0
1972,-1.0,88547.0,-1.0,5242.0,22066.0,-1.0,42000.0,-1.0,12497.0,125.0,2.0,-1.0,-1.0,1171.0,8551.0,116.0,-1.0,116.0,-1.0,1700.0,-1,-1.0,-1.0,3334.0,-1.0
1973,-1.0,76991.0,-1.0,7391.0,27095.0,-1.0,39000.0,-1.0,12396.0,69.0,2.0,-1.0,-1.0,1383.0,7670.0,126.0,-1.0,126.0,-1.0,1970.0,-1,-1.0,-1.0,3008.0,-1.0
1974,-1.0,87789.0,-1.0,6826.0,30684.0,-1.0,42000.0,-1.0,12600.0,144.0,2.0,-1.0,-1.0,1491.0,8974.0,120.0,-1.0,120.0,-1.0,1420.0,-1,-1.0,-1.0,3218.0,-1.0
1975,-1.0,76161.0,-1.0,7774.0,25948.0,-1.0,48000.0,-1.0,7300.0,109.0,2.0,-1.0,-1.0,1424.0,10550.0,109.0,-1.0,109.0,-1.0,1410.0,-1,-1.0,-1.0,3053.0,-1.0
1976,-1.0,67721.0,-1.0,5861.0,26553.0,-1.0,65000.0,-1.0,7100.0,107.0,2.0,-1.0,-1.0,1118.0,8664.0,67.0,-1.0,67.0,-1.0,2000.0,-1,-1.0,-1.0,2999.0,-1.0
1977,-1.0,57116.0,-1.0,3842.0,23244.0,-1.0,59000.0,-1.0,5200.0,89.0,3.0,-1.0,-1.0,688.0,9727.0,72.0,-1.0,72.0,-1.0,1200.0,-1,-1.0,-1.0,2989.0,-1.0
1978,-1.0,76731.0,-1.0,6550.0,29725.0,-1.0,64000.0,-1.0,5900.0,90.0,-1.0,-1.0,-1.0,1039.0,12095.0,36.0,-1.0,36.0,-1.0,1000.0,-1,-1.0,-1.0,3189.0,-1.0
1979,-1.0,76518.0,-1.0,7494.0,34942.0,-1.0,67000.0,-1.0,6900.0,100.0,-1.0,-1.0,-1.0,1051.0,12620.0,25.0,-1.0,25.0,-1.0,1000.0,-1,-1.0,-1.0,3095.0,-1.0
