,Russian Federation,Portugal,Poland,Chile,Yugoslav SFR,Turkey,USSR,China,Serbia and Montenegro,Pakistan,"China, mainland",Czechoslovakia,France,Spain,Romania,Italy,Bulgaria,Ukraine,Hungary,Germany
1961,,2459.0,6667.0,8333.0,568.0,3650.0,3000.0,3000.0,,,3000.0,3901.0,4358.0,3140.0,129.0,679.0,1169.0,,3332.0,1679.0
1962,,2632.0,4286.0,8333.0,472.0,4538.0,3000.0,3000.0,,,3000.0,3212.0,5783.0,5950.0,164.0,672.0,1277.0,,4000.0,1784.0
1963,,2655.0,4286.0,8333.0,586.0,5044.0,3000.0,3000.0,,,3000.0,4452.0,4417.0,3663.0,213.0,770.0,1243.0,,4975.0,2194.0
1964,,2410.0,3750.0,8333.0,1744.0,3500.0,3000.0,3000.0,,,3000.0,2664.0,4188.0,2616.0,115.0,730.0,1473.0,,4166.0,2208.0
1965,,2609.0,7500.0,8333.0,633.0,3500.0,3000.0,3000.0,,,3000.0,5047.0,4884.0,4282.0,566.0,666.0,1753.0,,2707.0,2005.0
1966,,2439.0,6667.0,8333.0,989.0,3500.0,2613.0,3007.0,,,3007.0,5681.0,13671.0,4234.0,1752.0,701.0,1191.0,,5096.0,2360.0
1967,,3333.0,6250.0,8333.0,1542.0,3312.0,3137.0,2968.0,,,2968.0,3830.0,24498.0,3618.0,571.0,709.0,1088.0,,3840.0,1631.0
1968,,2532.0,6667.0,8333.0,2035.0,3646.0,2857.0,2994.0,,,2994.0,6581.0,41206.0,5015.0,624.0,700.0,1309.0,,6612.0,1776.0
1969,,4301.0,5000.0,8889.0,1459.0,3373.0,2955.0,2994.0,,,2994.0,7201.0,57000.0,4515.0,623.0,505.0,1113.0,,5084.0,1806.0
1970,,4301.0,6667.0,8929.0,836.0,2976.0,2941.0,3000.0,,,3000.0,6268.0,40231.0,1630.0,520.0,445.0,1195.0,,2889.0,1443.0
1971,,,6667.0,8929.0,873.0,3059.0,2903.0,2945.0,,,2945.0,5553.0,15385.0,5761.0,704.0,617.0,1277.0,,2849.0,1350.0
1972,,,6667.0,10000.0,514.0,3938.0,2857.0,2970.0,,,2970.0,4765.0,15385.0,8824.0,643.0,1041.0,973.0,,5018.0,1498.0
1973,,,10000.0,10667.0,744.0,4416.0,2923.0,2994.0,,,2994.0,3938.0,8900.0,7732.0,655.0,621.0,1111.0,,3698.0,
1974,,,10000.0,10667.0,1236.0,3750.0,2899.0,3455.0,,,3455.0,5605.0,5950.0,7498.0,564.0,704.0,949.0,,2473.0,
1975,,,5260.0,10625.0,1439.0,4029.0,2909.0,3476.0,,,3476.0,5381.0,7117.0,8490.0,629.0,926.0,1504.0,,6550.0,
1976,,,7940.0,10667.0,1227.0,2500.0,2642.0,3457.0,,,3457.0,5000.0,7481.0,6604.0,699.0,439.0,891.0,,9764.0,
1977,,,4060.0,11000.0,1069.0,2083.0,2200.0,3438.0,,,3438.0,5349.0,7551.0,5355.0,619.0,717.0,1359.0,,13589.0,
1978,,,4524.0,11000.0,630.0,2500.0,2200.0,3381.0,,,3381.0,3186.0,7842.0,4548.0,597.0,920.0,1397.0,,7959.0,
1979,,,5292.0,11000.0,292.0,6250.0,2800.0,3484.0,,,3484.0,2120.0,8458.0,7468.0,634.0,500.0,742.0,,3798.0,
1980,,,2863.0,11000.0,504.0,4894.0,2000.0,3500.0,,,3500.0,1098.0,7296.0,6919.0,507.0,789.0,722.0,,8999.0,
1981,,,5903.0,11000.0,548.0,4000.0,1800.0,5895.0,,,5895.0,,5857.0,8199.0,407.0,1667.0,531.0,,6840.0,
1982,,,5365.0,11000.0,739.0,4730.0,2115.0,7879.0,,,7879.0,,6846.0,15336.0,410.0,,1125.0,,5365.0,
1983,,,5500.0,11000.0,1096.0,4167.0,2200.0,9093.0,,,9093.0,,8875.0,8571.0,543.0,,685.0,,5513.0,
1984,,,5521.0,11000.0,878.0,3855.0,2400.0,8837.0,,,8837.0,,5708.0,6935.0,471.0,,672.0,,7833.0,
1985,,,5757.0,11000.0,543.0,3606.0,1400.0,8913.0,,,8913.0,,6049.0,7333.0,472.0,,423.0,,9727.0,
1986,,,5646.0,11000.0,115.0,7324.0,1400.0,12063.0,,,12063.0,,5869.0,6377.0,645.0,,476.0,,8293.0,
1987,,,5967.0,11000.0,875.0,6452.0,1500.0,12075.0,,,12075.0,,7091.0,,636.0,,647.0,,7398.0,
1988,,,5497.0,11000.0,1787.0,3529.0,1080.0,12075.0,,,12075.0,,6375.0,,716.0,,501.0,,3998.0,
1989,,,5725.0,11000.0,1136.0,1381.0,1400.0,12083.0,,,12083.0,,6071.0,6667.0,803.0,,1370.0,,5745.0,
1990,,,6012.0,11046.0,1562.0,3400.0,1561.0,11905.0,,,11905.0,,6471.0,8500.0,1807.0,,754.0,,11018.0,
1991,,,3333.0,9555.0,2722.0,2070.0,1844.0,12730.0,,,12730.0,,5579.0,7778.0,643.0,,32.0,,8979.0,
1992,2738.0,,3000.0,9594.0,,2374.0,,12022.0,700.0,,12022.0,,7368.0,15000.0,657.0,,,840.0,9044.0,
1993,2292.0,,6053.0,9633.0,,1908.0,,13158.0,735.0,,13158.0,,7586.0,12500.0,652.0,,200.0,1194.0,9091.0,
1994,1148.0,,4112.0,9673.0,,1600.0,,15293.0,691.0,,15293.0,,6903.0,12500.0,625.0,,,1047.0,7500.0,
