,Ukraine,Georgia,Tajikistan,Austria,Belarus,Croatia,Bhutan,Poland,USSR,Slovakia,Brazil,Bosnia and Herzegovina,United Republic of Tanzania,Nepal,China,Canada,Uzbekistan,Japan,Ireland,Latvia,Republic of Korea,Kyrgyzstan,France,South Africa,Hungary,Greece,Kazakhstan,Estonia,Bulgaria,United States of America,Yugoslav SFR,Serbia and Montenegro,Guatemala,Lithuania,Slovenia,Czechoslovakia,"China, mainland",Russian Federation,Czechia,Republic of Moldova
1961,-1.0,-1.0,-1.0,224.0,-1.0,-1.0,4300.0,64000.0,1891000.0,-1.0,450.0,-1.0,-1.0,-1.0,2500000.0,23269.0,-1.0,43500.0,-1,-1.0,21548.0,-1.0,45200.0,15000.0,-1.0,-1,-1.0,-1.0,-1.0,18000.0,12850.0,-1.0,-1,-1.0,-1.0,889.0,2500000.0,-1.0,-1.0,-1.0
1962,-1.0,-1.0,-1.0,214.0,-1.0,-1.0,4400.0,57000.0,2287000.0,-1.0,950.0,-1.0,-1.0,-1.0,3300000.0,18858.0,-1.0,39500.0,-1,-1.0,18444.0,-1.0,40600.0,15000.0,-1.0,-1,-1.0,-1.0,-1.0,16000.0,10950.0,-1.0,-1,-1.0,-1.0,680.0,3300000.0,-1.0,-1.0,-1.0
1963,-1.0,-1.0,-1.0,192.0,-1.0,-1.0,4600.0,51000.0,1824000.0,-1.0,10000.0,-1.0,-1.0,-1.0,2700000.0,20679.0,-1.0,37500.0,-1,-1.0,17042.0,-1.0,44800.0,15000.0,-1.0,-1,-1.0,-1.0,-1.0,18000.0,10190.0,-1.0,-1,-1.0,-1.0,749.0,2700000.0,-1.0,-1.0,-1.0
1964,-1.0,-1.0,-1.0,168.0,-1.0,-1.0,4700.0,43000.0,1383000.0,-1.0,8000.0,-1.0,-1.0,-1.0,2500000.0,24362.0,-1.0,34700.0,-1,-1.0,17474.0,-1.0,35400.0,20000.0,-1.0,-1,-1.0,-1.0,-1.0,20000.0,9170.0,-1.0,-1,-1.0,-1.0,574.0,2500000.0,-1.0,-1.0,-1.0
1965,-1.0,-1.0,-1.0,155.0,-1.0,-1.0,4850.0,52000.0,1794000.0,-1.0,6100.0,-1.0,-1.0,-1.0,2500000.0,22298.0,-1.0,31300.0,-1,-1.0,22333.0,-1.0,33200.0,17000.0,-1.0,-1,-1.0,-1.0,-1.0,8000.0,8470.0,-1.0,-1,-1.0,-1.0,496.0,2500000.0,-1.0,-1.0,-1.0
1966,-1.0,-1.0,-1.0,290.0,-1.0,-1.0,5000.0,49000.0,1844000.0,-1.0,3300.0,-1.0,-1.0,-1.0,2800000.0,22096.0,-1.0,28100.0,-1,-1.0,15722.0,-1.0,27900.0,15000.0,-1.0,-1,-1.0,-1.0,-1.0,13800.0,7650.0,-1.0,-1,-1.0,-1.0,547.0,2800000.0,-1.0,-1.0,-1.0
1967,-1.0,-1.0,-1.0,74.0,-1.0,-1.0,5150.0,54000.0,1723000.0,-1.0,4300.0,-1.0,-1.0,-1.0,2400000.0,30796.0,-1.0,25100.0,-1,-1.0,12835.0,-1.0,22100.0,15000.0,-1.0,-1,-1.0,-1.0,-1.0,15500.0,7332.0,-1.0,-1,-1.0,-1.0,480.0,2400000.0,-1.0,-1.0,-1.0
1968,-1.0,-1.0,-1.0,48.0,-1.0,-1.0,5300.0,45000.0,1703000.0,-1.0,19000.0,-1.0,-1.0,-1.0,2200000.0,33427.0,-1.0,23800.0,-1,-1.0,27417.0,-1.0,17900.0,25000.0,-1.0,-1,-1.0,-1.0,-1.0,15500.0,7281.0,-1.0,-1,-1.0,-1.0,255.0,2200000.0,-1.0,-1.0,-1.0
1969,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5300.0,63000.0,2043000.0,-1.0,9600.0,-1.0,-1.0,-1.0,2460000.0,40873.0,-1.0,20500.0,-1,-1.0,11168.0,-1.0,17200.0,25000.0,-1.0,-1,-1.0,-1.0,-1.0,15540.0,7048.0,-1.0,-1,-1.0,-1.0,249.0,2460000.0,-1.0,-1.0,-1.0
1970,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5400.0,61000.0,1879000.0,-1.0,9600.0,-1.0,-1.0,-1.0,2530000.0,61997.0,-1.0,18500.0,-1,-1.0,9978.0,-1.0,15800.0,3500.0,-1.0,-1,-1.0,-1.0,-1.0,16800.0,6769.0,-1.0,-1,-1.0,-1.0,207.0,2530000.0,-1.0,-1.0,-1.0
1971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5500.0,57000.0,1768000.0,-1.0,8200.0,-1.0,-1.0,-1.0,2300000.0,49533.0,-1.0,18780.0,-1,-1.0,9100.0,-1.0,14600.0,5500.0,-1.0,-1,-1.0,-1.0,-1.0,15000.0,4400.0,-1.0,-1,-1.0,-1.0,158.0,2300000.0,-1.0,-1.0,-1.0
1972,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5500.0,42000.0,1720000.0,-1.0,7700.0,-1.0,-1.0,-1.0,2450000.0,41601.0,-1.0,21800.0,-1,-1.0,7215.0,-1.0,11900.0,3500.0,-1.0,-1,-1.0,-1.0,-1.0,15400.0,4339.0,-1.0,-1,-1.0,-1.0,195.0,2450000.0,-1.0,-1.0,-1.0
1973,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5600.0,37000.0,1648000.0,-1.0,24000.0,-1.0,-1.0,-1.0,2230000.0,36017.0,-1.0,27000.0,-1,-1.0,10806.0,-1.0,11200.0,4360.0,-1.0,-1,-1.0,-1.0,-1.0,16500.0,4068.0,-1.0,-1,-1.0,-1.0,71.0,2230000.0,-1.0,-1.0,-1.0
1974,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5600.0,41300.0,1589000.0,-1.0,31000.0,-1.0,-1.0,-1.0,2120000.0,25738.0,-1.0,23300.0,-1,-1.0,7127.0,-1.0,10700.0,8300.0,-1.0,-1,-1.0,-1.0,-1.0,17800.0,3207.0,-1.0,-1,-1.0,-1.0,75.0,2120000.0,-1.0,-1.0,-1.0
1975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5850.0,34031.0,1459000.0,-1.0,41000.0,-1.0,-1.0,-1.0,2030000.0,21100.0,-1.0,18300.0,-1,-1.0,6159.0,-1.0,10400.0,16550.0,-1.0,-1,-1.0,-1.0,-1.0,19000.0,2861.0,-1.0,-1,-1.0,-1.0,14.0,2030000.0,-1.0,-1.0,-1.0
