,Costa Rica,India,Zambia,Dominica,Fiji,Peru,"China, Taiwan Province of",Bhutan,Nepal,Malaysia,Republic of Korea,Mexico,Dominican Republic,Ethiopia,Puerto Rico,Sri Lanka,Indonesia,China,Kenya,Pakistan,Côte d'Ivoire,Japan,Uganda,Réunion,Jamaica,United Republic of Tanzania,Trinidad and Tobago,Philippines,Guyana,United States of America,Bangladesh,Thailand,Ghana,Melanesia,"China, mainland",Madagascar,Nigeria,Saint Lucia,Cameroon,Mauritius
1961,-1.0,21000.0,-1,-1.0,7.0,-1.0,1291.0,-1.0,-1.0,550.0,-1.0,-1.0,-1.0,-1.0,-1,2500.0,-1.0,1291.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,3000.0,2900.0,-1.0,7.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1962,-1.0,21000.0,-1,-1.0,10.0,-1.0,1552.0,-1.0,-1.0,600.0,-1.0,-1.0,-1.0,-1.0,-1,2500.0,-1.0,1552.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1,-1.0,3300.0,3000.0,-1.0,10.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1963,-1.0,23000.0,-1,-1.0,17.0,-1.0,1586.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,-1.0,-1,2500.0,-1.0,1586.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1,-1.0,3600.0,3150.0,-1.0,17.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1964,-1.0,23000.0,-1,-1.0,11.0,-1.0,1586.0,-1.0,-1.0,600.0,-1.0,-1.0,-1.0,-1.0,-1,2743.0,-1.0,1586.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1,-1.0,3900.0,3300.0,-1.0,11.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1965,-1.0,23000.0,-1,-1.0,11.0,-1.0,1630.0,-1.0,-1.0,750.0,-1.0,-1.0,-1.0,-1.0,-1,1730.0,-1.0,1630.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1,-1.0,4200.0,3450.0,-1.0,11.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1966,-1.0,23000.0,-1,-1.0,15.0,-1.0,1599.0,-1.0,-1.0,700.0,575.0,-1.0,-1.0,-1.0,-1,2772.0,-1.0,1599.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1,-1.0,4400.0,3600.0,-1.0,15.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1967,-1.0,21000.0,-1,-1.0,17.0,-1.0,1696.0,-1.0,-1.0,450.0,603.0,-1.0,-1.0,-1.0,-1,2787.0,-1.0,1696.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1,-1.0,4700.0,3700.0,-1.0,17.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1968,-1.0,20000.0,-1,-1.0,38.0,-1.0,2205.0,-1.0,-1.0,430.0,536.0,-1.0,-1.0,-1.0,-1,3044.0,-1.0,2205.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1,-1.0,5000.0,3850.0,-1.0,38.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1969,-1.0,21000.0,-1,-1.0,38.0,-1.0,2632.0,-1.0,-1.0,500.0,470.0,-1.0,-1.0,-1.0,-1,2517.0,-1.0,2632.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1,-1.0,5030.0,4000.0,-1.0,38.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1970,-1.0,22000.0,-1,-1.0,38.0,-1.0,3039.0,-1.0,-1.0,600.0,608.0,-1.0,-1.0,-1.0,-1,2344.0,-1.0,3039.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1300.0,-1,-1.0,5042.0,4150.0,-1.0,38.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
