,South Africa,Australia & New Zealand,Australia,Iraq,Madagascar,The former Yugoslav Republic of Macedonia,United Republic of Tanzania,Kenya,Guyana,Senegal,Uganda,Croatia,Mozambique,Occupied Palestinian Territory,Burkina Faso,Serbia and Montenegro,Niger,Sudan (former),Serbia,Slovenia,Philippines,Zimbabwe,Malawi,Jamaica,Swaziland,Japan,Trinidad and Tobago,Egypt,Sudan,Haiti,Democratic Republic of the Congo,Nigeria,Mali,Mauritania,Hungary,Yugoslav SFR,Peru,United States of America,"China, mainland",Sri Lanka,Cyprus,Guinea-Bissau,Bosnia and Herzegovina,Cameroon,Myanmar,China
1993,4594.0,3671.0,3671.0,9474.0,8409.0,43042.0,6340.0,5923.0,,3715.0,8431.0,61148.0,,,4668.0,29176.0,512.0,,,,18750.0,,6753.0,10815.0,4228.0,,36838.0,21667.0,,7000.0,5617.0,5100.0,804.0,3300.0,,,,9000.0,,8838.0,11429.0,,15172.0,,5389.0,
1994,4669.0,,,9470.0,8329.0,27376.0,6492.0,5632.0,,3167.0,8491.0,36750.0,,,4399.0,32556.0,1763.0,,,,20000.0,,6711.0,10901.0,4251.0,,36622.0,24000.0,,6869.0,5651.0,5101.0,4624.0,3300.0,,,,8980.0,,8878.0,11667.0,,14286.0,9091.0,5859.0,
1995,4833.0,,,9400.0,8310.0,31966.0,6639.0,2958.0,,4299.0,8333.0,40000.0,,,4203.0,30151.0,535.0,,,,20952.0,,6795.0,11220.0,4274.0,,36405.0,23462.0,,6977.0,5936.0,4884.0,3391.0,3300.0,,,,9014.0,,8902.0,12857.0,,15921.0,9091.0,6354.0,
1996,4615.0,,,9459.0,8290.0,38858.0,6782.0,6300.0,,2327.0,8393.0,40245.0,,,4201.0,26543.0,970.0,,,,22500.0,,6835.0,10397.0,4354.0,,36187.0,23396.0,,7021.0,5489.0,4616.0,2038.0,3300.0,,,,8983.0,,8992.0,17143.0,,16429.0,9091.0,6478.0,
1997,4588.0,,,10714.0,8222.0,36364.0,6920.0,3265.0,,3765.0,7931.0,40081.0,,55833.0,4380.0,30303.0,599.0,,,,23636.0,,6875.0,10332.0,4521.0,,36098.0,23333.0,,7000.0,5453.0,4762.0,4007.0,3300.0,,,,8986.0,,8615.0,15714.0,,16667.0,9091.0,7184.0,
1998,4567.0,,,11846.0,8261.0,40000.0,7053.0,2212.0,,3293.0,8333.0,40009.0,,30000.0,5202.0,30000.0,2099.0,,,,25000.0,,6835.0,10341.0,4737.0,,35861.0,23214.0,,6907.0,5297.0,4090.0,4164.0,3300.0,,,,8977.0,,9038.0,14286.0,,18889.0,9091.0,7712.0,
1999,4550.0,,,13051.0,8298.0,35217.0,7183.0,4541.0,,4000.0,10000.0,40000.0,,18571.0,4999.0,33215.0,1149.0,,,,24388.0,,6698.0,10291.0,4444.0,9885.0,35600.0,22759.0,,7000.0,5281.0,6001.0,4695.0,3300.0,,,,8898.0,,9202.0,17143.0,,20000.0,9091.0,6077.0,
2000,4536.0,,,13571.0,8261.0,30000.0,7308.0,3815.0,15000.0,3229.0,9375.0,39611.0,,28824.0,4694.0,26660.0,1075.0,,,,24695.0,,6670.0,10074.0,4118.0,9887.0,35336.0,23420.0,,6980.0,5049.0,6001.0,3875.0,3300.0,,,12466.0,30139.0,,9359.0,16923.0,,13333.0,9091.0,7333.0,
2001,4525.0,,,14423.0,8318.0,31500.0,7430.0,3846.0,14923.0,3498.0,9077.0,40000.0,,10526.0,4700.0,35003.0,1462.0,,,,24329.0,,6647.0,10300.0,4232.0,9889.0,35455.0,23569.0,,7000.0,4951.0,6000.0,3523.0,3300.0,,,11372.0,15394.0,,9120.0,20000.0,,17143.0,9133.0,7836.0,
2002,4517.0,,,11458.0,8327.0,29600.0,7548.0,4855.0,15000.0,966.0,9000.0,40000.0,2268.0,26429.0,4664.0,32228.0,1620.0,1765.0,,,24178.0,,6640.0,9955.0,4114.0,9891.0,34692.0,22667.0,,6996.0,4944.0,6300.0,2764.0,3300.0,,,11755.0,15778.0,,8862.0,21429.0,,17500.0,8994.0,8062.0,
2003,4509.0,,,10889.0,8339.0,34167.0,16411.0,3096.0,15128.0,2385.0,10000.0,40000.0,2275.0,20000.0,4698.0,28970.0,1338.0,1739.0,,,24197.0,,6598.0,10313.0,4181.0,9926.0,34348.0,24349.0,,7000.0,4760.0,6600.0,3553.0,3300.0,,,11909.0,12503.0,,9321.0,16456.0,,19444.0,8857.0,9535.0,
2004,4499.0,,,11818.0,8352.0,33501.0,7774.0,2342.0,15217.0,637.0,9857.0,40000.0,2279.0,14615.0,4700.0,38564.0,1247.0,1714.0,,,24675.0,,6981.0,10390.0,4190.0,9993.0,33333.0,25213.0,,7000.0,4620.0,6601.0,3281.0,3571.0,,,11362.0,13313.0,,9482.0,18571.0,,27333.0,8722.0,9214.0,
2005,4491.0,,,14250.0,8357.0,29630.0,5352.0,4980.0,15417.0,4185.0,9859.0,39952.0,1324.0,25676.0,4701.0,42082.0,1692.0,1667.0,,,25000.0,,6765.0,10745.0,4194.0,10060.0,33077.0,26117.0,,6905.0,4400.0,6800.0,3081.0,3478.0,10909.0,,11348.0,14044.0,,9842.0,16111.0,,28750.0,10308.0,9241.0,
2006,4484.0,,,15789.0,8408.0,28846.0,7375.0,5421.0,15596.0,2736.0,10000.0,40000.0,2027.0,11071.0,4700.0,,1723.0,1725.0,38347.0,,25521.0,,6502.0,10652.0,4118.0,,32143.0,27670.0,,7000.0,4400.0,6900.0,3332.0,3425.0,10000.0,,13856.0,12901.0,,9502.0,15375.0,,35625.0,10309.0,9933.0,
2007,4477.0,,,18378.0,8426.0,31818.0,8445.0,6396.0,15782.0,3543.0,9861.0,40000.0,1674.0,56667.0,4700.0,,2100.0,1863.0,29225.0,,26316.0,,6875.0,10746.0,4171.0,10194.0,33333.0,28738.0,,6977.0,4640.0,6680.0,2215.0,3454.0,10319.0,,13336.0,13225.0,,10207.0,18243.0,1500.0,28333.0,10974.0,10323.0,
2008,4471.0,,,20571.0,8444.0,33787.0,19787.0,3237.0,15926.0,4646.0,10676.0,40000.0,1756.0,37143.0,4700.0,,2945.0,4207.0,33415.0,,22299.0,,5776.0,10571.0,4167.0,10261.0,30000.0,30451.0,,7052.0,4603.0,6799.0,3200.0,3482.0,11111.0,,13063.0,15073.0,,9827.0,19100.0,1774.0,28000.0,11276.0,11204.0,
2009,4463.0,,,23939.0,8459.0,34070.0,17535.0,4839.0,16060.0,4014.0,10909.0,40587.0,1833.0,40000.0,4700.0,,1895.0,1789.0,34142.0,,21611.0,,5166.0,10564.0,4044.0,10328.0,30000.0,31417.0,,7083.0,4610.0,10220.0,4700.0,3502.0,8750.0,,13430.0,19035.0,,11783.0,12571.0,1515.0,22000.0,5967.0,11608.0,
2010,4455.0,,,27742.0,8469.0,36500.0,5877.0,4295.0,16188.0,3811.0,13485.0,42857.0,2093.0,34897.0,4700.0,,3185.0,1295.0,37975.0,,25909.0,,3922.0,10153.0,4167.0,10395.0,31579.0,32290.0,,7111.0,4478.0,11778.0,5392.0,3522.0,,,15131.0,20052.0,,10681.0,11823.0,1534.0,24000.0,5858.0,11845.0,
2011,4445.0,,,31864.0,8474.0,34796.0,7921.0,4118.0,16310.0,2974.0,12997.0,40273.0,2193.0,35437.0,4702.0,,3266.0,2264.0,35234.0,,25365.0,,4522.0,10450.0,3864.0,10462.0,32164.0,33118.0,,7139.0,4445.0,5441.0,5121.0,3542.0,,,14211.0,16212.0,,11273.0,10561.0,1534.0,24000.0,8610.0,11718.0,
2012,4348.0,,,62403.0,8571.0,38000.0,7680.0,5309.0,16667.0,4258.0,4040.0,37500.0,2465.0,37088.0,4700.0,,2828.0,,28243.0,,26023.0,,4354.0,10369.0,3415.0,10529.0,33333.0,35000.0,4853.0,7262.0,4458.0,14783.0,5389.0,3562.0,,,14445.0,18658.0,10833.0,13170.0,7696.0,1500.0,21240.0,12105.0,11860.0,10833.0
2013,4348.0,,,51324.0,8429.0,38000.0,8057.0,5333.0,16667.0,3305.0,5080.0,39375.0,2526.0,37770.0,4743.0,,3495.0,,35433.0,,34783.0,,4784.0,10369.0,3381.0,10596.0,33333.0,35000.0,2769.0,7262.0,4418.0,12887.0,6615.0,3582.0,9847.0,,12166.0,18459.0,12160.0,13110.0,11190.0,1500.0,15000.0,7000.0,8667.0,12160.0
2014,4397.0,,,56714.0,8449.0,35662.0,9654.0,4920.0,16673.0,4185.0,4040.0,40242.0,2748.0,38452.0,4755.0,,2992.0,,33888.0,,35010.0,,4392.0,9593.0,3504.0,10663.0,32339.0,34634.0,3077.0,7199.0,4379.0,5776.0,4223.0,3602.0,9803.0,,13763.0,17903.0,10385.0,13266.0,10541.0,1515.0,10000.0,8337.0,8727.0,10385.0
