,"China, mainland",Argentina,Brazil,Madagascar,Paraguay,China,Malawi
1961,,22500.0,,14000.0,,,5504.0
1962,,22917.0,,10000.0,,,5500.0
1963,,24510.0,,14000.0,,,5599.0
1964,,22500.0,,14800.0,,,5599.0
1965,,7600.0,,18200.0,,,5599.0
1966,,34900.0,,15250.0,,,5496.0
1967,,20520.0,,17720.0,,,5516.0
1968,,27430.0,,10400.0,,,5532.0
1969,,14229.0,,9420.0,,,5554.0
1970,,27626.0,,10985.0,,,5500.0
1971,,21318.0,,10500.0,,,5558.0
1972,,31136.0,,6820.0,,,5467.0
1973,,12315.0,,6536.0,,,5428.0
1974,,26357.0,,5861.0,,,5543.0
1975,,27481.0,,8794.0,,,5587.0
1976,,22306.0,26044.0,5387.0,,,5442.0
1977,,19231.0,26783.0,5355.0,,,5532.0
1978,,15938.0,26052.0,5355.0,,,5532.0
1979,,11277.0,22997.0,5122.0,,,5484.0
1980,,15667.0,23981.0,5769.0,,,5503.0
1981,,18636.0,23886.0,5769.0,,,5481.0
1982,,18295.0,24960.0,5714.0,,,5357.0
1983,,8955.0,22436.0,5862.0,42400.0,,5517.0
1984,,15694.0,18443.0,6000.0,42681.0,,5667.0
1985,19935.0,15613.0,18404.0,6000.0,44014.0,19935.0,5667.0
1986,20366.0,10000.0,18978.0,6129.0,42254.0,20366.0,5667.0
1987,20102.0,12598.0,18075.0,6250.0,43725.0,20102.0,5667.0
1988,20497.0,17350.0,18518.0,6364.0,41341.0,20497.0,5667.0
1989,19692.0,17760.0,18454.0,6471.0,42912.0,19692.0,5806.0
1990,20365.0,29434.0,17451.0,6571.0,39058.0,20365.0,4601.0
1991,21132.0,25634.0,16787.0,6571.0,42490.0,21132.0,5896.0
1992,30149.0,17547.0,13976.0,6620.0,42191.0,30149.0,5714.0
1993,30073.0,22130.0,15260.0,6667.0,40954.0,30073.0,5806.0
1994,29377.0,15282.0,14748.0,6471.0,42254.0,29377.0,5667.0
1995,29789.0,17461.0,14105.0,6571.0,45581.0,29789.0,5806.0
1996,31478.0,16221.0,12107.0,6667.0,40088.0,31478.0,5938.0
1997,35432.0,24321.0,14286.0,6757.0,40177.0,35432.0,5806.0
1998,33239.0,18704.0,14005.0,6757.0,40154.0,33239.0,5938.0
1999,33964.0,20957.0,13650.0,6842.0,39275.0,33964.0,6061.0
2000,33590.0,19903.0,13919.0,6757.0,35369.0,33590.0,6152.0
2001,29906.0,25284.0,14849.0,6683.0,40224.0,29906.0,6189.0
2002,28329.0,18571.0,13987.0,6757.0,33958.0,28329.0,6242.0
2003,28151.0,23589.0,16732.0,6757.0,31428.0,28151.0,6326.0
2004,27245.0,19433.0,16725.0,6800.0,40013.0,27245.0,6119.0
2005,27310.0,25294.0,20815.0,6800.0,36025.0,27310.0,6176.0
2006,27356.0,22425.0,20815.0,6842.0,38000.0,27356.0,7107.0
2007,25443.0,22322.0,24566.0,6750.0,46000.0,25443.0,7684.0
2008,25584.0,18990.0,24724.0,6614.0,53725.0,25584.0,8316.0
2009,24486.0,27085.0,25556.0,6562.0,53722.0,24486.0,9197.0
2010,27976.0,26763.0,25854.0,6559.0,58127.0,27976.0,9715.0
2011,27703.0,24443.0,27886.0,6603.0,58127.0,27703.0,10556.0
2012,27730.0,23734.0,25000.0,6625.0,58127.0,27730.0,10667.0
2013,27162.0,24040.0,29333.0,6500.0,40000.0,27162.0,10789.0
2014,27105.0,24259.0,30505.0,6451.0,58127.0,27105.0,10831.0
