,USSR,Burkina Faso,France,Bahrain,Fiji,Australia,Panama,Pakistan,French Guiana,Thailand,Belize,Ethiopia,Kenya,Guyana,Yemen,South Africa,United Arab Emirates,Lao People's Democratic Republic,Zambia,Nigeria,Botswana,Peru,Suriname,Tunisia,Albania,Niue,Brazil,Mozambique,Australia & New Zealand,El Salvador,Montenegro,Argentina,Colombia,New Caledonia,Central African Republic,Bahamas,Honduras,Jamaica,Ecuador,Swaziland,Indonesia,Seychelles,Turkey,Jordan,Angola,Ethiopia PDR,Egypt,Melanesia,Togo,Malaysia,Greece,Tajikistan,Haiti,Republic of Korea,Democratic Republic of the Congo,New Zealand,Sudan,Mali,Congo,Martinique,Dominican Republic,Kyrgyzstan,Tonga,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Ghana,Philippines,Spain,"China, mainland",French Polynesia,Cyprus,Guinea-Bissau,Rwanda,Bosnia and Herzegovina,Portugal,Guatemala,South Sudan,Cuba,Puerto Rico,United States of America,Bhutan,Dominica,Iraq,Madagascar,India,Timor-Leste,Senegal,United Republic of Tanzania,Paraguay,Samoa,Nepal,Cook Islands,Libya,Costa Rica,Bangladesh,Italy,Qatar,Saint Lucia,Mauritius,Syrian Arab Republic,Benin,Uzbekistan,China,Cambodia,Serbia and Montenegro,Sudan (former),Morocco,Antigua and Barbuda,Chile,Malta,Uruguay,Zimbabwe,Lebanon,Gabon,Malawi,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Maldives,Afghanistan,Trinidad and Tobago,Somalia,Namibia,Saudi Arabia,Georgia,Azerbaijan,Nicaragua,Oman,Viet Nam,Russian Federation,Bolivia (Plurinational State of),Grenada,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Brunei Darussalam,Mexico,Guinea,Kuwait,Guadeloupe,Sri Lanka,Côte d'Ivoire,Polynesia,Croatia,Occupied Palestinian Territory,Liberia,Sierra Leone
1961,55556.0,,37313.0,105263.0,200000.0,111329.0,,10961.0,,95233.0,179246.0,,33058.0,60000.0,,161822.0,150000.0,59420.0,33333.0,33333.0,30000.0,140395.0,42372.0,,,27500.0,145117.0,40816.0,111004.0,103077.0,,,136000.0,,,,41662.0,157309.0,213999.0,63750.0,40000.0,,101011.0,87179.0,50000.0,47826.0,88889.0,200000.0,,37500.0,161554.0,,,55079.0,143693.0,98440.0,,30000.0,26667.0,78571.0,,,21053.0,,47818.0,,62857.0,26013.0,180192.0,25210.0,133333.0,158394.0,,,,85081.0,60167.0,,,,212003.0,40506.0,,,73469.0,129904.0,,30000.0,11667.0,,50000.0,,122571.0,133939.0,80000.0,50000.0,146390.0,,,,52222.0,72624.0,,29179.0,,,111250.0,,,85897.0,,,29286.0,235849.0,41667.0,50000.0,69506.0,60286.0,194604.0,,125183.0,,69444.0,80945.0,62564.0,,58000.0,,,50357.0,33333.0,59873.0,,81395.0,,,55461.0,50602.0,99379.0,46000.0,70000.0,,38065.0,61803.0,56020.0,,,27778.0,
1962,62222.0,,31886.0,105263.0,200000.0,111335.0,,6767.0,,95233.0,165889.0,,35537.0,61753.0,,173690.0,154167.0,59943.0,35294.0,33333.0,30000.0,139710.0,103004.0,,,32500.0,143642.0,40816.0,111868.0,100488.0,,,141176.0,,,,42744.0,136864.0,228083.0,63750.0,40000.0,,103308.0,114580.0,50000.0,50000.0,124688.0,200000.0,,38162.0,138218.0,,,167455.0,145858.0,130733.0,,20000.0,26667.0,78571.0,,,25000.0,,47278.0,,62857.0,23027.0,124137.0,27142.0,132750.0,157165.0,,,,96140.0,60000.0,,,,231787.0,40741.0,,,69388.0,110952.0,,30000.0,13333.0,,50000.0,,111604.0,134270.0,80000.0,48000.0,118807.0,,,,42222.0,69333.0,,31663.0,,,115854.0,,,89873.0,,,32414.0,235294.0,41667.0,50000.0,69824.0,65255.0,206494.0,,114440.0,,69444.0,82835.0,64103.0,,58095.0,,,50000.0,33333.0,60116.0,,80220.0,,,56084.0,50602.0,104276.0,44444.0,70000.0,,44957.0,75536.0,54382.0,,,27778.0,
1963,70676.0,,36959.0,105263.0,200000.0,123438.0,,9107.0,,95233.0,165396.0,,38017.0,54153.0,,174974.0,156000.0,59392.0,33333.0,33333.0,30000.0,140595.0,99391.0,,,30000.0,148301.0,40323.0,123415.0,100119.0,,,144231.0,,,,49409.0,135664.0,216290.0,60000.0,40000.0,,110042.0,151915.0,50000.0,50000.0,124571.0,200000.0,,38375.0,134586.0,,,118425.0,146121.0,122614.0,,20000.0,26667.0,84000.0,,,30160.0,,48413.0,,60000.0,23166.0,171688.0,23607.0,135500.0,164241.0,,,,66794.0,60145.0,,,,189751.0,40476.0,,,69388.0,109906.0,,30000.0,15000.0,,50000.0,,121548.0,130000.0,79623.0,47321.0,147579.0,,,,52222.0,70000.0,,29604.0,,,111765.0,,,80519.0,,,32583.0,250000.0,41667.0,50000.0,69114.0,69604.0,195851.0,,105450.0,,69444.0,60431.0,63107.0,,58182.0,,,49688.0,33333.0,66667.0,,80645.0,,,56738.0,50526.0,103444.0,44138.0,70000.0,,37912.0,70386.0,60653.0,,,27778.0,
1964,21176.0,,31502.0,105263.0,187500.0,111413.0,,12025.0,,95233.0,168075.0,,38889.0,60453.0,,185804.0,157480.0,60441.0,33333.0,33333.0,30684.0,141941.0,80919.0,,,30000.0,139328.0,45313.0,111398.0,102907.0,,,147170.0,,,,49795.0,137051.0,197513.0,62766.0,40000.0,,84557.0,145238.0,51429.0,50847.0,118000.0,187500.0,,38372.0,160068.0,,,55209.0,147862.0,110903.0,,20000.0,26667.0,81250.0,,,36364.0,,48232.0,,60000.0,22512.0,174737.0,26961.0,134878.0,163020.0,,,,86800.0,60260.0,,,,179366.0,40698.0,,,69388.0,109907.0,,30000.0,11227.0,,50000.0,,130506.0,130000.0,79636.0,48462.0,153275.0,,,,51111.0,70000.0,,33319.0,,,113793.0,,,83750.0,,,33506.0,222442.0,41667.0,50000.0,69643.0,76101.0,217345.0,,122030.0,,80349.0,68848.0,63592.0,,57826.0,,,49701.0,33333.0,69613.0,,80000.0,,,57425.0,50526.0,102065.0,43333.0,70000.0,,39901.0,64378.0,65564.0,,,27778.0,
1965,48714.0,,20687.0,102564.0,194444.0,132138.0,,11442.0,,92955.0,132461.0,,41270.0,60241.0,,176674.0,153846.0,61216.0,33333.0,33333.0,30500.0,142225.0,70115.0,,,28571.0,148259.0,40323.0,131418.0,102727.0,,,148148.0,,,,58041.0,145143.0,191894.0,58654.0,40000.0,,111038.0,207030.0,53571.0,50794.0,110832.0,194444.0,,38767.0,158582.0,,,36602.0,148558.0,108867.0,,20278.0,26667.0,87500.0,,,33333.0,,48673.0,,59972.0,26684.0,174533.0,27144.0,136667.0,170981.0,,,,90954.0,59583.0,,,,206814.0,40909.0,,,65306.0,112920.0,,20000.0,13787.0,,50000.0,,133814.0,132733.0,80000.0,49167.0,147053.0,,,,46364.0,50000.0,,33912.0,,,112222.0,,,87654.0,,,33924.0,189800.0,41667.0,50000.0,69146.0,77456.0,221768.0,,117946.0,,84647.0,93696.0,66019.0,,57917.0,,,49718.0,33333.0,72727.0,,80808.0,,,58147.0,50526.0,139081.0,44444.0,70000.0,,38828.0,69444.0,63337.0,,,27778.0,
1966,71429.0,,36486.0,107143.0,200000.0,110151.0,,96230.0,,90572.0,136481.0,,43651.0,39616.0,,177018.0,155556.0,60933.0,35000.0,33333.0,30500.0,142668.0,59510.0,,,,139184.0,40323.0,109602.0,102000.0,,,150000.0,,,,68061.0,146083.0,183725.0,58824.0,40000.0,,115565.0,204851.0,53571.0,50769.0,127969.0,200000.0,,38140.0,171046.0,,,37634.0,150021.0,92493.0,,20278.0,27500.0,91250.0,,,33333.0,,50619.0,,63902.0,28377.0,187047.0,28028.0,136047.0,163397.0,,,,78140.0,59888.0,,,,228004.0,40217.0,,,65909.0,112581.0,,20000.0,15770.0,,50000.0,,173620.0,125400.0,79355.0,50000.0,160840.0,,,,39083.0,50000.0,,35939.0,,,115385.0,,,79518.0,,,34375.0,203203.0,41667.0,50000.0,69248.0,85199.0,211294.0,,134649.0,,85714.0,83227.0,66505.0,,58000.0,,,48919.0,33333.0,72816.0,,79709.0,,,63642.0,50000.0,132229.0,46875.0,70000.0,,48929.0,65000.0,74366.0,,,27778.0,
1967,50000.0,,70424.0,104651.0,200000.0,127896.0,,95935.0,,90572.0,105786.0,,38411.0,43118.0,,193585.0,164286.0,61013.0,36667.0,33333.0,30500.0,150359.0,69687.0,,,,145114.0,40323.0,126374.0,114891.0,,,153704.0,,,,57975.0,124993.0,197670.0,59211.0,40000.0,,138110.0,222835.0,55714.0,51429.0,128606.0,200000.0,,39485.0,116774.0,,,19687.0,149010.0,83485.0,,20270.0,27500.0,88889.0,,,33333.0,,51080.0,,63371.0,28997.0,167240.0,27035.0,135455.0,166155.0,,,,77965.0,59681.0,,,,267485.0,40860.0,,,56818.0,114275.0,,10000.0,14961.0,,50000.0,,160532.0,116913.0,80000.0,52500.0,164471.0,,,,40612.0,50000.0,,35779.0,,,114894.0,,,81609.0,,,34756.0,206849.0,41667.0,50000.0,69034.0,87566.0,256398.0,,118208.0,,92929.0,76676.0,65741.0,,58140.0,,,50130.0,33333.0,69787.0,,80000.0,,,65415.0,50526.0,122518.0,46440.0,70000.0,,47651.0,80000.0,71067.0,,,27778.0,
1968,47143.0,,80158.0,108696.0,200000.0,119602.0,,100000.0,,90572.0,106483.0,,40397.0,43653.0,,193907.0,153333.0,60053.0,35385.0,33333.0,30500.0,146228.0,67364.0,,,,151866.0,42581.0,119467.0,100729.0,,,158182.0,,,,69979.0,127481.0,151696.0,62222.0,40000.0,,180000.0,120346.0,57143.0,51389.0,106413.0,200000.0,,41632.0,138700.0,,,20189.0,148333.0,115257.0,,20270.0,28750.0,91111.0,,,33333.0,,51943.0,,60833.0,29783.0,144243.0,26660.0,134889.0,163314.0,,,,64378.0,60638.0,,,,185037.0,40625.0,,,60345.0,113103.0,,20000.0,9781.0,,50000.0,,132924.0,115608.0,79710.0,52500.0,180571.0,,,,22674.0,50000.0,,36658.0,,,115026.0,,,85870.0,,,35714.0,212009.0,41667.0,50000.0,71820.0,91676.0,299844.0,,154640.0,,95876.0,67274.0,65899.0,,58015.0,,,50125.0,33333.0,65882.0,,80275.0,,,67240.0,50526.0,115090.0,46012.0,70000.0,,48185.0,82500.0,63976.0,,,27778.0,
1969,60000.0,,93981.0,120000.0,200000.0,132950.0,,101909.0,,90572.0,122994.0,,42384.0,43960.0,,184808.0,156250.0,61125.0,35385.0,33333.0,31143.0,145881.0,71309.0,,,,153551.0,43828.0,130423.0,96486.0,,,158929.0,,,,73931.0,131226.0,141958.0,64706.0,40000.0,,159084.0,144384.0,57857.0,51351.0,133452.0,200000.0,,41954.0,151672.0,,,9383.0,150000.0,70697.0,,20270.0,28750.0,86364.0,,,33333.0,,52087.0,,65561.0,36575.0,182223.0,26864.0,134348.0,167314.0,,,,72685.0,60115.0,,,,235361.0,40816.0,,,68622.0,111903.0,,20000.0,10996.0,,50000.0,,195297.0,122533.0,80282.0,49920.0,176468.0,,,,42229.0,50000.0,,36092.0,,,113265.0,,,82979.0,,,36824.0,199824.0,41667.0,50000.0,71987.0,83438.0,279171.0,,135016.0,,95593.0,60923.0,67281.0,,57955.0,,,50235.0,34286.0,66415.0,,80978.0,,,69115.0,51042.0,109961.0,45455.0,72692.0,,40255.0,68615.0,80106.0,,,28333.0,
1970,175385.0,,92093.0,109091.0,200000.0,123212.0,,102299.0,17534.0,89577.0,87456.0,,38068.0,33404.0,,190912.0,155556.0,60795.0,33333.0,33333.0,31143.0,137571.0,65766.0,,,,150205.0,44667.0,121968.0,89672.0,,,159649.0,,,,68166.0,139994.0,137429.0,70270.0,36897.0,,166050.0,82447.0,58571.0,50000.0,115190.0,200000.0,,41679.0,140136.0,,,10407.0,152473.0,95253.0,,21053.0,28235.0,86364.0,,,33333.0,,52857.0,,67573.0,36436.0,134916.0,22364.0,141458.0,163880.0,,,,65663.0,59651.0,,,,225001.0,41000.0,,,81731.0,115103.0,,30000.0,6472.0,,50000.0,,180982.0,122866.0,79865.0,50274.0,164831.0,,,,33137.0,50000.0,,34557.0,,,114141.0,,,83838.0,,,37058.0,220894.0,41667.0,50000.0,71472.0,95652.0,318668.0,,154926.0,,91919.0,65196.0,68664.0,,57895.0,,,49889.0,34286.0,67636.0,,80485.0,,,71042.0,50943.0,83995.0,45045.0,72000.0,,46433.0,87397.0,76705.0,,,28889.0,
