,USSR,Romania,Syrian Arab Republic,Australia & New Zealand,Australia,Iraq,Mexico,The former Yugoslav Republic of Macedonia,Belgium,Uruguay,Switzerland,South Africa,Italy,Serbia,Lebanon,Croatia,Slovenia,Albania,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Morocco,Jordan,Chile,Argentina,Spain,Kyrgyzstan,New Zealand,Cyprus,Austria,Israel,Japan,Republic of Moldova,Turkey,Belarus,Belgium-Luxembourg,Ethiopia PDR,Egypt,Georgia,Greece,Azerbaijan,France,Ukraine,Tunisia,Bosnia and Herzegovina,Hungary,Russian Federation,Bulgaria,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Peru,Latvia,China,"China, mainland",Yemen,Algeria,Kazakhstan,Lithuania,Portugal,Brazil
1961,21000.0,17000.0,600.0,1407.0,1047.0,200.0,16556.0,,,5833.0,-1.0,1083.0,13900.0,,2300.0,,,1000.0,,-1.0,,,30.0,150.0,,17700.0,25000.0,,360.0,300.0,,2300.0,-1.0,,41000.0,,50.0,,,,19246.0,,1010.0,,2000.0,,6100.0,,32957.0,,13800.0,15000.0,15000.0,,,,,-1.0,,,6500.0,19500.0
1962,22000.0,16000.0,1600.0,1676.0,1284.0,200.0,16588.0,,,5600.0,-1.0,886.0,11900.0,,3000.0,,,800.0,,-1.0,,,50.0,150.0,,17400.0,25000.0,,392.0,300.0,,2800.0,-1.0,,33290.0,,50.0,,,,19282.0,,870.0,,2000.0,,5200.0,,28755.0,,12600.0,15000.0,15000.0,,,,,-1.0,,,6600.0,13500.0
1963,28000.0,13000.0,800.0,1255.0,865.0,250.0,16908.0,,,5400.0,-1.0,1051.0,13600.0,,3000.0,,,700.0,,-1.0,,,50.0,200.0,,15000.0,26000.0,,390.0,300.0,,2800.0,-1.0,,33650.0,,50.0,,,,16113.0,,1030.0,,2000.0,,6500.0,,34132.0,,11300.0,15000.0,15000.0,,,,,-1.0,,,6700.0,19500.0
1964,31000.0,15000.0,800.0,1479.0,1152.0,250.0,17875.0,,,5200.0,-1.0,1129.0,13670.0,,2000.0,,,700.0,,-1.0,,,100.0,200.0,,18000.0,28000.0,,327.0,350.0,,4000.0,-1.0,,33000.0,,50.0,,,,19422.0,,740.0,,2000.0,,4300.0,,35383.0,,14100.0,15000.0,20000.0,,,,,-1.0,,,6800.0,31056.0
1965,32000.0,23000.0,700.0,1180.0,872.0,270.0,20528.0,,,5000.0,-1.0,1363.0,14270.0,,1800.0,,,700.0,,-1.0,,,100.0,200.0,,19800.0,25000.0,,308.0,400.0,,1900.0,-1.0,,30000.0,,50.0,,,,17172.0,,1140.0,,2000.0,,3237.0,,37985.0,,8200.0,15000.0,15000.0,,,,,-1.0,,,6900.0,32356.0
1966,32000.0,28600.0,900.0,1222.0,914.0,270.0,22495.0,,,4985.0,-1.0,1130.0,14200.0,,1100.0,,,700.0,,-1.0,,,200.0,200.0,,15000.0,22494.0,,308.0,450.0,,1500.0,-1.0,,28600.0,,50.0,,,,17505.0,,1110.0,,1300.0,,2660.0,,26099.0,800.0,10500.0,15000.0,13338.0,,,,,-1.0,,,7000.0,24937.0
1967,40000.0,25800.0,1800.0,1155.0,865.0,280.0,22946.0,,,5000.0,-1.0,975.0,14170.0,,1520.0,,,600.0,,-1.0,,,200.0,253.0,,19600.0,20018.0,,290.0,500.0,,1400.0,-1.0,,40000.0,,50.0,,,,19346.0,,532.0,,1150.0,,3421.0,,38526.0,850.0,9730.0,16000.0,13269.0,,,,,-1.0,,,7100.0,18774.0
1968,44000.0,23600.0,1330.0,870.0,634.0,300.0,21918.0,,,4000.0,-1.0,796.0,13860.0,,2229.0,,,700.0,,-1.0,,,300.0,150.0,,20000.0,22306.0,,236.0,610.0,,1300.0,-1.0,,41000.0,,50.0,,,,19833.0,,768.0,,1200.0,,4940.0,,63591.0,850.0,11600.0,16000.0,8418.0,,,,,-1.0,,,7260.0,14116.0
1969,39000.0,28100.0,1090.0,814.0,596.0,340.0,20917.0,,,5000.0,-1.0,1080.0,13380.0,,1282.0,,,800.0,,-1.0,,,300.0,0.0,,18300.0,18710.0,,218.0,610.0,,1300.0,-1.0,,32500.0,,50.0,,,,17238.0,,944.0,,1500.0,,5516.0,,53124.0,900.0,14840.0,16000.0,9413.0,,,,,-1.0,,,8250.0,18919.0
1970,57000.0,25000.0,563.0,1047.0,747.0,360.0,25297.0,,,6791.0,-1.0,772.0,11300.0,,3034.0,,,1000.0,,-1.0,,,400.0,,,19700.0,10023.0,,300.0,279.0,,1050.0,-1.0,,36000.0,,50.0,,,,17970.0,,1075.0,,1500.0,,4919.0,,47223.0,900.0,11407.0,17000.0,9360.0,,,,,-1.0,,,8810.0,15558.0
