,India,Kenya,"China, Taiwan Province of",Myanmar,Malaysia,Sri Lanka,Bangladesh,Thailand,Nepal,China,Indonesia,Maldives,Bhutan
1961,120000.0,-1.0,3718.0,8000.0,6500.0,-1.0,62995.0,-1.0,-1.0,3718.0,13000.0,1.0,-1.0
1962,120000.0,-1.0,4356.0,8000.0,4000.0,-1.0,55882.0,-1.0,-1.0,4356.0,13000.0,1.0,-1.0
1963,120000.0,-1.0,4302.0,9000.0,5000.0,-1.0,58931.0,-1.0,-1.0,4302.0,13000.0,1.0,-1.0
1964,120000.0,-1.0,4853.0,12000.0,4000.0,-1.0,56898.0,-1.0,-1.0,4853.0,14000.0,1.0,-1.0
1965,113000.0,-1.0,5694.0,16300.0,6000.0,-1.0,46738.0,-1.0,-1.0,5694.0,14000.0,1.0,-1.0
1966,119000.0,-1.0,8667.0,15139.0,4000.0,-1.0,24385.0,-1.0,-1.0,8667.0,14000.0,1.0,-1.0
1967,130000.0,-1.0,8957.0,15342.0,5000.0,-1.0,26925.0,-1.0,-1.0,8957.0,14000.0,1.0,-1.0
1968,135000.0,-1.0,11405.0,15546.0,3500.0,-1.0,28449.0,-1.0,-1.0,11405.0,14000.0,1.0,-1.0
1969,140000.0,-1.0,9768.0,15342.0,3000.0,-1.0,26400.0,-1.0,-1.0,9768.0,15000.0,1.0,-1.0
1970,137700.0,-1.0,8721.0,17273.0,2500.0,-1.0,26385.0,-1.0,-1.0,8721.0,15000.0,1.0,-1.0
1971,141000.0,-1.0,10075.0,19203.0,3000.0,-1.0,23369.0,-1.0,-1.0,10075.0,15000.0,1.0,-1.0
1972,150500.0,-1.0,12281.0,20931.0,3500.0,-1.0,21448.0,-1.0,-1.0,12281.0,15000.0,1.0,-1.0
1973,147700.0,-1.0,10344.0,22150.0,3200.0,-1.0,21550.0,-1.0,-1.0,10344.0,16000.0,1.0,-1.0
1974,167400.0,-1.0,13612.0,21845.0,3900.0,-1.0,21419.0,-1.0,-1.0,13612.0,16000.0,2.0,-1.0
1975,164700.0,-1.0,14554.0,22150.0,2400.0,-1.0,22424.0,-1.0,-1.0,14554.0,16000.0,2.0,-1.0
