,"China, Taiwan Province of",Romania,Syrian Arab Republic,Israel,Australia & New Zealand,Iraq,Czechia,United Republic of Tanzania,Thailand,Ethiopia,Kenya,Libya,Costa Rica,Italy,Germany,Portugal,Sweden,Albania,Uzbekistan,China,Slovakia,Niger,Morocco,Switzerland,Chile,Malta,Colombia,Spain,Lebanon,New Zealand,Cyprus,Austria,Ecuador,Japan,Poland,Turkey,Jordan,Belgium-Luxembourg,Egypt,Greece,United Kingdom,France,Tunisia,Montenegro,Russian Federation,Kyrgyzstan,Bolivia (Plurinational State of),Occupied Palestinian Territory,Iran (Islamic Republic of),Kazakhstan,United States of America,Brunei Darussalam,Mexico,Ukraine,Kuwait,"China, mainland",Ireland,Algeria,Peru,Lithuania,Bulgaria,Netherlands,Guatemala
1961,,-1.0,2500.0,345.0,160.0,9970.0,,-1.0,30.0,,-1.0,12.0,-1.0,22000.0,1613.0,4000.0,-1.0,-1.0,,-1.0,,-1.0,9000.0,-1.0,2000.0,600.0,-1.0,12200.0,1100.0,160.0,42.0,-1.0,1700.0,9040.0,-1.0,5800.0,1930.0,,840.0,4000.0,3700.0,600.0,1700.0,,,,15000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,5800.0,,1137.0,1400.0,160.0
1962,,-1.0,3000.0,240.0,140.0,8604.0,,-1.0,30.0,,-1.0,1.0,-1.0,26000.0,1879.0,5000.0,-1.0,-1.0,,-1.0,,-1.0,9000.0,-1.0,2000.0,600.0,-1.0,13400.0,1200.0,140.0,52.0,-1.0,1800.0,15000.0,-1.0,5900.0,1700.0,,420.0,3800.0,4600.0,689.0,2700.0,,,,15000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,5850.0,,1026.0,1500.0,170.0
1963,,-1.0,4000.0,230.0,200.0,9678.0,,-1.0,30.0,,-1.0,22.0,-1.0,24000.0,2106.0,4500.0,-1.0,-1.0,,-1.0,,-1.0,23000.0,-1.0,2000.0,600.0,-1.0,13600.0,1100.0,200.0,50.0,-1.0,1800.0,12300.0,-1.0,5900.0,2030.0,,840.0,4500.0,4600.0,609.0,3300.0,,,,15000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,5900.0,,1053.0,1400.0,180.0
1964,,-1.0,4500.0,215.0,240.0,8995.0,,-1.0,30.0,,-1.0,26.0,-1.0,25000.0,1491.0,4000.0,-1.0,-1.0,,-1.0,,-1.0,20000.0,-1.0,2000.0,600.0,-1.0,20900.0,1200.0,240.0,50.0,-1.0,1900.0,11400.0,-1.0,7000.0,2490.0,,840.0,4800.0,4800.0,730.0,2900.0,,,,14000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,6000.0,,1080.0,1200.0,200.0
1965,,-1.0,4500.0,210.0,243.0,10264.0,,-1.0,30.0,,-1.0,2.0,-1.0,23584.0,1238.0,4000.0,-1.0,-1.0,,-1.0,,-1.0,9000.0,-1.0,2073.0,600.0,-1.0,21900.0,1400.0,243.0,204.0,-1.0,2000.0,11100.0,-1.0,7500.0,2300.0,,420.0,1900.0,4200.0,745.0,4700.0,,,,14000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,6240.0,,1050.0,1100.0,200.0
1966,,-1.0,4200.0,215.0,200.0,10371.0,,-1.0,30.0,,-1.0,11.0,-1.0,22896.0,1177.0,3800.0,-1.0,-1.0,,-1.0,,-1.0,14000.0,-1.0,2000.0,333.0,-1.0,22100.0,1364.0,200.0,92.0,-1.0,2000.0,10400.0,-1.0,5300.0,2296.0,,581.0,2800.0,3157.0,995.0,6000.0,,,,14000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,5290.0,,1056.0,992.0,230.0
1967,,-1.0,4137.0,295.0,200.0,12985.0,,-1.0,30.0,,-1.0,16.0,-1.0,22264.0,1647.0,3800.0,-1.0,-1.0,,-1.0,,-1.0,6600.0,-1.0,2000.0,345.0,-1.0,22100.0,1260.0,200.0,143.0,-1.0,2300.0,9320.0,-1.0,5800.0,1970.0,,420.0,2800.0,3845.0,1063.0,6600.0,,,,13000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,5810.0,,897.0,1317.0,440.0
1968,,-1.0,3378.0,175.0,200.0,12938.0,,-1.0,30.0,,-1.0,21.0,-1.0,21460.0,1762.0,3700.0,-1.0,-1.0,,-1.0,,-1.0,6700.0,-1.0,2000.0,252.0,-1.0,24400.0,1395.0,200.0,122.0,-1.0,2600.0,8500.0,-1.0,7000.0,1051.0,,420.0,2870.0,3925.0,935.0,8300.0,,,,13000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,5805.0,,654.0,1437.0,450.0
1969,,-1.0,3871.0,105.0,100.0,15526.0,,-1.0,30.0,,-1.0,26.0,-1.0,21130.0,1863.0,3700.0,-1.0,-1.0,,-1.0,,-1.0,6700.0,-1.0,2000.0,310.0,-1.0,20000.0,1251.0,100.0,175.0,-1.0,2900.0,7900.0,-1.0,8900.0,920.0,,420.0,2880.0,3197.0,919.0,9600.0,,,,8000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,1000.0,5490.0,,704.0,1557.0,520.0
1970,,-1.0,4866.0,270.0,100.0,14296.0,,-1.0,30.0,,-1.0,32.0,-1.0,20317.0,1601.0,3600.0,-1.0,-1.0,,-1.0,,-1.0,6700.0,-1.0,2000.0,361.0,-1.0,18575.0,1233.0,100.0,184.0,-1.0,3300.0,7000.0,-1.0,8500.0,890.0,,420.0,2800.0,4168.0,900.0,9000.0,,,,14000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,2500.0,6425.0,,801.0,1691.0,500.0
1971,,-1.0,4522.0,190.0,133.0,15838.0,,-1.0,35.0,,-1.0,290.0,-1.0,19297.0,1536.0,3600.0,-1.0,-1.0,,-1.0,,-1.0,4500.0,-1.0,2000.0,220.0,-1.0,13600.0,1071.0,133.0,174.0,-1.0,3700.0,3200.0,-1.0,8800.0,484.0,,420.0,2800.0,4735.0,900.0,10000.0,,,,14000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,4000.0,6495.0,,748.0,1933.0,500.0
1972,,-1.0,4854.0,260.0,469.0,18597.0,,-1.0,35.0,,-1.0,460.0,-1.0,18722.0,1278.0,3600.0,-1.0,-1.0,,-1.0,,-1.0,5400.0,-1.0,2200.0,271.0,-1.0,11200.0,1236.0,469.0,204.0,-1.0,4200.0,3000.0,-1.0,8000.0,610.0,,420.0,3000.0,4451.0,986.0,4700.0,,,,17000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,6000.0,6217.0,,529.0,1938.0,490.0
1973,,-1.0,4707.0,130.0,390.0,21596.0,,-1.0,35.0,,-1.0,730.0,-1.0,16991.0,1269.0,3600.0,-1.0,-1.0,,-1.0,,-1.0,3100.0,-1.0,2300.0,295.0,-1.0,17200.0,1313.0,390.0,236.0,-1.0,4400.0,3000.0,-1.0,8800.0,606.0,,840.0,2500.0,3642.0,1091.0,8200.0,,,,19000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,7400.0,6040.0,,549.0,1844.0,480.0
1974,,-1.0,6001.0,120.0,264.0,18064.0,,-1.0,40.0,,-1.0,830.0,-1.0,18280.0,1316.0,3600.0,-1.0,-1.0,,-1.0,,-1.0,3100.0,-1.0,2400.0,271.0,-1.0,16000.0,1200.0,264.0,248.0,-1.0,4755.0,3000.0,-1.0,10000.0,715.0,,420.0,2500.0,3500.0,878.0,10000.0,,,,17400.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,7700.0,6390.0,,546.0,1796.0,470.0
1975,,-1.0,5867.0,100.0,256.0,11414.0,,-1.0,40.0,,-1.0,880.0,-1.0,18895.0,1175.0,3600.0,-1.0,-1.0,,-1.0,,-1.0,3000.0,-1.0,2800.0,243.0,-1.0,17800.0,1200.0,256.0,81.0,-1.0,4900.0,3000.0,-1.0,10000.0,939.0,,840.0,2400.0,3800.0,933.0,11300.0,,,,18000.0,-1.0,-1.0,,-1.0,-1.0,,,2.0,-1.0,,7900.0,7790.0,,401.0,2139.0,450.0
1976,,-1.0,5963.0,90.0,429.0,18065.0,,-1.0,40.0,,-1.0,900.0,-1.0,18957.0,1340.0,3600.0,-1.0,-1.0,,-1.0,,-1.0,3000.0,-1.0,3000.0,295.0,-1.0,17900.0,1200.0,429.0,99.0,-1.0,5200.0,3000.0,-1.0,10000.0,1006.0,,294.0,2300.0,5200.0,866.0,14000.0,,,,28000.0,-1.0,-1.0,,-1.0,-1.0,,,3.0,-1.0,,8100.0,7859.0,,487.0,2200.0,430.0
1977,,-1.0,7413.0,89.0,490.0,17377.0,,-1.0,40.0,,-1.0,200.0,-1.0,18611.0,1018.0,3400.0,-1.0,-1.0,,-1.0,,-1.0,3200.0,-1.0,3100.0,249.0,-1.0,14400.0,1200.0,490.0,120.0,-1.0,5400.0,3000.0,-1.0,9500.0,993.0,,385.0,2100.0,4400.0,870.0,10000.0,,,,27000.0,-1.0,-1.0,,-1.0,-1.0,,,3.0,-1.0,,8700.0,7726.0,,491.0,2200.0,410.0
1978,,-1.0,7522.0,123.0,475.0,13991.0,,-1.0,40.0,,-1.0,455.0,-1.0,19891.0,1233.0,3500.0,-1.0,-1.0,,-1.0,,-1.0,3200.0,-1.0,3300.0,257.0,-1.0,15100.0,1200.0,475.0,90.0,-1.0,5500.0,3000.0,-1.0,9500.0,1667.0,,456.0,2200.0,6100.0,870.0,13700.0,,,,24665.0,-1.0,-1.0,,-1.0,-1.0,,,2.0,-1.0,,9000.0,7695.0,,567.0,2000.0,400.0
1979,,-1.0,7677.0,150.0,375.0,13375.0,,-1.0,40.0,,-1.0,500.0,-1.0,19473.0,1172.0,3600.0,-1.0,-1.0,,-1.0,,-1.0,3400.0,-1.0,3500.0,260.0,-1.0,14600.0,1250.0,375.0,105.0,-1.0,5800.0,3000.0,-1.0,6700.0,1484.0,,151.0,2100.0,6400.0,830.0,12600.0,,,,22760.0,-1.0,-1.0,,-1.0,-1.0,,,2.0,-1.0,,10000.0,7323.0,,457.0,1800.0,390.0
1980,,-1.0,7663.0,250.0,229.0,15925.0,,-1.0,45.0,,-1.0,525.0,-1.0,19816.0,1016.0,3600.0,-1.0,-1.0,,-1.0,,-1.0,3400.0,-1.0,3400.0,248.0,-1.0,14500.0,1300.0,229.0,83.0,-1.0,5800.0,3100.0,-1.0,6500.0,1144.0,,196.0,2100.0,4500.0,659.0,12000.0,,,,21895.0,-1.0,-1.0,,-1.0,-1.0,,,6.0,-1.0,,12000.0,9618.0,,503.0,1900.0,370.0
1981,,-1.0,8673.0,40.0,309.0,13500.0,,-1.0,45.0,,-1.0,530.0,-1.0,20188.0,870.0,3600.0,-1.0,-1.0,,-1.0,,-1.0,3600.0,-1.0,3600.0,236.0,-1.0,14500.0,1350.0,309.0,91.0,-1.0,6000.0,3000.0,-1.0,11766.0,733.0,,140.0,2100.0,3400.0,622.0,10000.0,,,,26220.0,-1.0,-1.0,,-1.0,-1.0,17734.0,,5.0,-1.0,30.0,14240.0,11503.0,,422.0,1800.0,360.0
