,Belize,Kenya,"China, Taiwan Province of",Mozambique,Niue,Myanmar,Seychelles,Philippines,Brazil,United Republic of Tanzania,Nepal,Indonesia,Maldives,Liberia,Melanesia,Papua New Guinea,Cuba,New Caledonia,Bahamas,Barbados,Guatemala,French Polynesia,Mauritius,American Samoa,Senegal,Madagascar,Saint Lucia,Tokelau,Haiti,Guinea,Dominica,Fiji,Cabo Verde,Wallis and Futuna Islands,Equatorial Guinea,Sri Lanka,Grenada,Panama,Réunion,Vanuatu,China,Colombia,Brunei Darussalam,Micronesia (Federated States of),Guinea-Bissau,Saint Vincent and the Grenadines,France,Martinique,Micronesia,Tuvalu,"China, mainland",Nicaragua,Kiribati,Saint Kitts and Nevis,Peru,Cameroon,Malaysia,Comoros,Dominican Republic,El Salvador,Benin,Cook Islands,Pakistan,Pacific Islands Trust Territory,Sao Tome and Principe,Venezuela (Bolivarian Republic of),Guyana,Tonga,Bangladesh,Togo,Nigeria,French Guiana,Suriname,Cambodia,Timor-Leste,Costa Rica,India,Guadeloupe,Marshall Islands,Congo,Mexico,Ecuador,Honduras,Nauru,Viet Nam,Côte d'Ivoire,Jamaica,Solomon Islands,Trinidad and Tobago,Singapore,Polynesia,Sierra Leone,Samoa,Somalia,Thailand,Ghana,Puerto Rico,Guam
1961,-1.0,38235.0,-1.0,41686.0,11850.0,53426.0,46232.0,41864.0,19003.0,13580.0,-1.0,50000.0,63300.0,-1.0,38265.0,24898.0,-1.0,37667.0,-1.0,-1.0,33333.0,52500.0,43690.0,17250.0,-1.0,17250.0,-1.0,50000.0,-1.0,36000.0,-1.0,-1.0,29333.0,5000.0,-1.0,44969.0,49020.0,-1.0,-1.0,33824.0,-1.0,-1.0,20000.0,-1.0,36364.0,-1.0,-1.0,-1.0,25514.0,12188.0,-1.0,-1.0,17323.0,-1.0,125000.0,-1.0,51477.0,54545.0,18764.0,192000.0,44444.0,10526.0,-1.0,30160.0,29375.0,54930.0,-1.0,150000.0,27970.0,50000.0,27143.0,-1.0,35012.0,-1.0,-1.0,54286.0,46030.0,-1.0,-1.0,-1.0,132657.0,121818.0,54724.0,46429.0,36179.0,30000.0,30157.0,51724.0,48085.0,44612.0,50615.0,13913.0,57108.0,26667.0,52885.0,81379.0,54272.0,-1.0
1962,-1.0,38235.0,-1.0,37419.0,16250.0,52684.0,46575.0,50071.0,18972.0,13112.0,-1.0,50000.0,64600.0,-1.0,37711.0,24800.0,-1.0,32333.0,-1.0,-1.0,40000.0,52514.0,45000.0,19768.0,-1.0,16667.0,-1.0,51250.0,-1.0,36000.0,-1.0,-1.0,30000.0,5000.0,-1.0,46256.0,48333.0,-1.0,-1.0,33088.0,-1.0,-1.0,15749.0,-1.0,36364.0,-1.0,-1.0,-1.0,24764.0,12188.0,-1.0,-1.0,15278.0,-1.0,125000.0,-1.0,46292.0,54545.0,18908.0,202000.0,44444.0,10497.0,-1.0,30939.0,30000.0,55652.0,-1.0,114286.0,27860.0,50000.0,27692.0,-1.0,31427.0,-1.0,-1.0,54286.0,47007.0,-1.0,-1.0,-1.0,137176.0,116788.0,54535.0,46429.0,37075.0,29250.0,29500.0,53571.0,47907.0,43630.0,46913.0,13750.0,57108.0,26667.0,47546.0,83333.0,53808.0,-1.0
1963,-1.0,38235.0,-1.0,39867.0,21682.0,55665.0,46429.0,52686.0,18994.0,13889.0,-1.0,50000.0,65900.0,-1.0,40018.0,26360.0,-1.0,36833.0,-1.0,-1.0,35000.0,53886.0,45000.0,22500.0,-1.0,16667.0,-1.0,50000.0,-1.0,36000.0,-1.0,-1.0,30000.0,5000.0,-1.0,44951.0,48571.0,-1.0,-1.0,37353.0,-1.0,-1.0,16102.0,-1.0,36364.0,-1.0,-1.0,-1.0,29532.0,12188.0,-1.0,-1.0,18800.0,-1.0,141000.0,-1.0,42038.0,52727.0,17928.0,218000.0,44444.0,10934.0,-1.0,33105.0,29600.0,55200.0,-1.0,126667.0,26187.0,50000.0,27857.0,-1.0,35302.0,-1.0,-1.0,54286.0,43997.0,-1.0,-1.0,-1.0,110710.0,145556.0,54683.0,46429.0,32210.0,29000.0,26668.0,51667.0,48000.0,43333.0,50725.0,14167.0,65894.0,25000.0,43732.0,81111.0,54016.0,-1.0
1964,-1.0,38235.0,-1.0,37095.0,24000.0,48842.0,47222.0,46316.0,19015.0,15263.0,-1.0,50000.0,67300.0,-1.0,40746.0,26320.0,-1.0,48667.0,-1.0,-1.0,40000.0,53794.0,45000.0,23333.0,-1.0,17000.0,-1.0,50000.0,-1.0,36000.0,-1.0,-1.0,31333.0,5000.0,-1.0,47127.0,47143.0,-1.0,-1.0,39412.0,-1.0,-1.0,15219.0,-1.0,36667.0,-1.0,-1.0,-1.0,28221.0,12188.0,-1.0,-1.0,17586.0,-1.0,152900.0,-1.0,37794.0,53636.0,18683.0,209000.0,44444.0,11197.0,-1.0,33072.0,28824.0,57692.0,-1.0,110390.0,33155.0,50000.0,27838.0,-1.0,31222.0,-1.0,-1.0,54286.0,44186.0,-1.0,-1.0,-1.0,115256.0,79425.0,54654.0,46429.0,30993.0,28182.0,30742.0,53333.0,47488.0,40441.0,51374.0,14000.0,74131.0,25000.0,40732.0,82963.0,54238.0,-1.0
1965,-1.0,38235.0,-1.0,27460.0,25000.0,44432.0,46164.0,41624.0,19117.0,14404.0,-1.0,50000.0,68700.0,-1.0,37887.0,27640.0,-1.0,40333.0,-1.0,-1.0,38000.0,53733.0,45000.0,21000.0,-1.0,17333.0,-1.0,50435.0,-1.0,36000.0,-1.0,-1.0,32000.0,5000.0,-1.0,43248.0,47143.0,-1.0,-1.0,30882.0,-1.0,-1.0,15077.0,-1.0,38333.0,-1.0,-1.0,-1.0,31190.0,12188.0,-1.0,-1.0,23438.0,-1.0,117350.0,-1.0,38849.0,50000.0,18638.0,212000.0,44444.0,12246.0,-1.0,33410.0,30556.0,58391.0,-1.0,112500.0,40642.0,50000.0,28286.0,-1.0,33139.0,-1.0,-1.0,53571.0,42319.0,-1.0,-1.0,-1.0,116702.0,95105.0,57000.0,44643.0,36281.0,29167.0,32521.0,52000.0,48476.0,40575.0,42830.0,14400.0,38276.0,25000.0,34500.0,85478.0,53267.0,-1.0
1966,-1.0,38235.0,-1.0,29110.0,19773.0,38677.0,46250.0,46722.0,19126.0,14526.0,-1.0,50000.0,69231.0,-1.0,38521.0,28400.0,-1.0,51667.0,-1.0,-1.0,40000.0,53500.0,42857.0,23333.0,-1.0,17222.0,-1.0,50000.0,-1.0,36000.0,-1.0,-1.0,32667.0,5000.0,-1.0,36557.0,48667.0,-1.0,-1.0,36029.0,-1.0,-1.0,15076.0,-1.0,38462.0,-1.0,-1.0,-1.0,33032.0,12188.0,-1.0,-1.0,25424.0,-1.0,152409.0,-1.0,42191.0,54545.0,18191.0,208000.0,22222.0,12246.0,-1.0,34000.0,28625.0,56818.0,-1.0,133333.0,25125.0,50000.0,28710.0,-1.0,35846.0,-1.0,-1.0,86111.0,43203.0,-1.0,-1.0,-1.0,128169.0,88519.0,56840.0,44643.0,33036.0,33333.0,31600.0,52857.0,48047.0,73036.0,44035.0,14615.0,37273.0,27778.0,35043.0,82494.0,52800.0,-1.0
1967,-1.0,38235.0,-1.0,36962.0,17301.0,36572.0,46563.0,34364.0,18995.0,14500.0,-1.0,54598.0,71429.0,-1.0,37982.0,26008.0,-1.0,50000.0,-1.0,-1.0,40000.0,54000.0,43333.0,23333.0,-1.0,17778.0,-1.0,50000.0,-1.0,36000.0,-1.0,-1.0,33333.0,5000.0,-1.0,39365.0,46765.0,-1.0,-1.0,42941.0,-1.0,-1.0,18754.0,-1.0,39706.0,-1.0,-1.0,-1.0,34304.0,11724.0,-1.0,-1.0,30014.0,-1.0,161484.0,-1.0,40761.0,56364.0,18676.0,202000.0,22222.0,18451.0,-1.0,30915.0,28500.0,57739.0,-1.0,133333.0,25131.0,47500.0,28667.0,-1.0,40158.0,-1.0,-1.0,80000.0,42791.0,-1.0,-1.0,-1.0,116443.0,90000.0,55161.0,44643.0,30221.0,42361.0,33123.0,53571.0,48651.0,73036.0,46891.0,14615.0,35217.0,27273.0,34956.0,107565.0,55250.0,-1.0
1968,-1.0,44118.0,-1.0,38800.0,14829.0,36589.0,46883.0,34072.0,19018.0,13500.0,-1.0,52263.0,70000.0,-1.0,39019.0,28260.0,-1.0,53167.0,-1.0,-1.0,37500.0,53500.0,40000.0,21667.0,-1.0,16502.0,-1.0,50000.0,-1.0,36000.0,-1.0,-1.0,34000.0,5000.0,-1.0,42389.0,48667.0,-1.0,-1.0,36324.0,-1.0,-1.0,19182.0,-1.0,40000.0,-1.0,-1.0,-1.0,23784.0,11923.0,-1.0,-1.0,15103.0,-1.0,167817.0,-1.0,42563.0,59091.0,18819.0,234000.0,22222.0,17727.0,-1.0,26203.0,29143.0,69446.0,-1.0,111111.0,31690.0,44750.0,28438.0,-1.0,40396.0,-1.0,-1.0,80000.0,41703.0,-1.0,-1.0,-1.0,119021.0,100333.0,53865.0,44643.0,27061.0,51852.0,31832.0,52000.0,48383.0,73036.0,42666.0,15385.0,37742.0,26923.0,33721.0,82716.0,54737.0,-1.0
1969,-1.0,44118.0,-1.0,36190.0,13841.0,37348.0,47031.0,28625.0,18994.0,14545.0,-1.0,51441.0,70947.0,-1.0,41016.0,28798.0,-1.0,48214.0,-1.0,-1.0,35000.0,53444.0,40000.0,20000.0,-1.0,17778.0,-1.0,49697.0,-1.0,36000.0,-1.0,-1.0,33333.0,5000.0,-1.0,41209.0,47059.0,-1.0,-1.0,39118.0,-1.0,-1.0,18488.0,-1.0,40000.0,-1.0,-1.0,-1.0,27847.0,11739.0,-1.0,-1.0,15382.0,-1.0,162368.0,-1.0,38925.0,63636.0,18231.0,172308.0,16842.0,12246.0,-1.0,34746.0,29333.0,72762.0,-1.0,140000.0,32202.0,50000.0,28621.0,-1.0,41750.0,-1.0,-1.0,80000.0,42122.0,-1.0,-1.0,-1.0,79552.0,100000.0,52818.0,46131.0,25506.0,45977.0,27447.0,52333.0,48327.0,69716.0,45237.0,15385.0,38000.0,26667.0,34009.0,51743.0,53739.0,-1.0
1970,-1.0,47059.0,-1.0,38800.0,17301.0,40831.0,47155.0,30183.0,19995.0,14609.0,-1.0,49762.0,68473.0,-1.0,39750.0,28659.0,-1.0,26786.0,-1.0,-1.0,37500.0,53545.0,40000.0,18239.0,-1.0,18000.0,-1.0,50303.0,-1.0,36000.0,-1.0,-1.0,32667.0,5000.0,-1.0,41338.0,45938.0,-1.0,-1.0,35294.0,-1.0,-1.0,15291.0,-1.0,40000.0,-1.0,-1.0,-1.0,33480.0,11905.0,-1.0,-1.0,16501.0,-1.0,160011.0,-1.0,41645.0,60909.0,19029.0,148421.0,16842.0,12246.0,-1.0,46780.0,30385.0,75710.0,-1.0,108571.0,22722.0,42500.0,28621.0,-1.0,43513.0,-1.0,-1.0,80000.0,43171.0,-1.0,-1.0,-1.0,71376.0,100000.0,51942.0,47619.0,36462.0,49519.0,28391.0,60333.0,48000.0,71863.0,42405.0,14615.0,37143.0,26471.0,33952.0,82967.0,54000.0,-1.0
