,Cameroon,Benin,Côte d'Ivoire,Nigeria,Ghana,Sierra Leone
1961,,,,8968.0,,
1962,,,,9097.0,,
1963,,,,9063.0,,
1964,,,,9576.0,,
1965,,,,9333.0,,
1966,,,,9235.0,,
1967,,,,9529.0,,
1968,,,,9824.0,,
1969,,,,10059.0,,
1970,,,,9615.0,,
1971,,,,9615.0,,
1972,,,,9615.0,,
1973,,,,9615.0,,
1974,,,,9615.0,,
1975,,,,9615.0,,
1976,,,,9407.0,,
1977,,,,9556.0,,
1978,,,,9357.0,,
1979,,,,9500.0,,
1980,,,,9643.0,,
1981,,,,9786.0,,
1982,,,,9333.0,,
1983,,,,9688.0,,
1984,,,,10000.0,,
1985,3189.0,2778.0,6044.0,9829.0,2642.0,3667.0
1986,3263.0,2778.0,6052.0,9943.0,2778.0,3067.0
1987,3368.0,2778.0,6096.0,10235.0,2667.0,2733.0
1988,3474.0,2778.0,5731.0,10357.0,2632.0,2400.0
1989,3474.0,2778.0,6363.0,10769.0,2750.0,2400.0
1990,3537.0,3267.0,6293.0,10800.0,2727.0,2467.0
1991,3579.0,3041.0,6217.0,12692.0,2712.0,2467.0
1992,3615.0,3041.0,6358.0,13646.0,2692.0,1875.0
1993,3684.0,3040.0,6268.0,13406.0,2727.0,2667.0
1994,3683.0,3040.0,6188.0,9130.0,2692.0,2625.0
1995,3716.0,3039.0,6292.0,9048.0,2734.0,2687.0
1996,3748.0,3039.0,5862.0,9043.0,2727.0,2628.0
1997,3779.0,3038.0,6820.0,9011.0,2774.0,2694.0
1998,3785.0,3038.0,6756.0,9177.0,2857.0,2671.0
1999,3810.0,3037.0,6664.0,9130.0,2818.0,2683.0
2000,3834.0,3037.0,6713.0,9011.0,2832.0,2778.0
2001,3857.0,3037.0,6707.0,9011.0,2831.0,2895.0
2002,3879.0,3036.0,6820.0,9043.0,2835.0,2900.0
2003,3890.0,3029.0,6820.0,9043.0,2839.0,2857.0
2004,3776.0,2993.0,6800.0,9362.0,2842.0,2952.0
2005,3951.0,2973.0,7637.0,9045.0,2845.0,2909.0
2006,3789.0,3011.0,6800.0,9048.0,2847.0,2826.0
2007,4061.0,3000.0,6800.0,8000.0,2887.0,2913.0
2008,4132.0,3100.0,6922.0,8000.0,2854.0,2894.0
2009,4207.0,3035.0,6898.0,6000.0,2848.0,2917.0
2010,4285.0,3027.0,6946.0,5366.0,2837.0,2933.0
2011,4366.0,3015.0,6960.0,6000.0,2840.0,2949.0
2012,4921.0,3000.0,6929.0,6000.0,2844.0,2930.0
2013,4510.0,3000.0,6942.0,6000.0,2848.0,2943.0
2014,4337.0,3005.0,6953.0,5856.0,2851.0,2951.0
