,Cuba,USSR,Indonesia,South Africa,Angola,Madagascar,Pakistan,Malaysia,Thailand,Ethiopia,Bangladesh,Democratic Republic of the Congo,Nigeria,Ethiopia PDR,Mali,Russian Federation,Brazil,China,Mozambique,"China, mainland",El Salvador,Chile,Spain,Central African Republic,Myanmar,Guatemala,India
1977,9999.0,26000.0,11038.0,10909.0,10000.0,3125.0,6955.0,,9977.0,,10770.0,1115.0,,,6850.0,,10680.0,9583.0,6667.0,9583.0,9857.0,,,3750.0,3500.0,8300.0,7749.0
1978,10002.0,25853.0,11126.0,10909.0,10000.0,6364.0,7227.0,,12190.0,,11617.0,1116.0,,,7163.0,,11446.0,11529.0,6667.0,11529.0,16944.0,10000.0,,4282.0,4014.0,9091.0,7692.0
1979,10000.0,26583.0,11967.0,10909.0,10000.0,5274.0,6478.0,,10423.0,,11261.0,965.0,,,7429.0,,11036.0,12749.0,6667.0,12749.0,11000.0,10000.0,,4040.0,3000.0,9371.0,7453.0
1980,10000.0,29083.0,13142.0,10909.0,10000.0,5274.0,6543.0,,12573.0,,9632.0,1301.0,,,6200.0,,10952.0,16066.0,6667.0,16066.0,11667.0,10000.0,,1284.0,3936.0,9516.0,7189.0
1981,10001.0,25000.0,13059.0,10909.0,10000.0,7279.0,6366.0,,10847.0,,9971.0,1343.0,5300.0,,6667.0,,10351.0,18796.0,6667.0,18796.0,11667.0,10000.0,,1622.0,3760.0,9800.0,7501.0
1982,10002.0,25000.0,12954.0,10909.0,10000.0,7347.0,6539.0,,9703.0,,9591.0,2206.0,5000.0,2857.0,7143.0,,10523.0,20000.0,6667.0,20000.0,11875.0,10000.0,,1892.0,3333.0,9792.0,6650.0
1983,10001.0,25000.0,10054.0,10909.0,10000.0,7635.0,6748.0,,11055.0,,9848.0,2941.0,5000.0,10000.0,7143.0,,10643.0,20896.0,6667.0,20896.0,12083.0,10000.0,,1842.0,2500.0,9720.0,7544.0
1984,10000.0,25000.0,8120.0,10909.0,10000.0,7838.0,6882.0,,11248.0,,9331.0,3623.0,5500.0,1037.0,7143.0,,9698.0,21094.0,6667.0,21094.0,13171.0,10000.0,,1750.0,2500.0,9889.0,7123.0
1985,9996.0,25000.0,11771.0,10909.0,10000.0,8000.0,6881.0,,11250.0,,9394.0,2985.0,6000.0,2950.0,7143.0,,9938.0,21569.0,6667.0,21569.0,16939.0,10000.0,,1800.0,5000.0,10000.0,8303.0
1986,9944.0,25000.0,8431.0,10909.0,10000.0,8000.0,6907.0,,11200.0,,10370.0,3676.0,7000.0,3115.0,6667.0,,9969.0,25862.0,6667.0,25862.0,16442.0,10000.0,,1756.0,3750.0,10000.0,7746.0
