,Madagascar,Mali,Brazil,Guyana
1961,18000.0,3500.0,50000.0,-1.0
1962,18000.0,10000.0,58000.0,-1.0
1963,19000.0,10000.0,68000.0,-1.0
1964,19000.0,10000.0,62000.0,-1.0
1965,19000.0,12000.0,64408.0,-1.0
1966,19000.0,12000.0,73472.0,-1.0
1967,19000.0,12000.0,77275.0,-1.0
1968,20000.0,12000.0,72182.0,-1.0
1969,20000.0,15000.0,75113.0,-1.0
1970,20000.0,15000.0,81220.0,-1.0
1971,20000.0,15000.0,105000.0,-1.0
1972,20000.0,15000.0,90000.0,-1.0
1973,20000.0,15000.0,66223.0,-1.0
1974,20000.0,16000.0,84727.0,-1.0
1975,21000.0,16000.0,110052.0,-1.0
1976,21000.0,16000.0,122961.0,-1.0
1977,21000.0,16000.0,135081.0,-1.0
1978,22000.0,16000.0,154329.0,-1.0
1979,22000.0,16000.0,169626.0,-1.0
1980,24000.0,18000.0,184151.0,-1.0
1981,24000.0,18000.0,202589.0,-1.0
1982,24000.0,18000.0,232177.0,-1.0
1983,25000.0,18000.0,231431.0,-1.0
1984,25000.0,18000.0,319302.0,-1.0
1985,25000.0,20000.0,365155.0,-1.0
1986,25000.0,20000.0,406095.0,-1.0
1987,25000.0,20000.0,439136.0,-1.0
1988,25000.0,20000.0,449017.0,-1.0
1989,25000.0,21000.0,514937.0,-1.0
1990,25869.0,18654.0,551844.0,-1.0
1991,24871.0,25429.0,616674.0,-1.0
1992,25118.0,24000.0,664682.0,-1.0
1993,25276.0,27847.0,689302.0,-1.0
1994,24674.0,30000.0,627559.0,-1.0
1995,25168.0,31017.0,647499.0,-1.0
1996,25552.0,31967.0,655960.0,-1.0
1997,26000.0,33000.0,679921.0,-1.0
1998,26007.0,35000.0,579288.0,-1.0
1999,26323.0,35245.0,580000.0,-1.0
2000,25916.0,36000.0,604502.0,1.0
2001,26026.0,37354.0,590000.0,1.0
2002,26108.0,40000.0,595000.0,1.0
2003,26190.0,39631.0,598000.0,1.0
2004,26279.0,40355.0,600000.0,1.0
2005,26431.0,42389.0,610296.0,1.0
2006,26500.0,42389.0,610000.0,1.0
2007,27000.0,43500.0,610377.0,1.0
2008,26839.0,44000.0,609509.0,1.0
2009,26916.0,46000.0,611432.0,1.0
2010,26978.0,46000.0,612786.0,1.0
2011,26983.0,42000.0,614367.0,1.0
2012,26900.0,38403.0,625000.0,1.0
2013,26900.0,29053.0,625000.0,1.0
2014,27000.0,36174.0,612430.0,1.0
