,USSR,Finland,Vanuatu,Trinidad and Tobago,Fiji,French Guiana,Kenya,Guyana,Morocco,Solomon Islands,Papua New Guinea,Somalia,Micronesia,Togo,Equatorial Guinea,Albania,Brazil,Serbia,El Salvador,Saint Lucia,Canada,Colombia,Spain,Grenada,New Zealand,Jamaica,Cabo Verde,Republic of Moldova,Mongolia,Belgium-Luxembourg,Angola,Saudi Arabia,Sao Tome and Principe,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Haiti,Mali,Hungary,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Iran (Islamic Republic of),Gambia,Ghana,Sweden,Cyprus,Kazakhstan,Rwanda,Bosnia and Herzegovina,Portugal,Saint Kitts and Nevis,"China, Taiwan Province of",Puerto Rico,Singapore,Turkmenistan,Dominica,Madagascar,United Republic of Tanzania,Nepal,Libya,Costa Rica,Bangladesh,Germany,Comoros,Latvia,Benin,Montserrat,Occupied Palestinian Territory,Cambodia,Armenia,Chile,Honduras,Denmark,Lebanon,Malawi,Algeria,Slovakia,Israel,Réunion,Kiribati,Belarus,Afghanistan,Switzerland,Sudan,Wallis and Futuna Islands,Mauritius,Yemen,Georgia,Lithuania,Russian Federation,Marshall Islands,Tunisia,Paraguay,Tuvalu,Cook Islands,Guadeloupe,Tokelau,Venezuela (Bolivarian Republic of),South Africa,Myanmar,Eritrea,Australia & New Zealand,Australia,Panama,Pakistan,Thailand,Belize,Ethiopia,Bhutan,Lao People's Democratic Republic,Zambia,Botswana,Tajikistan,Suriname,Niue,Mozambique,Niger,Democratic People's Republic of Korea,Slovenia,South Sudan,New Caledonia,Central African Republic,Bahamas,Ecuador,Indonesia,Poland,Chad,Antigua and Barbuda,Ethiopia PDR,Estonia,Melanesia,Malaysia,France,Republic of Korea,Democratic Republic of the Congo,Nigeria,Congo,Martinique,Tonga,Belgium,Peru,United States of America,"China, mainland",French Polynesia,India,Guinea-Bissau,Cameroon,Netherlands,Guatemala,Nauru,Cuba,Romania,Micronesia (Federated States of),Norway,Philippines,Iraq,Swaziland,Burundi,Samoa,Luxembourg,Czechia,Seychelles,Senegal,Italy,Ireland,Uganda,Cayman Islands,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),British Virgin Islands,Jordan,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Austria,Japan,Maldives,Guam,Timor-Leste,Egypt,Argentina,Namibia,United Kingdom,Azerbaijan,Nicaragua,Viet Nam,Barbados,Turkey,Bolivia (Plurinational State of),Saint Vincent and the Grenadines,American Samoa,Brunei Darussalam,Mexico,Guinea,Mauritania,Sierra Leone,Sri Lanka,Pacific Islands Trust Territory,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Ukraine,Liberia
1961,4272826.0,3853.0,18468.0,9040.0,25544.0,0.0,11342.0,4233.0,7244.0,12021.0,50084.0,4438.0,13392.0,16516.0,1260.0,8136.0,992589.0,,41751.0,1778.0,541948.0,96950.0,117494.0,585.0,3612.0,12213.0,1118.0,,0.0,11006.0,28909.0,765.0,3981.0,,104878.0,68125.0,3994.0,46390.0,65300.0,22278.0,108658.0,86529.0,115060.0,40739.0,43240.0,86568.0,405.0,,974.0,,5470.0,252.0,91716.0,1151.0,1040.0,,800.0,14029.0,86952.0,46540.0,4180.0,2364.0,91725.0,157949.0,4800.0,,42420.0,87.0,0.0,31915.0,,42664.0,2718.0,27252.0,1082.0,52313.0,897.0,,20527.0,168.0,4960.0,,43380.0,5460.0,,160.0,1506.0,8155.0,,,,,1482.0,16782.0,312.0,960.0,172.0,120.0,29414.0,166215.0,190858.0,,25067.0,21455.0,2981.0,490751.0,197105.0,405.0,,638.0,4374.0,19188.0,2304.0,,676.0,190.0,109370.0,64236.0,137360.0,,,1808.0,39762.0,0.0,13567.0,1000548.0,207230.0,74150.0,136.0,144857.0,,107925.0,115261.0,134435.0,144139.0,175374.0,1013030.0,14310.0,22.0,9885.0,,116265.0,18113951.0,6681950.0,13440.0,4434610.0,34959.0,72712.0,18203.0,18987.0,104.0,12434.0,244727.0,,600.0,408401.0,13549.0,3512.0,4827.0,8380.0,,,2552.0,392218.0,114779.0,,141386.0,,,6773666.0,28322.0,,347194.0,2.0,1122.0,73086.0,31304.0,,1044.0,7238.0,538249.0,506.0,1200.0,1855.0,357962.0,971644.0,0.0,2350.0,,33705.0,48329.0,98.0,289171.0,2925.0,1854.0,552.0,32.0,652799.0,39212.0,1106.0,39517.0,160447.0,7128.0,18195.0,33999.0,,169745.0,,9064.0
1962,4352140.0,4740.0,18068.0,8240.0,25054.0,0.0,10319.0,3951.0,9717.0,12021.0,51017.0,4269.0,13040.0,18652.0,1312.0,8679.0,1204643.0,,55244.0,1986.0,495760.0,103304.0,125178.0,561.0,5115.0,11921.0,1232.0,,0.0,13570.0,34617.0,765.0,4302.0,,97019.0,50009.0,3755.0,47780.0,74723.0,25851.0,134855.0,100481.0,95047.0,40869.0,42620.0,104956.0,427.0,,721.0,,5470.0,231.0,88708.0,1076.0,1000.0,,720.0,15645.0,91727.0,46669.0,3496.0,2866.0,95545.0,185670.0,4800.0,,37372.0,71.0,0.0,27641.0,,38206.0,4945.0,40986.0,1726.0,62608.0,881.0,,19454.0,168.0,4400.0,,53668.0,7491.0,,160.0,1537.0,9952.0,,,,,1434.0,19700.0,312.0,960.0,193.0,164.0,34882.0,132777.0,217296.0,,31273.0,26158.0,2912.0,531179.0,205299.0,96.0,,667.0,4295.0,17288.0,1060.0,,679.0,260.0,114023.0,79635.0,141310.0,,,1552.0,43858.0,0.0,12551.0,977134.0,266700.0,93805.0,87.0,145865.0,,107712.0,109789.0,174073.0,136327.0,158663.0,1125590.0,14558.0,24.0,6696.0,,125058.0,18269318.0,6955170.0,15544.0,4791800.0,35472.0,85093.0,22928.0,28897.0,104.0,13212.0,223598.0,,900.0,520529.0,15288.0,2435.0,3514.0,8380.0,,,2720.0,392561.0,139160.0,,105713.0,,,7043878.0,27814.0,,412823.0,4.0,969.0,101863.0,57799.0,,1044.0,7085.0,480496.0,517.0,1224.0,1765.0,471681.0,1196717.0,0.0,2418.0,,54067.0,50609.0,101.0,298605.0,3039.0,1849.0,640.0,36.0,726167.0,40311.0,1136.0,41224.0,178266.0,7312.0,21542.0,33116.0,,198762.0,,6776.0
1963,4326271.0,4800.0,20388.0,9216.0,26135.0,0.0,12877.0,3673.0,14467.0,12421.0,53608.0,4000.0,12952.0,17657.0,1520.0,10405.0,1107846.0,,64399.0,1981.0,595993.0,103610.0,107445.0,684.0,7052.0,10788.0,1360.0,,0.0,12888.0,33475.0,791.0,3739.0,,112608.0,44804.0,3595.0,64228.0,73422.0,25068.0,136253.0,134252.0,124152.0,42700.0,42400.0,79446.0,445.0,,1000.0,,6064.0,208.0,88635.0,821.0,936.0,,848.0,16864.0,104206.0,46984.0,3507.0,3333.0,96419.0,144869.0,4640.0,,41705.0,82.0,0.0,27244.0,,53490.0,5879.0,20086.0,2329.0,62638.0,886.0,,18014.0,168.0,3760.0,,64531.0,7015.0,,160.0,1609.0,11849.0,,,,,1428.0,25843.0,312.0,1000.0,158.0,68.0,36310.0,171632.0,239411.0,,39156.0,32104.0,2843.0,618567.0,221662.0,104.0,,667.0,4551.0,19397.0,1563.0,,756.0,382.0,104683.0,85561.0,145260.0,,,1768.0,41672.0,0.0,11657.0,910951.0,182580.0,89223.0,71.0,153620.0,,114320.0,111209.0,170173.0,132614.0,154828.0,1171690.0,12972.0,24.0,7904.0,,127950.0,18970820.0,7918610.0,15088.0,4847490.0,31585.0,95907.0,20492.0,47732.0,104.0,11054.0,253640.0,,1500.0,594835.0,12192.0,3040.0,3475.0,9020.0,,,2600.0,415942.0,115201.0,,143298.0,,,8007245.0,23692.0,,415647.0,4.0,867.0,98284.0,49483.0,,1168.0,7587.0,381673.0,527.0,1264.0,1908.0,474504.0,1050512.0,0.0,2670.0,,65842.0,47952.0,103.0,315479.0,3533.0,1749.0,720.0,38.0,752988.0,43098.0,1185.0,37276.0,174530.0,7824.0,23006.0,34654.0,,182289.0,,5096.0
1964,5044662.0,5220.0,21508.0,8168.0,26200.0,0.0,12341.0,3623.0,16102.0,12821.0,53450.0,5119.0,13280.0,20304.0,1988.0,10666.0,1088852.0,,65347.0,2090.0,674750.0,106695.0,90326.0,572.0,7067.0,12520.0,1329.0,,0.0,15870.0,33030.0,791.0,4103.0,,84493.0,45321.0,3638.0,62832.0,66251.0,24555.0,157501.0,153374.0,120936.0,43253.0,44200.0,133543.0,291.0,,2011.0,,6084.0,205.0,110737.0,911.0,880.0,,640.0,19002.0,111432.0,47568.0,3990.0,4658.0,85415.0,178694.0,4720.0,,46713.0,71.0,0.0,27152.0,,59722.0,7922.0,34281.0,2112.0,59021.0,916.0,,18469.0,187.0,4080.0,,53668.0,7699.0,,160.0,1633.0,9015.0,,,,,1103.0,38650.0,312.0,1024.0,158.0,208.0,47205.0,139349.0,184327.0,,57726.0,50658.0,2775.0,550554.0,217148.0,112.0,,696.0,4514.0,15948.0,2779.0,,747.0,480.0,127721.0,72293.0,153160.0,,,2336.0,42033.0,0.0,14797.0,965197.0,201600.0,95119.0,41.0,151906.0,,116315.0,104299.0,222874.0,140929.0,147762.0,1112130.0,11859.0,32.0,7115.0,,124221.0,18877548.0,9518354.0,14632.0,4824947.0,29280.0,99000.0,28550.0,56010.0,104.0,8677.0,263159.0,,2100.0,556155.0,18057.0,2731.0,4428.0,10140.0,,,3400.0,391038.0,133203.0,,144838.0,,,9629091.0,32479.0,,350968.0,,862.0,73034.0,42072.0,,1171.0,9611.0,329279.0,538.0,1280.0,1970.0,503442.0,1002152.0,0.0,2873.0,,84358.0,53662.0,106.0,399182.0,4027.0,1767.0,560.0,36.0,774020.0,42474.0,1204.0,36947.0,182499.0,7816.0,22959.0,34631.0,,193756.0,,5538.0
1965,5002157.0,4020.0,16876.0,8144.0,20823.0,0.0,14117.0,2847.0,15565.0,12501.0,55897.0,5938.0,15440.0,21208.0,1670.0,11302.0,1315734.0,,71491.0,2330.0,985594.0,116078.0,96031.0,604.0,4034.0,13147.0,1345.0,,0.0,10372.0,33370.0,816.0,4584.0,,83185.0,56708.0,3794.0,63316.0,49723.0,22975.0,157888.0,152106.0,149263.0,49441.0,40106.0,138314.0,239.0,,2010.0,,6686.0,196.0,118727.0,767.0,880.0,,848.0,16647.0,123763.0,36506.0,4138.0,6094.0,89622.0,202140.0,4400.0,,44418.0,64.0,0.0,25987.0,,69252.0,12062.0,34929.0,2100.0,66727.0,1042.0,,26495.0,187.0,6000.0,,53772.0,8280.0,,160.0,1659.0,13458.0,,,,,1400.0,43167.0,312.0,1120.0,156.0,186.0,53232.0,140710.0,215363.0,,29069.0,25035.0,2715.0,598641.0,213577.0,112.0,,696.0,4820.0,17582.0,2179.0,,738.0,400.0,113668.0,107142.0,161060.0,,,1936.0,40077.0,0.0,16965.0,964409.0,362610.0,95343.0,51.0,155206.0,,108033.0,111281.0,257232.0,151031.0,135201.0,1190470.0,11059.0,48.0,6822.0,,113687.0,22159511.0,8804030.0,12896.0,4471875.0,22477.0,114163.0,21284.0,62919.0,120.0,8683.0,296032.0,,3240.0,541073.0,22976.0,3213.0,4322.0,8940.0,,,2696.0,429512.0,133332.0,,157935.0,,,8922757.0,33198.0,,368681.0,,714.0,64789.0,29927.0,,1340.0,9408.0,318116.0,550.0,1424.0,2334.0,527012.0,1189601.0,0.0,2873.0,,109119.0,57100.0,108.0,398322.0,4558.0,1822.0,504.0,39.0,796451.0,40282.0,1256.0,35428.0,166969.0,7896.0,26541.0,31340.0,,201719.0,,8294.0
1966,5672763.0,1680.0,19676.0,8264.0,17779.0,0.0,14233.0,3521.0,16114.0,11861.0,57495.0,11431.0,15368.0,18695.0,1312.0,12526.0,1515223.0,,49478.0,2480.0,947733.0,118271.0,119211.0,624.0,3019.0,12881.0,1391.0,,0.0,8541.0,34451.0,816.0,3848.0,,94993.0,58001.0,3567.0,47250.0,65482.0,24480.0,127369.0,161395.0,117290.0,54950.0,46462.0,61897.0,212.0,,1814.0,,6682.0,209.0,103224.0,718.0,1584.0,,1016.0,19495.0,133949.0,36595.0,4549.0,6176.0,98249.0,195934.0,4800.0,,44024.0,28.0,0.0,27505.0,,76112.0,11774.0,25409.0,1658.0,65276.0,770.0,,27548.0,168.0,5760.0,,50647.0,6678.0,,160.0,1516.0,7313.0,,,,,1452.0,40319.0,312.0,1120.0,286.0,140.0,52215.0,152117.0,166233.0,,58431.0,55412.0,2638.0,630178.0,267780.0,116.0,,725.0,4950.0,24714.0,1798.0,,841.0,320.0,121737.0,120755.0,168960.0,,,2480.0,45761.0,0.0,16569.0,968872.0,334260.0,84466.0,92.0,163243.0,,109291.0,128519.0,252176.0,146533.0,140351.0,1046140.0,9406.0,64.0,8342.0,,105255.0,22799272.0,10790990.0,12840.0,4316330.0,20718.0,110818.0,20445.0,68521.0,120.0,7851.0,361940.0,,4620.0,608939.0,23207.0,3880.0,4140.0,9900.0,,,2960.0,383537.0,128397.0,,169771.0,6.0,,10894214.0,36750.0,,370085.0,6.0,408.0,72940.0,52150.0,,1290.0,11576.0,275273.0,720.0,1464.0,2357.0,444891.0,1062590.0,0.0,4820.0,,96405.0,54080.0,110.0,455846.0,5831.0,2042.0,560.0,39.0,896263.0,43564.0,1264.0,37844.0,141645.0,8024.0,24396.0,33694.0,,240268.0,,9010.0
1967,5806178.0,5520.0,23474.0,8368.0,17585.0,0.0,14757.0,2903.0,8894.0,12021.0,53476.0,12117.0,15960.0,19307.0,1364.0,13130.0,1581606.0,,38312.0,2765.0,707265.0,154061.0,109171.0,663.0,4461.0,13458.0,1330.0,,0.0,6625.0,38353.0,867.0,3821.0,,105195.0,65435.0,3447.0,52444.0,56811.0,21780.0,113321.0,148885.0,117412.0,50810.0,55003.0,150870.0,310.0,,6102.0,,7294.0,164.0,120989.0,707.0,1584.0,,880.0,20547.0,126399.0,40205.0,5039.0,6846.0,111436.0,247225.0,4960.0,,44094.0,48.0,0.0,26766.0,,55704.0,11041.0,31358.0,1536.0,76092.0,843.0,,31276.0,168.0,6800.0,,53447.0,10984.0,,160.0,1374.0,8286.0,,,,,1333.0,36127.0,272.0,896.0,447.0,120.0,64028.0,238101.0,160116.0,,55203.0,50742.0,2576.0,712484.0,242187.0,112.0,,754.0,5016.0,24723.0,1892.0,,800.0,280.0,139521.0,115397.0,180810.0,,,2400.0,56243.0,0.0,14274.0,989373.0,459040.0,76463.0,84.0,177122.0,,108956.0,126952.0,319752.0,181988.0,158178.0,899620.0,9732.0,64.0,8361.0,,85679.0,23437901.0,10792260.0,11664.0,4925929.0,20596.0,129024.0,16397.0,51570.0,120.0,7549.0,403663.0,,8280.0,512905.0,26304.0,5201.0,5791.0,6540.0,,,2980.0,395476.0,135980.0,,168481.0,6.0,,10913249.0,37814.0,,417008.0,6.0,204.0,63043.0,64899.0,,1277.0,12588.0,257574.0,800.0,1744.0,2679.0,409205.0,1122072.0,0.0,10193.0,,99124.0,54620.0,113.0,485182.0,5859.0,2111.0,560.0,49.0,822993.0,45820.0,1294.0,19875.0,153704.0,7296.0,31139.0,28853.0,,263986.0,,9385.0
1968,5786996.0,3540.0,19912.0,9096.0,19934.0,0.0,16169.0,4422.0,11325.0,10421.0,57046.0,12639.0,12480.0,17939.0,1520.0,10805.0,1626483.0,,33219.0,2807.0,901451.0,196193.0,112275.0,624.0,3874.0,13000.0,1303.0,,0.0,6694.0,41342.0,918.0,3405.0,,82689.0,58282.0,3149.0,49441.0,61906.0,22939.0,134618.0,170237.0,160662.0,52705.0,62585.0,161139.0,239.0,,3731.0,,7290.0,153.0,108403.0,832.0,1584.0,,896.0,19981.0,109957.0,38200.0,4861.0,5941.0,123728.0,267469.0,5200.0,,58145.0,51.0,0.0,30139.0,,52210.0,9862.0,27204.0,2091.0,68527.0,1024.0,,33496.0,168.0,4320.0,,54822.0,11303.0,,160.0,1040.0,7092.0,,,,,1000.0,45222.0,248.0,1560.0,420.0,132.0,61842.0,152384.0,225793.0,,66391.0,62517.0,2512.0,753686.0,251592.0,120.0,,754.0,5847.0,26230.0,2530.0,,847.0,240.0,156655.0,98295.0,192660.0,,,2552.0,57366.0,0.0,14031.0,1029562.0,367550.0,103534.0,54.0,187511.0,,109864.0,151916.0,332425.0,219695.0,170971.0,976240.0,9489.0,104.0,6765.0,,93734.0,26961987.0,10488870.0,11128.0,4733756.0,19526.0,138194.0,17247.0,69624.0,120.0,6743.0,402355.0,,11520.0,497953.0,27383.0,3842.0,6104.0,9420.0,,,2888.0,327607.0,81265.0,,159142.0,6.0,,10597273.0,46628.0,,371558.0,6.0,255.0,41204.0,52402.0,,1371.0,10957.0,226671.0,840.0,1856.0,2356.0,415258.0,1041951.0,0.0,9201.0,,88589.0,51311.0,115.0,526272.0,8364.0,1877.0,520.0,51.0,995897.0,46658.0,1286.0,43722.0,165696.0,6184.0,34350.0,30173.0,,241210.0,,8381.0
1969,5430534.0,4860.0,21470.0,9472.0,22864.0,0.0,16307.0,4875.0,11810.0,12602.0,58475.0,13059.0,14612.0,21201.0,1520.0,12809.0,1980423.0,,41504.0,2841.0,1143247.0,208114.0,86378.0,672.0,6641.0,11203.0,1042.0,,0.0,7192.0,43591.0,867.0,3654.0,,119185.0,46976.0,3416.0,59110.0,80244.0,33133.0,131527.0,211160.0,177944.0,48793.0,54352.0,126420.0,352.0,,2603.0,,7898.0,155.0,103975.0,707.0,1512.0,,920.0,24030.0,123598.0,40070.0,3840.0,4223.0,128645.0,200236.0,5600.0,,62706.0,15.0,0.0,31512.0,,54710.0,9358.0,19635.0,2507.0,75788.0,990.0,,39444.0,168.0,4400.0,,60731.0,8347.0,,160.0,941.0,9377.0,,,,,1208.0,52508.0,216.0,1120.0,430.0,131.0,67642.0,212514.0,218280.0,,75863.0,69222.0,2395.0,737272.0,215360.0,124.0,,783.0,6203.0,27984.0,2873.0,,593.0,224.0,151729.0,82114.0,196610.0,,,2160.0,57477.0,0.0,15401.0,1014642.0,172210.0,98466.0,54.0,201074.0,,117570.0,144259.0,381364.0,214616.0,194335.0,1015400.0,9001.0,120.0,8769.0,,83338.0,27405286.0,9834920.0,15392.0,4760846.0,22570.0,147665.0,15171.0,68066.0,124.0,6571.0,419106.0,,5580.0,429903.0,28712.0,3047.0,6020.0,10700.0,,,2408.0,315667.0,99632.0,,184424.0,6.0,,9938895.0,40549.0,,471008.0,5.0,92.0,66876.0,95786.0,,1354.0,6853.0,190068.0,851.0,1888.0,3223.0,505558.0,953180.0,0.0,8480.0,,81432.0,51482.0,118.0,536460.0,8284.0,1804.0,480.0,51.0,883413.0,47394.0,1430.0,38508.0,161347.0,8200.0,42363.0,37192.0,,283583.0,,8304.0
1970,5869632.0,6120.0,19428.0,7488.0,20144.0,0.0,16043.0,4013.0,23390.0,14522.0,57198.0,16326.0,17568.0,19543.0,1520.0,13777.0,2361573.0,,42784.0,3002.0,2034589.0,228972.0,132853.0,611.0,7800.0,11610.0,1029.0,,0.0,3884.0,52710.0,918.0,3276.0,,118396.0,50844.0,3713.0,76717.0,83351.0,34412.0,127998.0,152412.0,183783.0,48325.0,82137.0,116735.0,198.0,,3541.0,,6059.0,150.0,113199.0,734.0,1512.0,,984.0,23438.0,134113.0,42125.0,4060.0,3368.0,119544.0,224768.0,5360.0,,63759.0,23.0,0.0,23078.0,,58258.0,5651.0,17785.0,2235.0,65713.0,887.0,,39013.0,168.0,4720.0,,55747.0,11384.0,,160.0,903.0,8242.0,,,,,590.0,59702.0,200.0,1120.0,431.0,133.0,89998.0,195007.0,248363.0,,104495.0,96695.0,2320.0,749622.0,211932.0,128.0,,783.0,6743.0,27899.0,1948.0,,614.0,280.0,156312.0,80871.0,204510.0,,,1200.0,55177.0,0.0,10390.0,1132344.0,402250.0,80931.0,64.0,214733.0,,112492.0,171156.0,452283.0,215159.0,194294.0,981970.0,7808.0,144.0,6452.0,,80271.0,27254991.0,11051270.0,14136.0,5406102.0,20529.0,137591.0,17882.0,59616.0,128.0,6518.0,464462.0,,2880.0,463161.0,32917.0,3507.0,6333.0,8380.0,,,2188.0,233804.0,107815.0,,206562.0,6.0,,11164469.0,36595.0,,522844.0,5.0,98.0,83296.0,86783.0,,1362.0,6618.0,171166.0,822.0,1680.0,3024.0,482316.0,1273811.0,0.0,5399.0,,61172.0,51576.0,120.0,556573.0,10113.0,2048.0,464.0,40.0,857240.0,48306.0,2220.0,43334.0,163725.0,11040.0,41980.0,31325.0,,222977.0,,9130.0
