,"China, Taiwan Province of",Niue,Zambia,Bulgaria,Syrian Arab Republic,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Bangladesh,Malawi,Eritrea,New Caledonia,Mongolia,Guatemala,Latvia,American Samoa,Madagascar,Ukraine,Botswana,Saudi Arabia,Fiji,Pacific Islands Trust Territory,Switzerland,Sri Lanka,Azerbaijan,Brunei Darussalam,Bosnia and Herzegovina,China,Colombia,Libya,United Republic of Tanzania,Guinea-Bissau,Montenegro,Kazakhstan,Mauritius,Saint Vincent and the Grenadines,Hungary,France,Togo,Mali,Costa Rica,Seychelles,Melanesia,Georgia,Cameroon,Grenada,Dominican Republic,El Salvador,Cook Islands,Pakistan,Spain,Afghanistan,Iraq,New Zealand,Belize,Czechoslovakia,Nigeria,Czechia,Democratic People's Republic of Korea,Cuba,Cabo Verde,Bahrain,Morocco,Ethiopia PDR,Gabon,USSR,Romania,Ecuador,Jordan,Mexico,British Virgin Islands,Albania,Slovakia,Trinidad and Tobago,Polynesia,Montserrat,Thailand,Oman,Angola,Guam,Turkey,Burundi,"China, Hong Kong SAR",Mozambique,Myanmar,Burkina Faso,Philippines,Viet Nam,Lao People's Democratic Republic,Maldives,Ireland,Zimbabwe,Yugoslav SFR,Republic of Korea,Kyrgyzstan,Papua New Guinea,Rwanda,Australia & New Zealand,Barbados,French Polynesia,Algeria,Senegal,Saint Lucia,Uganda,Dominica,Chad,Wallis and Futuna Islands,Lesotho,United Arab Emirates,Comoros,Uruguay,Italy,Egypt,Sudan (former),Réunion,Armenia,Lebanon,Uzbekistan,Micronesia (Federated States of),Occupied Palestinian Territory,Chile,Portugal,Micronesia,Kenya,Poland,"China, mainland",Russian Federation,Nicaragua,Haiti,India,Bolivia (Plurinational State of),Peru,Yemen,Vanuatu,Malaysia,Israel,Malta,South Sudan,Namibia,Benin,Sao Tome and Principe,Venezuela (Bolivarian Republic of),Cyprus,Guyana,Tonga,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Kuwait,French Guiana,Cambodia,Paraguay,Tajikistan,Niger,Bhutan,Congo,Qatar,Honduras,Puerto Rico,Tunisia,Côte d'Ivoire,Gambia,Solomon Islands,South Africa,Singapore,Panama,Sierra Leone,Somalia,Sudan,Ghana,Mauritania,Swaziland,Republic of Moldova
1961,54937.0,-1.0,42857.0,39453.0,60000.0,-1.0,-1.0,50870.0,-1.0,-1.0,66667.0,51364.0,-1.0,83333.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,37273.0,69231.0,90909.0,-1.0,75000.0,-1.0,-1.0,50000.0,-1.0,29919.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,62500.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,32857.0,80808.0,-1.0,-1.0,-1.0,-1.0,-1.0,15254.0,-1.0,62596.0,51153.0,-1.0,-1.0,-1.0,-1.0,60204.0,-1.0,64286.0,-1.0,46667.0,55556.0,-1.0,108000.0,11458.0,18667.0,-1.0,-1.0,65000.0,117317.0,-1.0,-1.0,-1.0,-1.0,56753.0,-1.0,83333.0,-1.0,41538.0,40000.0,54072.0,42529.0,37636.0,48000.0,38624.0,-1.0,77273.0,86000.0,50667.0,114286.0,-1.0,40000.0,-1.0,12358.0,-1.0,80556.0,-1.0,-1.0,-1.0,70833.0,-1.0,-1.0,-1.0,48387.0,-1.0,-1.0,-1.0,44444.0,-1.0,-1.0,-1.0,100958.0,128571.0,71429.0,-1.0,-1.0,95652.0,-1.0,-1.0,-1.0,47328.0,33200.0,40000.0,45000.0,-1.0,27778.0,-1.0,-1.0,-1.0,60000.0,45000.0,-1.0,95000.0,90323.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,43750.0,-1.0,97259.0,-1.0,9091.0,123170.0,63187.0,66667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35714.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,88235.0,75000.0,71429.0,-1.0,-1.0,126866.0,-1.0,30000.0,40000.0,40000.0,-1.0
1962,63043.0,-1.0,43333.0,40257.0,80000.0,-1.0,-1.0,51304.0,-1.0,-1.0,66667.0,52273.0,-1.0,83333.0,-1.0,-1.0,-1.0,-1.0,51667.0,-1.0,35000.0,71429.0,86957.0,-1.0,79200.0,-1.0,-1.0,50000.0,-1.0,29546.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,60000.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,32857.0,81332.0,-1.0,-1.0,-1.0,-1.0,-1.0,15546.0,-1.0,64511.0,50109.0,-1.0,-1.0,-1.0,-1.0,60400.0,-1.0,67143.0,-1.0,46667.0,54545.0,-1.0,119565.0,11458.0,19400.0,-1.0,-1.0,66000.0,74471.0,-1.0,-1.0,-1.0,-1.0,57521.0,-1.0,83333.0,-1.0,43077.0,40000.0,53968.0,42697.0,33717.0,48800.0,38223.0,-1.0,77273.0,86000.0,52000.0,113889.0,-1.0,40000.0,-1.0,92326.0,-1.0,81081.0,-1.0,-1.0,-1.0,75000.0,-1.0,-1.0,-1.0,48387.0,-1.0,-1.0,-1.0,44444.0,-1.0,-1.0,-1.0,67774.0,139881.0,71429.0,-1.0,-1.0,110191.0,-1.0,-1.0,-1.0,48485.0,33600.0,40000.0,50769.0,-1.0,27778.0,-1.0,-1.0,-1.0,63704.0,45238.0,-1.0,93871.0,90625.0,-1.0,-1.0,-1.0,-1.0,55000.0,-1.0,43750.0,-1.0,98185.0,-1.0,9167.0,122632.0,65027.0,66667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35714.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,88953.0,80000.0,71429.0,-1.0,-1.0,126471.0,-1.0,30000.0,40000.0,40000.0,-1.0
1963,55315.0,-1.0,43333.0,46365.0,80000.0,-1.0,-1.0,50000.0,-1.0,-1.0,66667.0,50870.0,-1.0,66667.0,-1.0,-1.0,-1.0,-1.0,49231.0,-1.0,37500.0,73333.0,86957.0,-1.0,80526.0,-1.0,-1.0,60000.0,-1.0,30356.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,60000.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,32857.0,81222.0,-1.0,-1.0,-1.0,-1.0,-1.0,15833.0,-1.0,66939.0,52129.0,-1.0,-1.0,-1.0,-1.0,61900.0,-1.0,68571.0,-1.0,46667.0,57143.0,-1.0,120000.0,11458.0,26233.0,-1.0,-1.0,63000.0,74462.0,-1.0,-1.0,-1.0,-1.0,59054.0,-1.0,83333.0,-1.0,43077.0,40000.0,53872.0,43011.0,39296.0,49600.0,40422.0,-1.0,77273.0,86000.0,52667.0,113514.0,-1.0,40000.0,-1.0,42152.0,-1.0,81081.0,-1.0,-1.0,-1.0,79167.0,-1.0,-1.0,-1.0,48387.0,-1.0,-1.0,-1.0,44444.0,-1.0,-1.0,-1.0,72760.0,154762.0,71429.0,-1.0,-1.0,112598.0,-1.0,-1.0,-1.0,48872.0,34000.0,40000.0,52239.0,-1.0,27778.0,-1.0,-1.0,-1.0,59310.0,44444.0,-1.0,92500.0,90909.0,-1.0,-1.0,-1.0,-1.0,55000.0,-1.0,43750.0,-1.0,97077.0,-1.0,9231.0,120148.0,66848.0,69333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35714.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89655.0,80000.0,75862.0,-1.0,-1.0,129412.0,-1.0,30000.0,40000.0,40000.0,-1.0
1964,37226.0,-1.0,43750.0,43484.0,80000.0,-1.0,-1.0,50833.0,-1.0,-1.0,66667.0,51739.0,-1.0,70000.0,-1.0,-1.0,-1.0,-1.0,50769.0,-1.0,40000.0,77500.0,85714.0,-1.0,80000.0,-1.0,-1.0,40000.0,-1.0,28233.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,58333.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,34286.0,81755.0,-1.0,-1.0,-1.0,-1.0,-1.0,16116.0,-1.0,66945.0,60544.0,-1.0,-1.0,-1.0,-1.0,62157.0,-1.0,70000.0,-1.0,46667.0,57143.0,-1.0,120000.0,11458.0,29022.0,-1.0,-1.0,46000.0,75111.0,-1.0,-1.0,-1.0,-1.0,57874.0,-1.0,83333.0,-1.0,43077.0,40000.0,53798.0,42857.0,26926.0,50000.0,38855.0,-1.0,77273.0,86000.0,40500.0,113158.0,-1.0,40000.0,-1.0,36912.0,-1.0,81579.0,-1.0,-1.0,-1.0,79167.0,-1.0,-1.0,-1.0,48387.0,-1.0,-1.0,-1.0,44444.0,-1.0,-1.0,-1.0,110386.0,114719.0,65000.0,-1.0,-1.0,157044.0,-1.0,-1.0,-1.0,49254.0,34400.0,40000.0,52239.0,-1.0,27778.0,-1.0,-1.0,-1.0,64333.0,44898.0,-1.0,91515.0,94118.0,-1.0,-1.0,-1.0,-1.0,54545.0,-1.0,43750.0,-1.0,100800.0,-1.0,9286.0,129274.0,68919.0,62857.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36207.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90341.0,83333.0,75862.0,-1.0,-1.0,128571.0,-1.0,30000.0,40000.0,40000.0,-1.0
1965,66513.0,-1.0,43750.0,37606.0,55000.0,-1.0,-1.0,49200.0,-1.0,-1.0,66667.0,52609.0,-1.0,81081.0,-1.0,-1.0,-1.0,-1.0,48571.0,-1.0,37692.0,80000.0,85714.0,-1.0,75000.0,-1.0,-1.0,50000.0,-1.0,32789.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,58333.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,30000.0,81327.0,-1.0,-1.0,-1.0,-1.0,-1.0,16393.0,-1.0,69855.0,63984.0,-1.0,-1.0,-1.0,-1.0,62500.0,-1.0,62500.0,-1.0,50667.0,56140.0,-1.0,120000.0,11458.0,28975.0,-1.0,-1.0,51000.0,76889.0,-1.0,-1.0,-1.0,-1.0,60587.0,-1.0,84615.0,-1.0,44615.0,40000.0,53714.0,43000.0,39741.0,50800.0,42829.0,-1.0,70833.0,88095.0,41500.0,112821.0,-1.0,40909.0,-1.0,45963.0,-1.0,81013.0,-1.0,-1.0,-1.0,79167.0,-1.0,-1.0,-1.0,48387.0,-1.0,-1.0,-1.0,44444.0,-1.0,-1.0,-1.0,91304.0,166667.0,65000.0,-1.0,-1.0,129167.0,-1.0,-1.0,-1.0,49926.0,34800.0,40000.0,52239.0,-1.0,28571.0,-1.0,-1.0,-1.0,60000.0,45098.0,-1.0,90294.0,94286.0,-1.0,-1.0,-1.0,-1.0,54545.0,-1.0,44444.0,-1.0,98294.0,-1.0,9333.0,103623.0,70968.0,62857.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36207.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,92135.0,83333.0,86667.0,-1.0,-1.0,130000.0,-1.0,30000.0,40000.0,40000.0,-1.0
1966,71306.0,4423.0,44118.0,50798.0,42857.0,-1.0,-1.0,48846.0,-1.0,-1.0,66667.0,51250.0,-1.0,81081.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,38462.0,83333.0,85714.0,-1.0,74884.0,-1.0,-1.0,35938.0,-1.0,33458.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,57143.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,31250.0,81280.0,-1.0,-1.0,-1.0,-1.0,-1.0,16667.0,-1.0,55340.0,66607.0,-1.0,-1.0,-1.0,-1.0,62830.0,-1.0,65000.0,-1.0,50667.0,56140.0,-1.0,124074.0,12115.0,25250.0,-1.0,-1.0,46780.0,77476.0,-1.0,-1.0,-1.0,-1.0,38763.0,-1.0,84211.0,-1.0,44615.0,40000.0,53636.0,42857.0,36512.0,51200.0,44636.0,-1.0,75000.0,88095.0,42000.0,112500.0,-1.0,40909.0,-1.0,44015.0,-1.0,80952.0,-1.0,-1.0,-1.0,79167.0,-1.0,-1.0,-1.0,48387.0,-1.0,-1.0,-1.0,46429.0,-1.0,-1.0,-1.0,100975.0,121776.0,63095.0,-1.0,-1.0,141369.0,-1.0,-1.0,-1.0,51471.0,35200.0,49900.0,52239.0,-1.0,28571.0,-1.0,-1.0,-1.0,66061.0,45283.0,-1.0,83714.0,97222.0,-1.0,-1.0,-1.0,-1.0,54545.0,-1.0,44444.0,-1.0,100625.0,-1.0,9375.0,116753.0,72872.0,70000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36207.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,92778.0,83333.0,86609.0,-1.0,-1.0,129577.0,-1.0,29091.0,40000.0,40909.0,-1.0
1967,82715.0,4286.0,44118.0,47284.0,48763.0,-1.0,-1.0,48889.0,-1.0,-1.0,66667.0,52083.0,-1.0,73333.0,-1.0,-1.0,-1.0,-1.0,48000.0,-1.0,39231.0,86316.0,85714.0,-1.0,80000.0,-1.0,-1.0,37188.0,-1.0,37364.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,57143.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,37500.0,81247.0,-1.0,-1.0,-1.0,-1.0,-1.0,16935.0,-1.0,59483.0,71047.0,-1.0,-1.0,-1.0,-1.0,63241.0,-1.0,67500.0,-1.0,50667.0,58621.0,-1.0,125000.0,12308.0,30800.0,-1.0,-1.0,38330.0,81075.0,-1.0,-1.0,-1.0,-1.0,38761.0,-1.0,85246.0,-1.0,44615.0,42000.0,53807.0,43925.0,46485.0,52000.0,44167.0,-1.0,75000.0,88095.0,40000.0,112195.0,-1.0,40909.0,-1.0,50512.0,-1.0,80952.0,-1.0,-1.0,-1.0,75000.0,-1.0,-1.0,-1.0,48387.0,-1.0,-1.0,-1.0,46429.0,-1.0,-1.0,-1.0,110429.0,116572.0,62791.0,-1.0,-1.0,166399.0,-1.0,-1.0,-1.0,51825.0,36000.0,53000.0,52941.0,-1.0,28571.0,-1.0,-1.0,-1.0,67647.0,44828.0,-1.0,82778.0,97368.0,-1.0,-1.0,-1.0,-1.0,54545.0,-1.0,44444.0,-1.0,100625.0,-1.0,9412.0,97333.0,75263.0,65574.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36207.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,93407.0,90000.0,81246.0,-1.0,-1.0,133803.0,-1.0,30909.0,40000.0,41818.0,-1.0
1968,86775.0,4333.0,44444.0,68444.0,52291.0,-1.0,-1.0,51071.0,-1.0,-1.0,64516.0,53333.0,-1.0,73333.0,-1.0,-1.0,-1.0,-1.0,49333.0,-1.0,40000.0,89000.0,86667.0,-1.0,81818.0,-1.0,-1.0,36970.0,-1.0,39023.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,60000.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,40000.0,81712.0,-1.0,-1.0,-1.0,-1.0,-1.0,18000.0,-1.0,59249.0,75299.0,-1.0,-1.0,-1.0,-1.0,63636.0,-1.0,70000.0,-1.0,50667.0,58621.0,-1.0,128947.0,12500.0,35200.0,-1.0,-1.0,61379.0,83473.0,-1.0,-1.0,-1.0,-1.0,35294.0,-1.0,84848.0,-1.0,46154.0,43000.0,55820.0,43636.0,45927.0,52000.0,42958.0,-1.0,81818.0,88095.0,45000.0,111905.0,-1.0,40909.0,-1.0,26755.0,-1.0,81395.0,-1.0,-1.0,-1.0,66667.0,-1.0,-1.0,-1.0,48387.0,-1.0,-1.0,-1.0,46429.0,-1.0,-1.0,-1.0,105785.0,118731.0,62791.0,-1.0,-1.0,296768.0,-1.0,-1.0,-1.0,52174.0,37760.0,54500.0,52857.0,-1.0,28571.0,-1.0,-1.0,-1.0,66667.0,45161.0,-1.0,82162.0,97500.0,-1.0,-1.0,-1.0,-1.0,54545.0,-1.0,45000.0,-1.0,103071.0,-1.0,9444.0,97178.0,78125.0,65574.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95082.0,90000.0,85205.0,-1.0,-1.0,132877.0,-1.0,30909.0,40000.0,43636.0,-1.0
1969,78690.0,4844.0,44444.0,82514.0,54714.0,-1.0,-1.0,51667.0,-1.0,-1.0,66201.0,54500.0,-1.0,80000.0,-1.0,-1.0,-1.0,-1.0,47500.0,-1.0,42857.0,92727.0,86667.0,-1.0,74655.0,-1.0,-1.0,38182.0,-1.0,35029.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,56250.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,44444.0,81283.0,-1.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,59535.0,74973.0,-1.0,-1.0,-1.0,-1.0,64018.0,-1.0,72500.0,-1.0,46667.0,58621.0,-1.0,132586.0,12692.0,30667.0,-1.0,-1.0,43885.0,79805.0,-1.0,-1.0,-1.0,-1.0,34785.0,-1.0,84507.0,-1.0,46154.0,46000.0,55704.0,43478.0,42247.0,52800.0,33032.0,-1.0,77273.0,91000.0,47500.0,111628.0,-1.0,40909.0,-1.0,25399.0,-1.0,80899.0,-1.0,-1.0,-1.0,58333.0,-1.0,-1.0,-1.0,48387.0,-1.0,-1.0,-1.0,46429.0,-1.0,-1.0,-1.0,129297.0,109524.0,61364.0,-1.0,-1.0,246305.0,-1.0,-1.0,-1.0,52518.0,31160.0,58000.0,53521.0,-1.0,26000.0,-1.0,-1.0,-1.0,70278.0,44118.0,-1.0,86842.0,97561.0,-1.0,-1.0,-1.0,-1.0,54545.0,-1.0,45000.0,-1.0,91400.0,-1.0,9474.0,187723.0,80928.0,64516.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95652.0,90000.0,84974.0,-1.0,-1.0,136986.0,-1.0,30000.0,40000.0,45455.0,-1.0
1970,106071.0,6471.0,44444.0,61310.0,54277.0,-1.0,-1.0,53333.0,-1.0,-1.0,62155.0,54500.0,-1.0,80000.0,-1.0,-1.0,-1.0,-1.0,48750.0,-1.0,43571.0,96923.0,86667.0,-1.0,78846.0,-1.0,-1.0,39091.0,-1.0,43032.0,-1.0,-1.0,51923.0,-1.0,-1.0,-1.0,56250.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,55556.0,81252.0,-1.0,-1.0,-1.0,-1.0,-1.0,16667.0,-1.0,57991.0,72606.0,-1.0,-1.0,-1.0,-1.0,63276.0,-1.0,66667.0,-1.0,46667.0,60000.0,-1.0,137119.0,13077.0,30813.0,-1.0,-1.0,44444.0,80425.0,-1.0,-1.0,-1.0,-1.0,31700.0,-1.0,85333.0,-1.0,46154.0,50000.0,55902.0,43478.0,48237.0,53200.0,37309.0,-1.0,77273.0,91000.0,52500.0,112766.0,-1.0,40909.0,-1.0,70034.0,-1.0,80851.0,-1.0,-1.0,-1.0,60833.0,-1.0,-1.0,-1.0,48387.0,-1.0,-1.0,-1.0,46667.0,-1.0,-1.0,-1.0,116417.0,144558.0,61111.0,-1.0,-1.0,142248.0,-1.0,-1.0,-1.0,52857.0,37160.0,62500.0,54167.0,-1.0,26000.0,-1.0,-1.0,-1.0,66667.0,44706.0,81306.0,87500.0,100000.0,-1.0,-1.0,-1.0,-1.0,59091.0,-1.0,45000.0,-1.0,139178.0,-1.0,9167.0,182072.0,84184.0,66290.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96757.0,96667.0,81277.0,-1.0,-1.0,137333.0,-1.0,30000.0,40000.0,47273.0,-1.0
