,Paraguay,"China, mainland",Malawi,Brazil,China,Madagascar,Argentina,United States of America
1961,-1.0,-1.0,6700.0,-1.0,-1.0,5000.0,48000.0,-1
1962,-1.0,-1.0,7220.0,-1.0,-1.0,5000.0,48000.0,-1
1963,-1.0,-1.0,7600.0,-1.0,-1.0,5000.0,51000.0,-1
1964,-1.0,-1.0,7600.0,-1.0,-1.0,5000.0,48000.0,-1
1965,-1.0,-1.0,7600.0,-1.0,-1.0,5000.0,55000.0,-1
1966,-1.0,-1.0,7800.0,-1.0,-1.0,5000.0,50000.0,-1
1967,-1.0,-1.0,8500.0,-1.0,-1.0,5000.0,50000.0,-1
1968,-1.0,-1.0,9800.0,-1.0,-1.0,5000.0,50000.0,-1
1969,-1.0,-1.0,5200.0,-1.0,-1.0,5000.0,48000.0,-1
1970,-1.0,-1.0,3600.0,-1.0,-1.0,3960.0,51400.0,-1
1971,-1.0,-1.0,5200.0,-1.0,-1.0,3800.0,51600.0,-1
1972,-1.0,-1.0,4800.0,-1.0,-1.0,3145.0,54600.0,-1
1973,-1.0,-1.0,2900.0,-1.0,-1.0,3060.0,20300.0,-1
1974,-1.0,-1.0,3500.0,-1.0,-1.0,3020.0,51600.0,-1
1975,-1.0,-1.0,2665.0,-1.0,-1.0,5305.0,52800.0,-1
1976,-1.0,-1.0,2600.0,3673.0,-1.0,2840.0,52900.0,-1
1977,-1.0,-1.0,2350.0,3624.0,-1.0,3100.0,52000.0,-1
1978,-1.0,-1.0,2350.0,3402.0,-1.0,2045.0,51700.0,-1
1979,-1.0,-1.0,3100.0,3343.0,-1.0,1845.0,51700.0,-1
1980,-1.0,-1.0,3200.0,3328.0,-1.0,2600.0,51700.0,-1
1981,-1.0,-1.0,2700.0,3034.0,-1.0,2600.0,44000.0,-1
1982,-1.0,-1.0,2800.0,2851.0,-1.0,2800.0,44000.0,-1
1983,25000.0,-1.0,2900.0,2529.0,-1.0,2900.0,44000.0,-1
1984,15000.0,-1.0,3000.0,2942.0,-1.0,3000.0,42500.0,-1
1985,16000.0,190000.0,3000.0,2832.0,190000.0,3000.0,42400.0,-1
1986,15000.0,170000.0,3000.0,2818.0,170000.0,3100.0,39500.0,-1
1987,13000.0,170000.0,3000.0,2462.0,170000.0,3200.0,38100.0,-1
1988,11000.0,175000.0,3000.0,2234.0,175000.0,3300.0,36600.0,-1
1989,11000.0,170000.0,3100.0,2063.0,170000.0,3400.0,36600.0,-1
1990,11916.0,172241.0,2984.0,1683.0,172241.0,3500.0,25080.0,-1
1991,10800.0,155000.0,2416.0,1357.0,155000.0,3500.0,22880.0,-1
1992,10972.0,145000.0,2800.0,1099.0,145000.0,3550.0,18790.0,-1
1993,11308.0,140000.0,3100.0,1000.0,140000.0,3600.0,21410.0,-1
1994,10944.0,147918.0,3000.0,872.0,147918.0,3400.0,3010.0,-1
1995,10000.0,135000.0,3100.0,704.0,135000.0,3500.0,3860.0,-1
1996,10711.0,129531.0,3200.0,522.0,129531.0,3600.0,4260.0,-1
1997,10461.0,128000.0,3100.0,546.0,128000.0,3700.0,12590.0,-1
1998,10454.0,130000.0,3200.0,382.0,130000.0,3700.0,7560.0,-1
1999,10450.0,132000.0,3300.0,463.0,132000.0,3800.0,5140.0,-1
2000,11040.0,135000.0,3328.0,444.0,135000.0,3700.0,1030.0,-1
2001,11247.0,136000.0,3280.0,398.0,136000.0,3746.0,4750.0,-1
2002,9238.0,137000.0,3269.0,311.0,137000.0,3700.0,3080.0,-1
2003,8679.0,132373.0,3238.0,254.0,132373.0,3700.0,4180.0,-1
2004,11602.0,140000.0,3350.0,171.0,140000.0,3750.0,3530.0,-1
2005,12000.0,135000.0,3400.0,184.0,135000.0,3750.0,5100.0,-1
2006,12000.0,140000.0,3333.0,184.0,140000.0,3800.0,5797.0,-1
2007,10000.0,142000.0,3432.0,173.0,142000.0,4000.0,3889.0,-1
2008,8999.0,145000.0,3511.0,163.0,145000.0,4056.0,2880.0,-1
2009,9000.0,150000.0,3553.0,126.0,150000.0,4054.0,2515.0,-1
2010,8995.0,155000.0,3659.0,123.0,155000.0,4051.0,1285.0,-1
2011,8995.0,158000.0,3600.0,123.0,158000.0,4011.0,1439.0,-1
2012,8995.0,154000.0,3750.0,90.0,154000.0,4000.0,2223.0,-1
2013,8995.0,154000.0,3800.0,90.0,154000.0,4000.0,2269.0,-1
2014,8995.0,153500.0,3894.0,99.0,153500.0,4048.0,2225.0,-1
