,USSR,Finland,Australia & New Zealand,Australia,Pakistan,French Guiana,Thailand,Belize,Ethiopia,Kenya,Guyana,Singapore,United Arab Emirates,Zambia,Lebanon,Papua New Guinea,Tajikistan,Suriname,Albania,Niger,"China, Hong Kong SAR",Serbia,Slovenia,Sri Lanka,Congo,Argentina,South Sudan,Spain,Central African Republic,India,Ecuador,Cabo Verde,Indonesia,Poland,Canada,Jordan,Belgium-Luxembourg,Egypt,Melanesia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Slovakia,France,Timor-Leste,Democratic Republic of the Congo,Tunisia,Mali,Hungary,Republic of Moldova,Martinique,Syrian Arab Republic,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Ghana,"China, mainland",Madagascar,Cyprus,Peru,Rwanda,Lithuania,Portugal,Netherlands,Guatemala,Austria,Puerto Rico,Bermuda,Romania,Norway,Philippines,Iraq,New Zealand,United Republic of Tanzania,Belgium,Nepal,Luxembourg,Czechia,Costa Rica,Bangladesh,Italy,Qatar,Senegal,Germany,Sweden,Uzbekistan,Occupied Palestinian Territory,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Antigua and Barbuda,Chile,Uruguay,Zimbabwe,Kyrgyzstan,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Denmark,Switzerland,United States of America,Sudan,United Kingdom,Azerbaijan,Mauritius,Yemen,Bosnia and Herzegovina,Turkey,Cameroon,Bolivia (Plurinational State of),American Samoa,Mexico,Ukraine,Kuwait,South Africa,Guadeloupe,Ireland,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Montenegro,China
1961,-1.0,200.0,33670.0,31840.0,,-1.0,22600.0,-1.0,,-1.0,-1.0,813.0,,,7000.0,77.0,,500.0,-1.0,-1.0,3360.0,,,7572.0,-1.0,6500.0,,118200.0,,185000.0,2300.0,-1.0,26000.0,-1.0,27048.0,4009.0,30288.0,125676.0,77.0,,40558.0,3191.0,,51510.0,-1.0,-1.0,800.0,,27946.0,,1300.0,4200.0,15000.0,-1.0,,-1.0,805000.0,5000.0,2300.0,5400.0,-1.0,,15000.0,56900.0,-1.0,3229.0,-1.0,49.0,19600.0,634.0,8000.0,1421.0,1830.0,-1.0,,-1.0,,,-1.0,15719.0,218100.0,-1.0,,85742.0,5100.0,,-1.0,,,-1.0,9800.0,4.0,41000.0,1415.0,-1.0,,14000.0,-1.0,3400.0,1000.0,,630.0,18000.0,228038.0,,48567.0,,638.0,,,200000.0,,-1.0,-1.0,10370.0,,-1.0,24000.0,600.0,,-1.0,0.0,,38038.0,,808360.0
1962,-1.0,200.0,38442.0,34382.0,,-1.0,36800.0,-1.0,,-1.0,-1.0,711.0,,,8000.0,73.0,,500.0,-1.0,-1.0,3799.0,,,5631.0,-1.0,6200.0,,108400.0,,186000.0,2120.0,-1.0,28000.0,-1.0,28874.0,6698.0,34704.0,82162.0,73.0,,39449.0,3067.0,,47220.0,-1.0,-1.0,800.0,,31895.0,,1300.0,6795.0,15000.0,-1.0,,-1.0,800000.0,5400.0,2450.0,5600.0,-1.0,,15000.0,48125.0,-1.0,2929.0,-1.0,24.0,20500.0,342.0,8000.0,1850.0,4060.0,-1.0,,-1.0,,,-1.0,15034.0,213400.0,-1.0,,87248.0,3200.0,,-1.0,,,-1.0,13000.0,4.0,42000.0,1000.0,-1.0,,12900.0,-1.0,4200.0,1000.0,,840.0,10000.0,214285.0,,49380.0,,1080.0,,,208000.0,,-1.0,-1.0,9791.0,,-1.0,27000.0,675.0,,-1.0,0.0,,29434.0,,803799.0
1963,-1.0,200.0,41386.0,35386.0,,-1.0,34900.0,-1.0,,-1.0,-1.0,813.0,,,4000.0,68.0,,550.0,-1.0,-1.0,2296.0,,,5869.0,-1.0,5650.0,,91849.0,,190000.0,2852.0,-1.0,28000.0,-1.0,35812.0,8666.0,52840.0,84202.0,68.0,,41845.0,3509.0,,50020.0,-1.0,-1.0,900.0,,40202.0,,1250.0,7383.0,18500.0,-1.0,,-1.0,785000.0,5700.0,2100.0,5800.0,-1.0,,17000.0,59692.0,-1.0,4423.0,-1.0,36.0,22000.0,659.0,8000.0,958.0,6000.0,-1.0,,-1.0,,,-1.0,15444.0,232700.0,-1.0,,110190.0,3500.0,,-1.0,,,-1.0,11630.0,6.0,43000.0,1000.0,-1.0,,13000.0,-1.0,4450.0,1000.0,,1003.0,9400.0,170912.0,,63503.0,,706.0,,,215000.0,,-1.0,-1.0,9815.0,,-1.0,30000.0,810.0,,-1.0,0.0,,36435.0,,787296.0
1964,-1.0,200.0,36388.0,30788.0,,-1.0,33700.0,-1.0,,-1.0,-1.0,772.0,,,4600.0,41.0,,550.0,-1.0,-1.0,1763.0,,,6184.0,-1.0,6000.0,,153529.0,,200000.0,2300.0,-1.0,30000.0,-1.0,44945.0,5405.0,49820.0,103316.0,41.0,,46061.0,3081.0,,50820.0,-1.0,-1.0,600.0,,40827.0,,1400.0,7156.0,14800.0,-1.0,,-1.0,790000.0,6400.0,2450.0,6000.0,-1.0,,18000.0,62657.0,-1.0,4892.0,-1.0,45.0,22000.0,597.0,8300.0,4156.0,5600.0,-1.0,,-1.0,,,-1.0,16432.0,247600.0,-1.0,,104455.0,2800.0,,-1.0,,,-1.0,11000.0,8.0,44000.0,1000.0,-1.0,,7399.0,-1.0,4350.0,1000.0,,1030.0,9000.0,144823.0,,73867.0,,513.0,,,220000.0,,-1.0,-1.0,10112.0,,-1.0,26000.0,1500.0,,-1.0,0.0,,37655.0,,791763.0
1965,-1.0,100.0,36522.0,30922.0,,-1.0,33400.0,-1.0,,-1.0,-1.0,813.0,,,4500.0,45.0,,600.0,-1.0,-1.0,2252.0,,,3854.0,-1.0,4500.0,,126459.0,,210000.0,2500.0,-1.0,33000.0,-1.0,44193.0,4328.0,44200.0,116487.0,45.0,,47782.0,2554.0,,52820.0,-1.0,-1.0,600.0,,42693.0,,1400.0,7900.0,15200.0,-1.0,,-1.0,800000.0,7200.0,800.0,6594.0,-1.0,,18000.0,30305.0,-1.0,5080.0,-1.0,41.0,22000.0,534.0,8300.0,3433.0,5600.0,-1.0,,-1.0,,,-1.0,17750.0,247700.0,-1.0,,76354.0,2700.0,,-1.0,,,-1.0,17657.0,10.0,44737.0,1000.0,-1.0,,5727.0,-1.0,4300.0,1050.0,,1098.0,4500.0,188739.0,,65840.0,,828.0,,,229000.0,,-1.0,-1.0,10586.0,,-1.0,25000.0,1500.0,,-1.0,0.0,,29587.0,,802252.0
1966,-1.0,200.0,43871.0,37506.0,,-1.0,35500.0,-1.0,,-1.0,-1.0,813.0,,,4958.0,53.0,,600.0,-1.0,-1.0,4000.0,,,6425.0,-1.0,4750.0,,116900.0,,205000.0,1800.0,-1.0,34000.0,-1.0,48017.0,4328.0,45901.0,96162.0,53.0,,51196.0,3144.0,,61810.0,-1.0,-1.0,1000.0,,54312.0,,1300.0,9600.0,15400.0,-1.0,,-1.0,806000.0,8000.0,2300.0,14140.0,-1.0,,20000.0,42377.0,-1.0,5209.0,-1.0,39.0,22000.0,1404.0,8300.0,3434.0,6365.0,-1.0,,-1.0,,,-1.0,18244.0,260400.0,-1.0,,107550.0,4300.0,,-1.0,,,-1.0,11602.0,10.0,45000.0,1428.0,-1.0,,5644.0,-1.0,5000.0,1100.0,,1984.0,4500.0,202165.0,,73156.0,,671.0,,,190900.0,,-1.0,-1.0,11165.0,,-1.0,31000.0,3000.0,,-1.0,0.0,,41758.0,,810000.0
1967,-1.0,100.0,38550.0,31899.0,,-1.0,38000.0,-1.0,,-1.0,-1.0,813.0,,,6260.0,48.0,,600.0,-1.0,-1.0,4000.0,,,5884.0,-1.0,4630.0,,109800.0,,210000.0,1900.0,-1.0,34500.0,-1.0,50080.0,4066.0,58745.0,87136.0,48.0,,57488.0,2588.0,,64680.0,-1.0,-1.0,1200.0,,42227.0,,1200.0,14600.0,15200.0,-1.0,,-1.0,812000.0,8700.0,2134.0,17948.0,-1.0,,20000.0,57399.0,-1.0,6634.0,-1.0,36.0,22000.0,1319.0,8500.0,3754.0,6651.0,-1.0,,-1.0,,,-1.0,19011.0,266400.0,-1.0,,113092.0,2900.0,,-1.0,,,-1.0,6000.0,20.0,45500.0,1200.0,-1.0,,6594.0,-1.0,5450.0,1100.0,,1994.0,5000.0,222949.0,,89311.0,,610.0,,,160000.0,,-1.0,-1.0,11880.0,,-1.0,29000.0,3050.0,,-1.0,0.0,,41234.0,,816000.0
1968,-1.0,200.0,44600.0,38211.0,,-1.0,40800.0,-1.0,,-1.0,-1.0,813.0,6.0,,6304.0,48.0,,650.0,-1.0,-1.0,3000.0,,,8222.0,-1.0,3800.0,,105200.0,,220000.0,1941.0,-1.0,35900.0,-1.0,43270.0,2177.0,44500.0,135000.0,48.0,,54995.0,2246.0,,62270.0,-1.0,-1.0,800.0,,38919.0,,1400.0,14708.0,19000.0,-1.0,,-1.0,828000.0,6000.0,2541.0,11365.0,-1.0,,20000.0,43186.0,-1.0,5105.0,-1.0,40.0,32300.0,1052.0,8500.0,4080.0,6389.0,-1.0,,-1.0,,,-1.0,21616.0,282700.0,-1.0,,83752.0,3900.0,,-1.0,,,-1.0,10000.0,35.0,46000.0,1200.0,-1.0,,20468.0,-1.0,5750.0,1200.0,,1667.0,5000.0,220944.0,,73664.0,,584.0,,,148637.0,,-1.0,-1.0,12420.0,,-1.0,26000.0,3900.0,,-1.0,0.0,,31160.0,,831000.0
1969,-1.0,200.0,47775.0,39873.0,,-1.0,43700.0,-1.0,,-1.0,-1.0,600.0,6.0,,8722.0,14.0,,680.0,-1.0,-1.0,3000.0,,,8707.0,-1.0,3560.0,,103000.0,,230000.0,2000.0,-1.0,35000.0,-1.0,43960.0,3455.0,39600.0,120000.0,14.0,,59079.0,2876.0,,75870.0,-1.0,-1.0,800.0,,43467.0,,1300.0,12283.0,23300.0,-1.0,,-1.0,852000.0,4000.0,2032.0,16663.0,-1.0,,22000.0,52964.0,-1.0,8841.0,-1.0,32.0,38800.0,542.0,8500.0,4236.0,7902.0,-1.0,,-1.0,,,-1.0,23171.0,283300.0,-1.0,,77425.0,500.0,,-1.0,,,-1.0,10000.0,45.0,46500.0,1300.0,-1.0,,7290.0,-1.0,6400.0,1200.0,,1681.0,5000.0,190417.0,,112172.0,,542.0,,,190350.0,,-1.0,-1.0,13041.0,,-1.0,27000.0,4500.0,,-1.0,0.0,,33472.0,,855000.0
1970,-1.0,200.0,41579.0,33883.0,,-1.0,46500.0,-1.0,,-1.0,-1.0,400.0,7.0,,12349.0,22.0,,683.0,-1.0,-1.0,4000.0,,,8112.0,-1.0,3230.0,,148600.0,,240000.0,2200.0,-1.0,30000.0,-1.0,45816.0,1493.0,40500.0,131000.0,22.0,,62565.0,2568.0,,72370.0,-1.0,-1.0,800.0,,45159.0,,1400.0,13774.0,23800.0,-1.0,,-1.0,842000.0,2000.0,2540.0,19337.0,-1.0,,25000.0,74266.0,-1.0,9960.0,-1.0,33.0,40000.0,485.0,8800.0,4879.0,7696.0,-1.0,,-1.0,,,-1.0,25203.0,278800.0,-1.0,,96480.0,800.0,,-1.0,,,-1.0,10000.0,60.0,47000.0,1307.0,-1.0,,7476.0,-1.0,6950.0,1200.0,,2047.0,6000.0,154221.0,,106584.0,,390.0,,,250000.0,,-1.0,-1.0,12990.0,,-1.0,28000.0,3000.0,,-1.0,0.0,,22380.0,,846000.0
